Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
50,41,46,33,42,3645.6,3645.6,9656,9656,55,783970,9.66E+06,8.76E+06,1.04E+05,1.92E+05,103860,100783,0.78397,9.658898,8.758042,1.04E+00,1.92E+00,1.04E+00,1.01E+00,1886,1146,150.88,113.16,64.119,0,13.2,0,48.7,0,48700
55,41,46,33,43,3567.2,3645.6,9656,9656,60,7.82E+05,13893531,1.07E+07,1.04E+05,353960,103860,189296,0.7819015,13.893531,10.71578,1.04E+00,3.54E+00,1.04E+00,1.89E+00,1863,1145,149.04,111.78,64.119,0,0,0,0,0,0
60,41,46,33,42,3645.6,3645.6,9656,9656,65,7.94E+05,9.58E+06,8724869,2.28E+05,353960,2.07E+05,189296,0.7935135,9.578778,8.724869,2.28E+00,3.54E+00,2.07E+00,1.89E+00,1855,1145,148.4,111.3,64.119,0,0,0,0,0,0
65,41,46,33,43,3645.6,3645.6,9656,9656,70,5.34E+05,1.29E+07,5853507,2.28E+05,148521,126908,7.20E+04,0.5336193,12.94812,5.853507,2.28E+00,1.49E+00,1.27E+00,7.20E-01,1856,1145,148.48,111.36,64.119,0,0,0,0,0,0
70,41,47,33,43,3645.6,3567.2,9656,9656,75,7.93E+05,12755346,10071951,2.28E+05,314983,126908,198125,0.7927055,12.755346,10.071951,2.28E+00,3.15E+00,1.27E+00,1.98E+00,1856,1145,148.48,111.36,64.119,0,0,0,0,0,0
75,41,47,33,42,3645.6,3645.6,9656,9656,80,8.24E+05,1.01E+07,9108190,2.38E+05,314983,126908,118949,0.8241705,10.11711,9.10819,2.38E+00,3.15E+00,1.27E+00,1.19E+00,1863,1146,149.04,111.78,64.119,0,0,0,0,0,0
80,41,46,33,43,3567.2,3567.2,9656,9656,85,788321,9.60E+06,8.73E+06,2.38E+05,204550,126908,125667,0.788321,9.595488,8.731088,2.38E+00,2.05E+00,1.27E+00,1.26E+00,1856,1146,148.48,111.36,64.119,0,12,0,41.1,0,41100
85,41,46,33,43,3645.6,3645.6,9656,9656,90,795082,1.37E+07,9390752,2.64E+05,204550,168808,125667,0.795082,13.65368,9.390752,2.64E+00,2.05E+00,1.69E+00,1.26E+00,1858,1146,148.64,111.48,64.119,0,0,0,0,0,0
90,41,46,33,42,3645.6,3645.6,9656,9656,95,594914,1.58E+06,2.54E+06,28463,6.03E+04,2.83E+04,125667,0.594914,1.579181,2.542695,2.85E-01,6.03E-01,2.83E-01,1.26E+00,1850,1145,148,111,64.119,0,0,0,0,0,0
95,41,46,33,42,3645.6,3645.6,9656,9656,100,4.91E+05,8.07E+06,8.40E+06,1.79E+05,6.03E+04,195962,125667,0.4910525,8.065936,8.397592,1.79E+00,6.03E-01,1.96E+00,1.26E+00,1879,1145,150.32,112.74,64.119,0,0,0,0,0,0
100,41,46,33,43,3645.6,3645.6,9372,9656,105,782564,1.32E+07,9718716,1.79E+05,3.79E+05,195962,1.29E+05,0.782564,13.17715,9.718716,1.79E+00,3.79E+00,1.96E+00,1.29E+00,1856,1146,148.48,111.36,64.119,0,0,0,0,0,0
105,41,47,33,42,3645.6,3645.6,9372,9372,110,833429,9834509,8.72E+06,2.70E+05,3.79E+05,1.83E+05,1.29E+05,0.833429,9.834509,8.723472,2.70E+00,3.79E+00,1.83E+00,1.29E+00,1861,1146,148.88,111.66,64.119,0,0,0,0,0,0
110,41,46,33,43,3645.6,3645.6,9656,9656,115,7.91E+05,9.14E+06,9.41E+06,2.70E+05,1.21E+05,1.83E+05,207415,0.7913655,9.142408,9.4051,2.70E+00,1.21E+00,1.83E+00,2.07E+00,1852,1145,148.16,111.12,64.119,0,11.2,0,44.5,0,44500
115,41,46,33,42,3645.6,3645.6,9656,9656,120,7.91E+05,14264532,11293403,2.70E+05,3.32E+05,1.83E+05,198445,0.7911525,14.264532,11.293403,2.70E+00,3.32E+00,1.83E+00,1.98E+00,1857,1146,148.56,111.42,64.119,0,0,0,0,0,0
120,41,46,33,42,3567.2,3645.6,9656,9656,125,7.90E+05,9654875,8771139,253619,3.32E+05,1.83E+05,1.18E+05,0.7895435,9.654875,8.771139,2.54E+00,3.32E+00,1.83E+00,1.18E+00,1855,1145,148.4,111.3,64.119,0,0,0,0,0,0
125,41,46,33,43,3645.6,3567.2,9372,9656,130,790009,9.29E+06,8243075,253619,2.01E+05,171180,1.18E+05,0.790009,9.287658,8.243075,2.54E+00,2.01E+00,1.71E+00,1.18E+00,1854,1145,148.32,111.24,64.119,0,0,0,0,0,0
130,41,46,33,43,3645.6,3645.6,9656,9656,135,7.85E+05,13943067,10476195,253619,378056,171180,129128,0.7853185,13.943067,10.476195,2.54E+00,3.78E+00,1.71E+00,1.29E+00,1856,1145,148.48,111.36,64.119,0,0,0,0,0,0
135,41,46,33,42,3645.6,3645.6,9372,9656,140,5.52E+05,13640514,6242002,1.80E+05,378056,138024,7.96E+04,0.5515333,13.640514,6.242002,1.80E+00,3.78E+00,1.38E+00,7.96E-01,1853,1145,148.24,111.18,64.119,0,0,0,0,0,0
140,41,46,33,43,3567.2,3645.6,9656,9656,145,2.68E+05,2.00E+06,1902204,24825,3.68E+04,1.69E+04,5.10E+03,0.2677098,1.996278,1.902204,2.48E-01,3.68E-01,1.69E-01,5.10E-02,1854,1145,148.32,111.24,64.119,0,9.4,0,47.6,0,47600
145,41,46,33,43,3645.6,3645.6,9656,9656,150,660352,1.36E+07,9572181,24825,4.19E+05,179799,5.10E+03,0.660352,13.63929,9.572181,2.48E-01,4.19E+00,1.80E+00,5.10E-02,1904,1145,152.32,114.24,64.119,0,0,0,0,0,0
150,41,46,33,43,3645.6,3645.6,9656,9656,155,800608,9502386,8501609,245206,4.19E+05,179799,110703,0.800608,9.502386,8.501609,2.45E+00,4.19E+00,1.80E+00,1.11E+00,1856,1145,148.48,111.36,64.119,0,0,0,0,0,0
155,41,46,33,42,3645.6,3645.6,9656,9656,160,7.93E+05,9.74E+06,9174562,245206,173884,179799,1.26E+05,0.7926195,9.740996,9.174562,2.45E+00,1.74E+00,1.80E+00,1.26E+00,1853,1145,148.24,111.18,64.119,0,0,0,0,0,0
160,41,46,33,42,3567.2,3645.6,9656,9656,165,7.87E+05,13151971,9.48E+06,245206,389734,179799,123663,0.7867335,13.151971,9.477344,2.45E+00,3.90E+00,1.80E+00,1.24E+00,1857,1145,148.56,111.42,64.119,0,0,0,0,0,0
165,41,46,33,42,3567.2,3645.6,9656,9656,170,8.33E+05,9.94E+06,8884972,273738,389734,184955,123663,0.8334305,9.936902,8.884972,2.74E+00,3.90E+00,1.85E+00,1.24E+00,1852,1143,148.16,111.12,64.119,0,0,0,0,0,0
170,41,46,33,43,3645.6,3645.6,9656,9656,175,7.84E+05,9.71E+06,8.85E+06,273738,2.03E+05,1.95E+05,123663,0.7836655,9.707242,8.851628,2.74E+00,2.03E+00,1.95E+00,1.24E+00,1854,1145,148.32,111.24,64.119,0,9.6,0,50.3,0,50300
175,41,46,33,43,3645.6,3645.6,9656,9656,180,7.82E+05,13119035,9924074,273738,324375,2.33E+05,123663,0.7823645,13.119035,9.924074,2.74E+00,3.24E+00,2.33E+00,1.24E+00,1855,1145,148.4,111.3,64.119,0,0,0,0,0,0
180,41,46,33,43,3645.6,3645.6,9656,9656,185,792664,9.03E+06,8.14E+06,2.79E+05,324375,182781,123663,0.792664,9.03152,8.136934,2.79E+00,3.24E+00,1.83E+00,1.24E+00,1853,1144,148.24,111.18,64.119,0,0,0,0,0,0
185,41,46,33,43,3645.6,3645.6,9372,9656,190,529722,1.20E+07,5.14E+06,153802,324375,1.31E+05,6.69E+04,0.529722,12.03043,5.135521,1.54E+00,3.24E+00,1.31E+00,6.69E-01,1856,1146,148.48,111.36,64.119,0,0,0,0,0,0
190,41,46,33,43,3645.6,3645.6,9372,9656,195,9.82E+04,7826432,2436421,153802,1.72E+05,1.80E+04,3.61E+03,0.09815367,7.826432,2.436421,1.54E+00,1.72E+00,1.80E-01,3.61E-02,1856,1145,148.48,111.36,64.119,0,0,0,0,0,0
195,41,46,33,43,3645.6,3645.6,9656,9656,200,831748,9544167,9644307,195659,1.72E+05,2.52E+05,3.61E+03,0.831748,9.544167,9.644307,1.96E+00,1.72E+00,2.52E+00,3.61E-02,1893,1143,151.44,113.58,64.119,0,0,0,0,0,0
200,41,47,33,43,3645.6,3567.2,9656,9656,205,5.27E+05,12376835,5.41E+06,195659,1.44E+05,1.12E+05,69853,0.5271053,12.376835,5.412854,1.96E+00,1.44E+00,1.12E+00,6.99E-01,1852,1145,148.16,111.12,64.119,0,10,0,53.4,0,53400
205,41,47,33,43,3645.6,3645.6,9372,9656,210,8.01E+05,14324362,1.01E+07,195659,3.69E+05,1.12E+05,106998,0.8012535,14.324362,10.14132,1.96E+00,3.69E+00,1.12E+00,1.07E+00,1853,1143,148.24,111.18,64.119,0,0,0,0,0,0
210,41,46,33,43,3567.2,3645.6,9372,9656,215,7.84E+05,8.40E+06,8558335,1.98E+05,3.69E+05,249488,106998,0.7836435,8.395198,8.558335,1.98E+00,3.69E+00,2.49E+00,1.07E+00,1854,1145,148.32,111.24,64.119,0,0,0,0,0,0
215,41,46,33,43,3645.6,3567.2,9372,9372,220,781663,9.82E+06,8.92E+06,1.98E+05,1.96E+05,190213,106998,0.781663,9.817682,8.919942,1.98E+00,1.96E+00,1.90E+00,1.07E+00,1853,1143,148.24,111.18,64.119,0,0,0,0,0,0
220,41,46,33,43,3645.6,3645.6,9656,9656,225,7.85E+05,13579400,1.01E+07,1.98E+05,4.05E+05,190213,139498,0.7846405,13.5794,10.1057,1.98E+00,4.05E+00,1.90E+00,1.39E+00,1851,1144,148.08,111.06,64.119,0,0,0,0,0,0
225,41,46,33,42,3645.6,3645.6,9656,9656,230,834052,9773135,9566060,215571,4.05E+05,190213,187220,0.834052,9.773135,9.56606,2.16E+00,4.05E+00,1.90E+00,1.87E+00,1849,1145,147.92,110.94,64.119,0,0,0,0,0,0
230,41,46,33,43,3645.6,3645.6,9940,9656,235,8.08E+05,9506630,8.38E+06,265932,4.05E+05,1.87E+05,187220,0.8077545,9.50663,8.381774,2.66E+00,4.05E+00,1.87E+00,1.87E+00,1855,1143,148.4,111.3,64.119,0,9.4,0,56.1,0,56100
235,41,46,33,43,3645.6,3645.6,9656,9372,240,9.55E+05,7.11E+06,9239917,1.11E+05,244147,6.38E+04,187220,0.9550957,7.112244,9.239917,1.11E+00,2.44E+00,6.38E-01,1.87E+00,1853,1145,148.24,111.18,64.119,0,0,0,0,0,0
240,41,46,33,43,3645.6,3645.6,9656,9656,245,2.15E+05,4684079,4.24E+06,1.36E+05,244147,6.38E+04,64802,0.2154135,4.684079,4.237206,1.36E+00,2.44E+00,6.38E-01,6.48E-01,1924,1145,153.92,115.44,64.119,0,0,0,0,0,0
245,41,46,33,42,3645.6,3645.6,9656,9372,250,798877,8.96E+06,7.86E+06,1.36E+05,2.10E+05,6.38E+04,9.62E+04,0.798877,8.964064,7.85739,1.36E+00,2.10E+00,6.38E-01,9.62E-01,1897,1145,151.76,113.82,64.119,0,0,0,0,0,0
250,41,46,33,43,3645.6,3645.6,9656,9656,255,785059,1.38E+07,1.02E+07,1.36E+05,3.92E+05,6.38E+04,106926,0.785059,13.76089,10.23369,1.36E+00,3.92E+00,6.38E-01,1.07E+00,1856,1145,148.48,111.36,64.119,0,0,0,0,0,0
255,41,46,33,43,3645.6,3645.6,9656,9656,260,831051,9083914,8.47E+06,245892,3.92E+05,1.95E+05,106926,0.831051,9.083914,8.47083,2.46E+00,3.92E+00,1.95E+00,1.07E+00,1853,1145,148.24,111.18,64.119,0,0,0,0,0,0
260,41,46,33,43,3645.6,3645.6,9656,9656,265,791319,9470410,8.31E+06,245892,2.27E+05,1.95E+05,93762,0.791319,9.47041,8.31481,2.46E+00,2.27E+00,1.95E+00,9.38E-01,1851,1145,148.08,111.06,64.119,0,10.4,0,59,0,59000
265,41,46,33,43,3645.6,3645.6,9656,9656,270,784128,1.46E+07,1.06E+07,245892,4.38E+05,1.84E+05,93762,0.784128,14.57052,10.59531,2.46E+00,4.38E+00,1.84E+00,9.38E-01,1858,1146,148.64,111.48,64.119,0,0,0,0,0,0
270,43,46,33,43,3645.6,3645.6,9656,9656,275,7.90E+05,9.27E+06,9.23E+06,2.19E+05,4.38E+05,1.84E+05,196662,0.7903115,9.26673,9.227504,2.19E+00,4.38E+00,1.84E+00,1.97E+00,1860,1146,148.8,111.6,64.119,0,0,0,0,0,0
275,43,46,33,43,3645.6,3567.2,9656,9372,280,794805,9.46E+06,8300495,2.19E+05,215891,185105,196662,0.794805,9.462732,8.300495,2.19E+00,2.16E+00,1.85E+00,1.97E+00,1858,1146,148.64,111.48,64.119,0,0,0,0,0,0
280,43,47,33,43,3645.6,3645.6,9656,9656,285,787998,1.38E+07,10134575,230412,215891,2.02E+05,196662,0.787998,13.75894,10.134575,2.30E+00,2.16E+00,2.02E+00,1.97E+00,1853,1145,148.24,111.18,64.119,0,0,0,0,0,0
285,43,47,33,43,3645.6,3567.2,9656,9656,290,816725,4.31E+06,8.45E+06,8.45E+04,7.90E+04,9.84E+04,196662,0.816725,4.311359,8.453412,8.45E-01,7.90E-01,9.84E-01,1.97E+00,1852,1145,148.16,111.12,64.119,0,0,0,0,0,0
290,43,47,33,43,3645.6,3567.2,9656,9656,295,372224,4.10E+06,4306453,8.45E+04,7.89E+04,9.84E+04,1.05E+05,0.372224,4.097284,4.306453,8.45E-01,7.89E-01,9.84E-01,1.05E+00,1895,1145,151.6,113.7,64.119,0,10.6,0,61.9,0,61900
295,44,46,33,43,3645.6,3645.6,9656,9656,300,7.88E+05,13850995,9762291,8.45E+04,416716,175075,1.05E+05,0.7875605,13.850995,9.762291,8.45E-01,4.17E+00,1.75E+00,1.05E+00,1860,1145,148.8,111.6,64.119,0,0,0,0,0,0
300,44,47,33,43,3645.6,3567.2,9372,9372,305,1017503,5.63E+07,55368988,9376353,416716,4.41E+05,1.05E+05,1.017503,56.29458,55.368988,9.38E+01,4.17E+00,4.41E+00,1.05E+00,1996,1144,159.68,119.76,64.119,0,0,0,0,0,0
305,44,46,33,43,3645.6,3645.6,9656,9656,310,5.27E+05,9.70E+07,7.26E+07,9376353,2263911,5.41E+05,166023,0.5273347,96.99836,72.56666,9.38E+01,2.26E+01,5.41E+00,1.66E+00,2038,1144,163.04,122.28,64.119,2.4,0,2619.1,0,2619100,0
310,44,46,33,43,3645.6,3645.6,12567,12567,315,780871,44734624,5.72E+07,33346792,2263911,5.41E+05,2.31E+05,0.780871,44.734624,57.20334,3.33E+02,2.26E+01,5.41E+00,2.31E+00,2006,1145,160.48,120.36,64.119,0,0,0,0,0,0
315,43,46,33,43,3645.6,3645.6,9372,9372,320,9.14E+05,4.24E+07,57646239,34552752,2263911,5.41E+05,2.19E+05,0.9135055,42.41651,57.646239,3.46E+02,2.26E+01,5.41E+00,2.19E+00,2001,1143,160.08,120.06,64.119,0,0,0,0,0,0
320,44,46,33,43,3645.6,3645.6,9656,9656,325,7.83E+05,3.95E+07,5.38E+07,35078602,2263911,2.05E+05,2.19E+05,0.7834685,39.54426,53.77217,3.51E+02,2.26E+01,2.05E+00,2.19E+00,2004,1144,160.32,120.24,64.119,0,17.2,0,172.9,0,172900
325,44,47,33,43,3645.6,3645.6,9372,9656,330,785398,4.44E+07,56483349,37149636,2263911,2.05E+05,232026,0.785398,44.40322,56.483349,3.71E+02,2.26E+01,2.05E+00,2.32E+00,1996,1144,159.68,119.76,64.119,0,0,0,0,0,0
330,44,46,33,43,3645.6,3645.6,9656,9656,335,7.77E+05,41212580,56122119,38414355,2263911,2.05E+05,207145,0.7768275,41.21258,56.122119,3.84E+02,2.26E+01,2.05E+00,2.07E+00,2004,1144,160.32,120.24,64.119,0,0,0,0,0,0
335,44,46,33,43,3645.6,3645.6,9656,9656,340,5.85E+05,21776365,6.37E+07,2.43E+07,1.50E+06,13534,207145,0.5851157,21.776365,63.729,2.43E+02,1.50E+01,1.35E-01,2.07E+00,2011,1143,160.88,120.66,64.119,0,0,0,0,0,0
340,44,47,33,43,3645.6,3645.6,9656,9656,345,5.03E+05,43865707,56512463,3.76E+07,1.50E+06,261093,207145,0.5028175,43.865707,56.512463,3.76E+02,1.50E+01,2.61E+00,2.07E+00,2042,1142,163.36,122.52,64.119,0,0,0,0,0,0
345,44,46,33,43,3645.6,3567.2,9656,9656,350,844817,40575085,55791008,38617499,1.50E+06,261093,241012,0.844817,40.575085,55.791008,3.86E+02,1.50E+01,2.61E+00,2.41E+00,2004,1143,160.32,120.24,64.119,0,0,0,0,0,0
350,44,47,33,43,3645.6,3645.6,9372,9656,355,795615,1.12E+08,163913103,3.29E+07,1.50E+06,218941,241012,0.795615,112.2862,163.913103,3.29E+02,1.50E+01,2.19E+00,2.41E+00,2032,1143,162.56,121.92,64.119,0,11.4,0,69.1,0,69100
355,44,46,33,43,3645.6,3645.6,9656,9656,360,7.92E+05,116186668,1.65E+08,37125042,1.50E+06,218941,249983,0.7924965,116.186668,164.945,3.71E+02,1.50E+01,2.19E+00,2.50E+00,2038,1143,163.04,122.28,64.119,0,0,0,0,0,0
360,44,46,33,43,3645.6,3645.6,9656,9656,365,7.71E+05,112292641,162173994,4.02E+07,1.50E+06,218941,2.03E+05,0.7714555,112.292641,162.173994,4.02E+02,1.50E+01,2.19E+00,2.03E+00,2046,1143,163.68,122.76,64.119,0,0,0,0,0,0
365,44,47,33,43,3645.6,3645.6,9656,9656,370,7.89E+05,109973692,1.61E+08,36751630,1.50E+06,218941,2.48E+05,0.7886195,109.973692,160.5332,3.68E+02,1.50E+01,2.19E+00,2.48E+00,2040,1144,163.2,122.4,64.119,0,0,0,0,0,0
370,44,47,33,43,3567.2,3645.6,9372,9656,375,798247,115111324,1.64E+08,3.78E+07,1.50E+06,2.23E+05,2.48E+05,0.798247,115.111324,163.8283,3.78E+02,1.50E+01,2.23E+00,2.48E+00,2031,1145,162.48,121.86,64.119,0,0,0,0,0,0
375,44,47,33,43,3645.6,3645.6,9656,9656,380,837974,1.12E+08,1.62E+08,3.76E+07,1.50E+06,2.23E+05,2.02E+05,0.837974,112.2984,162.3015,3.76E+02,1.50E+01,2.23E+00,2.02E+00,2042,1145,163.36,122.52,64.119,0,0,0,0,0,0
380,45,47,33,43,3645.6,3645.6,9656,9656,385,5.23E+05,1.47E+08,1.08E+08,26670576,1.50E+06,150237,1.64E+05,0.5226177,147.4351,107.6018,2.67E+02,1.50E+01,1.50E+00,1.64E+00,2039,1143,163.12,122.34,64.119,0,12.2,0,72.6,0,72600
385,45,46,33,43,3645.6,3645.6,9372,9656,390,1.62E+05,1.09E+08,1.56E+08,3.51E+07,1.50E+06,29326,1.64E+05,0.1622785,108.5035,156.475,3.51E+02,1.50E+01,2.93E-01,1.64E+00,2049,1144,163.92,122.94,64.119,0,0,0,0,0,0
390,45,46,33,43,3645.6,3645.6,9656,9656,395,7.59E+05,1.13E+08,1.63E+08,36445057,1.50E+06,178201,1.64E+05,0.7589805,112.6979,163.3393,3.64E+02,1.50E+01,1.78E+00,1.64E+00,2082,1144,166.56,124.92,64.119,0,0,0,0,0,0
395,45,46,33,43,3645.6,3645.6,9656,9656,400,8.03E+05,1.12E+08,1.63E+08,4.06E+07,1.50E+06,228574,1.64E+05,0.8034345,111.804,163.0061,4.06E+02,1.50E+01,2.29E+00,1.64E+00,2041,1144,163.28,122.46,64.119,0,0,0,0,0,0
400,44,47,33,43,3645.6,3645.6,9656,9656,405,7.81E+05,114553537,162575563,38694563,1.50E+06,2.36E+05,1.64E+05,0.7810165,114.553537,162.575563,3.87E+02,1.50E+01,2.36E+00,1.64E+00,2048,1144,163.84,122.88,64.119,0,0,0,0,0,0
405,45,47,33,43,3567.2,3645.6,9656,9656,410,865126,1.12E+08,1.63E+08,4.02E+07,1.50E+06,2.20E+05,1.64E+05,0.865126,112.3802,163.324,4.02E+02,1.50E+01,2.20E+00,1.64E+00,2035,1144,162.8,122.1,64.119,0,0,0,0,0,0
410,45,47,34,43,3645.6,3645.6,9372,9656,415,7.87E+05,1.11E+08,1.61E+08,31366401,1.50E+06,1.82E+05,1.64E+05,0.7872165,110.6773,160.5537,3.14E+02,1.50E+01,1.82E+00,1.64E+00,2044,1144,163.52,122.64,64.119,0,11.6,0,99.9,0,99900
415,45,47,33,43,3645.6,3645.6,9372,9656,420,785447,6.80E+07,9.28E+07,2.52E+07,1.50E+06,264680,1.64E+05,0.785447,68.01703,92.84513,2.52E+02,1.50E+01,2.65E+00,1.64E+00,2049,1143,163.92,122.94,64.119,0,0,0,0,0,0
420,45,46,34,43,3645.6,3645.6,9656,9656,425,7.82E+05,45625426,63522722,21977054,1.50E+06,264680,235676,0.7824015,45.625426,63.522722,2.20E+02,1.50E+01,2.65E+00,2.36E+00,2030,1144,162.4,121.8,64.119,0,0,0,0,0,0
425,45,47,34,43,3645.6,3645.6,9656,9656,430,791135,45231040,6.35E+07,21977054,5868407,2.20E+05,235676,0.791135,45.23104,63.46122,2.20E+02,5.87E+01,2.20E+00,2.36E+00,2037,1145,162.96,122.22,64.119,0,0,0,0,0,0
430,45,46,34,43,3645.6,3645.6,9656,9372,435,9.11E+05,3.11E+07,8.26E+07,1.52E+07,2.47E+06,7.29E+04,235676,0.9114057,31.09548,82.63099,1.52E+02,2.47E+01,7.29E-01,2.36E+00,2034,1145,162.72,122.04,64.119,0,0,0,0,0,0
435,45,46,34,43,3645.6,3645.6,9656,9656,440,3.31E+05,43624467,62111208,2.20E+07,2.47E+06,129120,235676,0.3313375,43.624467,62.111208,2.20E+02,2.47E+01,1.29E+00,2.36E+00,2226,1145,178.08,133.56,64.119,0,0,0,0,0,0
440,45,46,34,43,3567.2,3645.6,9372,9656,445,7.91E+05,4.59E+07,6.38E+07,24808506,2.47E+06,129120,231664,0.7913945,45.90173,63.78149,2.48E+02,2.47E+01,1.29E+00,2.32E+00,2046,1143,163.68,122.76,64.119,0,12.8,0,87,0,87000
445,45,46,34,43,3645.6,3645.6,9656,9656,450,783703,49806284,64493204,2.38E+07,2.47E+06,129120,2.43E+05,0.783703,49.806284,64.493204,2.38E+02,2.47E+01,1.29E+00,2.43E+00,2049,1145,163.92,122.94,64.119,0,0,0,0,0,0
450,45,46,34,43,3645.6,3645.6,9656,9656,455,7.82E+05,46313760,63767719,2.64E+07,2.47E+06,129120,208339,0.7818495,46.31376,63.767719,2.64E+02,2.47E+01,1.29E+00,2.08E+00,2032,1145,162.56,121.92,64.119,0,0,0,0,0,0
455,45,47,34,43,3645.6,3645.6,9372,9656,460,777059,4.55E+07,6.23E+07,27992266,2.47E+06,129120,2.13E+05,0.777059,45.46218,62.29541,2.80E+02,2.47E+01,1.29E+00,2.13E+00,2023,1144,161.84,121.38,64.119,0,0,0,0,0,0
460,45,46,34,43,3645.6,3645.6,9656,9656,465,7.76E+05,5.24E+07,68232198,2.57E+07,2.47E+06,2.19E+05,2.13E+05,0.7763815,52.44057,68.232198,2.57E+02,2.47E+01,2.19E+00,2.13E+00,2030,1144,162.4,121.8,64.119,0,0,0,0,0,0
465,45,46,34,43,3567.2,3645.6,9656,9656,470,854826,44044889,60859730,24992497,2.47E+06,2.19E+05,2.42E+05,0.854826,44.044889,60.85973,2.50E+02,2.47E+01,2.19E+00,2.42E+00,2026,1145,162.08,121.56,64.119,0,0,0,0,0,0
470,45,46,34,43,3645.6,3645.6,9656,9372,475,780607,43068856,5.84E+07,25137152,2.47E+06,2.19E+05,2.13E+05,0.780607,43.068856,58.44052,2.51E+02,2.47E+01,2.19E+00,2.13E+00,2025,1143,162,121.5,64.119,0,11.8,0,78.6,0,78600
475,45,46,34,43,3567.2,3645.6,9372,9656,480,786805,4.71E+07,6.10E+07,25285050,2.47E+06,233889,2.13E+05,0.786805,47.10277,61.04774,2.53E+02,2.47E+01,2.34E+00,2.13E+00,2033,1145,162.64,121.98,64.119,0,0,0,0,0,0
