Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,41,47,33,42,3645.6,3645.6,9372,9372,5,774275,8.42E+06,1.20E+07,0,2.72E+05,1.76E+05,0,0.774275,8.415048,12.00024,0.00E+00,2.72E+00,1.76E+00,0.00E+00,1943,1144,155.44,116.58,64.119,0.2,0.3,12.5,3.3,12500,3300
5,41,46,33,43,3645.6,3645.6,9656,9656,10,7.84E+05,9396770,9588465,0,1.16E+05,1.76E+05,206947,0.7839755,9.39677,9.588465,0.00E+00,1.16E+00,1.76E+00,2.07E+00,1858,1146,148.64,111.48,64.119,0,0,0,0,0,0
10,41,46,33,42,3645.6,3567.2,9372,9656,15,798793,12970277,10442356,0,306509,1.76E+05,2.07E+05,0.798793,12.970277,10.442356,0.00E+00,3.07E+00,1.76E+00,2.07E+00,1851,1145,148.08,111.06,64.119,0,0,0,0,0,0
15,41,46,33,43,3645.6,3645.6,9656,9656,20,816284,9611251,8.58E+06,266632,306509,1.85E+05,2.07E+05,0.816284,9.611251,8.575776,2.67E+00,3.07E+00,1.85E+00,2.07E+00,1848,1145,147.84,110.88,64.119,0,0,0,0,0,0
20,41,46,33,42,3724,3645.6,9656,9656,25,784291,8992502,9084532,266632,1.19E+05,2.10E+05,2.07E+05,0.784291,8.992502,9.084532,2.67E+00,1.19E+00,2.10E+00,2.07E+00,1857,1145,148.56,111.42,64.119,0,10.8,0,37.3,0,37300
25,41,46,33,42,3645.6,3567.2,9656,9372,30,1.03E+06,15856994,14665095,266632,4.34E+05,2.10E+05,1.30E+05,1.025746,15.856994,14.665095,2.67E+00,4.34E+00,2.10E+00,1.30E+00,1883,1146,150.64,112.98,64.119,0,0,0,0,0,0
30,41,46,33,43,3645.6,3645.6,9656,9656,35,7.84E+05,9796997,9004826,230789,4.34E+05,2.09E+05,1.30E+05,0.7841505,9.796997,9.004826,2.31E+00,4.34E+00,2.09E+00,1.30E+00,1876,1145,150.08,112.56,64.119,0,0,0,0,0,0
35,41,46,33,43,3645.6,3645.6,9656,9372,40,7.98E+05,9.38E+06,8443052,2.66E+05,4.34E+05,189686,1.30E+05,0.7977095,9.37859,8.443052,2.66E+00,4.34E+00,1.90E+00,1.30E+00,1874,1145,149.92,112.44,64.119,0,0,0,0,0,0
40,41,46,33,42,3645.6,3645.6,9372,9656,45,6.98E+05,6553506,8.79E+06,1.04E+05,215485,189686,50124,0.6977043,6.553506,8.791857,1.04E+00,2.15E+00,1.90E+00,5.01E-01,1877,1145,150.16,112.62,64.119,0,0,0,0,0,0
45,41,46,33,43,3645.6,3645.6,9656,9656,50,460445,5422921,4.80E+06,1.04E+05,1.42E+05,103860,50124,0.460445,5.422921,4.804514,1.04E+00,1.42E+00,1.04E+00,5.01E-01,1918,1143,153.44,115.08,64.119,0,0,0,0,0,0
