Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,Volts,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
100,42,46,34,42,3645.6,3645.6,9656,9656,2205603,5119016,32423440,800753,58735,182631,1.24E+05,2.205603,5.119016,32.42344,8.01E+00,5.87E-01,1.83E+00,1.24E+00,1437,1131,1625.247,1137.6729,910.13832,45.506916,0,1.2,0,0.8,0,819.2
105,42,45,34,42,3645.6,3645.6,9656,9656,1.30E+05,2.88E+06,1.78E+06,27247,58735,32661,114370,0.1299743,2.876724,1.780974,2.72E-01,5.87E-01,3.27E-01,1.14E+00,1408,1133,1595.264,1116.6848,893.34784,44.667392,0,0,0,0,0,0
110,42,45,34,42,3567.2,3645.6,9656,9656,677473,8601234,8580886,2.43E+05,58735,1.86E+05,114370,0.677473,8.601234,8.580886,2.43E+00,5.87E-01,1.86E+00,1.14E+00,1405,1134,1593.27,1115.289,892.2312,44.61156,0,0,0,0,0,0
115,42,46,34,42,3645.6,3645.6,9656,9656,677473,19410543,8580886,2.43E+05,58735,2.74E+05,113227,0.677473,19.410543,8.580886,2.43E+00,5.87E-01,2.74E+00,1.13E+00,1418,1135,1609.43,1126.601,901.2808,45.06404,0,0,0,0,0,0
120,42,45,34,42,3645.6,3645.6,9656,9656,677473,1.98E+07,8580886,2.43E+05,58735,325053,8.78E+04,0.677473,19.80911,8.580886,2.43E+00,5.87E-01,3.25E+00,8.78E-01,1415,1131,1600.365,1120.2555,896.2044,44.81022,0,0,0,0,0,0
125,42,45,34,42,3645.6,3645.6,9656,9656,7.62E+05,9.15E+06,9567169,2.56E+05,58735,249827,8.78E+04,0.7617725,9.153488,9.567169,2.56E+00,5.87E-01,2.50E+00,8.78E-01,1410,1133,1597.53,1118.271,894.6168,44.73084,0,15.4,0,52.6,0,53862.4
130,42,45,34,42,3645.6,3645.6,9656,9656,7.62E+05,18006367,9567169,2.56E+05,58735,249827,323016,0.7617725,18.006367,9.567169,2.56E+00,5.87E-01,2.50E+00,3.23E+00,1404,1133,1590.732,1113.5124,890.80992,44.540496,0,1.2,0,0.8,0,819.2
135,42,45,34,42,3724,3645.6,9656,9656,7.62E+05,19783086,9567169,2.56E+05,58735,343757,7.93E+04,0.7617725,19.783086,9.567169,2.56E+00,5.87E-01,3.44E+00,7.93E-01,1407,1134,1595.538,1116.8766,893.50128,44.675064,0,0,0,0,0,0
140,42,45,34,42,3645.6,3567.2,9656,9656,759255,1.07E+07,1.09E+07,289737,58735,343757,7.13E+04,0.759255,10.67143,10.90978,2.90E+00,5.87E-01,3.44E+00,7.13E-01,1410,1137,1603.17,1122.219,897.7752,44.88876,0,0,0,0,0,0
145,42,45,34,42,3645.6,3645.6,9656,9656,759255,18289112,1.09E+07,289737,58735,417192,7.13E+04,0.759255,18.289112,10.90978,2.90E+00,5.87E-01,4.17E+00,7.13E-01,1407,1148,1615.236,1130.6652,904.53216,45.226608,0,0,0,0,0,0
150,42,45,34,41,3645.6,3645.6,9656,9656,1605603,18289112,20542428,269233,2.50E+05,417192,7.13E+04,1.605603,18.289112,20.542428,2.69E+00,2.50E+00,4.17E+00,7.13E-01,1412,1135,1602.62,1121.834,897.4672,44.87336,0,0,0,0,0,0
155,42,46,34,42,3645.6,3645.6,9656,9656,1605603,19356930,20542428,269233,2.50E+05,409374,7.13E+04,1.605603,19.35693,20.542428,2.69E+00,2.50E+00,4.09E+00,7.13E-01,1413,1123,1586.799,1110.7593,888.60744,44.430372,0,16.4,0,54.9,0,56217.6
160,42,45,34,42,3645.6,3645.6,9656,9372,7.55E+05,9537050,9.69E+06,269233,2.50E+05,409374,1.07E+05,0.7545175,9.53705,9.689454,2.69E+00,2.50E+00,4.09E+00,1.07E+00,1419,1123,1593.537,1115.4759,892.38072,44.619036,0,1.2,0,0.8,0,819.2
165,42,46,34,42,3645.6,3645.6,9656,9656,7.52E+05,9610598,10560985,269233,173213,409374,284736,0.7518435,9.610598,10.560985,2.69E+00,1.73E+00,4.09E+00,2.85E+00,1417,1127,1596.959,1117.8713,894.29704,44.714852,0,0,0,0,0,0
170,42,45,34,42,3645.6,3645.6,9656,9656,7.57E+05,9.57E+06,9733502,269233,255502,409374,106447,0.7568115,9.56616,9.733502,2.69E+00,2.56E+00,4.09E+00,1.06E+00,1419,1131,1604.889,1123.4223,898.73784,44.936892,0,0,0,0,0,0
175,42,45,34,42,3645.6,3645.6,9656,9656,1514250,9.57E+06,1.92E+07,2.44E+05,245258,409374,106447,1.51425,9.56616,19.24256,2.44E+00,2.45E+00,4.09E+00,1.06E+00,1403,1132,1588.196,1111.7372,889.38976,44.469488,0,0,0,0,0,0
180,42,45,34,42,3645.6,3645.6,9656,9372,894690,1.03E+07,10120344,2.44E+05,263779,409374,1.62E+05,0.89469,10.32234,10.120344,2.44E+00,2.64E+00,4.09E+00,1.62E+00,1448,1134,1642.032,1149.4224,919.53792,45.976896,0,0,0,0,0,0
185,42,46,34,42,3645.6,3567.2,9372,9656,754926,9.09E+06,1.02E+07,2.28E+05,263779,409374,1.93E+05,0.754926,9.089726,10.21079,2.28E+00,2.64E+00,4.09E+00,1.93E+00,1452,1124,1632.048,1142.4336,913.94688,45.697344,0,22.8,0,169.1,0,173158.4
190,42,46,34,42,3724,3645.6,9656,9656,1515018,9.09E+06,18800101,523847,263779,409374,1.93E+05,1.515018,9.089726,18.800101,5.24E+00,2.64E+00,4.09E+00,1.93E+00,1416,1128,1597.248,1118.0736,894.45888,44.722944,0,1.2,0,0.8,0,819.2
195,42,45,34,42,3724,3645.6,9656,9656,759371,9950688,10249606,523847,2.19E+05,409374,2.13E+05,0.759371,9.950688,10.249606,5.24E+00,2.19E+00,4.09E+00,2.13E+00,1407,1139,1602.573,1121.8011,897.44088,44.872044,0,0,0,0,0,0
200,42,46,34,42,3567.2,3645.6,9656,9656,7.77E+05,10477047,1.07E+07,2.58E+05,2.19E+05,409374,9.70E+04,0.7768055,10.477047,10.73663,2.58E+00,2.19E+00,4.09E+00,9.70E-01,1412,1134,1601.208,1120.8456,896.67648,44.833824,0,0,0,0,0,0
205,42,45,34,42,3645.6,3567.2,9656,9656,7.77E+05,18036753,1.07E+07,2.58E+05,2.19E+05,1.90E+05,89617,0.7768055,18.036753,10.73663,2.58E+00,2.19E+00,1.90E+00,8.96E-01,1416,1138,1611.408,1127.9856,902.38848,45.119424,0,0,0,0,0,0
210,42,46,34,42,3645.6,3645.6,9656,9372,7.98E+05,1.02E+07,1.04E+07,2.58E+05,2.32E+05,1.90E+05,171881,0.7980575,10.15771,10.35506,2.58E+00,2.32E+00,1.90E+00,1.72E+00,1409,1135,1599.215,1119.4505,895.5604,44.77802,0,0,0,0,0,0
215,42,46,34,42,3724,3567.2,9656,9656,1517576,1.02E+07,19056640,514496,2.32E+05,1.90E+05,171881,1.517576,10.15771,19.05664,5.14E+00,2.32E+00,1.90E+00,1.72E+00,1419,1134,1609.146,1126.4022,901.12176,45.056088,0,11,0,51.2,0,52428.8
220,42,46,34,42,3645.6,3645.6,9656,9656,746550,9.63E+06,10316517,514496,172117,1.90E+05,1.36E+05,0.74655,9.63446,10.316517,5.14E+00,1.72E+00,1.90E+00,1.36E+00,1417,1132,1604.044,1122.8308,898.26464,44.913232,0,1.2,0,0.8,0,819.2
225,42,46,34,42,3645.6,3645.6,9656,9656,761600,9.18E+06,9796557,514496,1.73E+05,1.90E+05,293037,0.7616,9.180462,9.796557,5.14E+00,1.73E+00,1.90E+00,2.93E+00,1415,1134,1604.61,1123.227,898.5816,44.92908,0,0,0,0,0,0
230,42,45,34,42,3645.6,3645.6,9656,9656,7.63E+05,9.72E+06,9.95E+06,514496,2.26E+05,1.90E+05,1.06E+05,0.7628895,9.719162,9.95017,5.14E+00,2.26E+00,1.90E+00,1.06E+00,1420,1138,1615.96,1131.172,904.9376,45.24688,0,0,0,0,0,0
235,42,45,34,42,3645.6,3645.6,9656,9656,7.67E+05,9105225,9147803,514496,2.68E+05,1.90E+05,97027,0.7667505,9.105225,9.147803,5.14E+00,2.68E+00,1.90E+00,9.70E-01,1408,1132,1593.856,1115.6992,892.55936,44.627968,0,0,0,0,0,0
240,42,45,34,42,3645.6,3567.2,9656,9656,7.67E+05,19820882,9147803,514496,2.68E+05,1.90E+05,397197,0.7667505,19.820882,9.147803,5.14E+00,2.68E+00,1.90E+00,3.97E+00,1435,1128,1618.68,1133.076,906.4608,45.32304,0,0,0,0,0,0
245,42,45,34,42,3567.2,3645.6,9372,9656,764138,8670357,9.77E+06,514496,168341,1.90E+05,190470,0.764138,8.670357,9.77034,5.14E+00,1.68E+00,1.90E+00,1.90E+00,1405,1130,1587.65,1111.355,889.084,44.4542,0,11,0,53.4,0,54681.6
250,42,46,34,42,3567.2,3567.2,9372,9656,764138,18953554,9.77E+06,514496,168341,1.90E+05,214843,0.764138,18.953554,9.77034,5.14E+00,1.68E+00,1.90E+00,2.15E+00,1412,1127,1591.324,1113.9268,891.14144,44.557072,0,1.2,0,0.8,0,819.2
255,42,45,34,42,3645.6,3645.6,9656,9656,769819,9.58E+06,9.88E+06,514496,208290,1.90E+05,220659,0.769819,9.576864,9.878342,5.14E+00,2.08E+00,1.90E+00,2.21E+00,1413,1129,1595.277,1116.6939,893.35512,44.667756,0,0,0,0,0,0
