Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986888183,4986407295,4986647739,4784864983,4986440889,4885652936,4986887982,4986407088,4986647535,206.7,114.8,1.66,155.025,124.02,62.01
5,42.00,46.00,33.00,43.00,3488.80,3567.20,8662.00,8662.00,4986672975,4986680059,4986676517,4986665086,4986677610,4986671348,4986672975,4986680058,4986676517,207,114.5,1.663,155.25,124.2,62.1
10,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986666684,4986656189,4986661437,4986669101,4986666425,4986667763,4986666686,4986656199,4986661443,207.2,114.7,1.662,155.4,124.32,62.16
15,42.00,46.00,33.00,43.00,3645.60,3645.60,8662.00,8449.00,4986672079,4986671421,4986671750,4986669866,4986671127,4986670497,4986672070,4986671418,4986671744,206.8,114.6,1.663,155.1,124.08,62.04
20,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986673372,4986689226,4986681299,4986673289,4986673089,4986673189,4986673382,4986689228,4986681305,206.7,114.7,1.662,155.025,124.02,62.01
25,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986672404,4986654206,4986663305,4987067231,4986669578,4986868405,4986672399,4986654207,4986663303,206.9,114.6,1.664,155.175,124.14,62.07
30,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986671133,4992922474,4989796804,4986270901,4986671077,4986470989,4986671133,4992922470,4989796802,207,114.6,1.662,155.25,124.2,62.1
35,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986681258,4980422638,4983551948,4986672530,4986666401,4986669466,4986681265,4980422631,4983551948,207.1,114.6,1.662,155.325,124.26,62.13
40,42.00,46.00,33.00,43.00,3488.80,3645.60,8662.00,8662.00,4986687929,4986662937,4986675433,4986670273,4986669754,4986670014,4986687922,4986662943,4986675433,206.7,114.6,1.663,155.025,124.02,62.01
45,42.00,45.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986634977,4986669611,4986652294,4986667901,4986670727,4986669314,4986634972,4986669607,4986652290,206.7,114.7,1.661,155.025,124.02,62.01
50,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986672400,4986683590,4986677995,4986671210,4986670629,4986670920,4986672407,4986683594,4986678001,206.8,114.5,1.663,155.1,124.08,62.04
55,42.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986672557,4986660440,4986666499,4986673691,4986678245,4986675968,4986672549,4986660435,4986666492,207,114.6,1.666,155.25,124.2,62.1
60,42.00,46.00,33.00,43.00,3488.80,3567.20,8449.00,8662.00,4986670794,4986667613,4986669204,4986667363,4986669195,4986668279,4986670802,4986667620,4986669211,207.2,114.7,1.661,155.4,124.32,62.16
65,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986670917,4986684881,4986677899,4986674705,4986669842,4986672274,4986670909,4986684875,4986677892,206.6,114.6,1.681,154.95,123.96,61.98
70,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986668028,4986662268,4986665148,4986669255,4986667663,4986668459,4986668036,4986662272,4986665154,206.8,114.7,1.661,155.1,124.08,62.04
75,42.00,46.00,33.00,43.00,3567.20,3567.20,8875.00,8662.00,4986669465,4986665347,4986667406,4986666783,4986668219,4986667501,4986669464,4986665349,4986667407,206.9,114.5,1.663,155.175,124.14,62.07
80,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986685036,4986670065,4986677551,4986672532,4986670460,4986671496,4986685035,4986670065,4986677550,207,114.6,1.665,155.25,124.2,62.1
85,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986656087,4986669278,4986662683,4986670259,4986668132,4986669196,4986656087,4986669270,4986662679,207.3,114.6,1.664,155.475,124.38,62.19
90,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4987327573,4986680035,4987003804,4986679081,4986680183,4986679632,4987327577,4986680043,4987003810,206.7,114.7,1.755,155.025,124.02,62.01
95,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986013435,4986675292,4986344364,4986663001,4986665344,4986664173,4986013427,4986675287,4986344357,206.8,114.6,1.666,155.1,124.08,62.04
100,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668956,4986655981,4986662469,4986668131,4986668212,4986668172,4986668960,4986655985,4986662473,207.1,114.6,1.667,155.325,124.26,62.13
105,42.00,46.00,33.00,43.00,3567.20,3645.60,8875.00,8662.00,4986671923,4986672337,4986672130,4986671505,4986672849,4986672177,4986671919,4986672330,4986672125,207.1,114.8,1.666,155.325,124.26,62.13
110,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986670420,4986684248,4986677334,4986672662,4986670272,4986671467,4986670421,4986684256,4986677339,207.3,114.8,1.667,155.475,124.38,62.19
115,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986674359,4986656545,4986665452,4986668919,4986669142,4986669031,4986674360,4986656538,4986665449,206.9,114.7,1.721,155.175,124.14,62.07
120,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986667738,4986669475,4986668607,4986670347,4986670622,4986670485,4986667735,4986669480,4986668608,206.9,114.6,1.673,155.175,124.14,62.07
125,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986684740,4986670585,4986677663,4986670765,4986669243,4986670004,4986684741,4986670584,4986677663,207,114.7,1.678,155.25,124.2,62.1
130,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986655554,4986670439,4986662997,4986670687,4986671762,4986671225,4986655558,4986670439,4986662999,207.2,114.7,1.68,155.4,124.32,62.16
135,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986674351,4986671552,4986672952,4986670216,4986667887,4986669052,4986674349,4986671558,4986672954,207.2,114.7,1.682,155.4,124.32,62.16
140,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4987321304,4986689797,4987005551,4986680809,4986684618,4986682714,4987321305,4986689798,4987005552,206.8,114.6,1.776,155.1,124.08,62.04
145,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986017705,4986650926,4986334316,4986660592,4986661311,4986660952,4986017702,4986650918,4986334310,220.6,114.6,1.756,165.45,132.36,66.18
150,42.00,46.00,33.00,43.00,3488.80,3645.60,8662.00,8662.00,4986670389,4986670682,4986670536,4986670370,4986668428,4986669399,4986670393,4986670687,4986670540,225.7,114.6,1.789,169.275,135.42,67.71
155,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986671365,4986683963,4986677664,4986671787,4986674952,4986673370,4986671360,4986683956,4986677658,225.1,114.6,1.793,168.825,135.06,67.53
160,42.00,46.00,33.00,43.00,3567.20,3567.20,8875.00,8662.00,4986669883,4986656769,4986663326,4986670144,4986670484,4986670314,4986669885,4986656775,4986663330,223.8,114.5,1.801,167.85,134.28,67.14
