Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
165,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669227,4986671503,4986670365,4986670102,4986668476,4986669289,4986669224,4986671495,4986670360,223.2,114.5,1.82,167.4,133.92,66.96
170,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986672040,4986685464,4986678752,4986672359,4986671018,4986671689,4986672046,4986685469,4986678758,223.2,114.5,1.793,167.4,133.92,66.96
175,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669982,4986656514,4986663248,4986669089,4986673082,4986671086,4986669984,4986656509,4986663247,223.4,114.5,1.794,167.55,134.04,67.02
180,42.00,46.00,33.00,43.00,3488.80,3567.20,8662.00,8662.00,4986670013,4986670893,4986670453,4986671901,4986669369,4986670635,4986670010,4986670899,4986670455,223.6,114.5,1.795,167.7,134.16,67.08
185,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986700329,4986686035,4986693182,4986679264,4986674871,4986677068,4986700330,4986686036,4986693183,223.3,114.6,1.791,167.475,133.98,66.99
190,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4997015550,4986688578,4991852064,4986693881,4986691625,4986692753,4997015549,4986688579,4991852064,223.3,114.4,1.793,167.475,133.98,66.99
195,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4976296166,4986636380,4981466273,4986638830,4986642430,4986640630,4976296161,4986636372,4981466267,223.5,114.5,1.792,167.625,134.1,67.05
200,42.00,46.00,33.00,43.00,3567.20,3567.20,8875.00,8449.00,4986669327,4986683312,4986676320,4986669057,4986669246,4986669152,4986669333,4986683313,4986676323,223.4,114.4,1.796,167.55,134.04,67.02
205,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986672559,4986660077,4986666318,4986671427,4986677314,4986674371,4986672553,4986660079,4986666316,223.8,114.4,1.809,167.85,134.28,67.14
210,42.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668810,4986667862,4986668336,4986668896,4986664981,4986666939,4986668816,4986667865,4986668341,223.1,114.5,1.796,167.325,133.86,66.93
215,42.00,45.00,33.00,43.00,3567.20,3567.20,8875.00,8662.00,4986671536,4986685529,4986678533,4986671177,4986673567,4986672372,4986671532,4986685523,4986678528,223.4,114.4,1.798,167.55,134.04,67.02
220,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986667831,4986655287,4986661559,4986668549,4986666222,4986667386,4986667835,4986655295,4986661565,224,114.5,1.795,168,134.4,67.2
225,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986677736,4986671307,4986674522,4986673516,4986671679,4986672598,4986677730,4986671305,4986674518,223.7,114.3,1.799,167.775,134.22,67.11
230,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986667902,4986684094,4986675998,4986670024,4986667858,4986668941,4986667911,4986684094,4986676003,223.8,114.4,1.8,167.85,134.28,67.14
235,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4994009027,4986657875,4990333451,4986671391,4986672552,4986671972,4994009020,4986657873,4990333447,223.4,114.3,1.802,167.55,134.04,67.02
240,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4979329557,4986668977,4982999267,4986667309,4986671277,4986669293,4979329556,4986668981,4982999269,223.3,114.4,1.797,167.475,133.98,66.99
245,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986672568,4986685915,4986679242,4986676071,4986674166,4986675119,4986672567,4986685907,4986679237,222.9,114.4,1.796,167.175,133.74,66.87
250,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668542,4986655775,4986662159,4986666236,4986667316,4986666776,4986668548,4986655781,4986662165,223.7,114.4,1.795,167.775,134.22,67.11
255,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986670579,4986671105,4986670842,4986671247,4986671967,4986671607,4986670573,4986671100,4986670837,223.8,114.4,1.792,167.85,134.28,67.14
260,42.00,46.00,33.00,43.00,3567.20,3645.60,8449.00,8662.00,4986671664,4986683462,4986677563,4986672002,4986669086,4986670544,4986671670,4986683467,4986677569,223.2,114.3,1.842,167.4,133.92,66.96
265,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669232,4986656785,4986663009,4986669516,4986670238,4986669877,4986669228,4986656782,4986663005,223.4,114.3,1.801,167.55,134.04,67.02
270,42.00,47.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986672891,4986671608,4986672250,4986670238,4986671329,4986670784,4986672897,4986671613,4986672255,223.5,114.4,1.796,167.625,134.1,67.05
275,42.00,47.00,33.00,43.00,3567.20,3567.20,8449.00,8662.00,4986682254,4986669077,4986675666,4986669744,4986668140,4986668942,4986682246,4986669073,4986675660,223.7,114.5,1.797,167.775,134.22,67.11
280,42.00,47.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986657556,4986669440,4986663498,4986670008,4986667915,4986668962,4986657561,4986669439,4986663500,223.8,114.3,1.801,167.85,134.28,67.14
285,44.00,46.00,33.00,43.00,3410.40,3410.40,8662.00,8662.00,4986677481,4986684666,4986681074,4987372105,4986680609,4987026357,4986677478,4986684665,4986681072,223.5,114.3,1.89,167.625,134.1,67.05
290,44.00,46.00,33.00,43.00,3488.80,3567.20,8875.00,8662.00,4986664359,4986671907,4986668133,4985970410,4986665175,4986317793,4986664365,4986671913,4986668139,223.5,114.4,1.795,167.625,134.1,67.05
295,44.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8662.00,4986673450,4986664583,4986669017,4986679457,4986681404,4986680431,4986673443,4986664578,4986669011,223.6,114.4,1.798,167.7,134.16,67.08
300,45.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668409,4986665231,4986666820,4986668926,4986658179,4986663553,4986668418,4986665236,4986666827,223.8,114.4,1.801,167.85,134.28,67.14
305,44.00,47.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986684126,4986671475,4986677801,4986675196,4986674184,4986674690,4986684117,4986671467,4986677792,223.7,114.3,1.807,167.775,134.22,67.11
310,45.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8662.00,4986667427,4986675453,4986671440,4986747845,4986689282,4986718564,4986667428,4986675455,4986671442,223.5,114.3,1.83,167.625,134.1,67.05
315,45.00,46.00,33.00,44.00,3567.20,3645.60,8662.00,8662.00,4986664422,4986688203,4986676313,4986580896,4986649224,4986615060,4986664429,4986688212,4986676321,223.5,114.1,1.803,167.625,134.1,67.05
320,45.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986677588,4986646336,4986661962,4986671918,4986712085,4986692002,4986677585,4986646331,4986661958,223.7,114.1,1.806,167.775,134.22,67.11
325,45.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986657949,4986668830,4986663390,4986715416,4986625987,4986670702,4986657949,4986668824,4986663387,224,114.3,1.797,168,134.4,67.2
330,45.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8662.00,4986675374,4986675254,4986675314,4986668400,4986675733,4986672067,4986675376,4986675264,4986675320,223.5,114.2,1.803,167.625,134.1,67.05
335,45.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986677824,4986706574,4986692199,4987188294,4986707428,4986947861,4986677822,4986706564,4986692193,223.5,114.2,1.808,167.625,134.1,67.05
340,45.00,46.00,33.00,43.00,3567.20,3567.20,8449.00,8449.00,4986681929,4986653088,4986667509,4986111960,4986629254,4986370607,4986681931,4986653101,4986667516,223.6,114.2,1.8,167.7,134.16,67.08
345,46.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986706420,4986689612,4986698016,4986707884,4986712279,4986710082,4986706418,4986689605,4986698012,223.7,114,1.809,167.775,134.22,67.11
350,45.00,46.00,33.00,44.00,3567.20,3645.60,8449.00,8449.00,4986613558,4986642961,4986628260,4986676546,4986631255,4986653901,4986613565,4986642961,4986628263,223.9,114,1.811,167.925,134.34,67.17
355,45.00,46.00,33.00,43.00,3488.80,3567.20,8662.00,8449.00,4986670516,4986657308,4986663912,4986672350,4986669656,4986671003,4986670509,4986657303,4986663906,223.5,114,1.834,167.625,134.1,67.05
360,45.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669483,4986670584,4986670034,4986665721,4986670145,4986667933,4986669485,4986670589,4986670037,223.5,114.1,1.805,167.625,134.1,67.05
365,46.00,46.00,34.00,43.00,3488.80,3567.20,8875.00,8662.00,4986695212,4986684022,4986689617,4986632334,4986711035,4986671685,4986695213,4986684024,4986689619,224,114.1,1.81,168,134.4,67.2
370,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986642585,4986685448,4986664017,4986667654,4986629450,4986648552,4986642582,4986685451,4986664017,224.5,113.9,1.809,168.375,134.7,67.35
375,46.00,46.00,34.00,43.00,3567.20,3567.20,8449.00,8662.00,4986672449,4986665144,4986668797,4986667205,4986669768,4986668487,4986672453,4986665139,4986668796,224.8,114.1,1.81,168.6,134.88,67.44
380,46.00,46.00,34.00,44.00,3645.60,3567.20,8662.00,8662.00,4986707764,4986692786,4986700275,4986706275,4986729660,4986717968,4986707760,4986692788,4986700274,224.3,114.1,1.826,168.225,134.58,67.29
385,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8449.00,4986634774,4986624378,4986629576,4986638491,4986660199,4986649345,4986634774,4986624383,4986629579,224.4,114.3,1.805,168.3,134.64,67.32
390,46.00,46.00,34.00,44.00,3567.20,3645.60,8662.00,8662.00,4986695181,4986672783,4986683982,4986714109,4986626041,4986670075,4986695184,4986672778,4986683981,224.1,114.2,1.806,168.075,134.46,67.23
395,46.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986662427,4986684755,4986673591,4986628052,4986668725,4986648389,4986662424,4986684753,4986673589,224.5,114.2,1.813,168.375,134.7,67.35
400,46.00,47.00,34.00,43.00,3488.80,3567.20,8662.00,8662.00,4986676096,4986654978,4986665537,4986670920,4986713411,4986692166,4986676098,4986654979,4986665539,224.7,114.3,1.807,168.525,134.82,67.41
405,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986652521,4986687698,4986670110,4986669069,4986625551,4986647310,4986652521,4986687691,4986670106,224.2,114.1,1.872,168.15,134.52,67.26
410,46.00,46.00,34.00,44.00,3488.80,3567.20,8449.00,8662.00,4986668300,4986667524,4986667912,4986716077,4986676405,4986696241,4986668298,4986667530,4986667914,224.5,114.1,1.818,168.375,134.7,67.35
415,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986666941,4986657009,4986661975,4986622559,4986719748,4986671154,4986666943,4986657009,4986661976,224.6,114.1,1.806,168.45,134.76,67.38
420,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986680195,4986675505,4986677850,4986675210,4986623563,4986649387,4986680193,4986675519,4986677856,224.7,114.1,1.803,168.525,134.82,67.41
425,46.00,46.00,34.00,43.00,3567.20,3567.20,8449.00,8449.00,4986675137,4986666007,4986670572,4986666062,4986697127,4986681595,4986675137,4986665994,4986670566,224.8,114,1.815,168.6,134.88,67.44
430,46.00,46.00,34.00,44.00,3567.20,3645.60,8662.00,8662.00,4986711345,4986773244,4986742295,4986707848,4986680882,4986694365,4986711344,4986773245,4986742295,224.4,114.1,1.853,168.3,134.64,67.32
435,46.00,46.00,34.00,44.00,3567.20,3645.60,8662.00,8662.00,4986618741,4986566255,4986592498,4986669980,4986628628,4986649304,4986618744,4986566247,4986592496,224.3,114.1,1.805,168.225,134.58,67.29
440,46.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986689349,4986675930,4986682640,4986634624,4986713311,4986673968,4986689347,4986675938,4986682643,225.4,114.1,1.827,169.05,135.24,67.62
445,46.00,46.00,34.00,43.00,3488.80,3567.20,8449.00,8449.00,4986651411,4986678040,4986664726,4986672237,4986633488,4986652863,4986651413,4986678042,4986664728,231.4,114,1.839,173.55,138.84,69.42
450,47.00,46.00,34.00,43.00,3567.20,3645.60,8449.00,8449.00,4986671538,4986661012,4986666275,4986714354,4986666029,4986690192,4986671541,4986661010,4986666276,229.4,114.2,1.84,172.05,137.64,68.82
455,46.00,46.00,34.00,44.00,3488.80,3567.20,8662.00,8662.00,4986671488,4986683204,4986677346,4986657771,4986671561,4986664666,4986671486,4986683201,4986677344,228.5,114.1,1.919,171.375,137.1,68.55
460,47.00,46.00,34.00,43.00,3567.20,3645.60,8662.00,8449.00,4986666645,4986657127,4986661886,4986638091,4986710354,4986674223,4986666642,4986657128,4986661885,227.2,114.2,1.829,170.4,136.32,68.16
465,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986671042,4986669225,4986670134,4986715557,4986628176,4986671867,4986671044,4986669221,4986670133,227,114.1,1.824,170.25,136.2,68.1
470,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986682678,4986671280,4986676979,4986668500,4986669326,4986668913,4986682675,4986671286,4986676981,227,114.1,1.837,170.25,136.2,68.1
475,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986661821,4986668051,4986664936,4986674912,4986674898,4986674905,4986661825,4986668051,4986664938,227,114.2,1.824,170.25,136.2,68.1
480,46.00,46.00,34.00,43.00,3488.80,3567.20,8662.00,8662.00,4986693968,4986707898,4986700933,4986685989,4986694058,4986690024,4986693967,4986707896,4986700932,226.6,114,1.878,169.95,135.96,67.98
485,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8449.00,4986651311,4986648529,4986649920,4986647278,4986646004,4986646641,4986651311,4986648525,4986649918,226.8,114.1,1.836,170.1,136.08,68.04
490,46.00,46.00,34.00,43.00,3488.80,3567.20,8662.00,8662.00,4986684716,4986656725,4986670721,4986675903,4986671390,4986673647,4986684716,4986656731,4986670724,226.9,114,1.831,170.175,136.14,68.07
495,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8449.00,4986657371,4986685742,4986671557,4986635476,4986673194,4986654335,4986657369,4986685741,4986671555,227.1,114.1,1.828,170.325,136.26,68.13
500,47.00,46.00,34.00,44.00,3567.20,3645.60,8662.00,8449.00,4986663571,4986668851,4986666211,4986705916,4986666041,4986685979,4986663573,4986668849,4986666211,227,114.1,1.84,170.25,136.2,68.1
505,46.00,46.00,34.00,44.00,3488.80,3645.60,8662.00,8662.00,4986669473,4986659121,4986664297,4986626831,4986715057,4986670944,4986669465,4986659126,4986664296,226.9,114,1.855,170.175,136.14,68.07
510,47.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986674497,4986670928,4986672713,4986671538,4986670979,4986671259,4986674505,4986670924,4986672715,226.9,114,1.833,170.175,136.14,68.07
515,47.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986683275,4986697747,4986690511,4986669777,4986623211,4986646494,4986683275,4986697747,4986690511,227.2,113.9,1.84,170.4,136.32,68.16
520,46.00,47.00,34.00,44.00,3567.20,3567.20,8449.00,8662.00,4986661835,4986648417,4986655126,4986718096,4986681193,4986699645,4986661834,4986648421,4986655128,227.3,114,1.831,170.475,136.38,68.19
525,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986688195,4986690207,4986689201,4986683710,4986692578,4986688144,4986688191,4986690203,4986689197,226.8,114.1,1.835,170.1,136.08,68.04
530,46.00,46.00,34.00,44.00,3567.20,3567.20,8449.00,8662.00,4986648592,4986656769,4986652681,4986626873,4986647626,4986637250,4986648599,4986656769,4986652684,227,114.1,1.843,170.25,136.2,68.1
535,46.00,46.00,34.00,43.00,3645.60,3567.20,8875.00,8662.00,4986669705,4986655813,4986662759,4986653896,4986703653,4986678775,4986669701,4986655807,4986662754,227,114.1,1.833,170.25,136.2,68.1
540,47.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986669325,4986673149,4986671237,4986668928,4986673032,4986670980,4986669327,4986673155,4986671241,209.9,114.1,1.68,157.425,125.94,62.97
545,47.00,46.00,34.00,43.00,3645.60,3567.20,8449.00,8662.00,4986713781,4986707107,4986710444,4986698745,4986652223,4986675484,4986713779,4986707107,4986710443,208.5,114.1,1.688,156.375,125.1,62.55
550,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986625969,4986632111,4986629040,4986644714,4986687986,4986666350,4986625973,4986632113,4986629043,207.9,114.1,1.679,155.925,124.74,62.37
555,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986679327,4986677848,4986678588,4986713928,4986635481,4986674705,4986679326,4986677841,4986678584,207.9,114.2,1.675,155.925,124.74,62.37
560,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986673974,4986664741,4986669358,4986625786,4986705132,4986665459,4986673971,4986664748,4986669360,207.9,114.2,1.684,155.925,124.74,62.37
565,46.00,46.00,34.00,43.00,3567.20,3645.60,8662.00,8662.00,4986714167,4986706776,4986710472,4986721154,4986664591,4986692873,4986714169,4986706774,4986710472,207.9,114.1,1.674,155.925,124.74,62.37
570,46.00,46.00,34.00,44.00,3567.20,3645.60,8662.00,8662.00,4986615740,4986635074,4986625407,4986664033,4986640475,4986652254,4986615738,4986635076,4986625407,208,114.1,1.674,156,124.8,62.4
575,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986713867,4986781192,4986747530,4986625933,4986695556,4986660745,4986713867,4986781192,4986747530,207.4,114.1,1.692,155.55,124.44,62.22
580,46.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986628722,4986557791,4986593257,4986712261,4986639401,4986675831,4986628722,4986557790,4986593256,207.5,114.1,1.674,155.625,124.5,62.25
585,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986671816,4986671373,4986671595,4986673967,4986673341,4986673654,4986671816,4986671368,4986671592,207.6,114.2,1.674,155.7,124.56,62.28
590,47.00,46.00,34.00,43.00,3567.20,3645.60,8662.00,8662.00,4986692158,4986678159,4986685159,4986627929,4986711579,4986669754,4986692157,4986678165,4986685161,207.7,114.2,1.677,155.775,124.62,62.31
595,46.00,46.00,34.00,44.00,3567.20,3567.20,8662.00,8662.00,4986645881,4986662863,4986654372,4986704385,4986626585,4986665485,4986645882,4986662856,4986654369,207.9,114.1,1.673,155.925,124.74,62.37
600,47.00,46.00,34.00,44.00,3567.20,3645.60,8662.00,8662.00,4986678804,4986700965,4986689885,4986642795,4986675245,4986659020,4986678806,4986700970,4986689888,207.2,114.1,1.744,155.4,124.32,62.16
605,47.00,46.00,34.00,44.00,3488.80,3645.60,8662.00,8662.00,4986686544,4986671161,4986678853,4986664835,4986667266,4986666051,4986686542,4986671161,4986678852,207.4,114.1,1.675,155.55,124.44,62.22
610,47.00,47.00,34.00,43.00,3567.20,3645.60,8662.00,8662.00,4986649092,4986639533,4986644313,4986675373,4986712027,4986693700,4986649095,4986639535,4986644315,207.4,114.2,1.671,155.55,124.44,62.22
615,47.00,46.00,34.00,43.00,3567.20,3567.20,8449.00,8662.00,4986673783,4986672323,4986673053,4986687937,4986629645,4986658791,4986673780,4986672318,4986673049,207.5,114.3,1.67,155.625,124.5,62.25
620,47.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986676701,4986670978,4986673840,4986688117,4986667544,4986677831,4986676705,4986670980,4986673843,207.7,114.3,1.673,155.775,124.62,62.31
625,46.00,46.00,34.00,43.00,3567.20,3567.20,8662.00,8662.00,4986715506,4986707683,4986711595,4986685299,4986744259,4986714779,4986715503,4986707684,4986711594,207.2,114.3,1.716,155.4,124.32,62.16
630,47.00,46.00,34.00,43.00,3567.20,3645.60,8662.00,8449.00,4986613975,4986631596,4986622786,4986657113,4986595656,4986626385,4986613976,4986631598,4986622787,207.2,114.3,1.668,155.4,124.32,62.16
