Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4994075572,4802643994,4898359783,4993321329,4988268252,4990794791,4994075191,4802643784,4898359488,206.9,115,1.656,155.175,124.14,62.07
5,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986656123,4986663242,4986659683,4986657654,4986672103,4986664879,4986656121,4986663248,4986659685,207,115.1,1.654,155.25,124.2,62.1
10,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669429,4986671515,4986670472,4986671121,4986671275,4986671198,4986669429,4986671510,4986670470,207,115.2,1.654,155.25,124.2,62.1
15,42.00,46.00,33.00,43.00,3645.60,3567.20,8449.00,8662.00,4986688601,4986671037,4986679819,4986670869,4986678770,4986674820,4986688611,4986671044,4986679828,207.1,115.1,1.654,155.325,124.26,62.13
20,42.00,46.00,33.00,43.00,3567.20,3567.20,8449.00,8662.00,4986661495,4986670381,4986665938,4986675982,4986669290,4986672636,4986661485,4986670373,4986665929,207.1,115.3,1.653,155.325,124.26,62.13
25,42.00,46.00,33.00,43.00,3488.80,3567.20,8875.00,8449.00,4986665440,4986670093,4986667767,4986665343,4986663638,4986664491,4986665441,4986670098,4986667770,207.2,115.1,1.657,155.4,124.32,62.16
30,42.00,45.00,33.00,43.00,3567.20,3567.20,8449.00,8449.00,4986671623,4986685142,4986678383,4986674484,4986671264,4986672874,4986671628,4986685137,4986678383,207.4,115.1,1.655,155.55,124.44,62.22
35,42.00,45.00,33.00,43.00,3567.20,3567.20,8875.00,8449.00,4986664645,4986654858,4986659752,4986664952,4986664181,4986664567,4986664646,4986654864,4986659755,206.8,115.2,1.656,155.1,124.08,62.04
40,42.00,45.00,33.00,43.00,3567.20,3567.20,8875.00,8449.00,4986673147,4986672479,4986672813,4997515140,4986669410,4992092275,4986673148,4986672480,4986672814,206.9,115.1,1.733,155.175,124.14,62.07
45,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986683587,4986669805,4986676696,4975826372,4986672458,4981249415,4986683587,4986669800,4986676694,206.9,115.1,1.656,155.175,124.14,62.07
50,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986660014,4986674379,4986667197,4986673892,4986677154,4986675523,4986660007,4986674380,4986667194,206.9,115.1,1.655,155.175,124.14,62.07
55,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986666475,4986666244,4986666360,4986668297,4986664719,4986666508,4986666480,4986666248,4986666364,207,115.3,1.655,155.25,124.2,62.1
