Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,42.00,46.00,33.00,43.00,3567.20,3567.20,8449.00,8662.00,4801236387,4989387020,4895311704,4990805522,4985882689,4988344106,4801236177,4989386810,4895311494,206.6,114.7,1.707,154.95,123.96,61.98
5,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986670039,4986678390,4986674215,4986659832,4986675756,4986667794,4986670045,4986678388,4986674217,206.7,114.8,1.66,155.025,124.02,62.01
10,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986670452,4986657256,4986663854,4986670838,4986664258,4986667548,4986670447,4986657256,4986663852,206.9,114.8,1.664,155.175,124.14,62.07
15,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986673986,4986670605,4986672296,4986670227,4986677412,4986673820,4986673987,4986670606,4986672297,207,114.8,1.661,155.25,124.2,62.1
20,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986670070,4986686136,4986678103,4986671170,4986669677,4986670424,4986670071,4986686135,4986678103,207.2,114.8,1.661,155.4,124.32,62.16
25,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668443,4986653385,4986660914,4986667768,4986668447,4986668108,4986668441,4986653388,4986660915,207.2,114.7,1.661,155.4,124.32,62.16
30,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986669530,4986671784,4986670657,4986673173,4986666264,4986669719,4986669529,4986671782,4986670656,207.3,114.8,1.661,155.475,124.38,62.19
35,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986689886,4986671327,4986680607,4986671221,4986670613,4986670917,4986689886,4986671332,4986680609,207.3,114.8,1.659,155.475,124.38,62.19
40,42.00,46.00,33.00,43.00,3567.20,3567.20,8449.00,8662.00,4999129967,4986669685,4992899826,4986668829,4986669244,4986669037,4999129971,4986669681,4992899826,207.2,114.6,1.662,155.4,124.32,62.16
45,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4974191736,4986670481,4980431109,4986669204,4986671694,4986670449,4974191733,4986670479,4980431106,206.9,114.7,1.666,155.175,124.14,62.07
50,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986670346,4986684498,4986677422,4986672180,4986676497,4986674339,4986670347,4986684500,4986677424,206.9,114.8,1.752,155.175,124.14,62.07
55,42.00,46.00,33.00,43.00,3567.20,3567.20,8449.00,8449.00,4986670597,4986656185,4986663391,4986669398,4986664254,4986666826,4986670597,4986656188,4986663393,206.9,114.7,1.661,155.175,124.14,62.07
60,42.00,46.00,33.00,43.00,3567.20,3567.20,8449.00,8662.00,4986669948,4986670222,4986670085,4986670103,4986670282,4986670193,4986669948,4986670220,4986670084,207.1,114.8,1.662,155.325,124.26,62.13
65,42.00,46.00,33.00,43.00,3567.20,3567.20,8875.00,8449.00,4986689063,4986678932,4986683998,4986674212,4986676596,4986675404,4986689067,4986678932,4986684000,207.1,114.8,1.659,155.325,124.26,62.13
70,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986651889,4986662948,4986657419,4986667512,4986664653,4986666083,4986651886,4986662947,4986657417,207.1,114.8,1.661,155.325,124.26,62.13
75,42.00,46.00,33.00,43.00,3567.20,3567.20,8875.00,8449.00,4986674002,4986674002,4986674002,4986673069,4986672309,4986672689,4986674000,4986674000,4986674000,207.3,114.8,1.661,155.475,124.38,62.19
80,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986683385,4986667532,4986675459,4986669147,4986675531,4986672339,4986683384,4986667532,4986675458,207.4,114.8,1.66,155.55,124.44,62.22
85,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986655246,4986670616,4986662931,4986670698,4986663899,4986667299,4986655246,4986670616,4986662931,207.4,114.7,1.663,155.55,124.44,62.22
90,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4987321958,4986676387,4986999173,4986699974,4986681083,4986690529,4987321962,4986676389,4986999176,207.3,114.7,1.659,155.475,124.38,62.19
95,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986034273,4986665018,4986349646,4986641934,4986663486,4986652710,4986034269,4986665017,4986349643,206.9,114.6,1.684,155.175,124.14,62.07
100,42.00,47.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986655437,4986669219,4986662328,4986668415,4986667072,4986667744,4986655437,4986669220,4986662329,206.9,114.8,1.694,155.175,124.14,62.07
105,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986670865,4986672137,4986671501,4986672634,4986671631,4986672133,4986670865,4986672138,4986671502,207.1,114.7,1.662,155.325,124.26,62.13
110,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986684865,4986669795,4986677330,4986669225,4986674517,4986671871,4986684868,4986669793,4986677331,207.1,114.7,1.662,155.325,124.26,62.13
115,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986660362,4986670222,4986665292,4986671519,4986666345,4986668932,4986660367,4986670221,4986665294,207.2,114.7,1.662,155.4,124.32,62.16
120,42.00,46.00,33.00,43.00,3645.60,3645.60,8662.00,8662.00,4986665182,4986670423,4986667803,4986669623,4986669622,4986669623,4986665176,4986670426,4986667801,207.2,114.7,1.661,155.4,124.32,62.16
125,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986689112,4986677996,4986683554,4986674150,4986675943,4986675047,4986689116,4986677993,4986683555,207.3,114.8,1.66,155.475,124.38,62.19
130,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986654743,4986662840,4986658792,4986667252,4986664793,4986666023,4986654740,4986662840,4986658790,207.3,114.6,1.661,155.475,124.38,62.19
135,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986668131,4986670879,4986669505,4986669985,4986672903,4986671444,4986668128,4986670887,4986669508,207.5,114.8,1.662,155.625,124.5,62.25
140,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986713110,4986668126,4986690618,4986876621,4986671618,4986774120,4986713111,4986668123,4986690617,207.1,114.7,1.66,155.325,124.26,62.13
145,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986627810,4986672623,4986650217,4986465536,4986667231,4986566384,4986627810,4986672619,4986650215,207,114.6,1.754,155.25,124.2,62.1
150,42.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986672122,4986671969,4986672046,4986671203,4986669369,4986670286,4986672121,4986671970,4986672046,207,114.7,1.666,155.25,124.2,62.1
155,42.00,46.00,33.00,43.00,3645.60,3567.20,8662.00,8662.00,4986673118,4986685085,4986679102,4986758570,4986674714,4986716642,4986673119,4986685084,4986679102,207.1,114.5,1.663,155.325,124.26,62.13
160,42.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986666749,4986654474,4986660612,4986581315,4986666529,4986623922,4986666748,4986654473,4986660611,207.1,114.5,1.663,155.325,124.26,62.13
165,42.00,46.00,33.00,43.00,3645.60,3567.20,8662.00,8662.00,4986672504,4986672099,4986672302,4986673646,4986671852,4986672749,4986672512,4986672105,4986672309,207.1,114.8,1.662,155.325,124.26,62.13
170,42.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986669782,4986684436,4986677109,4986668275,4986676135,4986672205,4986669781,4986684431,4986677106,207.3,114.8,1.661,155.475,124.38,62.19
175,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668994,4986655929,4986662462,4986669084,4986665049,4986667067,4986668988,4986655933,4986662461,207.2,114.8,1.664,155.4,124.32,62.16
180,42.00,46.00,33.00,43.00,3645.60,3567.20,8662.00,8449.00,4986672075,4986671089,4986671582,4986672111,4986671397,4986671754,4986672074,4986671085,4986671580,207.4,114.8,1.66,155.55,124.44,62.22
185,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986695604,4986694381,4986694993,4986685316,4986680561,4986682939,4986695606,4986694387,4986694997,207.4,114.7,1.665,155.55,124.44,62.22
190,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4997222207,4986669886,4991946047,4986686272,4986686330,4986686301,4997222211,4986669890,4991946051,206.9,114.7,1.661,155.175,124.14,62.07
195,42.00,46.00,33.00,43.00,3645.60,3567.20,8662.00,8662.00,4976097090,4986650613,4981373852,4986642227,4986650416,4986646322,4976097084,4986650603,4981373844,206.9,114.8,1.717,155.175,124.14,62.07
200,42.00,46.00,33.00,43.00,3488.80,3567.20,8662.00,8662.00,4986669330,4986681647,4986675489,4986670245,4986671796,4986671021,4986669331,4986681646,4986675489,207,114.7,1.662,155.25,124.2,62.1
205,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986668590,4986655830,4986662210,4986667600,4986668857,4986668229,4986668592,4986655832,4986662212,207,114.7,1.663,155.25,124.2,62.1
210,42.00,46.00,33.00,43.00,3488.80,3645.60,8662.00,8449.00,4986671232,4986671001,4986671117,4986671059,4986665501,4986668280,4986671229,4986671001,4986671115,207.2,114.6,1.664,155.4,124.32,62.16
215,42.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986685363,4986670554,4986677959,4986669848,4986680102,4986674975,4986685366,4986670552,4986677959,207.1,114.7,1.662,155.325,124.26,62.13
220,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986655364,4986669826,4986662595,4986671711,4986660540,4986666126,4986655361,4986669826,4986662594,207.2,114.6,1.666,155.4,124.32,62.16
225,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986674086,4986674624,4986674355,4986673369,4986676750,4986675060,4986674092,4986674624,4986674358,213,114.6,1.663,159.75,127.8,63.9
230,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986680742,4986666774,4986673758,4986667008,4986669073,4986668041,4986680738,4986666774,4986673756,207.4,114.7,1.661,155.55,124.44,62.22
235,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4987596444,4986672988,4987134716,4986672844,4986666063,4986669454,4987596444,4986672990,4987134717,207.3,114.7,1.661,155.475,124.38,62.19
240,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4985729947,4986668840,4986199394,4986668938,4986668008,4986668473,4985729947,4986668840,4986199394,206.9,114.7,1.664,155.175,124.14,62.07
245,42.00,46.00,33.00,44.00,3645.60,3567.20,8662.00,8449.00,4986686149,4986669954,4986678052,4986671533,4986671866,4986671700,4986686155,4986669960,4986678058,207,114.7,1.755,155.25,124.2,62.1
250,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986659406,4986670645,4986665026,4986669295,4986672863,4986671079,4986659400,4986670637,4986665019,207,114.7,1.66,155.25,124.2,62.1
255,42.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986667303,4986671082,4986669193,4986670968,4986671704,4986671336,4986667301,4986671083,4986669192,207.1,114.7,1.663,155.325,124.26,62.13
260,42.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986683621,4986670206,4986676914,4986669997,4986672643,4986671320,4986683623,4986670208,4986676916,207.2,114.6,1.662,155.4,124.32,62.16
265,42.00,45.00,33.00,44.00,3488.80,3645.60,8662.00,8662.00,4986657232,4986670126,4986663679,4986670320,4986668264,4986669292,4986657238,4986670124,4986663681,207.2,114.8,1.661,155.4,124.32,62.16
270,42.00,47.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669834,4986671315,4986670575,4986671031,4986668960,4986669996,4986669829,4986671317,4986670573,207.3,114.6,1.663,155.475,124.38,62.19
275,43.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986677726,4986685139,4986681433,4986672931,4986675678,4986674305,4986677728,4986685141,4986681435,207.3,114.5,1.663,155.475,124.38,62.19
280,43.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986669481,4986656740,4986663111,4986669564,4986668402,4986668983,4986669479,4986656737,4986663108,207.5,114.6,1.665,155.625,124.5,62.25
285,43.00,46.00,33.00,44.00,3567.20,3645.60,8662.00,8449.00,4986675733,4986685894,4986680814,4986990949,4986677049,4986833999,4986675735,4986685893,4986680814,207.3,114.6,1.664,155.475,124.38,62.19
290,44.00,46.00,33.00,44.00,3567.20,3567.20,8662.00,8449.00,4986660224,4986668072,4986664148,4986348408,4986664869,4986506639,4986660221,4986668073,4986664147,217.3,114.6,1.817,162.975,130.38,65.19
295,44.00,47.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986671020,4986656902,4986663961,4986671132,4986667241,4986669187,4986671026,4986656903,4986663965,226.5,114.5,1.834,169.875,135.9,67.95
300,44.00,46.00,33.00,44.00,3567.20,3567.20,8449.00,8449.00,4986672769,4986672383,4986672576,4986694225,4986670289,4986682257,4986672769,4986672383,4986672576,225.6,114.6,1.8,169.2,135.36,67.68
