Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4994362292,4994934306,4994648299,4805750325,4995481128,4900615727,4994362041,4994934103,4994648072,206.8,114.9,1.656,155.1,124.08,62.04
5,41.00,46.00,32.00,43.00,3567.20,3567.20,8662.00,8662.00,4986669524,4986676181,4986672853,4986621640,4986672962,4986647301,4986669524,4986676175,4986672850,206.8,114.9,1.656,155.1,124.08,62.04
10,41.00,46.00,32.00,43.00,3567.20,3567.20,8449.00,8449.00,4986673560,4986662317,4986667939,4986697701,4986670145,4986683923,4986673563,4986662325,4986667944,206.9,114.9,1.659,155.175,124.14,62.07
15,41.00,45.00,32.00,43.00,3567.20,3567.20,8662.00,8662.00,4986670543,4986669125,4986669834,4986621366,4986674446,4986647906,4986670542,4986669120,4986669831,207.1,114.8,1.659,155.325,124.26,62.13
20,41.00,45.00,32.00,43.00,3567.20,3567.20,8662.00,8662.00,4986674827,4986678922,4986676875,4986261113,4987216321,4986738717,4986674827,4986678927,4986676877,207.1,114.9,1.658,155.325,124.26,62.13
25,41.00,46.00,32.00,43.00,3567.20,3567.20,8662.00,8662.00,4986671040,4986666896,4986668968,4986667122,4986586773,4986626948,4986671036,4986666888,4986668962,207.1,114.9,1.659,155.325,124.26,62.13
30,42.00,45.00,33.00,43.00,3488.80,3567.20,8662.00,8449.00,4986668126,4986669268,4986668697,4986668661,4986652767,4986660714,4986668129,4986669274,4986668702,206.6,114.8,1.66,154.95,123.96,61.98
35,42.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986683703,4986668975,4986676339,4986669683,4986667420,4986668552,4986683697,4986668977,4986676337,206.6,114.9,1.733,154.95,123.96,61.98
40,41.00,45.00,32.00,43.00,3567.20,3645.60,8662.00,8662.00,4986653896,4986668870,4986661383,4987407939,4986645864,4987026902,4986653902,4986668868,4986661385,206.8,114.9,1.658,155.1,124.08,62.04
45,41.00,45.00,33.00,43.00,3488.80,3567.20,8449.00,8449.00,4986672511,4986672266,4986672389,4985932246,4986716188,4986324217,4986672507,4986672260,4986672384,206.8,114.8,1.658,155.1,124.08,62.04
50,42.00,45.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986686388,4986667792,4986677090,4986680478,4986668279,4986674379,4986686391,4986667795,4986677093,206.9,114.9,1.657,155.175,124.14,62.07
55,42.00,45.00,33.00,43.00,3567.20,3645.60,8875.00,8449.00,4986655273,4986672655,4986663964,4986661335,4986651401,4986656368,4986655268,4986672655,4986663962,206.9,114.8,1.658,155.175,124.14,62.07
60,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986668795,4986669144,4986668970,4986669260,4986705624,4986687442,4986668801,4986669146,4986668974,207,114.9,1.66,155.25,124.2,62.1
65,41.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986669215,4986680857,4986675036,4986670163,4986634697,4986652430,4986669211,4986680858,4986675035,207,114.9,1.662,155.25,124.2,62.1
70,41.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986673225,4986661778,4986667502,4986671927,4986667555,4986669741,4986673229,4986661780,4986667505,207.3,114.9,1.658,155.475,124.38,62.19
75,41.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8662.00,4986669394,4986670208,4986669801,4986669617,4986692114,4986680866,4986669392,4986670201,4986669797,207.2,114.9,1.659,155.4,124.32,62.16
80,41.00,46.00,33.00,43.00,3567.20,3645.60,8662.00,8449.00,4986685865,4986671104,4986678485,4986671589,4986673573,4986672581,4986685866,4986671109,4986678488,206.7,114.9,1.666,155.025,124.02,62.01
85,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986656655,4986670856,4986663756,4986672964,4986655621,4986664293,4986656650,4986670850,4986663750,206.7,114.8,1.719,155.025,124.02,62.01
90,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4987676332,4986675163,4987175748,4986672300,4986653722,4986663011,4987676340,4986675168,4987175754,206.8,114.9,1.66,155.1,124.08,62.04
95,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4985663951,4986673657,4986168804,4986665422,4986710049,4986687736,4985663944,4986673652,4986168798,206.8,115,1.659,155.1,124.08,62.04
100,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986669742,4986659953,4986664848,4986668491,4986640870,4986654681,4986669747,4986659959,4986664853,207,114.9,1.661,155.25,124.2,62.1
105,42.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8449.00,4986671679,4986673441,4986672560,4986673534,4986675326,4986674430,4986671673,4986673437,4986672555,207,114.9,1.66,155.25,124.2,62.1
110,42.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986670244,4986677580,4986673912,4986669944,4986690472,4986680208,4986670250,4986677584,4986673917,207.1,114.9,1.662,155.325,124.26,62.13
115,41.00,45.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986672645,4986664375,4986668510,4986674906,4986647705,4986661306,4986672640,4986664373,4986668507,207.1,114.9,1.662,155.325,124.26,62.13
120,41.00,46.00,33.00,43.00,3567.20,3567.20,8662.00,8662.00,4986668808,4986668878,4986668843,4986667110,4986672957,4986670034,4986668813,4986668880,4986668847,207.1,114.8,1.662,155.325,124.26,62.13
125,41.00,46.00,33.00,43.00,3488.80,3567.20,8662.00,8449.00,4986687586,4986671072,4986679329,4986696235,4986788077,4986742156,4986687586,4986671074,4986679330,206.9,114.9,1.662,155.175,124.14,62.07
