Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
120,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986667147,4986662911,4986665029,4986674021,4986669795,4986671908,4986667148,4986662917,4986665033,206.8,115.4,1.65,155.1,124.08,62.04
125,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986675251,4986665552,4986670402,4986722518,4986671567,4986697043,4986675253,4986665550,4986670402,206.9,115.4,1.649,155.175,124.14,62.07
130,41.00,44.00,32.00,42.00,3567.20,3567.20,8449.00,8662.00,4986662486,4986682325,4986672406,4986614762,4986668617,4986641690,4986662478,4986682327,4986672403,206.9,115.6,1.647,155.175,124.14,62.07
135,41.00,45.00,32.00,42.00,3567.20,3645.60,8662.00,8449.00,4986672067,4986657886,4986664977,4986669514,4986733786,4986701650,4986672070,4986657878,4986664974,206.5,115.4,1.648,154.875,123.9,61.95
140,41.00,45.00,32.00,42.00,3567.20,3645.60,8662.00,8449.00,4987006440,4986669106,4986837773,4986671850,4986608336,4986640093,4987006445,4986669120,4986837783,206.4,115.5,1.716,154.8,123.84,61.92
145,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986349415,4986673074,4986511245,4986673911,4986670457,4986672184,4986349407,4986673057,4986511232,206.5,115.5,1.65,154.875,123.9,61.95
150,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986657675,4986668674,4986663175,4986666544,4986669144,4986667844,4986657683,4986668678,4986663181,206.5,115.5,1.649,154.875,123.9,61.95
155,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986674282,4986671490,4986672886,4986670179,4986682089,4986676134,4986674279,4986671493,4986672886,206.5,115.5,1.648,154.875,123.9,61.95
160,41.00,44.00,32.00,42.00,3645.60,3567.20,8449.00,8449.00,4986668725,4986683561,4986676143,4986671760,4986661616,4986666688,4986668733,4986683567,4986676150,206.6,115.5,1.65,154.95,123.96,61.98
165,41.00,44.00,32.00,42.00,3567.20,3645.60,8662.00,8662.00,4986667124,4986659275,4986663200,4986669988,4986670685,4986670337,4986667111,4986659267,4986663189,206.7,115.6,1.647,155.025,124.02,62.01
170,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986671598,4986673738,4986672668,4986672851,4986671318,4986672085,4986671604,4986673746,4986672675,206.6,115.6,1.647,154.95,123.96,61.98
175,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986673089,4986679476,4986676283,4986669254,4986668801,4986669028,4986673089,4986679467,4986676278,206.8,115.6,1.647,155.1,124.08,62.04
180,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986663645,4986655472,4986659559,4986668623,4986666605,4986667614,4986663647,4986655476,4986659562,206.9,115.6,1.648,155.175,124.14,62.07
185,41.00,44.00,32.00,42.00,3567.20,3645.60,8662.00,8662.00,4986673667,4986673589,4986673628,4992930569,4986673450,4989802010,4986673663,4986673584,4986673624,206.3,115.5,1.647,154.725,123.78,61.89
190,41.00,45.00,32.00,43.00,3488.80,3567.20,8662.00,8662.00,4986682721,4986667198,4986674960,4980409990,4986669463,4983539727,4986682725,4986667207,4986674966,206.3,115.4,1.72,154.725,123.78,61.89
195,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986657666,4986673148,4986665407,4986671776,4986678158,4986674967,4986657661,4986673141,4986665401,206.4,115.5,1.645,154.8,123.84,61.92
200,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986670265,4986669910,4986670088,4986670698,4986666136,4986668417,4986670267,4986669914,4986670091,206.4,115.6,1.645,154.8,123.84,61.92
205,41.00,45.00,32.00,42.00,3488.80,3567.20,8449.00,8449.00,4986672823,4986683240,4986678032,4986671880,4986677264,4986674572,4986672823,4986683241,4986678032,206.6,115.5,1.646,154.95,123.96,61.98
210,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986668669,4986660954,4986664812,4986670206,4986663431,4986666819,4986668673,4986660953,4986664813,206.6,115.6,1.648,154.95,123.96,61.98
215,41.00,44.00,32.00,42.00,3567.20,3645.60,8662.00,8449.00,4986674315,4986672962,4986673639,4986687448,4986678527,4986682988,4986674306,4986672962,4986673634,206.7,115.6,1.644,155.025,124.02,62.01
220,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986683951,4986670786,4986677369,4986655887,4986663868,4986659878,4986683956,4986670777,4986677367,206.7,115.6,1.646,155.025,124.02,62.01
225,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986657270,4986663971,4986660621,4986667824,4986671826,4986669825,4986657271,4986663976,4986660624,206.8,115.6,1.646,155.1,124.08,62.04
230,41.00,45.00,32.00,42.00,3567.20,3567.20,8449.00,8662.00,4986666490,4986671097,4986668794,4986669885,4986664571,4986667228,4986666490,4986671095,4986668793,206.6,115.5,1.646,154.95,123.96,61.98
235,41.00,45.00,32.00,42.00,3567.20,3567.20,8449.00,8449.00,4986674417,4986712790,4986693604,4987217807,4986678071,4986947939,4986674417,4986712790,4986693604,206.3,115.5,1.658,154.725,123.78,61.89
240,41.00,44.00,32.00,42.00,3567.20,3567.20,8875.00,8236.00,4986667583,4986631402,4986649493,4986124153,4986667735,4986395944,4986667578,4986631405,4986649492,206.4,115.5,1.679,154.8,123.84,61.92
245,41.00,45.00,32.00,42.00,3488.80,3567.20,8449.00,8662.00,4986672036,4986667380,4986669708,4986670512,4986670917,4986670715,4986672038,4986667379,4986669709,206.4,115.5,1.647,154.8,123.84,61.92
250,41.00,45.00,32.00,42.00,3488.80,3567.20,8662.00,8662.00,4986684799,4986676206,4986680503,4986672939,4986670122,4986671531,4986684804,4986676210,4986680507,206.4,115.6,1.647,154.8,123.84,61.92
255,41.00,44.00,32.00,42.00,3488.80,3567.20,8662.00,8662.00,4986656600,4986664781,4986660691,4986666775,4986670428,4986668602,4986656593,4986664775,4986660684,206.5,115.5,1.651,154.875,123.9,61.95
260,41.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986667749,4986670716,4986669233,4986671784,4986669219,4986670502,4986667755,4986670724,4986669240,206.5,115.5,1.647,154.875,123.9,61.95
265,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986674913,4986685120,4986680017,4986672083,4986670637,4986671360,4986674915,4986685114,4986680015,206.7,115.5,1.645,155.025,124.02,62.01
270,43.00,45.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986669071,4986658451,4986663761,4986670970,4986672409,4986671690,4986669072,4986658455,4986663764,206.7,115.6,1.647,155.025,124.02,62.01
275,41.00,47.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986670567,4986671138,4986670853,4986670235,4986668216,4986669226,4986670565,4986671132,4986670849,206.8,115.5,1.648,155.1,124.08,62.04
280,41.00,47.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986672454,4986682043,4986677249,4986669704,4986669912,4986669808,4986672451,4986682043,4986677247,206.5,115.5,1.649,154.875,123.9,61.95
285,41.00,48.00,32.00,43.00,3567.20,3567.20,8662.00,8449.00,4986665159,4986656019,4986660589,4987398316,4986669385,4987033851,4986665156,4986656019,4986660588,206.4,115.5,1.733,154.8,123.84,61.92
290,42.00,47.00,32.00,43.00,3567.20,3567.20,8662.00,8662.00,4986682180,4986669726,4986675953,4985941348,4986673271,4986307310,4986682188,4986669738,4986675963,206.5,115.4,1.778,154.875,123.9,61.95
295,41.00,47.00,32.00,43.00,3488.80,3567.20,8662.00,8662.00,4986664914,4986685364,4986675139,4986672362,4986670533,4986671448,4986664906,4986685356,4986675131,224.1,115.3,1.793,168.075,134.46,67.23
300,42.00,47.00,32.00,43.00,3567.20,3645.60,8662.00,8449.00,4986669339,4986661525,4986665432,4986670552,4986669629,4986670091,4986669343,4986661527,4986665435,224.6,115.6,1.795,168.45,134.76,67.38
305,42.00,48.00,32.00,43.00,3567.20,3645.60,8662.00,8662.00,4986668175,4986671163,4986669669,4986672010,4986673197,4986672604,4986668171,4986671157,4986669664,225,115.4,1.794,168.75,135,67.5
310,42.00,48.00,32.00,44.00,3567.20,3567.20,8662.00,8662.00,4986683555,4986682724,4986683140,4986684213,4986678766,4986681490,4986683559,4986682732,4986683146,225.2,115.6,1.793,168.9,135.12,67.56
315,41.00,49.00,32.00,43.00,3567.20,3567.20,8662.00,8449.00,4986665464,4986656384,4986660924,4986664079,4986669894,4986666987,4986665463,4986656382,4986660923,225.3,115.5,1.795,168.975,135.18,67.59
320,41.00,49.00,32.00,44.00,3567.20,3567.20,8449.00,8449.00,4986669421,4986671955,4986670688,4986667576,4986666032,4986666804,4986669434,4986671957,4986670696,225.4,115.2,1.797,169.05,135.24,67.62
325,41.00,49.00,32.00,44.00,3488.80,3567.20,8662.00,8449.00,4986672722,4986682763,4986677743,4986670076,4986668664,4986669370,4986672712,4986682755,4986677734,225.5,115.3,1.798,169.125,135.3,67.65
330,41.00,49.00,32.00,44.00,3567.20,3645.60,8662.00,8449.00,4986665867,4986659809,4986662838,4986672644,4986673297,4986672971,4986665865,4986659815,4986662840,225,115.5,1.796,168.75,135,67.5
335,41.00,49.00,32.00,44.00,3567.20,3567.20,8662.00,8449.00,4986668081,4997477734,4992072908,4986671503,4986674108,4986672806,4986668080,4997477730,4992072905,225,115.4,1.854,168.75,135,67.5
340,41.00,49.00,32.00,44.00,3567.20,3567.20,8662.00,8449.00,4986677629,4975872350,4981274990,4986667677,4986665571,4986666624,4986677631,4975872359,4981274995,225.1,115.5,1.796,168.825,135.06,67.53
345,41.00,49.00,32.00,44.00,3567.20,3567.20,8662.00,8449.00,4986664055,4986661449,4986662752,4986669940,4986678559,4986674250,4986664048,4986661440,4986662744,225.2,115.5,1.792,168.9,135.12,67.56
350,41.00,50.00,32.00,45.00,3567.20,3645.60,8662.00,8449.00,4986671279,4986672099,4986671689,4986678047,4986668105,4986673076,4986671285,4986672105,4986671695,225.2,115.4,1.799,168.9,135.12,67.56
355,41.00,49.00,32.00,45.00,3567.20,3567.20,8662.00,8449.00,4986675139,4986679114,4986677127,4986663149,4986664495,4986663822,4986675133,4986679107,4986677120,225.3,115.5,1.798,168.975,135.18,67.59
360,41.00,50.00,32.00,45.00,3567.20,3567.20,8449.00,8449.00,4986661573,4986662737,4986662155,4986665463,4986666463,4986665963,4986661581,4986662744,4986662163,225.5,115.5,1.799,169.125,135.3,67.65
365,41.00,50.00,32.00,45.00,3567.20,3567.20,8449.00,8662.00,4986672996,4986670908,4986671952,4986671280,4986674403,4986672842,4986672993,4986670908,4986671951,225.5,115.5,1.8,169.125,135.3,67.65
370,41.00,50.00,32.00,45.00,3567.20,3645.60,8662.00,8449.00,4986679597,4986679648,4986679623,4986677389,4986675223,4986676306,4986679598,4986679646,4986679622,225.7,115.4,1.801,169.275,135.42,67.71
375,41.00,50.00,32.00,45.00,3567.20,3567.20,8662.00,8449.00,4986663240,4986659080,4986661160,4986665619,4986661642,4986663631,4986663239,4986659080,4986661160,225.5,115.5,1.801,169.125,135.3,67.65
380,41.00,50.00,32.00,45.00,3488.80,3645.60,8662.00,8662.00,4986673455,4987028573,4986851014,4986672953,4986673688,4986673321,4986673453,4987028575,4986851014,225.2,115.4,1.809,168.9,135.12,67.56
385,41.00,50.00,32.00,45.00,3488.80,3567.20,8449.00,8449.00,4986677796,4986324557,4986501177,4986676839,4986676002,4986676421,4986677797,4986324551,4986501174,225.2,115.4,1.858,168.9,135.12,67.56
390,42.00,50.00,32.00,45.00,3567.20,3567.20,8662.00,8449.00,4986663019,4986654165,4986658592,4986661202,4986664493,4986662848,4986663024,4986654173,4986658599,225.3,115.4,1.804,168.975,135.18,67.59
395,42.00,49.00,32.00,45.00,3567.20,3567.20,8662.00,8449.00,4986666265,4986675287,4986670776,4986672088,4986669482,4986670785,4986666257,4986675280,4986670769,225.4,115.5,1.799,169.05,135.24,67.62
400,41.00,50.00,32.00,45.00,3567.20,3567.20,8449.00,8236.00,4986683394,4986670300,4986676847,4986681507,4986673666,4986677587,4986683401,4986670303,4986676852,225.4,115.3,1.802,169.05,135.24,67.62
405,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986655867,4986672394,4986664131,4986657590,4986666858,4986662224,4986655865,4986672388,4986664127,225.4,115.5,1.808,169.05,135.24,67.62
410,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986671039,4986670627,4986670833,4986670818,4986671408,4986671113,4986671041,4986670627,4986670834,225.6,115.4,1.807,169.2,135.36,67.68
415,41.00,51.00,32.00,46.00,3645.60,3567.20,8449.00,8449.00,4986685042,4986670500,4986677771,4986670829,4986671132,4986670981,4986685035,4986670508,4986677772,225.7,115.4,1.812,169.275,135.42,67.71
