scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
tas,40,0,10.52,10.21,37.73,9.742,7.307
tas,40,1,7.315,20.87,38.23,11.07,8.301
tas,40,2,5.397,23.59,33.1,10.35,7.761
tas,40,3,10.84,7.927,36.23,9.165,6.874
tas,45,0,13.34,13.68,38.35,10.9,8.171
tas,45,1,9.376,26.73,38.98,12.51,9.385
tas,45,2,6.767,30.76,34.1,11.94,8.954
tas,45,3,13.97,9.627,37.35,10.16,7.619
tas,50,0,15.96,17.76,38.73,12.07,9.055
tas,50,1,11.21,33.27,38.98,13.91,10.43
tas,50,2,8.404,37.6,34.48,13.41,10.06
tas,50,3,17.27,10.94,37.98,11.03,8.273
tas,55,0,18.35,22.56,38.98,13.32,9.987
tas,55,1,13.39,38.93,39.48,15.3,11.48
tas,55,2,10.05,44.32,34.73,14.85,11.14
tas,55,3,20.42,12.24,38.48,11.86,8.892
tas,60,0,20.29,28.33,38.98,14.6,10.95
tas,60,1,15.68,44.14,39.6,16.57,12.43
tas,60,2,11.54,51.03,35.1,16.28,12.21
tas,60,3,23.63,13.19,38.85,12.61,9.458
tas,65,0,21.97,34.78,38.98,15.95,11.96
tas,65,1,17.78,49.84,39.73,17.89,13.42
tas,65,2,13.5,56.83,35.48,17.63,13.23
tas,65,3,26.9,14.13,39.23,13.38,10.03
tas,70,0,23.26,42.19,38.98,17.4,13.05
tas,70,1,19.87,55.57,39.85,19.22,14.41
tas,70,2,15.94,61.73,35.85,18.92,14.19
tas,70,3,30.26,15.09,39.73,14.18,10.63
tas,75,0,24.44,49.8,38.98,18.87,14.15
tas,75,1,21.64,62.19,40.1,20.65,15.49
tas,75,2,18.9,65.71,36.48,20.18,15.14
tas,75,3,33.68,16.05,40.23,14.99,11.24
tas,80,0,25.24,58.36,38.98,20.43,15.32
tas,80,1,23.4,68.82,40.35,22.09,16.57
tas,80,2,22.38,68.83,37.1,21.39,16.04
tas,80,3,37.21,17.02,40.48,15.78,11.84
tas,85,0,25.99,67.09,39.35,22.07,16.55
tas,85,1,24.94,76.16,40.6,23.62,17.71
tas,85,2,26.16,71.19,37.48,22.47,16.85
tas,85,3,40.77,17.98,40.6,16.56,12.42
tas,90,0,26.75,75.84,39.48,23.68,17.76
tas,90,1,26.48,83.43,40.73,25.11,18.83
tas,90,2,29.9,73.52,37.73,23.52,17.64
tas,90,3,44.31,18.96,40.85,17.35,13.01
tas,95,0,27.5,84.73,39.6,25.3,18.98
tas,95,1,27.66,91.61,40.73,26.67,20
tas,95,2,34.04,75.1,38.23,24.56,18.42
tas,95,3,47.94,19.93,41.1,18.16,13.62
tas,100,0,28.24,93.65,39.73,26.94,20.2
tas,100,1,28.42,100.9,40.85,28.35,21.27
tas,100,2,38.69,75.82,38.6,25.52,19.14
tas,100,3,51.68,20.89,41.35,18.99,14.24
tas,105,0,28.98,102.6,39.85,28.58,21.43
tas,105,1,29.19,110.1,40.98,30.05,22.54
tas,105,2,43.4,76.53,38.98,26.48,19.86
tas,105,3,55.45,21.84,41.6,19.82,14.86
tas,110,0,29.73,111.7,40.1,30.25,22.69
tas,110,1,29.98,119.5,41.23,31.78,23.83
tas,110,2,48.13,77.24,39.23,27.43,20.57
tas,110,3,59.24,22.79,41.73,20.63,15.47
tas,115,0,30.58,120.8,40.35,31.95,23.96
tas,115,1,30.78,128.8,41.35,33.49,25.11
tas,115,2,52.82,77.95,39.35,28.35,21.27
tas,115,3,63.06,23.73,41.85,21.44,16.08
tas,120,0,31.42,129.9,40.48,33.62,25.22
tas,120,1,31.67,138,41.48,35.19,26.39
tas,120,2,57.48,78.66,39.48,29.27,21.95
tas,120,3,66.87,24.67,41.98,22.25,16.69
tas,125,0,32.24,139,40.6,35.3,26.48
tas,125,1,32.54,146.9,41.6,36.85,27.64
tas,125,2,62.14,79.37,39.6,30.19,22.64
tas,125,3,70.66,25.6,42.1,23.06,17.3
tas,130,0,33.06,148,40.73,36.97,27.73
tas,130,1,33.41,155.9,41.73,38.51,28.88
tas,130,2,66.84,80.08,39.73,31.11,23.33
tas,130,3,74.45,26.54,42.1,23.85,17.89
tas,135,0,33.89,157,40.85,38.62,28.97
tas,135,1,34.28,164.8,41.85,40.15,30.11
tas,135,2,71.56,80.79,39.85,32.03,24.03
tas,135,3,78.24,27.47,42.23,24.65,18.49
tas,140,0,34.71,165.9,40.98,40.27,30.2
tas,140,1,35.14,173.6,41.98,41.79,31.34
tas,140,2,76.27,81.5,39.98,32.96,24.72
