pic0: pic0=bus_tran_any,umask=0x20
pic1: pic1=l2_rqsts,umask=0x4f
   time cpu event      pic0      pic1 
  5.246   6  tick 128768102         0 
  5.254   4  tick 153748176         0 
  5.935   1  tick 178317146         0 
  6.729   2  tick 193340593         0 
  8.011   7  tick 140064274         0 
  8.275   0  tick  53860576         0 
  8.321   3  tick  67801883         0 
  8.445   5  tick 139217123         0 
 10.007   2  tick  53080210         0 
 10.007   3  tick 112906146         0 
 10.007   7  tick 114992136         0 
 10.007   6  tick  76017048         0 
 11.720   0  tick  14379059         0 
 12.040   4  tick 129540630         0 
 12.465   5  tick  33282257         0 
 12.908   1  tick 146802058         0 
 15.007   6  tick  35110651         0 
 15.008   1  tick  27543789         0 
 15.102   2  tick  61031371         0 
 15.390   7  tick  57949679         0 
 15.955   4  tick  17439976         0 
 16.150   3  tick 101202439         0 
 16.150   0  tick  23727744         0 
 16.198   5  tick   7033995         0 
 20.008   2  tick  27908385         0 
 20.008   0  tick  12082445         0 
 20.008   1  tick  24663777         0 
 20.008   3  tick  10130575         0 
 20.008   5  tick   9588627         0 
 20.008   7  tick  20545138         0 
 20.008   4  tick   6885338         0 
 20.008   6  tick  26139675         0 
 25.007   2  tick  70473676         0 
 25.007   0  tick  99671522         0 
 25.009   5  tick 105167362         0 
 25.012   7  tick 100911118         0 
 25.053   1  tick  90026704         0 
 25.060   3  tick  98450565         0 
 25.115   4  tick  96292309         0 
 25.130   6  tick 116837555         0 
 31.469   6  tick 245251681         0 
 32.434   4  tick 238565056         0 
 32.736   2  tick 192041239         0 
 33.410   1  tick 262981646         0 
 33.445   5  tick 243183816         0 
 33.551   3  tick 283915069         0 
 33.563   7  tick 309780879         0 
 33.634   0  tick 307095036         0 
 35.007   1  tick  33933451         0 
 35.007   3  tick  31239358         0 
 35.007   5  tick  25499234         0 
 35.007   6  tick  53571360         0 
 35.007   0  tick  27806640         0 
 35.007   4  tick  42022362         0 
 35.007   2  tick  40591013         0 
 35.007   7  tick  28958529         0 
 40.007   1  tick  89628309         0 
 40.007   3  tick 108924591         0 
 40.007   5  tick 100459918         0 
 40.007   6  tick 108693956         0 
 40.007   0  tick 109245340         0 
 40.008   2  tick 103126270         0 
 40.008   4  tick 109716776         0 
 40.008   7  tick 107070136         0 
 45.007   1  tick 191599138         0 
 45.007   3  tick 182681937         0 
 45.007   2  tick 194080465         0 
 45.007   0  tick 159013897         0 
 45.007   6  tick 198027689         0 
 45.007   5  tick 166628539         0 
 45.007   7  tick 167178920         0 
 45.219   4  tick 197581281         0 
 50.007   2  tick 222456685         0 
 50.007   0  tick 202089900         0 
 50.007   1  tick 207632382         0 
 50.007   5  tick 191612370         0 
 50.007   7  tick 219995954         0 
 50.007   4  tick 204944597         0 
 50.007   6  tick 190745246         0 
 50.007   3  tick 216300258         0 
 55.007   0  tick 192085583         0 
 55.007   2  tick 215157439         0 
 55.007   7  tick 232200145         0 
 55.007   1  tick 194629860         0 
 55.007   3  tick 213577162         0 
 55.007   4  tick 194120915         0 
 55.007   6  tick 212804996         0 
 55.008   5  tick 194151707         0 
 60.007   4  tick 199286656         0 
 60.007   6  tick 217425997         0 
 60.007   1  tick 185566360         0 
 60.007   5  tick 227584593         0 
 60.007   7  tick 182684087         0 
 60.008   2  tick 213079973         0 
 60.060   0  tick 197147526         0 
 60.769   3  tick 230688081         0 
 65.007   7  tick 230763413         0 
 65.007   6  tick 114343113         0 
 65.007   0  tick 164604476         0 
 65.008   4  tick 126104177         0 
 66.382   1  tick 135428698         0 
 66.392   2  tick 121206614         0 
 67.062   5  tick 196282943         0 
 67.438   3  tick 186776251         0 
 70.007   4  tick 165538801         0 
 70.007   6  tick 153650416         0 
 70.007   7  tick 133326768         0 
 70.007   3  tick  99095517         0 
 70.008   0  tick  29963531         0 
 70.851   1  tick  75061398         0 
 70.977   2  tick  61784029         0 
 71.242   5  tick 105921445         0 
 75.007   3  tick 154857973         0 
 75.007   1  tick 143513074         0 
 75.007   2  tick 120576895         0 
 75.007   0  tick 146168600         0 
 75.007   4  tick 172665365         0 
 75.007   6  tick 141688047         0 
 75.007   7  tick 167920830         0 
