Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 24 27 22 16 18 3075 7500 5175 7425 5400 7575 5250 7875 5250 54h
8 25 28 22 16 18 3150 7500 5175 7425 5400 7500 5325 7950 5250 54h
16 25 27 22 16 18 3150 7575 5175 7425 5325 7575 5250 7950 5250 54h
24 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
32 24 28 22 16 18 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
40 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
48 24 28 22 16 18 3150 7500 5250 7425 5400 7500 5250 7875 5250 54h
56 24 28 22 16 18 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
64 24 28 22 16 18 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
72 24 28 22 16 18 3150 7500 5250 7425 5400 7500 5325 7950 5250 54h
80 24 28 22 16 18 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
88 24 28 22 16 18 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
96 25 31 22 16 18 3150 7575 5325 7425 5400 7575 5325 7950 5250 54h
104 26 30 22 16 18 3075 7575 5250 7500 5325 7575 5250 7875 5250 54h
112 25 31 22 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
120 28 29 22 16 18 3150 7500 5250 7500 5400 7500 5250 7950 5250 54h
128 25 30 22 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
136 25 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
144 25 28 22 16 18 3150 7500 5175 7425 5325 7500 5250 7950 5250 54h
152 25 28 22 16 18 3075 7575 5250 7425 5325 7575 5250 7950 5250 54h
160 25 28 22 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
168 25 28 22 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
176 24 28 22 16 18 3075 7575 5250 7500 5325 7575 5250 7875 5250 54h
184 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
192 24 28 22 16 18 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
200 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5325 7950 5250 54h
208 24 28 22 16 18 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
216 24 28 22 16 18 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
224 27 29 22 16 18 3150 7500 5250 7425 5325 7500 5250 7875 5175 54h
232 27 29 22 16 18 3150 7575 5250 7425 5400 7575 5325 7950 5175 54h
240 28 29 22 16 18 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
248 29 29 22 16 18 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
256 29 31 22 16 18 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
264 27 33 22 16 19 3150 7500 5175 7425 5325 7500 5250 7875 5250 54h
272 26 35 22 16 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
280 27 34 23 16 19 3150 7575 5250 7425 5325 7575 5250 7875 5175 54h
288 28 34 23 17 19 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
296 31 32 23 17 19 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
304 31 32 23 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
312 27 37 23 17 20 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
320 28 37 23 17 20 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
328 27 38 23 17 20 3150 7500 5175 7425 5325 7500 5250 7875 5250 54h
336 27 39 23 17 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
344 28 38 23 17 20 3150 7500 5250 7425 5325 7500 5250 7950 5250 54h
352 27 39 23 17 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
360 32 34 23 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
368 33 33 23 17 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
376 33 36 24 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
384 31 39 24 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
392 34 36 24 17 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
400 33 36 24 18 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
408 34 35 24 18 20 3150 7500 5250 7425 5400 7500 5250 7875 5250 54h
416 36 36 24 18 20 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
424 32 38 24 18 20 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
432 32 35 24 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
440 30 37 24 17 20 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
448 32 35 24 17 20 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
456 30 37 24 18 20 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
464 29 38 24 17 20 3150 7500 5250 7500 5400 7500 5250 7950 5250 54h
472 33 34 24 17 20 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
480 30 38 24 18 20 3150 7500 5250 7425 5400 7500 5250 7875 5250 54h
488 29 39 25 18 20 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
496 32 34 25 17 21 3150 7575 5250 7425 5400 7575 5250 7875 5325 54h
504 30 38 25 18 20 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
512 29 39 25 18 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
520 28 39 25 18 21 3150 7575 5250 7425 5325 7575 5325 7950 5250 54h
528 28 40 25 17 21 3150 7500 5250 7425 5325 7575 5250 7950 5250 54h
536 33 35 25 17 21 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
544 29 39 25 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
552 31 40 25 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
560 33 39 25 18 21 3150 7500 5250 7425 5325 7575 5250 7950 5250 54h
568 32 40 25 18 21 3150 7575 5250 7500 5400 7575 5325 7950 5250 54h
576 34 37 25 18 21 3150 7575 5250 7500 5400 7575 5325 7875 5325 54h
584 33 38 25 18 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
592 34 39 25 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
600 35 35 25 18 21 3150 7500 5250 7500 5400 7575 5250 7875 5250 54h
608 32 36 25 19 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
