scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
ule,40,0,4.14,21.77,35.98,10.31,7.735
ule,40,1,9.258,7.279,38.85,9.231,6.923
ule,40,2,3.285,29.09,31.98,10.72,8.043
ule,40,3,2.548,32.37,34.35,11.54,8.659
ule,45,0,5.082,28.41,36.85,11.72,8.793
ule,45,1,12.02,8.864,39.85,10.12,7.591
ule,45,2,3.844,38.53,32.85,12.54,9.403
ule,45,3,2.998,42.31,34.98,13.38,10.04
ule,50,0,5.809,35.44,37.35,13.1,9.825
ule,50,1,14.83,10.11,40.35,10.88,8.161
ule,50,2,4.095,48.88,32.98,14.32,10.74
ule,50,3,3.169,53.01,35.1,15.21,11.41
ule,55,0,6.544,42.36,37.73,14.44,10.83
ule,55,1,17.72,11.14,40.73,11.6,8.698
ule,55,2,4.247,59.5,33.23,16.16,12.12
ule,55,3,3.33,63.63,35.35,17.05,12.79
ule,60,0,7.199,49.41,37.98,15.76,11.82
ule,60,1,20.6,12.17,40.98,12.29,9.217
ule,60,2,4.397,70.17,33.48,18.01,13.51
ule,60,3,3.487,74.28,35.6,18.89,14.17
ule,65,0,7.814,56.55,38.35,17.12,12.84
ule,65,1,23.47,13.18,41.23,12.98,9.734
ule,65,2,4.544,80.86,33.73,19.85,14.89
ule,65,3,3.641,84.96,35.73,20.72,15.54
ule,70,0,8.422,63.66,38.6,18.45,13.84
ule,70,1,26.35,14.19,41.48,13.67,10.25
ule,70,2,4.69,91.59,33.85,21.69,16.27
ule,70,3,3.795,95.69,35.98,22.58,16.93
ule,75,0,9.03,70.76,38.98,19.79,14.85
ule,75,1,29.21,15.21,41.73,14.36,10.77
ule,75,2,4.835,102.4,34.1,23.55,17.67
ule,75,3,3.947,106.5,36.23,24.44,18.33
ule,80,0,9.636,77.72,39.35,21.12,15.84
ule,80,1,32.01,16.26,41.73,15,11.25
ule,80,2,5.041,113.1,34.6,25.46,19.09
ule,80,3,4.119,117.4,36.73,26.37,19.78
ule,85,0,10.22,84.2,39.48,22.32,16.74
ule,85,1,34.52,17.82,41.73,15.68,11.76
ule,85,2,5.55,122.7,34.73,27.17,20.37
ule,85,3,4.418,127.4,37.23,28.18,21.13
ule,90,0,10.82,90.34,39.85,23.5,17.63
ule,90,1,36.73,20.02,41.73,16.41,12.31
ule,90,2,6.108,131.6,34.85,28.77,21.58
ule,90,3,5.065,136.3,37.6,29.83,22.37
ule,95,0,11.51,96.04,39.98,24.59,18.44
ule,95,1,38.7,22.64,41.73,17.18,12.88
ule,95,2,6.831,139.9,35.48,30.36,22.77
ule,95,3,5.794,144.5,37.98,31.37,23.53
ule,100,0,12.26,101.4,40.23,25.65,19.23
ule,100,1,40.61,25.39,41.85,17.98,13.48
ule,100,2,7.616,147.5,35.73,31.8,23.85
ule,100,3,6.567,152.1,38.35,32.83,24.62
ule,105,0,13.02,106.4,40.48,26.64,19.98
ule,105,1,42.28,28.71,41.98,18.83,14.12
ule,105,2,8.503,154.7,36.1,33.21,24.91
ule,105,3,7.73,158.6,38.85,34.19,25.64
ule,110,0,13.94,111.2,40.98,27.69,20.77
ule,110,1,43.83,32.39,41.98,19.7,14.77
ule,110,2,9.691,161,36.35,34.5,25.87
ule,110,3,9.016,164.2,39.1,35.39,26.55
ule,115,0,15.02,115.5,41.1,28.61,21.46
ule,115,1,45.18,36.43,41.98,20.6,15.45
ule,115,2,11.09,166.6,36.6,35.72,26.79
ule,115,3,10.68,168.9,39.6,36.53,27.4
ule,120,0,16.32,119.7,41.35,29.56,22.17
ule,120,1,46.51,40.89,42.23,21.6,16.2
ule,120,2,12.7,171.5,36.85,36.84,27.63
ule,120,3,12.54,172.7,39.73,37.5,28.12
ule,125,0,17.92,124,41.48,30.57,22.93
ule,125,1,48.82,45.25,42.48,22.76,17.07
ule,125,2,14.47,176.6,37.1,38.03,28.52
ule,125,3,14.71,176.7,39.73,38.52,28.89
ule,130,0,19.65,128.4,41.48,31.58,23.68
ule,130,1,51.23,49.47,42.73,23.9,17.93
ule,130,2,16.32,182,37.6,39.31,29.48
ule,130,3,16.72,181,39.98,39.62,29.71
ule,135,0,21.36,132.6,41.73,32.61,24.46
ule,135,1,53.67,53.49,42.85,25,18.75
ule,135,2,18.17,187.1,37.35,40.44,30.33
ule,135,3,18.82,185.7,40.35,40.81,30.61
ule,140,0,23.06,136.7,41.73,33.59,25.19
ule,140,1,55.97,58.25,42.85,26.18,19.63
ule,140,2,20.07,192.1,37.35,41.58,31.19
ule,140,3,21.09,190.5,40.48,42.01,31.5
ule,145,0,24.72,140.5,41.23,34.4,25.8
ule,145,1,58.19,62.4,42.35,27.16,20.37
ule,145,2,21.9,196.4,36.85,42.52,31.89
ule,145,3,23.05,195.6,39.98,43.1,32.32
ule,150,0,26.17,143.6,40.73,35.08,26.31
ule,150,1,60.22,66.18,41.98,28.06,21.05
ule,150,2,23.43,200.3,36.73,43.41,32.56
ule,150,3,24.98,200.2,40.35,44.25,33.19
ule,155,0,27.46,146.4,40.48,35.73,26.8
ule,155,1,62.2,69.5,41.73,28.9,21.68
ule,155,2,24.84,203.5,37.23,44.26,33.19
ule,155,3,26.96,204.5,40.1,45.26,33.95
ule,160,0,28.48,148.9,40.1,36.24,27.18
ule,160,1,63.97,72.26,41.35,29.6,22.2
ule,160,2,26.34,206.2,37.35,44.98,33.74
ule,160,3,28.72,208.3,39.73,46.12,34.59
ule,165,0,29.19,150.7,39.6,36.58,27.44
ule,165,1,64.69,74.52,40.85,30.01,22.51
ule,165,2,27.92,208.5,37.1,45.59,34.19
ule,165,3,30.01,211.4,39.35,46.8,35.1
ule,170,0,29.71,152.1,39.35,36.86,27.64
ule,170,1,65.38,76.17,41.1,30.44,22.83
ule,170,2,29.79,210,36.48,46.04,34.53
ule,170,3,31.1,214.1,38.73,47.32,35.49
ule,175,0,30.14,153.2,38.98,37.06,27.8
ule,175,1,65.93,77.48,40.73,30.69,23.02
ule,175,2,31.5,211.1,36.23,46.47,34.85
ule,175,3,32.6,215.8,38.85,47.87,35.9
ule,180,0,30.47,154,38.73,37.19,27.89
ule,180,1,66.31,77.81,40.35,30.74,23.06
ule,180,2,33.71,211.6,36.73,47.01,35.26
ule,180,3,33.89,216.6,38.48,48.16,36.12
ule,185,0,30.81,154.6,39.23,37.44,28.08
ule,185,1,66.75,78.09,40.98,30.97,23.23
ule,185,2,35.93,212,37.73,47.6,35.7
ule,185,3,35.63,216.9,38.98,48.59,36.44
ule,190,0,31.17,155.3,39.23,37.62,28.21
ule,190,1,67.59,78.32,41.1,31.17,23.38
ule,190,2,38.39,212.4,38.48,48.21,36.15
ule,190,3,37.27,217.2,38.35,48.81,36.61
ule,195,0,31.52,155.9,39.23,37.77,28.33
ule,195,1,68.47,78.5,41.1,31.35,23.51
ule,195,2,41.23,212.8,38.48,48.75,36.56
ule,195,3,38.48,217.5,38.1,49.02,36.76
ule,200,0,31.85,156.4,38.98,37.87,28.4
ule,200,1,69.42,78.68,41.1,31.53,23.65
ule,200,2,44.18,213.1,38.48,49.3,36.97
ule,200,3,39.69,217.8,38.1,49.26,36.95
ule,205,0,32.18,156.9,38.98,38,28.5
ule,205,1,70.68,78.84,41.1,31.77,23.83
ule,205,2,46.58,213.5,38.48,49.75,37.31
ule,205,3,41.2,218,38.85,49.67,37.26
ule,210,0,32.51,157.3,38.85,38.11,28.58
ule,210,1,71.81,78.99,40.48,31.88,23.91
