time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,13333014,8974927,1.3333014,0.8974927,58,60,38,29,35,27,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1836,1468.8,1101.6,55.08,55.08,8.3,13.2
20,11466114,9117497,1.1466114,0.9117497,58,60,38,29,35,27,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1577,1261.6,946.2,47.31,47.31,0,32.4
30,17400168,12384876,1.7400168,1.2384876,53,61,38,29,35,27,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1565,1252,939,46.95,46.95,0,0
40,12041484,9459617,1.2041484,0.9459617,58,61,38,29,35,27,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1557,1245.6,934.2,46.71,46.71,0,0
50,20033078,14320847,2.0033078,1.4320847,58,59,38,29,35,26,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1518,1214.4,910.8,45.54,45.54,0,15.8
60,10270881,7192065,1.0270881,0.7192065,58,58,38,29,35,26,14,39,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1534,1227.2,920.4,46.02,46.02,0,0
70,13194857,9528308,1.3194857,0.9528308,58,58,38,29,35,26,14,39,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1414,1131.2,848.4,42.42,42.42,0,0
80,10739124,7988561,1.0739124,0.7988561,57,58,38,29,35,26,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1479,1183.2,887.4,44.37,44.37,0,21.9
90,12958755,10742515,1.2958755,1.0742515,54,60,38,29,35,26,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1567,1253.6,940.2,47.01,47.01,0,0
100,10218599,6504273,1.0218599,0.6504273,53,60,37,29,35,26,14,39,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1487,1189.6,892.2,44.61,44.61,0,0
110,3908589,2849934,0.3908589,0.2849934,57,58,38,29,35,26,14,39,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1486,1188.8,891.6,44.58,44.58,0,18.2
120,7099377,4816812,0.7099377,0.4816812,54,60,38,29,35,26,14,39,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1377,1101.6,826.2,41.31,41.31,0,0
130,21390721,15418745,2.1390721,1.5418745,57,58,38,29,35,26,14,39,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1783,1426.4,1069.8,53.49,53.49,0,0
140,7773194,5469643,0.7773194,0.5469643,58,58,38,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1477,1181.6,886.2,44.31,44.31,0,19.3
150,20374833,15073482,2.0374833,1.5073482,58,58,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1385,1108,831,41.55,41.55,0,0
160,4374202,3247483,0.4374202,0.3247483,58,58,38,29,35,26,14,38,27,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1488,1190.4,892.8,44.64,44.64,0,0
170,15353339,12288078,1.5353339,1.2288078,58,58,38,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1375,1100,825,41.25,41.25,0,20.3
180,1662927,1368039,0.1662927,0.1368039,58,58,37,29,35,26,14,38,27,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1526,1220.8,915.6,45.78,45.78,0,0
190,11634538,8724997,1.1634538,0.8724997,54,60,37,29,35,26,14,38,27,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1563,1250.4,937.8,46.89,46.89,0,0
200,17898496,13013103,1.7898496,1.3013103,58,60,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1385,1108,831,41.55,41.55,0,21.8
210,11990250,7464303,1.199025,0.7464303,54,60,38,29,35,26,14,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1375,1100,825,41.25,41.25,0,0
220,13433667,9711245,1.3433667,0.9711245,53,61,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1374,1099.2,824.4,41.22,41.22,0,0
230,23911343,16559141,2.3911343,1.6559141,58,58,38,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1486,1188.8,891.6,44.58,44.58,0,22.8
240,6793841,4848733,0.6793841,0.4848733,56,60,37,29,35,26,14,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1391,1112.8,834.6,41.73,41.73,0,0
250,13136800,10807108,1.31368,1.0807108,58,60,38,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1374,1099.2,824.4,41.22,41.22,0,0
260,16714911,12995875,1.6714911,1.2995875,53,60,37,29,35,26,15,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1529,1223.2,917.4,45.87,45.87,0,29.3
270,10065665,8070622,1.0065665,0.8070622,55,60,37,29,35,26,15,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1670,1336,1002,50.1,50.1,0,0
280,10847973,6796412,1.0847973,0.6796412,53,60,38,29,35,26,15,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1369,1095.2,821.4,41.07,41.07,0,0
290,11937669,9664486,1.1937669,0.9664486,53,61,38,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1482,1185.6,889.2,44.46,44.46,0,24.9
300,13217843,8639679,1.3217843,0.8639679,56,61,37,29,35,26,15,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1532,1225.6,919.2,45.96,45.96,0,0
310,243303374,163128375,24.3303374,16.3128375,58,53,37,29,35,26,15,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1600,1280,960,48,48,0,0
320,210328389,124320238,21.0328389,12.4320238,57,53,37,29,35,26,15,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1674,1339.2,1004.4,50.22,50.22,269.5,1077.7
330,208192190,115739255,20.819219,11.5739255,54,52,38,29,35,26,15,38,27,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1582,1265.6,949.2,47.46,47.46,0,0
340,233552288,144444316,23.3552288,14.4444316,57,52,38,29,35,26,15,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1547,1237.6,928.2,46.41,46.41,0,0
350,227068216,134816593,22.7068216,13.4816593,58,51,38,29,35,26,15,38,27,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1639,1311.2,983.4,49.17,49.17,0,30.2
360,221257394,134365469,22.1257394,13.4365469,57,51,38,29,35,26,15,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1542,1233.6,925.2,46.26,46.26,0,0
370,245025513,151168643,24.5025513,15.1168643,58,51,38,29,36,26,15,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1560,1248,936,46.8,46.8,0,0
380,191591604,105713970,19.1591604,10.571397,58,50,38,29,35,26,15,38,27,31,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1574,1259.2,944.4,47.22,47.22,0,34.1
390,214564341,115402409,21.4564341,11.5402409,58,50,38,29,36,26,15,38,27,31,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1703,1362.4,1021.8,51.09,51.09,0,0
400,178039568,105113294,17.8039568,10.5113294,58,50,38,29,36,26,15,38,27,31,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1565,1252,939,46.95,46.95,0,0
