pic0: pic0=bus_tran_any,umask=0x20
pic1: pic1=l2_rqsts,umask=0x4f
   time cpu event      pic0      pic1 
  5.013   6  tick 228176513         0 
  5.771   3  tick 130309473         0 
  7.106   7  tick 110886056         0 
  8.109   1  tick 168712088         0 
  8.142   0  tick 162310189         0 
  8.455   4  tick 153765793         0 
  9.013   5  tick 172624100         0 
  9.169   2  tick 207411226         0 
 10.003   1  tick  24775047         0 
 10.003   2  tick  13161921         0 
 10.003   4  tick  27446372         0 
 10.003   5  tick  14448888         0 
 10.013   6  tick  12696746         0 
 10.983   7  tick  40028830         0 
 10.984   3  tick  48550251         0 
 11.114   0  tick   4519060         0 
 15.003   2  tick 112105011         0 
 15.003   3  tick  71606800         0 
 15.003   1  tick  97538905         0 
 15.003   4  tick  90794866         0 
 15.004   0  tick  88470903         0 
 15.004   5  tick 114463596         0 
 15.013   7  tick  95472254         0 
 15.013   6  tick 118785364         0 
 20.003   0  tick 151698661         0 
 20.003   1  tick 143092058         0 
 20.003   3  tick 152918313         0 
 20.003   6  tick 150255913         0 
 20.004   5  tick 157853494         0 
 20.015   7  tick 151910765         0 
 20.415   2  tick 136399625         0 
 20.472   4  tick 126340643         0 
 25.003   6  tick 183500755         0 
 25.003   4  tick 180521959         0 
 25.003   0  tick 179829618         0 
 25.003   2  tick 148204706         0 
 25.003   1  tick 179184128         0 
 25.003   3  tick 193608417         0 
 25.003   5  tick 197624528         0 
 25.013   7  tick 197127314         0 
 30.003   0  tick 214121398         0 
 30.003   2  tick 220345264         0 
 30.003   3  tick 225436679         0 
 30.003   1  tick 213651663         0 
 30.003   5  tick 213935042         0 
 30.013   7  tick 204509178         0 
 30.013   6  tick 218302522         0 
 30.243   4  tick 208413850         0 
 35.003   3  tick 238361420         0 
 35.003   1  tick 188150827         0 
 35.003   2  tick 175593241         0 
 35.003   4  tick 174132070         0 
 35.003   0  tick 167827651         0 
 35.003   6  tick 208867962         0 
 35.003   5  tick 190724113         0 
 35.013   7  tick 191979961         0 
 40.003   5  tick 218761990         0 
 40.003   3  tick 242257414         0 
 40.003   0  tick 155034257         0 
 40.003   2  tick 171421927         0 
 40.003   6  tick 135613491         0 
 40.003   4  tick 209890925         0 
 40.003   1  tick 232481880         0 
 40.718   7  tick 206565244         0 
 45.003   2  tick 146777960         0 
 45.003   5  tick 190151290         0 
 45.003   0  tick  91959839         0 
 45.003   1  tick 145602964         0 
 45.003   4  tick 137673438         0 
 45.004   6  tick 134000957         0 
 45.004   7  tick 150672543         0 
 47.217   3  tick 117534386         0 
 50.003   1  tick 123154784         0 
 50.003   2  tick  50157839         0 
 50.003   0  tick  90972796         0 
 50.003   5  tick 138236092         0 
 50.003   4  tick 101009101         0 
 50.004   3  tick  79617533         0 
 50.013   6  tick 125985341         0 
 50.621   7  tick 129207771         0 
 55.003   1  tick 141030823         0 
 55.003   3  tick 157143805         0 
 55.003   4  tick 161740907         0 
 55.003   2  tick 137506549         0 
 55.003   5  tick 150464328         0 
 55.003   0  tick 173181245         0 
 55.013   6  tick 160684769         0 
 55.013   7  tick 153247120         0 
 60.003   1  tick 224571194         0 
 60.003   5  tick 256125789         0 
 60.003   0  tick 230825177         0 
 60.004   2  tick 238603508         0 
 60.004   4  tick 232612410         0 
 60.004   3  tick 250593365         0 
 60.013   6  tick 232581239         0 
 60.013   7  tick 227335149         0 
 65.004   2  tick 225408294         0 
 65.006   5  tick 212177669         0 
 65.013   6  tick 205501934         0 
 65.062   0  tick 174806539         0 
 65.076   3  tick 197656299         0 
 65.121   4  tick 171833472         0 
 65.179   7  tick 214114579         0 
 65.185   1  tick 204924901         0 
 70.003   2  tick 247504551         0 
 70.003   6  tick 229206198         0 
 70.003   4  tick 250613391         0 
 70.003   0  tick 257787650         0 
 70.003   1  tick 243148880         0 
 70.003   3  tick 243882589         0 
 70.003   5  tick 222798625         0 
 70.013   7  tick 238605246         0 
 75.403   1  tick 147567326         0 
 75.446   6  tick 114346228         0 
 76.801   7  tick 142759636         0 
 76.878   2  tick 153112042         0 
 77.083   5  tick 198999637         0 
 77.660   4  tick 163233536         0 
 78.521   0  tick 216099658         0 
 78.783   3  tick 194111147         0 
 80.013   7  tick 126198449         0 
 80.276   2  tick   4357144         0 
 80.287   3  tick  55784256         0 
 80.153   1  tick   1227890         0 
 80.473   6  tick  82324377         0 
 80.710   4  tick  70127814         0 
 80.814   5  tick  98835703         0 
 81.786   0  tick  60106096         0 
 85.003   1  tick  61559308         0 
 85.003   3  tick 233689369         0 
 85.003   2  tick 195101075         0 
 85.003   4  tick  98265568         0 
 85.003   5  tick 135450992         0 
 85.013   7  tick 143118385         0 
 85.013   6  tick 131930455         0 
 85.455   0  tick 131967298         0 
 90.004   0  tick  71297045         0 
 90.004   2  tick  63484114         0 
 90.004   1  tick  97395605         0 
 90.004   3  tick 105348616         0 
 90.004   7  tick  87033872         0 
 90.004   5  tick  74791488         0 
 90.004   4  tick  68829986         0 
 90.004   6  tick  73748176         0 
 95.003   1  tick 105262362         0 
 95.003   3  tick 100366529         0 
 95.003   2  tick  96162410         0 
 95.003   4  tick  87702017         0 
 95.003   5  tick  95681545         0 
 95.004   0  tick  72510683         0 
 95.013   6  tick  91781318         0 
 95.013   7  tick  76821246         0 
101.716   5  tick 232513487         0 
102.335   3  tick 231447446         0 
103.377   1  tick 245767819         0 
103.410   6  tick 267642902         0 
103.461   0  tick 264238626         0 
103.480   2  tick 262577121         0 
103.489   7  tick 215890063         0 
103.513   4  tick 268870971         0 
105.003   2  tick  30397313         0 
105.003   4  tick  31818434         0 
105.003   5  tick  52961849         0 
105.003   1  tick  34129362         0 
105.003   0  tick  32649201         0 
105.003   3  tick  45909914         0 
105.003   6  tick  30185504         0 
105.013   7  tick  33761340         0 
110.003   1  tick  98634913         0 
110.003   3  tick 106782861         0 
110.003   4  tick 104250719         0 
110.003   5  tick  95284029         0 
110.003   0  tick  96555165         0 
110.004   2  tick 108198820         0 
110.004   7  tick 104109158         0 
110.013   6  tick 107337025         0 
115.003   4  tick 147578661         0 
115.003   3  tick 149661184         0 
115.003   1  tick 147244260         0 
115.003   0  tick 129051010         0 
115.003   2  tick 140073876         0 
115.003   5  tick 153568133         0 
115.013   7  tick 148427662         0 
115.013   6  tick 135888292         0 
120.003   3  tick 212525637         0 
120.003   1  tick 189730342         0 
120.003   4  tick 167213834         0 
120.003   2  tick 191798400         0 
120.004   0  tick 184705943         0 
120.004   5  tick 219832407         0 
120.013   6  tick 221954007         0 
120.013   7  tick 222121195         0 
125.003   3  tick 221838800         0 
125.003   1  tick 240548317         0 
125.003   0  tick 230032268         0 
125.003   5  tick 240835861         0 
125.003   6  tick 207377949         0 
125.003   4  tick 214031454         0 
125.003   2  tick 177774461         0 
125.013   7  tick 220787859         0 
130.003   5  tick 239551009         0 
130.003   6  tick 209420818         0 
130.003   0  tick 208064058         0 
130.003   2  tick 217783381         0 
130.003   4  tick 230337947         0 
130.003   1  tick 205236017         0 
130.003   3  tick 214270860         0 
130.013   7  tick 193744082         0 
135.003   1  tick 193142141         0 
135.003   2  tick 214524866         0 
135.013   6  tick 198300812         0 
135.311   0  tick 144980098         0 
136.876   7  tick 175874375         0 
138.475   5  tick 200686117         0 
138.515   3  tick 209050074         0 
138.589   4  tick 206046652         0 
140.003   5  tick  50527773         0 
140.003   4  tick  52245195         0 
140.003   2  tick  28772305         0 
140.003   3  tick  65746666         0 
