scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
tas,190,1,27.47,224.9,41.85,49.04,36.78
tas,190,2,76.19,116.1,37.85,38.35,28.77
tas,190,3,33.72,237.6,41.85,52.19,39.14
tas,195,0,32.72,183.9,41.98,43.1,32.33
tas,195,1,28.67,230.5,41.98,50.19,37.64
tas,195,2,77.35,124.5,38.1,40,30
tas,195,3,36.22,243.3,41.85,53.56,40.17
tas,200,0,33.58,186.5,41.98,43.68,32.76
tas,200,1,29.91,235.4,42.23,51.26,38.44
tas,200,2,78.44,133,38.1,41.59,31.19
tas,200,3,38.76,249.8,41.85,55.06,41.3
tas,205,0,34.41,188.8,41.98,44.2,33.15
tas,205,1,31.1,240.3,42.35,52.3,39.22
tas,205,2,79.5,141.7,38.1,43.22,32.42
tas,205,3,41.37,256.2,41.85,56.57,42.43
tas,210,0,35.14,190.8,42.1,44.68,33.51
tas,210,1,32.52,246,42.73,53.54,40.15
tas,210,2,80.7,150,37.6,44.72,33.54
tas,210,3,43.71,263,41.85,58.09,43.57
tas,215,0,35.78,192.5,42.1,45.06,33.8
tas,215,1,33.84,252.3,42.85,54.83,41.12
tas,215,2,81.82,158.7,37.85,46.4,34.8
tas,215,3,46.24,269.1,41.6,59.49,44.62
tas,220,0,36.47,194.2,42.35,45.51,34.13
tas,220,1,35.22,258.7,42.98,56.16,42.12
tas,220,2,82.85,166.5,37.85,47.86,35.9
tas,220,3,49.08,275.2,41.48,60.96,45.72
tas,225,0,37.17,195.9,42.48,45.93,34.45
tas,225,1,36.71,264.8,43.23,57.45,43.09
tas,225,2,83.9,174.1,38.1,49.36,37.02
tas,225,3,51.94,281.7,41.35,62.49,46.87
tas,230,0,37.84,197.7,42.48,46.34,34.75
tas,230,1,38.2,271.1,43.23,58.76,44.07
tas,230,2,84.93,181.7,38.6,50.87,38.15
tas,230,3,54.86,287.6,41.1,63.93,47.95
tas,235,0,38.53,199.7,42.1,46.73,35.05
tas,235,1,39.65,277.4,43.23,60.04,45.03
tas,235,2,86.18,188.8,38.98,52.32,39.24
tas,235,3,57.59,292.9,41.35,65.3,48.98
tas,240,0,39.24,201.8,41.98,47.17,35.38
tas,240,1,41.02,283.7,42.85,61.26,45.95
tas,240,2,87.74,194.8,39.23,53.62,40.22
tas,240,3,60.15,298.4,41.35,66.65,49.99
tas,245,0,40.02,204.4,41.98,47.73,35.8
tas,245,1,42.44,290.3,42.85,62.6,46.95
tas,245,2,89.46,199.4,39.48,54.73,41.04
tas,245,3,62.4,304.7,41.35,68.07,51.05
tas,250,0,40.86,207.1,41.85,48.3,36.23
tas,250,1,43.59,296.1,42.48,63.7,47.77
tas,250,2,91.14,204.2,39.73,55.84,41.88
tas,250,3,64.87,310.4,41.73,69.49,52.12
