Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled
0,46,49,37,47,3567.2,3567.2,8662,8662,937525,1518350,1227937.5,19898331,20084354,19991342.5,13209632,21549801,1442582,208.4,115.3,1.662,156.3,125.04,62.52,1.2279375,19.9913425,1.442582
5,45,49,37,47,3567.2,3567.2,8662,8662,1535794,1535768,1535781,14593519,14596034,14594776.5,15937653,15945086,1556059,208,115.1,1.661,156,124.8,62.4,1.535781,14.5947765,1.556059
10,45,49,37,47,3567.2,3567.2,8662,8662,1548317,1548351,1548334,17046485,17047328,17046906.5,21453756,21456340,1555716,207.9,115.2,1.732,155.925,124.74,62.37,1.548334,17.0469065,1.555716
15,45,49,37,47,3567.2,3645.6,8662,8449,1521516,1521516,1521516,15310324,15308620,15309472,15587734,15591497,1543454,207.9,115.1,1.662,155.925,124.74,62.37,1.521516,15.309472,1.543454
20,45,49,37,47,3645.6,3645.6,8662,8449,1567888,1567822,1567855,15340631,15342124,15341377.5,16604319,16595854,1534429,208,115.2,1.662,156,124.8,62.4,1.567855,15.3413775,1.534429
25,45,49,37,46,3567.2,3645.6,8662,8662,1550918,1550984,1550951,17078542,17076729,17077635.5,21970028,21978583,1543369,208.1,115.1,1.666,156.075,124.86,62.43,1.550951,17.0776355,1.543369
30,45,49,37,47,3567.2,3645.6,8662,8662,1551222,1551222,1551222,14217450,14217600,14217525,14315545,14315613,1533059,208.2,115.1,1.663,156.15,124.92,62.46,1.551222,14.217525,1.533059
35,45,49,37,47,3567.2,3567.2,8662,8449,1551148,1551148,1551148,14151992,14151566,14151779,14022926,14029818,1543891,208.3,115,1.665,156.225,124.98,62.49,1.551148,14.151779,1.543891
40,45,49,37,47,3567.2,3645.6,8662,8662,1352562,1349993,1351277.5,12295447,12294438,12294942.5,17307472,17270824,1424483,208.3,115.3,1.661,156.225,124.98,62.49,1.3512775,12.2949425,1.424483
45,45,49,37,46,3567.2,3645.6,8662,8449,419111,421680,420395.5,7752434,7754006,7753220,7799239,7827635,329271,208.4,115.1,1.662,156.3,125.04,62.52,0.4203955,7.75322,0.329271
