Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled
0,41,44,32,42,3567.2,3645.6,8662,8662,1555311,1553530,1554420.5,22955102,14034488,18494795,26189049,26063033,26126041,206.1,114.8,1.653,154.575,123.66,61.83,1.5544205,18.494795,26.126041
5,40,44,32,42,3488.8,3567.2,8662,8875,1545328,1545328,1545328,16768595,16774509,16771552,20276371,20271519,20273945,206.1,114.7,1.654,154.575,123.66,61.83,1.545328,16.771552,20.273945
10,40,44,32,42,3488.8,3567.2,8662,8662,1521132,1521074,1521103,17027372,17027934,17027653,17590824,17581243,17586033.5,206.2,114.8,1.655,154.65,123.72,61.86,1.521103,17.027653,17.5860335
15,40,44,32,42,3567.2,3567.2,8662,8662,1534246,1534304,1534275,16437956,16444194,16441075,17386825,17398157,17392491,206.4,114.7,1.657,154.8,123.84,61.92,1.534275,16.441075,17.392491
20,41,44,32,42,3567.2,3567.2,8449,8662,1553421,1553421,1553421,19172492,19168670,19170581,22694241,22691009,22692625,206.4,114.8,1.653,154.8,123.84,61.92,1.553421,19.170581,22.692625
25,41,44,32,42,3567.2,3567.2,8662,8662,1539159,1539097,1539128,16976250,16972687,16974468.5,16559410,16553624,16556517,206.4,114.9,1.654,154.8,123.84,61.92,1.539128,16.9744685,16.556517
30,41,44,32,41,3488.8,3567.2,8662,8662,1550966,1551028,1550997,17167632,17166535,17167083.5,18564752,18568973,18566862.5,206.5,114.8,1.653,154.875,123.9,61.95,1.550997,17.1670835,18.5668625
35,41,44,32,42,3567.2,3567.2,8662,8662,1547044,1547044,1547044,17558535,17532621,17545578,19055406,19055552,19055479,206.4,114.7,1.654,154.8,123.84,61.92,1.547044,17.545578,19.055479
40,40,44,32,42,3567.2,3567.2,8662,8449,1284944,1285081,1285012.5,11718700,11719675,11719187.5,12013782,12030137,12021959.5,206,114.7,1.659,154.5,123.6,61.8,1.2850125,11.7191875,12.0219595
45,40,44,32,42,3567.2,3645.6,8449,8449,464551,464414,464482.5,10602083,10631814,10616948.5,10963452,10947900,10955676,206.1,114.6,1.75,154.575,123.66,61.83,0.4644825,10.6169485,10.955676
50,41,44,32,42,3567.2,3645.6,8449,8662,1547638,1547638,1547638,18286072,18286338,18286205,24112388,24113727,24113057.5,206.2,114.8,1.654,154.65,123.72,61.86,1.547638,18.286205,24.1130575
55,40,44,32,42,3567.2,3567.2,8662,8662,1540622,1540552,1540587,17191006,17186902,17188954,16191906,16184448,16188177,206.2,114.9,1.654,154.65,123.72,61.86,1.540587,17.188954,16.188177
60,40,44,32,41,3567.2,3645.6,8662,8449,1539052,1539122,1539087,18827427,18828320,18827873.5,21486725,21494097,21490411,206.3,114.8,1.654,154.725,123.78,61.89,1.539087,18.8278735,21.490411
65,41,44,32,42,3567.2,3567.2,8662,8662,1514061,1514061,1514061,17631770,17633952,17632861,20498915,20499032,20498973.5,206.4,114.8,1.654,154.8,123.84,61.92,1.514061,17.632861,20.4989735
70,41,44,32,41,3567.2,3567.2,8662,8662,1547207,1547149,1547178,16847527,16846985,16847256,15874188,15867070,15870629,206.5,114.9,1.654,154.875,123.9,61.95,1.547178,16.847256,15.870629
75,41,44,32,42,3567.2,3567.2,8662,8449,1562951,1563009,1562980,17556517,17557069,17556793,16506225,16516435,16511330,206.6,114.7,1.655,154.95,123.96,61.98,1.56298,17.556793,16.51133
80,41,44,32,41,3567.2,3567.2,8662,8662,1544387,1544387,1544387,19301328,19298392,19299860,22957736,22954346,22956041,206.7,114.7,1.655,155.025,124.02,62.01,1.544387,19.29986,22.956041
85,41,44,32,42,3567.2,3567.2,8662,8662,1517290,1517224,1517257,17044655,17044560,17044607.5,17868625,17862354,17865489.5,206.5,114.8,1.656,154.875,123.9,61.95,1.517257,17.0446075,17.8654895
90,41,44,32,42,3567.2,3645.6,8449,8662,867137,867175,867156,11509705,11482929,11496317,14754004,14760426,14757215,206.2,114.8,1.674,154.65,123.72,61.86,0.867156,11.496317,14.757215
95,41,44,32,42,3567.2,3567.2,8875,8449,894191,894219,894205,10688107,10715475,10701791,12313200,12313017,12313108.5,206.2,114.8,1.683,154.65,123.72,61.86,0.894205,10.701791,12.3131085
100,41,44,32,41,3567.2,3567.2,8662,8449,1564684,1564684,1564684,16602358,16600172,16601265,15708500,15715759,15712129.5,206.2,114.8,1.653,154.65,123.72,61.86,1.564684,16.601265,15.7121295
105,41,44,32,42,3567.2,3567.2,8662,8662,1529316,1529316,1529316,17973038,17977017,17975027.5,16995571,16990034,16992802.5,206.3,114.8,1.653,154.725,123.78,61.89,1.529316,17.9750275,16.9928025
110,41,44,32,42,3488.8,3567.2,8449,8662,1544399,1544399,1544399,19550764,19545975,19548369.5,23168614,23166197,23167405.5,206.4,114.7,1.655,154.8,123.84,61.92,1.544399,19.5483695,23.1674055
115,41,44,32,42,3567.2,3645.6,8662,8662,1542200,1542200,1542200,15970075,15972426,15971250.5,17095239,17103465,17099352,206.5,114.9,1.654,154.875,123.9,61.95,1.5422,15.9712505,17.099352
120,41,44,32,42,3488.8,3567.2,8449,8662,1517727,1517727,1517727,18091911,18093093,18092502,22851403,22844624,22848013.5,206.5,114.8,1.654,154.875,123.9,61.95,1.517727,18.092502,22.8480135
125,41,44,32,42,3567.2,3567.2,8662,8662,1538758,1538758,1538758,16689389,16689274,16689331.5,19549366,19549198,19549282,206.6,114.8,1.654,154.95,123.96,61.98,1.538758,16.6893315,19.549282
130,41,45,32,42,3567.2,3645.6,8662,8662,1547771,1547771,1547771,16252163,16251544,16251853.5,14887257,14894112,14890684.5,206.7,114.8,1.655,155.025,124.02,62.01,1.547771,16.2518535,14.8906845
135,41,44,32,41,3567.2,3567.2,8662,8449,1563037,1563037,1563037,17327574,17327522,17327548,16282383,16273395,16277889,206.4,114.8,1.656,154.8,123.84,61.92,1.563037,17.327548,16.277889
