time    cpu HT0     HT1       HT2       L2miss   
     505   0 1495864         0  42053309   676994
     505   3       0  44850781         0  9880969
     510   0 1518047         0  61111564   614626
     510   3       0  70369843         0 13858909
     515   3       0  60213742         0  4442055
     515   0 1507713         0  49933132   662130
     515   2       0  60258163         0 13253130
     520   2       0  48356427         0  2156947
     520   3       0  48397294         0 21344471
     525   3       0  46611802         0 12572524
     530   2       0  54148084         0 13330210
     535   0  218300         0  39295733    98426
     535   2       0  36914718         0 13490201
     540   1 1501315         0  53063711   937454
     540   0 1501315         0  53068469  1178293
     540   2       0  60603303         0 10004071
     545   3       0  66275162         0  1241850
     545   1 1491436         0  61076462  1026534
     545   2       0  66274856         0 18352332
     550   1 1521323         0  41218091   369719
     550   2       0  38544640         0 13378088
     555   1 1645125         0  48497731   382325
     555   3       0  43907888         0 17746625
     560   2       0  57125065         0  4421543
     560   0 1493667         0  50868480  1024083
     560   3       0  57130572         0  8374644
     565   1 1513936         0  34080692   444961
     570   0 1530399         0  45897907   683799
     570   2       0  53837231         0 13951527
     575   1 1492489         0  53675155  1052283
     575   0 1492489         0  53681165   603786
     575   2       0  64777814         0 10926823
     580   0 1102947         0  33040104   507500
     580   2       0  32249382         0  7604110
     580   1 1103487         0  33084635   213469
     585   2       0  20058365         0  5460571
     585   3       0  20077364         0  2421032
     590   3       0  49274467         0   696615
     590   2       0  49300326         0 11134010
     595   1 1525766         0  37911395   430344
     595   3       0  41614957         0 10600229
     600   1 1492248         0  54034798   449351
     600   3       0  66324613         0 11326350
     605   2       0  78691131         0  6549618
     605   0 1510719         0  69473952  1892553
     605   3       0  78693857         0 13321430
     610   3       0  50685542         0  6462134
     610   2       0  50734641         0 13275376
     615   0 1640258         0  55752974   650216
     615   3       0  53854469         0 12142219
     620   2       0  46193700         0 13614737
     620   0 1526988         0  41623825   661145
     620   3       0  46193355         0  2239283
     625   0 1542158         0  48604537   681342
     625   2       0  49756970         0 14263256
     630   1  760790         0  38802230   238427
     630   2       0  42251937         0   384719
