time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,45,48,34,44,3645.6,3645.6,9656,9372,759693,38335253,46969395,144737,519721,214797,1.20E+07,0.759693,38.335253,46.969395,1.44737,5.19721,2.14797,120.3542,2021,1141,1616.8,1212.6,60.63,66.693,0,0,0,0,0,0
5,45,48,34,44,3645.6,3645.6,9656,9656,756731,2.25E+07,2.79E+07,144737,8.03E+06,214797,5.66E+05,0.756731,22.51456,27.85061,1.44737,80.29718,2.14797,5.660115,2011,1141,1608.8,1206.6,60.33,66.363,0,0,0,0,0,0
10,45,48,34,44,3645.6,3645.6,9656,9656,3295554,2.25E+07,5.20E+07,2.41E+06,5.52E+06,214797,5.66E+05,3.295554,22.51456,51.97679,24.09514,55.18926,2.14797,5.660115,1995,1141,1596,1197,59.85,65.835,0,0,0,0,0,0
15,45,48,34,44,3645.6,3645.6,9372,9372,745690,2.34E+07,2.47E+07,7.67E+06,5.52E+06,214797,2.54E+05,0.74569,23.41024,24.72937,76.72342,55.18926,2.14797,2.536705,2002,1141,1601.6,1201.2,60.06,66.066,0,32,0,1207.5,0,1207500
20,46,48,34,44,3645.6,3645.6,9656,9656,1.02E+06,14101292,3.54E+07,5.68E+06,1.26E+06,214797,5.32E+05,1.019221,14.101292,35.3667,56.75835,12.5737,2.14797,5.315653,1995,1140,1596,1197,59.85,65.835,0,0,0,0,0,0
25,45,48,34,44,3645.6,3645.6,9656,9656,755352,2.75E+07,2.97E+07,5.68E+06,3325658,214797,224161,0.755352,27.54319,29.72234,56.75835,33.25658,2.14797,2.24161,2004,1142,1603.2,1202.4,60.12,66.132,0,0,0,0,0,0
30,45,48,34,44,3645.6,3645.6,9656,9656,1532454,2.75E+07,5.46E+07,7758304,590720,214797,224161,1.532454,27.54319,54.61401,77.58304,5.9072,2.14797,2.24161,2030,1141,1624,1218,60.9,66.99,0,0,0,0,0,0
35,46,48,34,44,3645.6,3645.6,9656,9656,409958,8572796,2.34E+07,6.46E+06,5.57E+04,23096,224161,0.409958,8.572796,23.41594,64.64632,0.5572033,0.23096,2.24161,1998,1141,1598.4,1198.8,59.94,65.934,0,0,0,0,0,0
40,46,48,34,44,3645.6,3645.6,9656,9372,1.25E+06,8572796,4.58E+07,4996873,8177440,23096,224161,1.24701,8.572796,45.8043,49.96873,81.7744,0.23096,2.24161,2035,1142,1628,1221,61.05,67.155,0,0,0,0,0,0
45,46,47,34,44,3645.6,3645.6,9656,9656,1.51E+06,8572796,5.03E+07,6568876,2.55E+06,23096,224161,1.508686,8.572796,50.31894,65.68876,25.5346,0.23096,2.24161,1998,1141,1598.4,1198.8,59.94,65.934,0,15,0,81,0,81000
50,46,48,34,44,3645.6,3645.6,9372,9656,7.55E+05,20594556,2.52E+07,8340204,2.55E+06,23096,2.48E+05,0.7553335,20.594556,25.16608,83.40204,25.5346,0.23096,2.479515,2005,1142,1604,1203,60.15,66.165,0,0,0,0,0,0
55,46,48,34,44,3645.6,3645.6,9656,9372,7.67E+05,23359164,2.52E+07,10020975,2.55E+06,2.47E+05,2.48E+05,0.7665665,23.359164,25.22792,100.20975,25.5346,2.471265,2.479515,2002,1142,1601.6,1201.2,60.06,66.066,0,0,0,0,0,0
60,46,48,35,44,3645.6,3645.6,9656,9656,753607,2.62E+07,2.62E+07,8.19E+06,2.55E+06,267044,2.48E+05,0.753607,26.23559,26.16273,81.93138,25.5346,2.67044,2.479515,2006,1143,1604.8,1203.6,60.18,66.198,0,0,0,0,0,0
65,45,49,35,44,3645.6,3645.6,9656,9656,1493983,2.62E+07,46468244,1164288,11036696,267044,2.48E+05,1.493983,26.23559,46.468244,11.64288,110.36696,2.67044,2.479515,1997,1142,1597.6,1198.2,59.91,65.901,0,0,0,0,0,0
70,44,50,35,44,3645.6,3645.6,9656,9656,8.19E+05,18873502,24103939,6.72E+06,11036696,267044,2.79E+05,0.8191205,18.873502,24.103939,67.24878,110.36696,2.67044,2.791675,2001,1143,1600.8,1200.6,60.03,66.033,0,0,0,0,0,0
75,44,50,35,44,3645.6,3645.6,9656,9656,7.66E+05,22878473,2.51E+07,1.19E+07,11036696,265054,2.79E+05,0.7664655,22.878473,25.12429,118.5845,110.36696,2.65054,2.791675,2005,1143,1604,1203,60.15,66.165,0,12.4,0,71.5,0,71500
80,44,51,35,44,3645.6,3645.6,9656,9372,7.66E+05,39751356,2.51E+07,1.19E+07,11036696,1115835,2.79E+05,0.7664655,39.751356,25.12429,118.5845,110.36696,11.15835,2.791675,2001,1143,1600.8,1200.6,60.03,66.033,0,0,0,0,0,0
