time,cpu,FSB,L2miss
630,0,89748104,
630,1,89752173,
632,1,,3065125
634,1,96550732,
636,0,,313350
638,1,69778872,
638,0,69796056,
640,0,,3134160
642,0,95623218,
644,0,,349539
644,1,,2053861
646,0,102411924,
646,1,102401854,
648,1,,2135584
648,0,,3806375
650,1,176751736,
650,0,176758288,
652,1,,114396
654,1,88480900,
656,0,,1052507
656,1,,1927834
658,0,90480902,
658,1,90468284,
660,1,,6616938
662,0,91820822,
662,1,91825120,
664,1,,1292181
664,0,,1219702
666,1,79875179,
666,0,79870580,
668,0,,1851375
668,1,,1476132
670,0,52385278,
672,1,,107645
672,0,,3169892
674,1,75501991,
676,1,,3306369
678,0,92206998,
678,1,92207637,
680,1,,2832322
680,0,,426949
682,1,28567820,
684,0,,218701
686,1,67474576,
686,0,67519512,
688,0,,1272107
688,1,,6666315
690,1,76524488,
692,0,,155024
692,1,,4420533
694,1,92096992,
696,0,,668210
696,1,,5446399
698,0,87637652,
698,1,87637466,
700,1,,3947516
700,0,,127924
702,1,108685676,
702,0,108690427,
704,0,,1699953
706,1,94503822,
706,0,94517724,
708,1,,1198235
708,0,,4113241
710,1,103706032,
710,0,103707686,
712,1,,104154
712,0,,3878735
714,1,89510068,
714,0,89516128,
716,1,,662071
716,0,,3384549
718,1,142767455,
718,0,142779444,
720,0,,3543306
722,0,98645282,
722,1,98657116,
724,0,,45632
724,1,,3168600
726,0,165967176,
726,1,165963090,
728,0,,892207
730,1,78362794,
732,0,,162507
734,1,147736557,
736,0,,680782
736,1,,4376325
738,1,60875370,
740,1,,4453515
742,1,162319585,
742,0,162340500,
744,1,,119476
744,0,,3811219
746,0,55359750,
748,0,,5858470
748,1,,324297
750,1,145610712,
752,1,,142793
752,0,,4449755
754,1,76445168,
754,0,76451819,
756,1,,873483
756,0,,5398881
758,1,90936272,
758,0,90920708,
760,1,,45134
760,0,,4623884
762,1,107722624,
764,1,,4539092
766,1,91657406,
768,1,,3831537
770,1,128372230,
770,0,128391402,
772,1,,88773
772,0,,4846334
774,1,81418318,
774,0,81423312,
776,0,,3340473
778,1,129748014,
780,1,,3503389
782,1,85847160,
782,0,85930221,
784,0,,645338
786,0,168101948,
786,1,168113486,
788,0,,199039
790,1,93639308,
792,1,,425904
792,0,,3541699
794,1,161225708,
794,0,161224498,
796,1,,2239683
798,1,56490627,
800,0,,32027
800,1,,4707565
802,0,164122866,
804,0,,542112
804,1,,4272878
806,0,56558718,
808,1,,5213458
808,0,,159133
810,1,153583318,
810,0,153564581,
812,1,,129603
812,0,,4298278
814,0,59089504,
814,1,59130204,
816,0,,2682089
818,1,115890741,
820,0,,89105
822,0,101415162,
824,0,,1259387
826,0,92623976,
828,0,,3656667
830,0,128895364,
830,1,128910512,
832,0,,150708
832,1,,4655772
834,0,77755362,
834,1,77753314,
836,1,,3536203
838,1,132254930,
838,0,132266999,
840,1,,3829837
842,0,84139834,
842,1,84173026,
844,0,,1729900
844,1,,2514395
846,0,146135348,
846,1,146142555,
848,1,,3452265
850,0,97255683,
852,0,,208752
852,1,,3223214
854,1,164821208,
856,1,,3054050
858,0,72715104,
860,1,,111499
860,0,,4116185
862,1,155263511,
862,0,155254872,
864,0,,3910250
866,1,61218124,
866,0,61215658,
868,1,,117401
868,0,,4784251
870,1,140252521,
872,1,,4439353
874,0,51912374,
874,1,51916344,
876,1,,5393260
876,0,,77367
878,1,139103980,
880,1,,4319612
882,0,78578231,
882,1,78584232,
884,1,,3764883
886,1,90914710,
888,0,,81447
890,0,93617946,
890,1,93746414,
892,0,,2645829
892,1,,2751362
894,1,91868240,
896,1,,3694045
896,0,,143976
898,0,120530461,
898,1,120586130,
900,1,,4103887
902,0,79960869,
904,1,,3426373
906,0,141000312,
906,1,141004756,
908,1,,3545687
910,1,79151907,
912,1,,2614991
914,0,170232400,
914,1,170218750,
916,1,,3230105
918,1,95945056,
918,0,95962444,
920,1,,1117727
920,0,,2568562
922,1,144842810,
922,0,144854357,
924,1,,2545602
926,1,67414716,
928,1,,4430455
930,1,144844792,
930,0,144925008,
932,1,,2655436
932,0,,2653123
934,1,56218148,
934,0,56214674,
936,1,,28318
936,0,,5398704
938,0,148202558,
940,1,,4497437
942,1,73782506,
944,1,,3847163
944,0,,1691799
946,0,98789624,
948,0,,4543220
950,1,90366836,
952,0,,3884893
954,1,92755330,
956,1,,96829
956,0,,3578840
958,1,127635824,
958,0,127640298,
960,0,,2369390
962,0,79621828,
962,1,79631370,
964,1,,3076692
964,0,,61478
966,1,146843631,
968,1,,3541919
970,1,76853654,
972,1,,3035162
972,0,,673666
974,0,165725296,
974,1,166523964,
976,0,,58254
976,1,,3393461
978,1,87709616,
980,1,,796851
980,0,,4097089
982,1,162868448,
982,0,163148158,
984,0,,3878376
986,1,78813470,
