Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
405	31	31	27	20	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
410	31	33	27	20	21	3150	7650	5250	7500	5325	7500	5250	7875	5250
415	30	33	27	20	21	3150	7575	5325	7425	5325	7575	5325	7950	5325
420	30	33	27	20	21	3225	7575	5250	7425	5325	7575	5250	7950	5250
425	31	35	27	20	21	3150	7575	5325	7425	5400	7575	5325	7950	5250
430	30	32	27	20	21	3150	7650	5325	7500	5325	7575	5250	7950	5250
435	34	31	27	20	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
440	30	31	27	20	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
445	29	31	27	20	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
450	29	31	27	20	21	3150	7575	5325	7500	5325	7575	5250	7950	5325
455	29	31	27	20	21	3225	7650	5325	7425	5325	7575	5250	7950	5250
460	29	31	27	20	21	3150	7650	5250	7500	5325	7500	5250	7950	5250
465	29	31	27	20	21	3150	7650	5325	7425	5325	7575	5325	7950	5250
470	29	31	27	20	21	3150	7575	5325	7425	5325	7575	5250	7950	5250
475	29	31	27	20	21	3150	7650	5325	7500	5325	7500	5250	7950	5250
480	29	31	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
485	29	31	27	20	21	3225	7575	5250	7425	5400	7575	5250	7950	5250
490	29	31	27	20	21	3150	7575	5325	7500	5400	7500	5325	7950	5325
495	29	31	27	20	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
500	29	31	27	20	21	3150	7650	5325	7425	5400	7500	5250	7950	5250
505	29	31	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
510	29	31	27	20	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
515	29	31	27	20	21	3225	7650	5325	7425	5325	7575	5250	7950	5250
520	29	31	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
525	29	31	27	20	21	3150	7575	5250	7500	5325	7500	5325	7950	5250
530	29	31	27	20	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
535	29	31	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
540	29	31	27	20	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
545	29	31	27	20	21	3150	7650	5325	7500	5400	7575	5325	7950	5250
550	29	31	27	20	21	3150	7575	5325	7425	5325	7500	5250	7950	5250
555	29	31	27	20	21	3150	7575	5325	7425	5400	7575	5325	7950	5325
560	29	32	27	20	21	3150	7650	5325	7425	5400	7500	5250	7950	5250
565	29	31	27	20	21	3150	7575	5325	7425	5325	7500	5250	7950	5325
570	29	31	27	20	21	3225	7575	5250	7425	5400	7575	5250	7950	5250
575	29	31	27	20	21	3150	7575	5325	7500	5400	7500	5250	7950	5250
580	29	31	27	20	21	3150	7575	5325	7425	5325	7575	5325	7950	5325
585	29	32	27	20	21	3150	7650	5325	7500	5325	7575	5250	7950	5250
590	29	31	27	20	21	3150	7575	5325	7425	5325	7500	5250	7950	5250
595	29	32	27	20	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
600	29	32	27	20	21	3150	7575	5250	7500	5325	7500	5250	7950	5250
605	29	32	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
610	29	32	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
615	29	32	27	20	21	3150	7650	5325	7500	5400	7500	5325	7950	5325
620	29	32	27	20	21	3150	7575	5325	7500	5400	7500	5250	7875	5250
625	29	32	27	20	21	3150	7650	5325	7425	5325	7575	5250	7950	5250
630	29	32	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
635	29	31	27	20	21	3150	7575	5250	7500	5325	7575	5250	7950	5250
640	29	31	27	20	21	3150	7575	5250	7425	5325	7500	5250	7950	5250
645	29	32	27	20	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
650	29	32	27	20	21	3150	7650	5325	7425	5325	7575	5250	7875	5250
655	29	31	27	20	21	3150	7575	5325	7425	5325	7575	5325	7950	5250
660	29	32	27	20	21	3150	7575	5325	7425	5325	7575	5325	7950	5325
665	29	31	27	20	21	3225	7575	5325	7500	5400	7575	5250	7950	5250
670	29	31	27	20	21	3150	7650	5325	7500	5325	7575	5250	7950	5250
675	30	31	27	20	21	3150	7650	5325	7500	5325	7575	5325	7950	5325
680	29	31	27	20	21	3150	7650	5325	7425	5325	7575	5250	7950	5250
685	29	31	27	20	21	3150	7575	5250	7425	5325	7575	5250	7950	5250
690	30	31	27	20	21	3150	7575	5250	7425	5400	7575	5325	7950	5250
695	29	32	27	20	21	3225	7575	5250	7425	5325	7575	5250	7950	5250
700	29	32	27	20	21	3225	7575	5325	7500	5400	7575	5325	7950	5250
705	29	32	27	20	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
710	29	32	27	20	21	3150	7650	5325	7425	5400	7575	5250	7875	5250
715	29	32	27	20	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
720	29	32	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
725	29	32	27	20	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
730	29	32	27	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
735	30	32	27	20	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
740	30	31	27	20	21	3150	7575	5325	7425	5325	7575	5250	7950	5250
745	29	32	27	20	21	3150	7650	5250	7500	5400	7575	5325	7950	5325
