time,cpu,FSB,L2miss
616,1,,1276608
616,0,,21454705
618,0,218051246,
618,1,218211590,
620,0,,13949565
622,0,215434535,
622,1,215439902,
624,1,,22184817
626,0,226237196,
628,0,,70680
628,1,,22474150
630,1,225675448,
630,0,225748672,
632,1,,59140
632,0,,22545279
634,1,219796057,
634,0,220063162,
636,0,,18257386
638,1,217268456,
640,1,,14176500
642,1,218996692,
644,0,,22309106
644,1,,465668
646,0,230812230,
648,1,,179770
648,0,,22994921
650,0,235751984,
650,1,235782596,
652,1,,23208589
654,1,225891750,
654,0,225901792,
656,1,,907042
656,0,,22622936
658,0,218837024,
658,1,219844078,
660,1,,10221596
660,0,,12362567
662,1,211345844,
662,0,211347432,
664,1,,10694650
666,0,208586306,
668,1,,21569319
670,1,210816714,
670,0,210833594,
672,1,,111405
672,0,,20135166
674,0,206494094,
676,1,,13359708
678,1,194451196,
678,0,194548033,
680,1,,8714234
680,0,,11896606
682,1,185405728,
682,0,185406302,
684,1,,814144
686,1,199178880,
688,0,,113763
688,1,,21631202
690,1,198943838,
690,0,198972670,
692,1,,57249
692,0,,19990585
694,1,196674024,
694,0,196675606,
696,1,,15506865
698,1,182716458,
700,0,,866582
700,1,,19305819
702,0,180220725,
702,1,180201982,
704,1,,19781295
706,0,179067210,
708,1,,19731844
708,0,,184057
710,1,193408766,
710,0,193345772,
712,1,,148159
712,0,,19626587
714,0,198423986,
714,1,198457780,
716,1,,19794420
718,1,177880348,
718,0,177894790,
720,1,,11706834
720,0,,9237368
722,1,164759431,
722,0,164754787,
724,1,,2272257
726,1,172395438,
726,0,172413752,
728,1,,10511830
728,0,,6877994
730,0,178497824,
732,1,,17620340
734,1,173915974,
734,0,174161908,
736,0,,14979110
738,0,147867802,
738,1,148002600,
740,1,,5730152
742,0,135281505,
742,1,135282840,
744,0,,235596
746,0,147712181,
748,1,,15411810
750,1,138876548,
750,0,138908552,
752,1,,6097615
752,0,,10099903
754,0,133074672,
754,1,133244752,
756,1,,8543664
756,0,,7983707
758,1,133558740,
760,1,,15469836
762,1,143850207,
764,1,,15427909
766,1,189020896,
768,1,,18308185
768,0,,40041258
770,1,312327642,
770,0,312312314,
772,1,,852138
772,0,,24397397
774,0,334582229,
776,1,,13583968
778,1,290819230,
780,1,,22407108
780,0,,830182
782,1,286418541,
784,1,,26791539
784,0,,142904
786,0,293600520,
788,1,,24233343
790,1,272645576,
792,0,,2501715
792,1,,21000262
794,1,273947982,
794,0,274292234,
796,1,,12480223
796,0,,11428265
798,1,314431874,
800,0,,5464038
800,1,,32953236
802,0,319421608,
802,1,319192016,
804,1,,193181
804,0,,20572478
806,1,217927628,
808,0,,86860
810,1,220222530,
810,0,220238470,
812,0,,22283316
814,1,218263228,
814,0,218258546,
816,0,,13160197
818,0,223184858,
818,1,223197652,
820,1,,23247261
822,0,231389356,
822,1,231375664,
824,0,,126669
824,1,,23097459
826,0,226458877,
828,1,,19048237
