specsingle.sh: Executing gromacs benchmark.
specsingle.sh: Destination directory is /usr/home/awl8049/scheduler/
specsingle.sh: Using tas3gromacs as id for this run
specsingle.sh: Clearing memory on power meter
specsingle.sh: Restarting teaplant.
And now we start the Specsingle gromacs benchmark at 
/usr/local/cpu2006 /usr/home2/awl8049/dissertation/vmpowermgt/Programs/sched_data_collect
runspec v4662 - Copyright 1999-2006 Standard Performance Evaluation Corporation
Using 'linux-suse101-i386' tools
Reading MANIFEST... 17934 files
Loading runspec modules...............
Locating benchmarks...found 31 benchmarks in 12 benchsets.
Locating output formats: ASCII, config, CSV, flags, HTML, mail, PDF, PostScript, raw, Screen, Submission Check
Reading config file '/usr/local/cpu2006/config/schedtas.cfg'
Benchmarks selected: 435.gromacs
Compiling Binaries
  Building 435.gromacs ref base i386-m32-gcc42-nn default: (build_base_i386-m32-gcc42-nn.0000)
specmake clean 2> make.clean.err | tee make.clean.out
rm -rf gromacs gromacs.exe *.o  *.fppized.f*
find . \( -name \*.o -o -name '*.fppized.f*' \) -print | xargs rm -rf
rm -rf core 
specmake build 2> make.err | tee make.out
g95 -c -o flincs.o    -O2                flincs.f
specperl /usr/local/cpu2006/bin/specpp   -DSPEC_CPU -DNDEBUG   fsettle.F -o fsettle.fppized.f
g95 -c -o fsettle.fppized.o    -O2                fsettle.fppized.f
g95 -c -o fshake.o    -O2                fshake.f
g95 -c -o innerf.o    -O2                innerf.f
g95 -c -o flincsd.o    -O2                flincsd.f
specperl /usr/local/cpu2006/bin/specpp   -DSPEC_CPU -DNDEBUG   fsettled.F -o fsettled.fppized.f
g95 -c -o fsettled.fppized.o    -O2                fsettled.fppized.f
g95 -c -o fshaked.o    -O2                fshaked.f
gcc -c -o 3dview.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                3dview.c
gcc -c -o atomprop.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                atomprop.c
gcc -c -o binio.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                binio.c
gcc -c -o block_tx.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                block_tx.c
gcc -c -o bondfree.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                bondfree.c
gcc -c -o buffer.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                buffer.c
gcc -c -o calcgrid.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                calcgrid.c
gcc -c -o calch.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                calch.c
gcc -c -o calcmu.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                calcmu.c
gcc -c -o calcvir.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                calcvir.c
gcc -c -o clincs.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                clincs.c
gcc -c -o comlib.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                comlib.c
gcc -c -o confio.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                confio.c
gcc -c -o constr.o -DSPEC_CPU -DNDEBUG  -I. -DHAVE_CONFIG_H  -O2                constr.c
