Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
95,41,42,32,41,3567.2,3567.2,8662,8236,1173686,1173617,1173651.5,15650811,15677655,15664233,18269535,18257235,18263385,389058,219422,376001,440527,206,114.4,1.67,154.5,123.6,61.8,61.182,1.17,15.66,18.26,3.89,2.19,3.76,4.41,0,1.6,0,6.8,0,6963.2
100,40,43,32,40,3567.2,3567.2,8662,8236,1545296,1545296,1545296,15775316,15776006,15775661,17608331,17611144,17609737.5,398095,227202,389705,469246,206,114.4,1.67,154.5,123.6,61.8,61.182,1.55,15.78,17.61,3.98,2.27,3.9,4.69,0,0,0,0,0,0
105,40,43,32,41,3567.2,3567.2,8449,8449,1537607,1537607,1537607,15579257,15578487,15578872,15901169,15906180,15903674.5,482504,343907,334375,261690,206.1,114.4,1.67,154.58,123.66,61.83,61.2117,1.54,15.58,15.9,4.83,3.44,3.34,2.62,0,0.2,0,4.6,0,4710.4
110,40,43,32,41,3567.2,3567.2,8449,8449,1517982,1517982,1517982,16090957,16088870,16089913.5,17595340,17591102,17593221,423060,198717,420303,393969,206.2,114.4,1.67,154.65,123.72,61.86,61.2414,1.52,16.09,17.59,4.23,1.99,4.2,3.94,0,0,0,0,0,0
115,40,43,32,41,3567.2,3567.2,8662,8449,1520866,1520866,1520866,15886655,15887985,15887320,17711784,17707669,17709726.5,389783,193478,433283,407316,206.3,114.3,1.67,154.73,123.78,61.89,61.2711,1.52,15.89,17.71,3.9,1.93,4.33,4.07,0,0,0,0,0,0
120,40,43,32,41,3567.2,3488.8,8662,8236,1564341,1564323,1564332,17303758,17304599,17304178.5,20411878,20409682,20410780,438403,150827,414148,810927,206.4,114.4,1.67,154.8,123.84,61.92,61.3008,1.56,17.3,20.41,4.38,1.51,4.14,8.11,0,0.2,0,1.9,0,1945.6
125,40,43,32,41,3567.2,3567.2,8662,8236,1514868,1514886,1514877,16631879,16628094,16629986.5,19215846,19222656,19219251,416144,204139,444414,423272,206.1,114.6,1.67,154.58,123.66,61.83,61.2117,1.51,16.63,19.22,4.16,2.04,4.44,4.23,0,1.6,0,7.2,0,7372.8
130,40,43,32,41,3567.2,3567.2,8449,8449,1519844,1519844,1519844,16570897,16571548,16571222.5,18366701,18365383,18366042,365588,240616,535656,344516,205.8,114.5,1.73,154.35,123.48,61.74,61.1226,1.52,16.57,18.37,3.66,2.41,5.36,3.45,0,0,0,0,0,0
135,40,43,32,41,3567.2,3645.6,8662,8449,1520773,1520773,1520773,15088144,15094067,15091105.5,16865366,16870622,16867994,312307,246986,435203,346008,205.8,114.6,1.67,154.35,123.48,61.74,61.1226,1.52,15.09,16.87,3.12,2.47,4.35,3.46,0,0.2,0,2.4,0,2457.6
140,40,42,32,40,3488.8,3567.2,8662,8236,223439,223429,223434,3055357,3052966,3054161.5,3352048,3344189,3348118.5,115299,33408,25290,125224,206.1,114.6,1.68,154.58,123.66,61.83,61.2117,0.22,3.05,3.35,1.15,0.33,0.25,1.25,0,0,0,0,0,0
145,40,42,32,40,3567.2,3567.2,8662,8449,1532988,1532998,1532993,16146661,16144164,16145412.5,17898151,17900335,17899243,368139,222471,478096,340801,206,114.4,1.67,154.5,123.6,61.8,61.182,1.53,16.15,17.9,3.68,2.22,4.78,3.41,0,0,0,0,0,0
150,41,42,32,41,3567.2,3567.2,8449,8236,1572103,1572077,1572090,17495653,17494187,17494920,20489805,20483867,20486836,390302,240027,857187,348355,206,114.5,1.68,154.5,123.6,61.8,61.182,1.57,17.49,20.49,3.9,2.4,8.57,3.48,0,0.4,0,1.9,0,1945.6
155,41,42,32,40,3567.2,3567.2,8449,8236,1547664,1547684,1547674,15570543,15571830,15571186.5,16745253,16747261,16746257,471696,324976,439404,234893,206,114.5,1.68,154.5,123.6,61.8,61.182,1.55,15.57,16.75,4.72,3.25,4.39,2.35,0,1.4,0,6.4,0,6553.6
160,41,42,32,41,3567.2,3567.2,8449,8449,1556852,1556858,1556855,16931099,16931621,16931360,17369810,17373707,17371758.5,511224,261980,481962,221920,206.1,114.5,1.68,154.58,123.66,61.83,61.2117,1.56,16.93,17.37,5.11,2.62,4.82,2.22,0,0,0,0,0,0
165,41,42,32,41,3567.2,3645.6,8449,8236,1535195,1535173,1535184,15319885,15319388,15319636.5,15668378,15663227,15665802.5,515306,298719,393722,199716,206.2,114.5,1.67,154.65,123.72,61.86,61.2414,1.54,15.32,15.67,5.15,2.99,3.94,2,0,0.2,0,2.3,0,2355.2
170,40,42,32,40,3567.2,3567.2,8449,8236,1547866,1547888,1547877,14745350,14748575,14746962.5,14805492,14811586,14808539,474550,355197,434332,158819,206.4,114.5,1.67,154.8,123.84,61.92,61.3008,1.55,14.75,14.81,4.75,3.55,4.34,1.59,0,0,0,0,0,0
175,40,43,32,41,3567.2,3567.2,8662,8449,1552823,1552823,1552823,14779907,14776840,14778373.5,15206224,15205176,15205700,546555,285707,436775,150608,205.9,114.5,1.66,154.43,123.54,61.77,61.1523,1.55,14.78,15.21,5.47,2.86,4.37,1.51,0,0,0,0,0,0
180,40,42,32,41,3567.2,3645.6,8662,8449,1541205,1541171,1541188,17850402,17850227,17850314.5,20459960,20454563,20457261.5,506453,268222,735597,346214,205.8,114.4,1.71,154.35,123.48,61.74,61.1226,1.54,17.85,20.46,5.06,2.68,7.36,3.46,0,0,0,0,0,0
185,41,42,32,41,3567.2,3567.2,8662,8236,1246565,1246633,1246599,9741877,9717612,9729744.5,10765497,10778139,10771818,262475,220057,212848,213802,205.9,114.5,1.66,154.43,123.54,61.77,61.1523,1.25,9.73,10.77,2.62,2.2,2.13,2.14,0,1.4,0,4.8,0,4915.2
190,41,42,32,40,3567.2,3567.2,8662,8236,515601,515567,515584,8666692,8693762,8680227,9217655,9210374,9214014.5,215528,215162,209622,184749,205.9,114.5,1.66,154.43,123.54,61.77,61.1523,0.52,8.68,9.21,2.16,2.15,2.1,1.85,0,0,0,0,0,0
195,41,42,32,40,3567.2,3567.2,8449,8449,1540042,1540020,1540031,15650872,15649717,15650294.5,17546303,17541029,17543666,372963,234214,404308,415284,205.9,114.5,1.66,154.43,123.54,61.77,61.1523,1.54,15.65,17.54,3.73,2.34,4.04,4.15,0,0.2,0,2.4,0,2457.6
200,40,42,32,41,3567.2,3567.2,8449,8236,1536398,1536420,1536409,14698985,14699383,14699184,14809460,14811288,14810374,498932,359774,319946,268565,206.1,114.5,1.66,154.58,123.66,61.83,61.2117,1.54,14.7,14.81,4.99,3.6,3.2,2.69,0,0.2,0,1.6,0,1638.4
205,40,43,32,41,3488.8,3567.2,8449,8236,1534823,1534823,1534823,15563736,15563587,15563661.5,16092069,16094829,16093449,481336,333513,349681,271382,206.1,114.6,1.66,154.58,123.66,61.83,61.2117,1.53,15.56,16.09,4.81,3.34,3.5,2.71,0,0,0,0,0,0
210,40,43,32,41,3567.2,3567.2,8662,8236,1539296,1539296,1539296,17878865,17888326,17883595.5,20444897,20449916,20447406.5,455530,332664,350759,737208,206.1,114.5,1.66,154.58,123.66,61.83,61.2117,1.54,17.88,20.45,4.56,3.33,3.51,7.37,0,0,0,0,0,0
215,41,42,32,40,3567.2,3567.2,8449,8236,1553095,1553069,1553082,14597891,14586870,14592380.5,15231409,15222900,15227154.5,446526,372543,326987,291650,206.2,114.5,1.66,154.65,123.72,61.86,61.2414,1.55,14.59,15.23,4.47,3.73,3.27,2.92,0,1.2,0,5.5,0,5632
220,40,43,32,41,3567.2,3567.2,8662,8449,1534041,1534067,1534054,15797719,15798588,15798153.5,16411758,16414795,16413276.5,461556,370406,394043,245975,206.3,114.6,1.65,154.73,123.78,61.89,61.2711,1.53,15.8,16.41,4.62,3.7,3.94,2.46,0,0,0,0,0,0
225,41,42,32,41,3567.2,3567.2,8662,8449,1519682,1519660,1519671,15747007,15745883,15746445,17747510,17744277,17745893.5,362350,195442,482431,366226,205.8,114.5,1.69,154.35,123.48,61.74,61.1226,1.52,15.75,17.75,3.62,1.95,4.82,3.66,0,0.2,0,2.4,0,2457.6
230,41,42,32,41,3567.2,3567.2,8449,8449,1547232,1547254,1547243,15270419,15271426,15270922.5,16719950,16727743,16723846.5,458591,163272,472764,341241,205.8,114.6,1.69,154.35,123.48,61.74,61.1226,1.55,15.27,16.72,4.59,1.63,4.73,3.41,0,0,0,0,0,0
235,40,42,32,41,3567.2,3567.2,8662,8449,869751,869743,869747,9556131,9532174,9544152.5,10253474,10252436,10252955,264901,234978,272861,178601,205.8,114.5,1.66,154.35,123.48,61.74,61.1226,0.87,9.54,10.25,2.65,2.35,2.73,1.79,0,0,0,0,0,0
240,41,42,32,41,3567.2,3567.2,8662,8449,893574,893582,893578,11074371,11097305,11085838,13470203,13471787,13470995,275908,179422,638503,115804,205.9,114.6,1.66,154.43,123.54,61.77,61.1523,0.89,11.09,13.47,2.76,1.79,6.39,1.16,0,0,0,0,0,0
245,41,42,32,40,3567.2,3567.2,8662,8449,1544270,1544270,1544270,14990983,14990992,14990987.5,17129473,17122237,17125855,330275,210114,472032,388181,206,114.3,1.66,154.5,123.6,61.8,61.182,1.54,14.99,17.13,3.3,2.1,4.72,3.88,0,1.2,0,6.2,0,6348.8
250,41,42,32,40,3567.2,3567.2,8449,8449,1542414,1542414,1542414,15911210,15909429,15910319.5,16196658,16200401,16198529.5,455149,369900,424698,231382,206,114.6,1.66,154.5,123.6,61.8,61.182,1.54,15.91,16.2,4.55,3.7,4.25,2.31,0,0.2,0,0.4,0,409.6
255,40,43,32,41,3567.2,3567.2,8662,8236,1649351,1649351,1649351,14643707,14645396,14644551.5,14877549,14882340,14879944.5,517443,337877,369229,199131,206.1,114.6,1.66,154.58,123.66,61.83,61.2117,1.65,14.64,14.88,5.17,3.38,3.69,1.99,0,0.6,0,4.4,0,4505.6
260,40,42,32,41,3567.2,3567.2,8662,8449,1548680,1548680,1548680,14178871,14182112,14180491.5,14240469,14236236,14238352.5,543919,329585,376241,182719,206.2,114.6,1.66,154.65,123.72,61.86,61.2414,1.55,14.18,14.24,5.44,3.3,3.76,1.83,0,0,0,0,0,0
265,40,42,32,41,3567.2,3567.2,8662,8236,1542188,1542188,1542188,15062903,15059760,15061331.5,15188840,15187877,15188358.5,498860,321729,378506,218247,206.3,114.6,1.66,154.73,123.78,61.89,61.2711,1.54,15.06,15.19,4.99,3.22,3.79,2.18,0,0,0,0,0,0
270,41,42,32,41,3567.2,3567.2,8662,8236,1550454,1550432,1550443,17922756,17926862,17924809,20829035,20823687,20826361,443363,357254,667978,401011,206.2,114.5,1.66,154.65,123.72,61.86,61.2414,1.55,17.92,20.83,4.43,3.57,6.68,4.01,0,0.2,0,1.6,0,1638.4
275,42,42,32,41,3567.2,3567.2,8662,8236,1546603,1546625,1546614,14656663,14654973,14655818,15207989,15216535,15212262,458017,303932,315500,338264,205.8,114.4,1.7,154.35,123.48,61.74,61.1226,1.55,14.66,15.21,4.58,3.04,3.16,3.38,0,1,0,4,0,4096
280,42,42,32,41,3567.2,3567.2,8449,8236,1535719,1535719,1535719,15803862,15802338,15803100,17625241,17622558,17623899.5,427296,179364,380517,481040,205.8,114.6,1.66,154.35,123.48,61.74,61.1226,1.54,15.8,17.62,4.27,1.79,3.81,4.81,0,0,0,0,0,0
285,43,42,32,40,3567.2,3567.2,8449,8236,566251,565220,565735.5,3426906,3427890,3427398,3948367,3923521,3935944,138858,21362,29240,124678,205.9,114.4,1.77,154.43,123.54,61.77,61.1523,0.57,3.43,3.94,1.39,0.21,0.29,1.25,0,0.2,0,2.4,0,2457.6
290,43,43,32,41,3488.8,3567.2,8662,8449,1208682,1209713,1209197.5,13525224,13523906,13524565,13361434,13386811,13374122.5,469909,335383,269817,283353,229.8,114.4,1.87,172.35,137.88,68.94,66.8718,1.21,13.52,13.37,4.7,3.35,2.7,2.83,0,0,0,0,0,0
295,43,42,32,40,3567.2,3567.2,8449,8449,1540287,1540287,1540287,16201070,16203044,16202057,16655750,16655439,16655594.5,442326,319337,364841,282457,234.8,114.3,1.87,176.1,140.88,70.44,68.3268,1.54,16.2,16.66,4.42,3.19,3.65,2.82,0,0.2,0,1.6,0,1638.4
300,43,42,32,41,3567.2,3567.2,8662,8023,2406905,2406905,2406905,214899056,214880244,214889650,313415432,313416659,313416045.5,71239026,8345125,2360536,635342,234,114.4,1.87,175.5,140.4,70.2,68.094,2.41,214.89,313.42,712.39,83.45,23.61,6.35,0,0,0,0,0,0
305,43,43,32,41,3567.2,3567.2,8449,8236,1540831,1540831,1540831,431316768,431341652,431329210,654660717,654656406,654658561.5,171042162,390242,566601,5592181,233.6,114.4,1.87,175.2,140.16,70.08,67.9776,1.54,431.33,654.66,1710.42,3.9,5.67,55.92,0,0,0,0,0,0
310,43,43,32,41,3567.2,3567.2,8662,8449,1544976,1544976,1544976,428484171,428458901,428471536,649527564,649532996,649530280,481862,171980181,2326413,3791490,233.4,114.5,1.87,175.05,140.04,70.02,67.9194,1.54,428.47,649.53,4.82,1719.8,23.26,37.91,0,0.2,0,7.8,0,7987.2
315,43,42,32,41,3567.2,3645.6,8662,8236,1543294,1543294,1543294,396513075,396518888,396515981.5,594088515,594087129,594087822,175374340,379652,2050826,434197,233.3,114.3,1.88,174.98,139.98,69.99,67.8903,1.54,396.52,594.09,1753.74,3.8,20.51,4.34,0,0,0,0,0,0
320,43,42,32,41,3488.8,3567.2,8662,8236,1534801,1534801,1534801,433742410,433741713,433742061.5,655502451,655499979,655501215,170972534,423456,2487604,4054638,233.2,114.4,1.87,174.9,139.92,69.96,67.8612,1.53,433.74,655.5,1709.73,4.23,24.88,40.55,0,0,0,0,0,0
325,44,43,32,41,3567.2,3567.2,8662,8449,1547095,1547095,1547095,432266165,432291420,432278792.5,653042016,653037056,653039536,171542319,398444,487075,5367787,232.9,114.3,1.96,174.68,139.74,69.87,67.7739,1.55,432.28,653.04,1715.42,3.98,4.87,53.68,0,0,0,0,0,0
330,44,43,32,41,3567.2,3567.2,8662,8236,1490222,1484196,1487209,437202220,437186702,437194461,667068864,665520103,666294483.5,27317287,143870022,289204,6060080,232.9,114.4,1.88,174.68,139.74,69.87,67.7739,1.49,437.19,666.29,273.17,1438.7,2.89,60.6,0,1.8,0,6.4,0,6553.6
335,44,42,32,41,3567.2,3567.2,8449,8236,290826,296852,293839,393156579,393147707,393152143,592471624,594024862,593248243,174744290,191056,3002167,255607,233,114.3,1.88,174.75,139.8,69.9,67.803,0.29,393.15,593.25,1747.44,1.91,30.02,2.56,0,0,0,0,0,0
340,44,42,32,41,3488.8,3567.2,8449,8236,1554672,1554672,1554672,453008632,453014249,453011440.5,683974849,683973292,683974070.5,170090090,408931,3404468,3377378,233.1,114.5,1.87,174.83,139.86,69.93,67.8321,1.55,453.01,683.97,1700.9,4.09,34.04,33.77,0,0.6,0,3.9,0,3993.6
345,44,42,32,41,3488.8,3645.6,8662,8449,1506596,1506596,1506596,399947930,399941523,399944726.5,596158277,596163273,596160775,143075908,32760191,1988113,526655,233.2,114.4,1.87,174.9,139.92,69.96,67.8612,1.51,399.94,596.16,1430.76,327.6,19.88,5.27,0,0,0,0,0,0
350,44,43,32,41,3488.8,3567.2,8662,8449,1542756,1542756,1542756,402283085,402280261,402281673,599226465,599220839,599223652,430502,176189295,2005348,486210,233.3,114.4,1.88,174.98,139.98,69.99,67.8903,1.54,402.28,599.22,4.31,1761.89,20.05,4.86,0,0,0,0,0,0
355,44,42,32,41,3567.2,3567.2,8449,8236,1522310,1522310,1522310,397336566,397370434,397353500,595437844,595446055,595441949.5,374125,175702712,549153,2407212,233.4,114.5,1.87,175.05,140.04,70.02,67.9194,1.52,397.35,595.44,3.74,1757.03,5.49,24.07,0,0,0,0,0,0
360,44,43,32,41,3567.2,3567.2,8662,8449,1541189,1541189,1541189,418185704,418171471,418178587.5,626704958,626689701,626697329.5,173497206,395097,508418,4117754,233.5,114.5,1.87,175.13,140.1,70.05,67.9485,1.54,418.18,626.7,1734.97,3.95,5.08,41.18,0,1.4,0,6.2,0,6348.8
