Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,41,43,32,41,3488.8,3567.2,8449,8449,944160,1499745,1221952.5,20374013,20600436,20487224.5,15374607,24197799,19786203,307007,374719,558030,999209,206,115.5,1.659,154.5,123.6,61.8,1.2219525,20.4872245,19.786203,3.07007,3.74719,5.5803,9.99209
5,41,43,32,41,3488.8,3567.2,8662,8662,1547337,1547341,1547339,17664598,17661539,17663068.5,21762619,21746932,21754775.5,337203,287318,419358,900107,206.1,115.4,1.644,154.575,123.66,61.83,1.547339,17.6630685,21.7547755,3.37203,2.87318,4.19358,9.00107
10,41,43,32,42,3488.8,3567.2,8449,8449,1547348,1547352,1547350,14225181,14221422,14223301.5,16879408,16904666,16892037,515180,391296,302326,296443,206.1,115.5,1.643,154.575,123.66,61.83,1.54735,14.2233015,16.892037,5.1518,3.91296,3.02326,2.96443
15,41,43,32,41,3567.2,3567.2,8449,8662,1534690,1534690,1534690,14178691,14181406,14180048.5,16788346,16795805,16792075.5,368983,258428,384062,373319,206.2,115.5,1.644,154.65,123.72,61.86,1.53469,14.1800485,16.7920755,3.68983,2.58428,3.84062,3.73319
20,41,43,32,41,3567.2,3567.2,8662,8449,1532158,1532158,1532158,14098470,14099851,14099160.5,15797721,15792165,15794943,496833,388007,318094,212711,206.3,115.4,1.644,154.725,123.78,61.89,1.532158,14.0991605,15.794943,4.96833,3.88007,3.18094,2.12711
25,41,43,32,41,3567.2,3567.2,8662,8449,1528030,1528030,1528030,14348829,14348659,14348744,16745509,16744359,16744934,395468,221210,418280,344872,206.4,115.4,1.65,154.8,123.84,61.92,1.52803,14.348744,16.744934,3.95468,2.2121,4.1828,3.44872
30,41,43,32,41,3567.2,3567.2,8449,8449,1523265,1523265,1523265,15667991,15670142,15669066.5,16691993,16698106,16695049.5,478148,439429,308951,682175,206,115.5,1.688,154.5,123.6,61.8,1.523265,15.6690665,16.6950495,4.78148,4.39429,3.08951,6.82175
35,41,43,32,41,3567.2,3567.2,8449,8662,1542101,1542101,1542101,17221203,17219543,17220373,21321441,21315733,21318587,372845,278249,395480,892649,205.9,115.5,1.675,154.425,123.54,61.77,1.542101,17.220373,21.318587,3.72845,2.78249,3.9548,8.92649
40,41,43,32,41,3567.2,3645.6,8662,8662,1430510,1391385,1410947.5,10420695,10417123,10418909,13001018,12929448,12965233,245883,147523,222795,342277,205.9,115.4,1.645,154.425,123.54,61.77,1.4109475,10.418909,12.965233,2.45883,1.47523,2.22795,3.42277
45,41,43,32,41,3567.2,3567.2,8449,8449,334241,373366,353803.5,7310308,7313005,7311656.5,8950108,9029869,8989988.5,204645,67984,205488,243220,206,115.5,1.643,154.5,123.6,61.8,0.3538035,7.3116565,8.9899885,2.04645,0.67984,2.05488,2.4322
50,41,43,32,41,3567.2,3567.2,8662,8449,1558509,1558509,1558509,14121704,14122998,14122351,17049350,17041475,17045412.5,413337,252305,396544,352186,206,115.4,1.643,154.5,123.6,61.8,1.558509,14.122351,17.0454125,4.13337,2.52305,3.96544,3.52186
