 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6783332 7789944 144 1826 0 0 0 0  0  0  0  0  0  531 1486  318  0  3 97
 0 0 0 6783584 7790056 88 1008 0 0 0  0  0  0  0  0  0  498 1130  279  0  2 98
 0 0 0 6783300 7789920 85 1820 0 1 1  0  0  0  0  0  0  489 2689  230  3  1 96
 0 0 0 6751548 7757976 1818 3076 7339 0 0 0 0 278 0 0 0 14469 7047 876 14 5 81
 0 0 0 6742668 7770916 3394 1831 14510 2 2 0 0 654 0 0 0 27964 8289 1476 7 7 86
 0 0 0 6665896 7688812 2201 9919 3 11 1 0 0 48 0  0  0 9650 10996 309 21  5 74
 0 0 0 6579860 7605956 147 1882 0 0 0 0  0  0  0  0  0  519 1631  310 25  3 72
 0 0 0 6579044 7605004 147 1870 0 0 0 0  0  0  0  0  0  529 1625  266 25  3 72
 0 0 0 6577472 7603596 147 1916 0 0 0 0  0  0  0  0  0  574 1636  303 25  3 72
 0 0 0 6576180 7602304 147 1876 0 1 1 0  0  1  0  0  0  555 1645  302 25  3 72
 0 0 0 6574804 7600764 147 1956 0 2 2 0  0  2  0  0  0  548 1625  268 25  3 72
 0 0 0 6572952 7599072 90 1056 0 0 0  0  0 13  0  0  0  551 1242  268 25  2 73
 0 0 0 6572212 7598180 58 864 0 0  0  0  0  0  0  0  0  493 1052  245 25  1 74
 0 0 0 6571392 7597360 147 1867 0 0 0 0  0  0  0  0  0  523 1631  264 25  3 72
 0 0 0 6570172 7596292 147 1876 0 0 0 0  0  0  0  0  0  577 1635  302 25  3 72
 0 0 0 6569396 7595360 147 1872 0 0 0 0  0  1  0  0  0  544 1699  295 25  3 72
 0 0 0 6567984 7594096 147 1894 0 0 0 0  0  1  0  0  0  558 1625  267 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6566764 7592896 147 1884 0 1 1 0  0  0  0  0  0  523 1635  261 25  3 72
 0 0 0 6565968 7591952 146 1870 0 0 0 0  0  0  0  0  0  500 1633  271 25  3 72
 0 0 0 6564848 7590976 147 1863 0 0 0 0  0  0  0  0  0  531 1656  266 25  3 72
 0 0 0 6564064 7590056 147 1880 0 0 0 0  0  0  0  0  0  557 1618  257 25  3 72
 0 0 0 6562820 7588948 90 1059 0 0 0  0  0  0  0  0  0  486 1234  221 25  2 73
 0 0 0 6562076 7588056 58 862 0 0  0  0  0  1  0  0  0  524 1068  247 25  2 73
 0 0 0 6560960 7586948 147 1889 0 1 1 0  0  1  0  0  0  532 1650  262 25  3 72
 0 0 0 6559676 7585812 147 1879 0 0 0 0  0  0  0  0  0  527 1600  262 25  3 72
 0 0 0 6558172 7584408 180 2045 0 1 1 0  0  0  0  0  0  587 2068  320 25  3 72
 0 0 0 6557652 7583784 147 1868 0 0 0 0  0  0  0  0  0  541 1628  264 25  3 72
 0 0 0 6556208 7582488 147 1890 0 0 0 0  0  0  0  0  0  551 1627  292 25  3 72
