Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,45,48,36,45,3567.2,3567.2,8449,8449,960638,1536319,1248478.5,20646106,19912955,20279530.5,13545257,22825042,18185149.5,364551,350537,560801,484268,208,115.2,1.66,156,124.8,62.4,1.2484785,20.2795305,18.1851495,3.64551,3.50537,5.60801,4.84268
5,45,47,36,45,3567.2,3567.2,8662,8449,1558613,1558550,1558581.5,18169465,18172876,18171170.5,19398378,19385119,19391748.5,448439,208940,410187,1064748,207.7,115.3,1.67,155.775,124.62,62.31,1.5585815,18.1711705,19.3917485,4.48439,2.0894,4.10187,10.64748
10,45,48,36,45,3567.2,3567.2,8662,8449,1539342,1539326,1539334,18694863,18753209,18724036,23567226,23506658,23536942,380881,210993,423908,894066,207.7,115.2,1.696,155.775,124.62,62.31,1.539334,18.724036,23.536942,3.80881,2.10993,4.23908,8.94066
15,45,47,36,45,3567.2,3567.2,8662,8449,1547297,1547307,1547302,16012589,15950426,15981507.5,18500559,18553135,18526847,403597,178579,417644,462600,207.8,115.3,1.661,155.85,124.68,62.34,1.547302,15.9815075,18.526847,4.03597,1.78579,4.17644,4.626
20,45,47,36,45,3567.2,3567.2,8662,8662,1551320,1551320,1551320,16042473,16043371,16042922,18371778,18371800,18371789,388998,206465,423980,431606,207.8,115.2,1.664,155.85,124.68,62.34,1.55132,16.042922,18.371789,3.88998,2.06465,4.2398,4.31606
25,45,47,36,45,3567.2,3567.2,8662,8449,1542498,1542496,1542497,16133448,16133516,16133482,18156564,18144044,18150304,427454,190402,416924,421371,207.9,115.2,1.661,155.925,124.74,62.37,1.542497,16.133482,18.150304,4.27454,1.90402,4.16924,4.21371
30,45,47,36,45,3645.6,3645.6,8662,8662,1538438,1538440,1538439,16195029,16194304,16194666.5,17126233,17147565,17136899,458167,342276,376137,271286,208.1,115.1,1.661,156.075,124.86,62.43,1.538439,16.1946665,17.136899,4.58167,3.42276,3.76137,2.71286
35,45,47,36,45,3567.2,3645.6,8662,8449,1532057,1532061,1532059,18904041,18906438,18905239.5,19797076,19799236,19798156,469637,276953,370534,1027698,208.2,115.1,1.663,156.15,124.92,62.46,1.532059,18.9052395,19.798156,4.69637,2.76953,3.70534,10.27698
40,45,47,36,45,3567.2,3567.2,8662,8662,1353110,1352371,1352740.5,12782882,12703135,12743008.5,16231249,16106193,16168721,345731,171391,229229,630852,208.2,115.2,1.662,156.15,124.92,62.46,1.3527405,12.7430085,16.168721,3.45731,1.71391,2.29229,6.30852
45,45,47,36,45,3567.2,3567.2,8662,8662,426480,427248,426864,8774440,8853152,8813796,9559732,9667142,9613437,283066,143677,189609,175827,208.3,115.2,1.664,156.225,124.98,62.49,0.426864,8.813796,9.613437,2.83066,1.43677,1.89609,1.75827
50,45,47,36,45,3567.2,3567.2,8662,8449,1534444,1534446,1534445,15944404,15944286,15944345,16689592,16701019,16695305.5,442708,381444,348016,260946,208.4,115.2,1.664,156.3,125.04,62.52,1.534445,15.944345,16.6953055,4.42708,3.81444,3.48016,2.60946
55,45,47,36,45,3567.2,3645.6,8662,8449,1525511,1525511,1525511,16080299,16079931,16080115,17115244,17113325,17114284.5,466722,335410,393299,260294,207.9,115.1,1.713,155.925,124.74,62.37,1.525511,16.080115,17.1142845,4.66722,3.3541,3.93299,2.60294
60,45,47,36,45,3567.2,3645.6,8449,8449,1559663,1559663,1559663,15958797,15959022,15958909.5,16580538,16592958,16586748,475275,349383,347641,266999,207.9,115.2,1.685,155.925,124.74,62.37,1.559663,15.9589095,16.586748,4.75275,3.49383,3.47641,2.66999
65,45,47,36,45,3567.2,3645.6,8662,8449,1555324,1555293,1555308.5,18955845,18956125,18955985,19783071,19780570,19781820.5,476547,301787,371446,995712,207.9,115.2,1.661,155.925,124.74,62.37,1.5553085,18.955985,19.7818205,4.76547,3.01787,3.71446,9.95712
70,45,47,36,45,3567.2,3645.6,8662,8449,1558624,1558610,1558617,18093055,18021299,18057177,21791406,21728756,21760081,506235,291388,348115,740014,208,115.2,1.66,156,124.8,62.4,1.558617,18.057177,21.760081,5.06235,2.91388,3.48115,7.40014
