Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
105,41,43,33,41,3567.2,3567.2,8662,8449,1548435,1548435,1548435,16849782,16848399,16849090.5,23542444,23535150,23538797,409225,286273,403777,706129,205.9,114.8,1.695,154.425,123.54,61.77,1.548435,16.8490905,23.538797,4.09225,2.86273,4.03777,7.06129
110,41,43,32,41,3488.8,3567.2,8662,8236,1531545,1531545,1531545,14961452,14962774,14962113,16462997,16465666,16464331.5,496687,373660,354465,215849,205.9,114.9,1.654,154.425,123.54,61.77,1.531545,14.962113,16.4643315,4.96687,3.7366,3.54465,2.15849
115,41,43,32,42,3567.2,3645.6,8662,8449,1523553,1523503,1523528,16080982,16079603,16080292.5,21229997,21220235,21225116,499751,364380,351216,448473,206,114.9,1.652,154.5,123.6,61.8,1.523528,16.0802925,21.225116,4.99751,3.6438,3.51216,4.48473
120,41,43,33,41,3488.8,3567.2,8662,8449,1526009,1526059,1526034,14235933,14236446,14236189.5,18739946,18746898,18743422,429808,267688,369105,467487,206,114.8,1.652,154.5,123.6,61.8,1.526034,14.2361895,18.743422,4.29808,2.67688,3.69105,4.67487
125,41,43,33,41,3488.8,3567.2,8662,8236,1536416,1536416,1536416,16405884,16405904,16405894,19197181,19200262,19198721.5,602340,194452,479377,339309,206.1,114.9,1.652,154.575,123.66,61.83,1.536416,16.405894,19.1987215,6.0234,1.94452,4.79377,3.39309
130,41,43,32,41,3488.8,3567.2,8662,8449,1543348,1543348,1543348,14063920,14062287,14063103.5,16319532,16325413,16322472.5,435689,215504,385463,413887,206.2,114.9,1.655,154.65,123.72,61.86,1.543348,14.0631035,16.3224725,4.35689,2.15504,3.85463,4.13887
135,41,43,33,41,3488.8,3567.2,8449,8449,1546833,1546833,1546833,15764797,15763951,15764374,22675157,22659565,22667361,426654,220804,364716,768654,206.3,114.8,1.652,154.725,123.78,61.89,1.546833,15.764374,22.667361,4.26654,2.20804,3.64716,7.68654
140,41,43,33,41,3567.2,3567.2,8662,8449,848591,848591,848591,6267428,6268888,6268158,7345003,7351111,7348057,176464,56086,108825,188329,206.4,114.7,1.653,154.8,123.84,61.92,0.848591,6.268158,7.348057,1.76464,0.56086,1.08825,1.88329
145,41,43,32,41,3567.2,3567.2,8662,8449,935781,935735,935758,13356682,13355306,13355994,19756597,19750543,19753570,316610,198430,294727,612900,206.4,114.7,1.655,154.8,123.84,61.92,0.935758,13.355994,19.75357,3.1661,1.9843,2.94727,6.129
150,41,43,32,41,3567.2,3567.2,8662,8449,1535103,1535149,1535126,15260944,15262023,15261483.5,18517857,18527295,18522576,495184,375563,312021,357481,206.2,114.8,1.656,154.65,123.72,61.86,1.535126,15.2614835,18.522576,4.95184,3.75563,3.12021,3.57481
