Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,47,49,38,47,3567.2,3645.6,8662,8449,1532113,1502114,1517113.5,24781050,24580571,24680810.5,30177804,28874316,29526060,596237,301742,530351,728872,208.3,115.1,1.68,156.225,124.98,62.49,1.5171135,24.6808105,29.52606,5.96237,3.01742,5.30351,7.28872
5,46,49,38,47,3567.2,3645.6,8662,8449,1525906,1525918,1525912,15782000,15787985,15784992.5,15857359,15890930,15874144.5,479378,297153,380695,244852,208.3,115.1,1.699,156.225,124.98,62.49,1.525912,15.7849925,15.8741445,4.79378,2.97153,3.80695,2.44852
10,47,49,38,47,3645.6,3567.2,8662,8449,1529173,1529091,1529132,17260801,17259418,17260109.5,21080170,21068823,21074496.5,475717,319365,345164,521532,208.3,115.1,1.667,156.225,124.98,62.49,1.529132,17.2601095,21.0744965,4.75717,3.19365,3.45164,5.21532
15,46,49,38,47,3567.2,3567.2,8662,8236,1522970,1523052,1523011,16456530,16455174,16455852,19945863,19953539,19949701,368480,195181,388455,572339,208.5,115,1.669,156.375,125.1,62.55,1.523011,16.455852,19.949701,3.6848,1.95181,3.88455,5.72339
20,47,49,38,47,3567.2,3567.2,8662,8449,1564128,1564128,1564128,15293336,15296085,15294710.5,15307970,15308807,15308388.5,470069,325586,328005,285412,208.5,115,1.671,156.375,125.1,62.55,1.564128,15.2947105,15.3083885,4.70069,3.25586,3.28005,2.85412
25,46,48,38,47,3567.2,3645.6,8662,8662,1537921,1537855,1537888,16012816,16014188,16013502,16307795,16300788,16304291.5,469387,322321,341846,319492,208.5,115,1.669,156.375,125.1,62.55,1.537888,16.013502,16.3042915,4.69387,3.22321,3.41846,3.19492
30,46,49,38,47,3567.2,3645.6,8662,8449,1531761,1531827,1531794,18773365,18770529,18771947,24148785,24157025,24152905,418209,280326,397723,679756,208.6,115.1,1.668,156.45,125.16,62.58,1.531794,18.771947,24.152905,4.18209,2.80326,3.97723,6.79756
35,46,49,38,47,3567.2,3567.2,8449,8449,1525172,1525172,1525172,16689262,16690960,16690111,17842917,17843326,17843121.5,398554,201266,434458,361910,208.6,115,1.668,156.45,125.16,62.58,1.525172,16.690111,17.8431215,3.98554,2.01266,4.34458,3.6191
40,46,49,38,47,3567.2,3567.2,8449,8449,1346686,1346500,1346593,12794462,12740878,12767670,17723094,17710238,17716666,236611,138910,257654,511885,208.7,114.9,1.67,156.525,125.22,62.61,1.346593,12.76767,17.716666,2.36611,1.3891,2.57654,5.11885
45,46,49,38,47,3567.2,3645.6,8662,8449,396326,396512,396419,9153631,9206546,9180088.5,12185729,12199621,12192675,213073,75402,180796,390096,208.8,115,1.668,156.6,125.28,62.64,0.396419,9.1800885,12.192675,2.13073,0.75402,1.80796,3.90096
50,46,49,38,47,3645.6,3567.2,8662,8662,1538315,1538315,1538315,15531645,15531368,15531506.5,15765619,15765243,15765431,437945,366458,348459,234716,208.2,115,1.72,156.15,124.92,62.46,1.538315,15.5315065,15.765431,4.37945,3.66458,3.48459,2.34716
55,46,49,38,47,3567.2,3567.2,8662,8449,1540921,1540855,1540888,16376757,16378375,16377566,17874233,17861305,17867769,376580,214744,413160,448328,208.2,115,1.693,156.15,124.92,62.46,1.540888,16.377566,17.867769,3.7658,2.14744,4.1316,4.48328
60,46,49,38,47,3567.2,3567.2,8662,8449,1535203,1535269,1535236,17962215,17961617,17961916,23929319,23940943,23935131,399136,153995,412536,786043,208.2,115,1.667,156.15,124.92,62.46,1.535236,17.961916,23.935131,3.99136,1.53995,4.12536,7.86043
65,46,49,38,47,3645.6,3567.2,8662,8449,1517445,1517445,1517445,16253887,16252644,16253265.5,17750853,17751872,17751362.5,352379,178725,439111,403599,208.2,115,1.668,156.15,124.92,62.46,1.517445,16.2532655,17.7513625,3.52379,1.78725,4.39111,4.03599
70,46,49,38,47,3567.2,3567.2,8662,8662,1525281,1525219,1525250,17476611,17477495,17477053,23002778,22990213,22996495.5,399687,186241,380153,701198,208.2,115,1.666,156.15,124.92,62.46,1.52525,17.477053,22.9964955,3.99687,1.86241,3.80153,7.01198
75,46,49,37,47,3567.2,3567.2,8662,8449,1527636,1527698,1527667,16238681,16239081,16238881,19527631,19540582,19534106.5,353181,213877,388813,538125,208.4,115,1.667,156.3,125.04,62.52,1.527667,16.238881,19.5341065,3.53181,2.13877,3.88813,5.38125
80,46,49,37,47,3567.2,3645.6,8662,8449,1518112,1518112,1518112,16273515,16271885,16272700,17499387,17498432,17498909.5,365265,222874,420244,390156,208.5,115.1,1.666,156.375,125.1,62.55,1.518112,16.2727,17.4989095,3.65265,2.22874,4.20244,3.90156
85,46,49,37,47,3567.2,3567.2,8662,8449,1537849,1537787,1537818,16102131,16104432,16103281.5,17590782,17582397,17586589.5,357520,236699,379127,476100,208.4,115,1.665,156.3,125.04,62.52,1.537818,16.1032815,17.5865895,3.5752,2.36699,3.79127,4.761
90,46,48,37,47,3567.2,3567.2,8662,8449,974814,974913,974863.5,13413111,13385239,13399175,19402013,19418964,19410488.5,221998,134470,263004,636825,208.5,115,1.667,156.375,125.1,62.55,0.9748635,13.399175,19.4104885,2.21998,1.3447,2.63004,6.36825
95,46,48,37,47,3567.2,3645.6,8662,8449,780955,780918,780936.5,9039812,9065265,9052538.5,9447363,9436099,9441731,220491,145879,159167,209300,208.4,115.1,1.666,156.3,125.04,62.52,0.7809365,9.0525385,9.441731,2.20491,1.45879,1.59167,2.093
