Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
105,45,47,36,45,3645.6,3567.2,8662,8449,1542119,1542119,1542119,16254141,16125954,16190047.5,22613635,22614317,22613976,436647,227831,379046,633915,208,114.9,1.668,156,124.8,62.4,1.542119,16.1900475,22.613976,4.36647,2.27831,3.79046,6.33915
110,45,47,36,45,3567.2,3567.2,8662,8449,1538623,1538623,1538623,13996823,16252125,15124474,20688823,20697104,20692963.5,374441,256217,296956,543338,208.2,114.9,1.663,156.15,124.92,62.46,1.538623,15.124474,20.6929635,3.74441,2.56217,2.96956,5.43338
115,45,47,36,45,3567.2,3567.2,8662,8449,1543246,1543246,1543246,13331004,13996882,13663943,15110365,15113004,15111684.5,520554,383912,287476,202700,207.7,114.9,1.67,155.775,124.62,62.31,1.543246,13.663943,15.1116845,5.20554,3.83912,2.87476,2.027
120,45,47,36,45,3567.2,3645.6,8662,8449,1555993,1555993,1555993,16085580,13332419,14708999.5,14108101,14109406,14108753.5,507892,431884,298710,220685,207.6,114.9,1.74,155.7,124.56,62.28,1.555993,14.7089995,14.1087535,5.07892,4.31884,2.9871,2.20685
125,45,47,36,45,3567.2,3645.6,8662,8662,1551187,1551145,1551166,14325661,16083326,15204493.5,21444177,21423600,21433888.5,488469,433752,342674,559441,207.6,115,1.662,155.7,124.56,62.28,1.551166,15.2044935,21.4338885,4.88469,4.33752,3.42674,5.59441
130,45,47,36,45,3567.2,3645.6,8662,8449,1535870,1535912,1535891,16182770,14326986,15254878,15936185,15943800,15939992.5,476287,370499,335232,203068,207.7,114.9,1.664,155.775,124.62,62.31,1.535891,15.254878,15.9399925,4.76287,3.70499,3.35232,2.03068
135,45,47,36,45,3567.2,3567.2,8662,8449,1530655,1530655,1530655,4401535,16179764,10290649.5,22081984,22082097,22082040.5,479481,383690,18667,486055,207.7,115,1.664,155.775,124.62,62.31,1.530655,10.2906495,22.0820405,4.79481,3.8369,0.18667,4.86055
140,45,47,36,45,3567.2,3567.2,8662,8449,765375,776922,771148.5,13038986,4400116,8719551,6883602,6905944,6894773,118168,34694,338123,259744,207.8,115,1.663,155.85,124.68,62.34,0.7711485,8.719551,6.894773,1.18168,0.34694,3.38123,2.59744
145,44,47,36,45,3488.8,3645.6,8662,8662,1012523,1000976,1006749.5,14091957,13042599,13567278,14758874,14736633,14747753.5,419780,390353,369315,196243,207.8,114.9,1.662,155.85,124.68,62.34,1.0067495,13.567278,14.7477535,4.1978,3.90353,3.69315,1.96243
150,44,47,36,45,3567.2,3645.6,8662,8449,1549645,1549645,1549645,16378247,14091946,15235096.5,16361069,16361074,16361071.5,388834,278990,370468,400547,207.8,115,1.663,155.85,124.68,62.34,1.549645,15.2350965,16.3610715,3.88834,2.7899,3.70468,4.00547
155,44,47,36,45,3567.2,3645.6,8662,8449,1534244,1534244,1534244,13902843,16377396,15140119.5,23369618,23378402,23374010,396938,252915,368209,754542,207.9,115,1.663,155.925,124.74,62.37,1.534244,15.1401195,23.37401,3.96938,2.52915,3.68209,7.54542
160,44,46,36,45,3567.2,3645.6,8662,8449,1536449,1536449,1536449,16195622,13902677,15049149.5,16001461,15992653,15997057,428046,227719,321124,361785,207.9,115,1.663,155.925,124.74,62.37,1.536449,15.0491495,15.997057,4.28046,2.27719,3.21124,3.61785
165,45,47,35,45,3567.2,3567.2,8662,8662,1530236,1530236,1530236,16477503,16198264,16337883.5,21852893,21852440,21852666.5,471484,421707,340119,481499,207.5,115,1.686,155.625,124.5,62.25,1.530236,16.3378835,21.8526665,4.71484,4.21707,3.40119,4.81499
170,44,47,36,45,3567.2,3567.2,8662,8449,1521682,1521682,1521682,13578640,16475006,15026823,19910430,19919220,19914825,498011,365373,299691,330252,207.5,115,1.695,155.625,124.5,62.25,1.521682,15.026823,19.914825,4.98011,3.65373,2.99691,3.30252
175,44,47,36,45,3567.2,3567.2,8662,8662,1549651,1549651,1549651,14597861,13578743,14088302,14684625,14676104,14680364.5,498545,421379,366349,183073,207.4,114.8,1.662,155.55,124.44,62.22,1.549651,14.088302,14.6803645,4.98545,4.21379,3.66349,1.83073
180,44,47,35,45,3567.2,3567.2,8662,8449,1546209,1546209,1546209,16820631,14596723,15708677,16635819,16635717,16635768,456494,341243,378772,283287,207.5,114.8,1.663,155.625,124.5,62.25,1.546209,15.708677,16.635768,4.56494,3.41243,3.78772,2.83287
185,44,47,35,45,3567.2,3567.2,8662,8449,1552025,1552025,1552025,3467631,16819695,10143663,23412417,23420455,23416436,452051,222346,71361,702280,207.5,115,1.674,155.625,124.5,62.25,1.552025,10.143663,23.416436,4.52051,2.22346,0.71361,7.0228
190,44,46,35,45,3567.2,3567.2,8662,8449,381098,381090,381094,15183927,3448380,9316153.5,4666889,4660968,4663928.5,80145,42528,384941,106162,212.9,114.9,1.682,159.675,127.74,63.87,0.381094,9.3161535,4.6639285,0.80145,0.42528,3.84941,1.06162
195,44,46,35,45,3567.2,3645.6,8662,8449,1396635,1396643,1396639,14814868,15206910,15010889,22392697,22395681,22394189,370682,200607,387059,672226,211.6,115,1.664,158.7,126.96,63.48,1.396639,15.010889,22.394189,3.70682,2.00607,3.87059,6.72226
