Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,40,42,32,41,3567.2,3567.2,8662,8449,1514429,945479,1229954,23138738,22451846,22795292,26541693,17413801,21977747,516914,226558,581541,880276,205.8,114.5,1.659,154.35,123.48,61.74,1.229954,22.795292,21.977747,5.16914,2.26558,5.81541,8.80276
5,40,43,32,41,3567.2,3567.2,8662,8236,1541028,1541028,1541028,16064272,16072631,16068451.5,19531030,19526442,19528736,370952,225349,403127,539650,206,114.5,1.657,154.5,123.6,61.8,1.541028,16.0684515,19.528736,3.70952,2.25349,4.03127,5.3965
10,40,42,32,41,3567.2,3567.2,8449,8236,1573021,1573021,1573021,14987576,14990399,14988987.5,16787502,16790420,16788961,413288,232956,353447,484162,206.1,114.4,1.658,154.575,123.66,61.83,1.573021,14.9889875,16.788961,4.13288,2.32956,3.53447,4.84162
15,41,42,32,41,3567.2,3567.2,8662,8449,2074283,2074265,2074274,15511655,15509307,15510481,16098256,16092642,16095449,488727,290032,350006,301920,206.2,114.5,1.658,154.65,123.72,61.86,2.074274,15.510481,16.095449,4.88727,2.90032,3.50006,3.0192
20,40,43,32,41,3488.8,3567.2,8662,8236,1540465,1540483,1540474,15171379,15172792,15172085.5,16738546,16743340,16740943,383098,212211,411206,421489,206.4,114.5,1.658,154.8,123.84,61.92,1.540474,15.1720855,16.740943,3.83098,2.12211,4.11206,4.21489
25,40,43,32,41,3567.2,3567.2,8662,8449,1537351,1537351,1537351,15117354,15120125,15118739.5,16701260,16699893,16700576.5,424617,207922,453516,331585,206.4,114.5,1.66,154.8,123.84,61.92,1.537351,15.1187395,16.7005765,4.24617,2.07922,4.53516,3.31585
30,41,42,32,41,3567.2,3567.2,8449,8449,1540728,1540706,1540717,17595461,17587269,17591365,18646156,18641960,18644058,471907,343604,772564,183145,205.9,114.5,1.704,154.425,123.54,61.77,1.540717,17.591365,18.644058,4.71907,3.43604,7.72564,1.83145
35,41,42,32,41,3567.2,3567.2,8662,8236,1531657,1531679,1531668,16196792,16202829,16199810.5,18494283,18501320,18497801.5,462146,313492,550428,200389,205.9,114.4,1.687,154.425,123.54,61.77,1.531668,16.1998105,18.4978015,4.62146,3.13492,5.50428,2.00389
40,40,42,32,41,3567.2,3567.2,8662,8449,863364,863364,863364,8032615,8029650,8031132.5,8485068,8498841,8491954.5,296079,110553,177281,172709,205.9,114.5,1.659,154.425,123.54,61.77,0.863364,8.0311325,8.4919545,2.96079,1.10553,1.77281,1.72709
45,40,43,32,41,3567.2,3567.2,8449,8236,910745,910745,910745,10773478,10756460,10764969,11378229,11366975,11372602,289646,225063,219282,243954,205.9,114.4,1.661,154.425,123.54,61.77,0.910745,10.764969,11.372602,2.89646,2.25063,2.19282,2.43954
50,40,43,32,41,3488.8,3567.2,8662,8236,1534896,1534852,1534874,15269881,15286818,15278349.5,16666732,16656772,16661752,442916,187045,383503,421936,206,114.4,1.66,154.5,123.6,61.8,1.534874,15.2783495,16.661752,4.42916,1.87045,3.83503,4.21936
55,40,42,32,40,3567.2,3567.2,8449,8449,1520066,1520110,1520088,15836199,15837359,15836779,17437858,17443364,17440611,376564,229134,401328,416288,206.1,114.6,1.66,154.575,123.66,61.83,1.520088,15.836779,17.440611,3.76564,2.29134,4.01328,4.16288
60,40,43,32,41,3567.2,3567.2,8662,8236,1518181,1518181,1518181,18403658,18406945,18405301.5,21555764,21562104,21558934,362995,159877,445432,810988,206.2,114.4,1.659,154.65,123.72,61.86,1.518181,18.4053015,21.558934,3.62995,1.59877,4.45432,8.10988
65,40,43,32,41,3567.2,3567.2,8662,8236,1548197,1548197,1548197,16040811,16035535,16038173,19068426,19065368,19066897,402853,182050,433109,484754,206.2,114.5,1.661,154.65,123.72,61.86,1.548197,16.038173,19.066897,4.02853,1.8205,4.33109,4.84754
70,40,43,32,41,3567.2,3567.2,8662,8236,1541082,1541082,1541082,15752273,15750567,15751420,17674334,17671159,17672746.5,427225,184424,543528,329686,206.3,114.5,1.661,154.725,123.78,61.89,1.541082,15.75142,17.6727465,4.27225,1.84424,5.43528,3.29686
75,40,42,32,41,3488.8,3567.2,8662,8236,1535079,1535079,1535079,15169064,15170826,15169945,17115560,17121861,17118710.5,406398,160122,453487,398421,206.3,114.5,1.661,154.725,123.78,61.89,1.535079,15.169945,17.1187105,4.06398,1.60122,4.53487,3.98421
80,40,42,32,41,3567.2,3567.2,8662,8236,1544632,1544632,1544632,15347956,15349263,15348609.5,15571355,15565900,15568627.5,504333,306430,396121,227738,205.9,114.4,1.724,154.425,123.54,61.77,1.544632,15.3486095,15.5686275,5.04333,3.0643,3.96121,2.27738
85,40,43,32,41,3567.2,3567.2,8662,8236,1533656,1533656,1533656,16579258,16582238,16580748,17192153,17191173,17191663,536218,339415,513819,234860,205.9,114.5,1.663,154.425,123.54,61.77,1.533656,16.580748,17.191663,5.36218,3.39415,5.13819,2.3486
90,41,42,32,41,3567.2,3567.2,8449,8449,597509,597578,597543.5,5625032,5596083,5610557.5,7187141,7197705,7192423,93833,54807,38658,498810,206,114.4,1.664,154.5,123.6,61.8,0.5975435,5.6105575,7.192423,0.93833,0.54807,0.38658,4.9881
95,41,42,32,41,3567.2,3567.2,8662,8236,1173686,1173617,1173651.5,15650811,15677655,15664233,18269535,18257235,18263385,389058,219422,376001,440527,206,114.4,1.665,154.5,123.6,61.8,1.1736515,15.664233,18.263385,3.89058,2.19422,3.76001,4.40527
100,40,43,32,40,3567.2,3567.2,8662,8236,1545296,1545296,1545296,15775316,15776006,15775661,17608331,17611144,17609737.5,398095,227202,389705,469246,206,114.4,1.667,154.5,123.6,61.8,1.545296,15.775661,17.6097375,3.98095,2.27202,3.89705,4.69246
105,40,43,32,41,3567.2,3567.2,8449,8449,1537607,1537607,1537607,15579257,15578487,15578872,15901169,15906180,15903674.5,482504,343907,334375,261690,206.1,114.4,1.666,154.575,123.66,61.83,1.537607,15.578872,15.9036745,4.82504,3.43907,3.34375,2.6169
110,40,43,32,41,3567.2,3567.2,8449,8449,1517982,1517982,1517982,16090957,16088870,16089913.5,17595340,17591102,17593221,423060,198717,420303,393969,206.2,114.4,1.668,154.65,123.72,61.86,1.517982,16.0899135,17.593221,4.2306,1.98717,4.20303,3.93969
115,40,43,32,41,3567.2,3567.2,8662,8449,1520866,1520866,1520866,15886655,15887985,15887320,17711784,17707669,17709726.5,389783,193478,433283,407316,206.3,114.3,1.671,154.725,123.78,61.89,1.520866,15.88732,17.7097265,3.89783,1.93478,4.33283,4.07316
120,40,43,32,41,3567.2,3488.8,8662,8236,1564341,1564323,1564332,17303758,17304599,17304178.5,20411878,20409682,20410780,438403,150827,414148,810927,206.4,114.4,1.67,154.8,123.84,61.92,1.564332,17.3041785,20.41078,4.38403,1.50827,4.14148,8.10927
125,40,43,32,41,3567.2,3567.2,8662,8236,1514868,1514886,1514877,16631879,16628094,16629986.5,19215846,19222656,19219251,416144,204139,444414,423272,206.1,114.6,1.672,154.575,123.66,61.83,1.514877,16.6299865,19.219251,4.16144,2.04139,4.44414,4.23272
130,40,43,32,41,3567.2,3567.2,8449,8449,1519844,1519844,1519844,16570897,16571548,16571222.5,18366701,18365383,18366042,365588,240616,535656,344516,205.8,114.5,1.732,154.35,123.48,61.74,1.519844,16.5712225,18.366042,3.65588,2.40616,5.35656,3.44516
135,40,43,32,41,3567.2,3645.6,8662,8449,1520773,1520773,1520773,15088144,15094067,15091105.5,16865366,16870622,16867994,312307,246986,435203,346008,205.8,114.6,1.673,154.35,123.48,61.74,1.520773,15.0911055,16.867994,3.12307,2.46986,4.35203,3.46008
140,40,42,32,40,3488.8,3567.2,8662,8236,223439,223429,223434,3055357,3052966,3054161.5,3352048,3344189,3348118.5,115299,33408,25290,125224,206.1,114.6,1.676,154.575,123.66,61.83,0.223434,3.0541615,3.3481185,1.15299,0.33408,0.2529,1.25224
145,40,42,32,40,3567.2,3567.2,8662,8449,1532988,1532998,1532993,16146661,16144164,16145412.5,17898151,17900335,17899243,368139,222471,478096,340801,206,114.4,1.674,154.5,123.6,61.8,1.532993,16.1454125,17.899243,3.68139,2.22471,4.78096,3.40801
150,41,42,32,41,3567.2,3567.2,8449,8236,1572103,1572077,1572090,17495653,17494187,17494920,20489805,20483867,20486836,390302,240027,857187,348355,206,114.5,1.676,154.5,123.6,61.8,1.57209,17.49492,20.486836,3.90302,2.40027,8.57187,3.48355
155,41,42,32,40,3567.2,3567.2,8449,8236,1547664,1547684,1547674,15570543,15571830,15571186.5,16745253,16747261,16746257,471696,324976,439404,234893,206,114.5,1.677,154.5,123.6,61.8,1.547674,15.5711865,16.746257,4.71696,3.24976,4.39404,2.34893
