Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,44,47,35,44,3567.2,3645.6,8662,8236,1531183,1531775,1531479,14468109,20591812,17529961,23501830,23552320,23527075,590052,491974,338873,525359,207.7,115.9,1.648,155.775,124.62,62.31,1.531479,17.5299605,23.527075,5.90052,4.91974,3.38873,5.25359
5,44,47,35,45,3567.2,3645.6,8662,8449,1527468,1527426,1527447,16079969,16087246,16083608,20000302,19991407,19995855,357870,209709,375669,599419,207.7,116,1.648,155.775,124.62,62.31,1.527447,16.0836075,19.9958545,3.5787,2.09709,3.75669,5.99419
10,44,47,35,44,3567.2,3567.2,8449,8236,1557317,1557359,1557338,14930390,14931083,14930737,16112163,16118081,16115122,404205,206477,377673,417120,207.8,116,1.647,155.85,124.68,62.34,1.557338,14.9307365,16.115122,4.04205,2.06477,3.77673,4.1712
15,44,47,35,44,3567.2,3567.2,8449,8449,1531518,1531518,1531518,18489352,18491617,18490485,26134685,26135899,26135292,364388,246046,387425,819433,207.9,115.9,1.649,155.925,124.74,62.37,1.531518,18.4904845,26.135292,3.64388,2.46046,3.87425,8.19433
20,44,47,35,44,3567.2,3567.2,8662,8236,1537607,1537607,1537607,14842579,14842299,14842439,16033147,16041019,16037083,444133,139548,418783,394893,207.4,116,1.664,155.55,124.44,62.22,1.537607,14.842439,16.037083,4.44133,1.39548,4.18783,3.94893
25,44,47,35,44,3567.2,3567.2,8449,8236,1548348,1548348,1548348,14276762,14274889,14275826,14496303,14490414,14493359,459234,363922,338922,222646,207.3,116,1.68,155.475,124.38,62.19,1.548348,14.2758255,14.4933585,4.59234,3.63922,3.38922,2.22646
30,44,46,35,45,3567.2,3567.2,8449,8236,1541369,1541369,1541369,16044563,16044671,16044617,17784550,17781260,17782905,438355,391213,291291,478044,207.4,116,1.649,155.55,124.44,62.22,1.541369,16.044617,17.782905,4.38355,3.91213,2.91291,4.78044
35,45,46,35,45,3567.2,3567.2,8449,8449,1545445,1545419,1545432,15621317,15619786,15620552,18030703,18026587,18028645,474375,313151,315176,438815,207.5,116,1.648,155.625,124.5,62.25,1.545432,15.6205515,18.028645,4.74375,3.13151,3.15176,4.38815
40,44,47,35,44,3645.6,3567.2,8662,8236,1315072,1315086,1315079,10604901,10587784,10596343,11569198,11577410,11573304,215116,171369,255060,262398,207.6,116,1.645,155.7,124.56,62.28,1.315079,10.5963425,11.573304,2.15116,1.71369,2.5506,2.62398
45,44,47,35,44,3645.6,3645.6,8449,8236,440060,440072,440066,11779592,11800458,11790025,18930558,18928608,18929583,203530,136394,180519,650885,207.7,116,1.648,155.775,124.62,62.31,0.440066,11.790025,18.929583,2.0353,1.36394,1.80519,6.50885
50,45,47,35,45,3567.2,3567.2,8449,8449,1550569,1550531,1550550,25274509,25270995,25272752,26246615,26237910,26242263,438376,1507346,442814,399503,207.8,115.9,1.649,155.85,124.68,62.34,1.55055,25.272752,26.2422625,4.38376,15.07346,4.42814,3.99503
55,44,46,35,44,3567.2,3567.2,8449,8449,1531730,1531768,1531749,14990352,14991356,14990854,14829982,14840892,14835437,462748,336394,320029,250021,207.8,116,1.647,155.85,124.68,62.34,1.531749,14.990854,14.835437,4.62748,3.36394,3.20029,2.50021
