Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,43,45,34,43,3645.6,3567.2,8449,8449,1541422,1542733,1542077.5,17334263,10172755,13753509,20657434,20742874,20700154,574421,475045,520635,145647,206.8,114.8,1.705,155.1,124.08,62.04,1.5420775,13.753509,20.700154,5.74421,4.75045,5.20635,1.45647
5,43,46,34,43,3567.2,3645.6,8449,8236,1539682,1539682,1539682,15266142,15270736,15268439,18479886,18480032,18479959,398081,209758,493715,320026,206.8,114.7,1.662,155.1,124.08,62.04,1.539682,15.268439,18.479959,3.98081,2.09758,4.93715,3.20026
10,43,45,34,43,3567.2,3567.2,8662,8236,1547295,1547295,1547295,13679203,13681884,13680543.5,15751990,15752460,15752225,476206,354007,382801,172477,207,114.7,1.662,155.25,124.2,62.1,1.547295,13.6805435,15.752225,4.76206,3.54007,3.82801,1.72477
15,43,45,34,43,3567.2,3645.6,8662,8449,1537361,1537361,1537361,14878845,14883942,14881393.5,17913861,17918677,17916269,480680,370281,307735,584152,207,114.7,1.664,155.25,124.2,62.1,1.537361,14.8813935,17.916269,4.8068,3.70281,3.07735,5.84152
20,43,45,34,43,3567.2,3567.2,8662,8449,1523946,1523946,1523946,14058598,14052866,14055732,17645427,17642544,17643985.5,487870,369152,312022,311687,208.2,114.6,1.663,156.15,124.92,62.46,1.523946,14.055732,17.6439855,4.8787,3.69152,3.12022,3.11687
25,43,45,34,43,3567.2,3567.2,8449,8449,1539989,1539989,1539989,13661049,13660499,13660774,14888769,14888665,14888717,534722,384334,321954,161987,207.8,114.6,1.663,155.85,124.68,62.34,1.539989,13.660774,14.888717,5.34722,3.84334,3.21954,1.61987
30,43,46,34,43,3567.2,3567.2,8449,8236,1508172,1508172,1508172,14199626,14203160,14201393,17756086,17761150,17758618,353941,211590,426548,386651,207.6,114.8,1.664,155.7,124.56,62.28,1.508172,14.201393,17.758618,3.53941,2.1159,4.26548,3.86651
35,43,46,34,43,3567.2,3567.2,8449,8449,1518965,1518965,1518965,14928209,14924844,14926526.5,18299991,18292938,18296464.5,405841,138757,440839,424860,207.5,114.9,1.659,155.625,124.5,62.25,1.518965,14.9265265,18.2964645,4.05841,1.38757,4.40839,4.2486
40,43,45,34,43,3567.2,3567.2,8662,8449,1377438,1377422,1377430,9636581,9541342,9588961.5,10925198,10926207,10925702.5,284444,221871,228429,136063,207.4,114.7,1.661,155.55,124.44,62.22,1.37743,9.5889615,10.9257025,2.84444,2.21871,2.28429,1.36063
45,43,45,34,43,3567.2,3567.2,8449,8449,370730,370746,370738,8967332,9062095,9014713.5,11643617,11649805,11646711,262714,200153,277252,384369,207.2,114.9,1.661,155.4,124.32,62.16,0.370738,9.0147135,11.646711,2.62714,2.00153,2.77252,3.84369
50,43,45,34,43,3567.2,3567.2,8662,8236,1532686,1532686,1532686,15003836,15004217,15004026.5,18524038,18516774,18520406,461012,368255,360801,279947,206.9,114.8,1.733,155.175,124.14,62.07,1.532686,15.0040265,18.520406,4.61012,3.68255,3.60801,2.79947
55,43,45,34,43,3567.2,3567.2,8662,8449,1547814,1547814,1547814,12638606,12638628,12638617,14489818,14489468,14489643,471317,384944,344688,196852,207,114.8,1.662,155.25,124.2,62.1,1.547814,12.638617,14.489643,4.71317,3.84944,3.44688,1.96852
