Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,42,45,33,42,3567.2,3567.2,8662,8236,1524860,1524572,1524716,15359307,14585029,14972168,15876161,15844033,15860097,435790,334019,334656,251141,206.7,114.8,1.66,155.025,124.02,62.01,1.524716,14.972168,15.860097,4.3579,3.34019,3.34656,2.51141
5,42,45,33,42,3567.2,3567.2,8662,8449,1544061,1544067,1544064,16079609,16077158,16078383.5,16014775,16030123,16022449,462412,340615,363035,334013,206.8,114.8,1.66,155.1,124.08,62.04,1.544064,16.0783835,16.022449,4.62412,3.40615,3.63035,3.34013
10,42,45,33,42,3567.2,3567.2,8662,8449,1547714,1547696,1547705,17594477,17595963,17595220,21850322,21847168,21848745,378211,170667,440220,605093,207,114.9,1.66,155.25,124.2,62.1,1.547705,17.59522,21.848745,3.78211,1.70667,4.4022,6.05093
15,42,45,33,42,3567.2,3567.2,8449,8236,1516921,1516929,1516925,16744177,16740120,16742148.5,18721755,18722160,18721957.5,388256,153668,511834,377469,207.1,114.9,1.661,155.325,124.26,62.13,1.516925,16.7421485,18.7219575,3.88256,1.53668,5.11834,3.77469
20,42,45,33,42,3567.2,3567.2,8662,8236,1533212,1533177,1533194.5,15845182,15849492,15847337,17066595,17024706,17045650.5,402710,217549,504281,282852,207.1,114.9,1.661,155.325,124.26,62.13,1.5331945,15.847337,17.0456505,4.0271,2.17549,5.04281,2.82852
25,42,45,33,42,3488.8,3645.6,8662,8449,1531191,1531192,1531191.5,18003755,18001770,18002762.5,18009825,18048967,18029396,680041,359602,417636,195243,207.2,114.7,1.663,155.4,124.32,62.16,1.5311915,18.0027625,18.029396,6.80041,3.59602,4.17636,1.95243
30,42,45,33,42,3488.8,3567.2,8449,8236,1529591,1529635,1529613,15956613,15958965,15957789,16303569,16308229,16305899,447495,326441,344165,291871,206.7,114.8,1.732,155.025,124.02,62.01,1.529613,15.957789,16.305899,4.47495,3.26441,3.44165,2.91871
35,42,45,33,42,3488.8,3567.2,8662,8449,1552093,1552093,1552093,15486261,15472878,15479569.5,15441702,15444402,15443052,484383,388939,321196,292637,206.7,114.9,1.684,155.025,124.02,62.01,1.552093,15.4795695,15.443052,4.84383,3.88939,3.21196,2.92637
40,42,45,33,42,3567.2,3645.6,8662,8236,1340534,1340578,1340556,12091791,10590970,11341380.5,13189106,13196771,13192938.5,255697,174374,215422,404611,206.7,114.8,1.664,155.025,124.02,62.01,1.340556,11.3413805,13.1929385,2.55697,1.74374,2.15422,4.04611
45,42,45,33,42,3567.2,3645.6,8662,8023,423285,423241,423263,7306061,8815504,8060782.5,9047315,9039636,9043475.5,294548,162885,160079,141032,206.8,114.8,1.665,155.1,124.08,62.04,0.423263,8.0607825,9.0434755,2.94548,1.62885,1.60079,1.41032
