time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,18288817,13513371,1.8288817,1.3513371,54,60,38,30,36,27,15,39,28,29,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1624,1299.2,974.4,48.72,48.72,8.5,10.1
20,4652420,3495422,0.465242,0.3495422,57,57,38,30,36,27,15,39,28,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1508,1206.4,904.8,45.24,45.24,0,101.7
30,13420376,9728121,1.3420376,0.9728121,54,60,38,30,36,27,14,39,28,30,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1375,1100,825,41.25,41.25,0,0
40,21312022,15800282,2.1312022,1.5800282,57,57,38,30,36,27,14,39,28,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1374,1099.2,824.4,41.22,41.22,0,0
50,8731191,6178306,0.8731191,0.6178306,57,57,38,30,36,27,15,39,28,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1500,1200,900,45,45,0,15.9
60,14643202,11644390,1.4643202,1.164439,53,60,38,29,36,27,15,39,28,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1468,1174.4,880.8,44.04,44.04,0,0
70,18331822,12779585,1.8331822,1.2779585,53,60,38,29,36,27,14,39,28,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1536,1228.8,921.6,46.08,46.08,0,0
80,15351296,10298157,1.5351296,1.0298157,57,58,38,30,36,27,14,39,28,29,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1506,1204.8,903.6,45.18,45.18,0,17
90,12009631,10155982,1.2009631,1.0155982,57,57,38,30,36,27,14,39,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1431,1144.8,858.6,42.93,42.93,0,0
100,21034955,15514432,2.1034955,1.5514432,57,57,38,29,36,27,14,39,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1498,1198.4,898.8,44.94,44.94,0,0
