pic0: pic0=NB_ht_bus0_bandwidth,umask0=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
  5.010   1  tick 4994432504         0 4994432262         0 
 10.010   3  tick         0 4986623588         0 4986623588 
 15.010   3  tick         0 4986673865         0 4986673863 
 20.010   3  tick         0 4986615844         0 4986615846 
 25.010   0  tick 4986677193         0 4986677191         0 
 30.010   3  tick         0 4986696046         0 4986696044 
 35.010   2  tick         0 4986689392         0 4986689392 
 40.010   3  tick         0 4986685979         0 4986685981 
 40.010   0  tick 4986977575         0 4986977574         0 
 45.010   3  tick         0 4986650715         0 4986650715 
 50.010   2  tick         0 4986705337         0 4986705335 
 55.010   3  tick         0 4986720547         0 4986720545 
 60.010   3  tick         0 4986671972         0 4986671974 
 65.010   3  tick         0 4986600817         0 4986600817 
 70.010   3  tick         0 4986656416         0 4986656416 
 75.010   2  tick         0 4986675217         0 4986675217 
 80.010   3  tick         0 4986666333         0 4986666333 
 85.010   2  tick         0 4986662794         0 4986662796 
 85.010   3  tick         0 4986725038         0 4986725038 
 85.010   0  tick 4986994482         0 4986994481         0 
 90.010   2  tick         0 4986715089         0 4986715089 
 95.010   3  tick         0 4986717779         0 4986717779 
100.010   3  tick         0 4986642415         0 4986642416 
105.010   3  tick         0 4986664738         0 4986664737 
110.010   2  tick         0 4986617792         0 4986617791 
115.010   2  tick         0 4986674773         0 4986674775 
120.010   2  tick         0 4986632419         0 4986632419 
125.010   3  tick         0 4986664671         0 4986664671 
125.011   0  tick 4987350295         0 4987350295         0 
130.010   3  tick         0 4986674756         0 4986674756 
135.010   2  tick         0 4986676919         0 4986676919 
140.010   3  tick         0 4986668175         0 4986668177 
145.010   3  tick         0 4986672247         0 4986672245 
150.010   3  tick         0 4986644311         0 4986644313 
155.010   3  tick         0 4986664328         0 4986664328 
160.010   3  tick         0 4986678116         0 4986678116 
165.010   3  tick         0 4986620137         0 4986620137 
170.010   2  tick         0 4986704888         0 4986704888 
175.010   3  tick         0 4986666922         0 4986666924 
180.010   3  tick         0 4986655764         0 4986655764 
185.010   2  tick         0 4986713129         0 4986713129 
190.010   2  tick         0 4986644518         0 4986644517 
195.010   3  tick         0 4986664269         0 4986664269 
200.010   2  tick         0 4986648348         0 4986648348 
205.010   0  tick 4986675290         0 4986675291         0 
210.010   3  tick         0 4986661274         0 4986661272 
210.011   0  tick 4987572894         0 4987572892         0 
215.010   3  tick         0 4986668767         0 4986668769 
220.010   3  tick         0 4986683701         0 4986683699 
225.010   3  tick         0 4986648278         0 4986648278 
230.010   2  tick         0 4986669778         0 4986669777 
235.010   3  tick         0 4986690452         0 4986690450 
240.010   2  tick         0 4986677303         0 4986677301 
245.010   2  tick         0 4986658262         0 4986658263 
250.010   0  tick 4986679604         0 4986679605         0 
255.010   3  tick         0 4986660013         0 4986660013 
255.011   2  tick         0 4987671145         0 4987671143 
260.010   2  tick         0 4985659501         0 4985659503 
