Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
584 32 34 26 18 20 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
592 29 36 26 18 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
600 29 37 26 18 20 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
608 30 36 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
616 28 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
624 31 38 26 17 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
632 33 40 26 17 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
640 31 38 26 17 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
648 32 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
656 35 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
664 33 36 26 18 20 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
672 35 36 26 18 20 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
680 33 37 26 18 20 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
688 32 35 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
696 30 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
704 33 39 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
712 31 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
720 29 38 26 17 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
728 29 39 26 17 21 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
736 34 35 26 17 21 3150 7575 5250 7425 5325 7500 5250 7950 5175 54h
744 29 38 26 18 21 3225 7575 5250 7425 5325 7575 5250 7875 5175 54h
752 29 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
760 29 38 26 18 21 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
768 33 35 26 17 21 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
776 30 39 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
784 28 38 26 17 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
792 28 39 26 17 21 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
800 29 39 26 17 21 3150 7575 5250 7425 5400 7575 5250 7875 5175 54h
808 30 39 26 17 21 3150 7575 5250 7500 5325 7500 5250 7875 5250 54h
816 33 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
824 31 39 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
832 31 39 26 17 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
840 32 39 26 17 21 3150 7575 5325 7425 5400 7575 5325 7875 5325 54h
848 32 41 26 17 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
856 32 40 26 17 21 3150 7650 5250 7500 5325 7500 5250 7875 5250 54h
864 33 36 26 18 21 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
872 32 36 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
880 31 36 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
888 33 35 26 18 21 3150 7575 5250 7425 5325 7575 5325 7875 5250 54h
896 30 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
904 30 37 26 18 21 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
912 31 39 26 18 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
920 29 38 26 18 21 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
928 32 35 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
936 31 40 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
944 32 35 26 18 21 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
952 30 37 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
960 30 38 26 18 21 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
968 29 38 26 18 21 3150 7575 5250 7500 5325 7500 5250 7950 5175 54h
976 29 38 26 18 21 3150 7650 5250 7500 5400 7575 5250 7875 5250 54h
984 34 35 26 18 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
992 32 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1000 34 40 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1008 36 39 26 18 21 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
1016 32 37 26 18 21 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
1024 35 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1032 35 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1040 33 38 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1048 34 39 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5325 54h
1056 32 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1064 32 35 26 18 21 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
1072 35 36 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1080 33 34 26 18 21 3225 7575 5250 7425 5325 7575 5250 7875 5250 54h
1088 32 35 26 18 21 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
1096 34 40 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1104 32 36 26 18 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
1112 33 34 26 18 21 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
1120 34 39 26 18 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
1128 33 34 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1136 30 37 26 18 21 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
1144 30 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1152 30 38 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1160 29 38 26 18 21 3150 7500 5250 7425 5325 7575 5250 7875 5250 54h
1168 29 39 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1176 34 42 26 18 21 3150 7500 5250 7425 5325 7500 5250 7950 5250 54h
1184 30 37 26 18 21 3150 7575 5325 7425 5400 7575 5325 7950 5325 54h
1192 31 38 26 17 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1200 30 38 26 17 21 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
1208 32 37 26 18 21 3150 7575 5250 7425 5400 7500 5325 7875 5250 54h
1216 32 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1224 33 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1232 32 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1240 32 35 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1248 31 38 26 18 21 3150 7575 5325 7425 5400 7575 5325 7875 5325 54h
1256 29 39 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1264 31 36 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1272 31 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1280 32 34 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1288 32 34 26 18 21 3150 7575 5325 7500 5400 7575 5325 7875 5325 54h
1296 33 34 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1304 30 36 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1312 33 34 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1320 31 35 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1328 32 34 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1336 30 37 26 18 21 3150 7575 5325 7500 5325 7575 5325 7950 5325 54h
1344 30 38 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1352 32 34 26 18 21 3150 7575 5250 7425 5400 7650 5250 7950 5250 54h
1360 30 37 26 18 21 3150 7575 5325 7425 5325 7575 5250 7875 5325 54h
1368 31 37 26 18 21 3150 7575 5325 7500 5400 7575 5325 7950 5325 54h
1376 34 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1384 33 37 26 18 21 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
1392 31 38 26 18 21 3150 7575 5325 7425 5325 7575 5325 7950 5325 54h
1400 32 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
