time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,22607539,16322247,0.22607539,0.16322247,53,60,37,29,35,27,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1826,1470.4,1102.8,55.14,55.14,9.5,9.3
20,12569619,8571417,0.12569619,0.08571417,54,60,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1536,1105.6,829.2,41.46,41.46,0,20.8
30,19561355,15064643,0.19561355,0.15064643,53,60,37,29,35,27,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1561,1114.4,835.8,41.79,41.79,0,0
40,10845207,8340384,0.10845207,0.08340384,58,58,37,29,35,27,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1557,1123.2,842.4,42.12,42.12,0,0
50,6916399,6010845,0.06916399,0.06010845,57,59,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1480,1400,1050,52.5,52.5,0,15
60,10526549,9176029,0.10526549,0.09176029,58,57,37,29,35,27,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1554,1114.4,835.8,41.79,41.79,0,0
70,20732966,15244657,0.20732966,0.15244657,58,58,37,29,35,26,14,38,27,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1545,1126.4,844.8,42.24,42.24,0,0
80,4020349,2989951,0.04020349,0.02989951,55,60,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1546,1104,828,41.4,41.4,0,16.1
90,16466450,12412294,0.1646645,0.12412294,56,60,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1394,1264,948,47.4,47.4,0,0
100,20351588,14479150,0.20351588,0.1447915,58,58,37,29,35,27,14,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1532,1109.6,832.2,41.61,41.61,0,0
110,8355512,5721475,0.08355512,0.05721475,57,58,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1471,1240.8,930.6,46.53,46.53,0,17.2
120,13465290,10133040,0.1346529,0.1013304,54,60,37,29,35,27,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1367,1106.4,829.8,41.49,41.49,0,0
130,8794759,6125314,0.08794759,0.06125314,54,60,37,29,35,26,14,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1362,1214.4,910.8,45.54,45.54,0,0
140,3697526,2475930,0.03697526,0.0247593,53,60,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1366,1108,831,41.55,41.55,0,18.4
150,13560590,9892075,0.1356059,0.09892075,54,60,38,29,35,27,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1372,1315.2,986.4,49.32,49.32,0,0
160,10807719,7070508,0.10807719,0.07070508,57,57,37,29,35,26,14,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1369,1355.2,1016.4,50.82,50.82,0,0
170,10037363,7081181,0.10037363,0.07081181,57,58,37,29,35,26,14,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1376,1199.2,899.4,44.97,44.97,0,19.7
180,13642635,9670807,0.13642635,0.09670807,58,58,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1370,1112.8,834.6,41.73,41.73,0,0
190,13721856,10390909,0.13721856,0.10390909,54,60,37,29,35,26,14,38,27,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1382,1119.2,839.4,41.97,41.97,0,0
200,15645536,11039019,0.15645536,0.11039019,57,58,37,29,35,26,14,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1368,1112.8,834.6,41.73,41.73,0,20.9
210,12298553,9960869,0.12298553,0.09960869,58,58,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1373,1113.6,835.2,41.76,41.76,0,0
