 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812268 7667036 91 2190 0 0 0 0  0  0  0  0  0  489 1571  275  0  3 97
 0 0 0 10812168 7666988 98 2193 0 0 0 0  0  2  0  0  0  514 1572  318  0  3 97
 0 0 0 10812360 7666980 91 2189 0 0 0 0  0 12  0  0  0  462 1570  269  0  3 97
 0 0 0 10812272 7666936 92 2190 0 0 0 0  0  0  0  0  0  451 1566  270  0  3 97
 0 0 0 10812172 7666836 96 2189 0 0 0 0  0  0  0  0  0  459 1565  261  0  3 97
 0 0 0 10811964 7666736 92 2194 0 0 0 0  0  0  0  0  0  486 1572  274  0  3 97
 0 0 0 10811932 7666700 92 2190 0 0 0 0  0  0  0  0  0  455 1571  264  0  3 97
 0 0 0 10812172 7666840 98 2191 0 0 0 0  0  2  0  0  0  516 1568  344  0  3 97
 0 0 0 10811900 7666668 92 2191 0 0 0 0  0 12  0  0  0  478 1565  275  0  3 97
 0 0 0 10812132 7666752 92 2193 0 0 0 0  0  0  0  0  0  509 1566  283  0  3 97
 1 0 0 10811924 7666744 96 2192 0 0 0 0  0  0  0  0  0  503 1566  266  0  3 97
 0 0 0 10812132 7666752 92 2190 0 0 0 0  0  0  0  0  0  455 1569  267  0  3 97
 0 0 0 10811976 7666756 92 2191 0 0 0 0  0  0  0  0  0  454 1565  262  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10811892 7666744 98 2192 0 0 0 0  0  2  0  0  0  487 1653  348  0  3 97
 0 0 0 10812120 7666744 92 2195 0 0 0 0  0 17  0  0  0  470 1569  287  0  3 97
 0 0 0 10812184 7666800 92 2194 0 0 0 0  0  0  0  0  0  474 1571  275  0  3 97
 1 0 0 10812104 7666776 96 2190 0 0 0 0  0  0  0  0  0  447 1564  269  0  3 97
 1 0 0 10811896 7666668 92 2259 0 0 0 0  0  0  0  0  0  477 1608  280  0  3 97
 0 0 0 10811856 7666624 92 2195 0 0 0 0  0  0  0  0  0  475 1568  274  0  3 97
 0 0 0 10812096 7666764 96 2194 0 0 0 0  0  2  0  0  0  521 1566  315  0  3 97
 0 0 0 10811800 7666572 92 2191 0 0 0 0  0 15  0  0  0  493 1565  285  0  3 97
 0 0 0 10812040 7666660 92 2192 0 0 0 0  0  0  0  0  0  469 1566  271  0  3 97
 0 0 0 10811832 7666672 96 2191 0 0 0 0  0  0  0  0  0  448 1565  263  0  3 97
 0 0 0 10812040 7666660 92 2193 0 0 0 0  0  0  0  0  0  504 1570  281  0  3 97
 0 0 0 10811832 7666604 92 2193 0 0 0 0  0  0  0  0  0  480 1571  266  0  3 97
 0 0 0 10811800 7666620 96 2193 0 0 0 0  0  3  0  0  0  519 1565  328  0  3 97
 0 0 0 10812028 7666652 92 2193 0 0 0 0  0 13  0  0  0  497 1567  292  0  3 97
 0 0 0 10811948 7666664 92 2193 0 0 0 0  0  0  0  0  0  483 1567  271  0  3 97
 0 0 0 10812016 7666688 96 2191 0 0 0 0  0  0  0  0  0  502 1565  290  0  3 97
 0 0 0 10811808 7666580 92 2192 0 0 0 0  0  0  0  0  0  495 1569  280  0  3 97
 0 0 0 10811828 7666540 92 2191 0 0 0 0  0  0  0  0  0  501 1566  289  0  3 97
 0 0 0 10811812 7666528 98 2196 0 0 0 0  0  2  0  0  0  523 1568  325  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10811568 7666340 92 2191 0 0 0 0  0 14  0  0  0  477 1565  286  0  3 97
 0 0 0 10811808 7666428 92 2192 0 0 0 0  0  0  0  0  0  475 1569  265  0  3 97
 0 0 0 10811600 7666440 96 2192 0 0 0 0  0  0  0  0  0  486 1566  288  0  3 97
 0 0 0 10811780 7666400 92 2192 0 0 0 0  0  0  0  0  0  463 1571  271  0  3 97
 1 0 0 10811572 7666344 92 2191 0 0 0 0  0  0  0  0  0  465 1565  266  0  3 97
 0 0 0 10811532 7666316 93 2190 0 0 0 0  0  2  0  0  0  508 1654  349  0  3 97
 0 0 0 10811756 7666384 92 2192 0 0 0 0  0 18  0  0  0  464 1567  272  0  3 97
 0 0 0 10811572 7666372 92 2193 0 0 0 0  0  0  0  0  0  465 1567  271  0  3 97
 0 0 0 10811756 7666408 95 2189 0 0 0 0  0  0  0  0  0  480 1565  274  0  3 97
 0 0 0 10811548 7666320 92 2192 0 0 0 0  0  0  0  0  0  476 1572  272  0  3 97
 0 0 0 10811616 7666368 91 2188 0 0 0 0  0  0  0  0  0  481 1571  274  0  3 97
 0 0 0 10811756 7666472 98 2193 0 0 0 0  0  2  0  0  0  507 1566  310  0  3 97
 0 0 0 10811516 7666288 92 2190 0 0 0 0  0 10  0  0  0  520 1565  302  0  3 97
 0 0 0 10811664 7666284 92 2192 0 0 0 0  0  0  0  0  0  464 1566  272  0  3 97
 0 0 0 10811432 7666288 96 2191 0 0 0 0  0  0  0  0  0  442 1566  263  0  3 97
 0 0 0 10811632 7666252 91 2191 0 0 0 0  0  0  0  0  0  474 1569  277  0  3 97
 0 0 0 10811424 7666196 92 2187 0 0 0 0  0  0  0  0  0  470 1563  292  0  3 97
 0 0 0 10811384 7666164 92 2191 0 0 0 0  0  2  0  0  0  514 1567  306  0  3 97
 0 0 0 10811608 7666236 92 2194 0 0 0 0  0 17  0  0  0  484 1568  282  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10811464 7666200 96 2189 0 0 0 0  0  0  0  0  0  505 1568  279  0  3 97
 0 0 0 10811608 7666228 92 2190 0 0 0 0  0  0  0  0  0  460 1566  265  0  3 97
 0 0 0 10811400 7666172 91 2192 0 0 0 0  0  0  0  0  0  465 1569  274  0  3 97
 0 0 0 10811368 7666136 91 2188 0 0 0 0  0  0  0  0  0  496 1566  289  0  3 97
 0 0 0 10811608 7666228 92 2193 0 0 0 0  0  2  0  0  0  487 1568  310  0  3 97
 0 0 0 10811368 7666140 92 2189 0 0 0 0  0 14  0  0  0  502 1565  294  0  3 97
 0 0 0 10811608 7666228 92 2192 0 0 0 0  0  0  0  0  0  478 1570  272  0  3 97
 0 0 0 10811304 7666160 96 2189 0 0 0 0  0  0  0  0  0  480 1565  273  0  3 97
 0 0 0 10811512 7666132 91 2188 0 0 0 0  0  0  0  0  0  477 1569  280  0  3 97
 0 0 0 10811300 7666072 92 2194 0 0 0 0  0  0  0  0  0  463 1573  278  0  3 97
 0 0 0 10811248 7666028 91 2192 0 0 0 0  0  2  0  0  0  497 1655  353  0  3 97
 0 0 0 10811488 7666108 92 2190 0 0 0 0  0  6  0  0  0  485 1565  281  0  3 97
 0 0 0 10811472 7666128 96 2189 0 0 0 0  0  0  0  0  0  496 1565  280  0  3 97
 0 0 0 10811488 7666108 92 2190 0 0 0 0  0  0  0  0  0  517 1566  302  0  3 97
 0 0 0 10811280 7666052 92 2190 0 0 0 0  0  0  0  0  0  472 1570  277  0  3 97
 0 0 0 10811456 7666120 93 2192 0 0 0 0  0  0  0  0  0  469 1568  274  0  3 97
 0 0 0 10811488 7666180 96 2193 0 0 0 0  0  2  0  0  0  518 1570  312  0  3 97
 0 0 0 10811248 7666020 92 2189 0 0 0 0  0 11  0  0  0  475 1565  301  0  3 97
 0 0 0 10811488 7666104 92 2190 0 0 0 0  0  0  0  0  0  450 1571  262  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10811280 7666120 96 2192 0 0 0 0  0  0  0  0  0  480 1568  288  0  3 97
 0 0 0 10811484 7666088 92 2188 0 0 0 0  0  0  0  0  0  493 1568  281  0  3 97
 0 0 0 10811260 7666016 94 2195 0 0 0 0  0  0  0  0  0  490 1572  273  0  3 97
 0 0 0 10811208 7665972 92 2191 0 0 0 0  0  2  0  0  0  514 1565  323  0  3 97
 0 0 0 10811448 7666052 92 2190 0 0 0 0  0  9  0  0  0  508 1565  290  0  3 97
 0 0 0 10811428 7666076 96 2191 0 0 0 0  0  0  0  0  0  525 1568  312  0  3 97
 0 0 0 10811320 7665924 92 2190 0 0 0 0  0  0  0  0  0  489 1566  272  0  3 97
 0 0 0 10811112 7665868 92 2188 0 0 0 0  0  0  0  0  0  485 1576  282  0  3 97
 0 0 0 10811288 7665948 94 2193 0 0 0 0  0  0  0  0  0  488 1575  278  0  3 97
 0 0 0 10811320 7665988 96 2193 0 0 0 0  0  3  0  0  0  541 1567  326  0  3 97
 0 0 0 10811064 7665820 91 2188 0 0 0 0  0 13  0  0  0  486 1564  284  0  3 97
 0 0 0 10811204 7665808 92 2192 0 0 0 0  0  0  0  0  0  509 1568  273  0  3 97
 0 0 0 10810996 7665836 96 2190 0 0 0 0  0  0  0  0  0  466 1565  269  0  3 97
 0 0 0 10811196 7665804 92 2189 0 0 0 0  0  0  0  0  0  494 1569  272  0  3 97
 0 0 0 10810972 7665740 97 2196 0 0 0 0  0  0  0  0  0  473 1570  267  0  3 97
 0 0 0 10810940 7665696 92 2188 0 0 0 0  0  2  0  0  0  512 1653  362  0  3 97
 1 0 0 10811180 7665784 92 2190 0 0 0 0  0  6  0  0  0  483 1565  271  0  3 97
 0 0 0 10810940 7665696 95 2192 0 0 0 0  0  0  0  0  0  467 1573  271  0  3 97
 0 0 0 10811180 7665784 92 2191 0 0 0 0  0  0  0  0  0  458 1567  264  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10810972 7665728 92 2191 0 0 0 0  0  0  0  0  0  472 1570  285  0  3 97
 0 0 0 10811128 7665776 97 2193 0 0 0 0  0  0  0  0  0  470 1570  274  0  3 97
 0 0 0 10811144 7665756 92 2190 0 0 0 0  0  4  0  0  0  541 1566  335  0  3 97
 0 0 0 10810904 7665656 92 2189 0 0 0 0  0  7  0  0  0  491 1565  278  0  3 97
 0 0 0 10811144 7665744 94 2191 0 0 0 0  0  0  0  0  0  504 1569  288  0  3 97
 0 0 0 10810936 7665740 94 2191 0 0 0 0  0  0  0  0  0  476 1567  267  0  3 97
 0 0 0 10811136 7665740 91 2189 0 0 0 0  0  0  0  0  0  482 1569  274  0  3 97
 0 0 0 10810912 7665676 97 2193 0 0 0 0  0  0  0  0  0  465 1572  277  0  3 97
 0 0 0 10810772 7665524 92 2191 0 0 0 0  0  2  0  0  0  506 1565  316  0  3 97
 0 0 0 10810904 7665504 92 2189 0 0 0 0  0  7  0  0  0  482 1565  274  0  3 97
 0 0 0 10810644 7665476 96 2190 0 0 0 0  0  0  0  0  0  501 1566  276  0  3 97
 0 0 0 10810904 7665504 92 2191 0 0 0 0  0  0  0  0  0  493 1566  265  0  3 97
 0 0 0 10810696 7665448 92 2190 0 0 0 0  0  0  0  0  0  471 1568  277  0  3 97
 0 0 0 10810760 7665488 98 2195 0 0 0 0  0  0  0  0  0  466 1568  271  0  3 97
 0 0 0 10810900 7665500 92 2191 0 0 0 0  0  2  0  0  0  529 1566  319  0  3 97
 0 0 0 10810660 7665412 91 2190 0 0 0 0  0  9  0  0  0  468 1565  274  0  3 97
 0 0 0 10810900 7665500 96 2189 0 0 0 0  0  0  0  0  0  489 1568  277  0  3 97
 0 0 0 10810688 7665440 92 2193 0 0 0 0  0  0  0  0  0  487 1568  269  0  3 97
 0 0 0 10810876 7665484 92 2187 0 0 0 0  0  0  0  0  0  469 1567  268  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10810668 7665424 98 2196 0 0 0 0  0  0  0  0  0  462 1568  265  0  3 97
 0 0 0 10810636 7665388 92 2191 0 0 0 0  0  2  0  0  0  520 1654  356  0  3 97
 0 0 0 10810800 7665400 92 2191 0 0 0 0  0 13  0  0  0  492 1565  289  0  3 97
 0 0 0 10810560 7665312 96 2192 0 0 0 0  0  0  0  0  0  484 1565  267  0  3 97
 0 0 0 10810688 7665288 92 2192 0 0 0 0  0  0  0  0  0  470 1565  278  0  3 97
 0 0 0 10810480 7665232 92 2191 0 0 0 0  0  0  0  0  0  474 1569  273  0  3 97
 0 0 0 10810652 7665324 98 2197 0 0 0 0  0  0  0  0  0  489 1571  269  0  3 97
 0 0 0 10810688 7665288 91 2194 0 0 0 0  0  2  0  0  0  486 1566  312  0  3 97
 0 0 0 10810448 7665200 92 2196 0 0 0 0  0 11  0  0  0  464 1566  275  0  3 97
 0 0 0 10810688 7665288 96 2194 0 0 0 0  0  0  0  0  0  485 1564  270  0  3 97
 0 0 0 10810632 7665324 92 2198 0 0 0 0  0  0  0  0  0  461 1567  261  0  3 97
 0 0 0 10810664 7665272 92 2200 0 0 0 0  0  0  0  0  0  466 1571  268  0  3 97
 0 0 0 10810456 7665220 98 2199 0 0 0 0  0  0  0  0  0  457 1565  264  0  3 97
 0 0 0 10810424 7665172 92 2194 0 0 0 0  0  2  0  0  0  496 1564  310  0  3 97
 0 0 0 10810664 7665264 92 2200 0 0 0 0  0  6  0  0  0  477 1568  278  0  3 97
 0 0 0 10810424 7665176 96 2201 0 0 0 0  0  0  0  0  0  465 1573  278  0  3 97
 0 0 0 10810664 7665264 91 2199 0 0 0 0  0  0  0  0  0  491 1567  274  0  3 97
 0 0 0 10810456 7665208 91 2199 0 0 0 0  0  0  0  0  0  497 1571  272  0  3 97
 0 0 0 10810664 7665272 98 2199 0 0 0 0  0  0  0  0  0  470 1567  262  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10810664 7665264 92 2198 0 0 0 0  0  3  0  0  0  540 1572  335  0  3 97
 0 0 0 10810392 7665144 91 2204 0 0 0 0  0  9  0  0  0  503 1573  292  0  3 97
 0 0 0 10810580 7665184 96 2205 0 0 0 0  0  0  0  0  0  484 1574  291  0  3 97
 0 0 0 10810448 7665088 92 2201 0 0 0 0  0  0  0  0  0  490 1569  275  0  3 97
 0 0 0 10810444 7665044 92 2204 0 0 0 0  0  0  0  0  0  484 1569  305  0  3 97
 0 0 0 10810236 7665004 98 2205 0 0 0 0  0  0  0  0  0  475 1569  269  0  3 97
 0 0 0 10810200 7664948 92 2201 0 0 0 0  0  2  0  0  0  527 1656  358  0  3 97
 0 0 0 10810444 7665004 92 2209 0 0 0 0  0  6  0  0  0  506 1575  296  0  3 97
 0 0 0 10810172 7664848 96 2205 0 0 0 0  0  0  0  0  0  478 1568  281  0  3 97
 1 0 0 10810400 7664924 92 2204 0 0 0 0  0  0  0  0  0  482 1565  269  0  3 97
 0 0 0 10809956 7664820 92 2206 0 0 0 0  0  0  0  0  0  491 1602  282  0  3 97
 0 0 0 10809836 7664864 98 2207 0 0 0 0  0  0  0  0  0  488 1569  284  0  3 97
 0 0 0 10809836 7664844 92 2203 0 0 0 0  0  2  0  0  0  505 1566  324  0  3 97
 0 0 0 10809836 7664844 56 1175 0 0 0 0  0 10  0  0  0  455 1157  231  0  2 98
 0 0 0 10809592 7664772 132 3232 0 0 0 0 0  0  0  0  0  515 1979  316  0  4 96
 0 0 0 10809812 7664832 30 595 0 0 0  0  0  0  0  0  0  419  896  199  0  1 99
 0 0 0 10809812 7664856 154 3812 0 0 0 0 0  0  0  0  0  533 2237  357  0  5 95
 0 0 0 10809812 7664864 22 153 0 0 0  0  0  0  0  0  0  405  702  177  0  1 99
 0 0 0 10809572 7664736 132 3234 0 0 0 0 0  2  0  0  0  542 2040  347  0  5 95
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10809500 7664660 127 3228 0 0 0 0 0  8  0  0  0  525 1957  326  0  4 96
 0 0 0 10809744 7664776 61 1174 0 0 0 0  0  0  0  0  0  437 1117  217  0  2 98
 0 0 0 10809472 7664632 128 3239 0 0 0 0 0  0  0  0  0  514 2016  327  0  4 95
 0 0 0 10809712 7664720 17 152 0 0 0  0  0  0  0  0  0  420  723  200  0  1 99
 0 0 0 10809504 7664708 155 3866 0 0 0 0 0  0  0  0  0  509 2251  360  0  5 94
 0 0 0 10809684 7664736 109 2599 0 0 0 0 0  2  0  0  0  526 1737  325  0  3 97
 0 0 0 10809528 7664536 56 1175 0 0 0 0  0 13  0  0  0  476 1152  247  0  2 98
 0 0 0 10809260 7664472 132 3232 0 0 0 0 0  0  0  0  0  479 1990  306  0  4 96
 0 0 0 10809504 7664512 17 153 0 0 0  0  0  0  0  0  0  411  739  188  0  1 99
 0 0 0 10809296 7664444 166 4258 0 0 0 0 0  0  0  0  0  532 2417  362  0  5 95
 0 0 0 10809500 7664516 22 154 0 0 0  0  0  0  0  0  0  451  691  192  0  0 100
 0 0 0 10809292 7664416 132 3227 0 0 0 0 0  2  0  0  0  591 2133  391  0  5 94
 0 0 0 10809256 7664376 127 3232 0 0 0 0 0 12  0  0  0  533 1960  327  0  4 96
 0 0 0 10809500 7664504 61 1175 0 0 0 0  0  0  0  0  0  441 1120  220  0  2 98
 0 0 0 10809260 7664380 127 3233 0 0 0 0 0  0  0  0  0  502 2015  326  0  4 95
 0 0 0 10809500 7664468 17 153 0 0 0  0  0  0  0  0  0  390  728  182  0  1 99
 0 0 0 10809292 7664460 156 3914 0 0 0 0 0  0  0  0  0  527 2260  349  0  5 94
 0 0 0 10809372 7664376 109 2541 0 0 0 0 0  3  0  0  0  538 1715  352  0  3 97
 0 0 0 10809372 7664340 56 1174 0 0 0 0  0  8  0  0  0  464 1148  249  0  2 98
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10808976 7664148 132 3238 0 0 0 0 0  0  0  0  0  493 1985  310  0  4 96
 0 0 0 10809220 7664188 18 154 0 0 0  0  0  0  0  0  0  410  739  189  0  1 99
 0 0 0 10809124 7664104 166 4256 0 0 0 0 0  0  0  0  0  555 2397  375  0  5 95
 0 0 0 10809092 7664108 22 154 0 0 0  0  0  0  0  0  0  421  694  192  0  0 100
 0 0 0 10808884 7664008 132 3226 0 0 0 0 0  2  0  0  0  567 2050  366  0  5 95
 0 0 0 10808848 7663968 127 3230 0 0 0 0 0 15  0  0  0  490 1967  320  0  4 96
 0 0 0 10809092 7664096 61 1174 0 0 0 0  0  0  0  0  0  426 1118  219  0  2 98
 0 0 0 10808852 7663972 127 3230 0 0 0 0 0  0  0  0  0  489 2016  310  0  4 95
 0 0 0 10809092 7664056 17 153 0 0 0  0  0  0  0  0  0  399  735  193  0  1 99
 0 0 0 10808884 7664056 152 3776 0 0 0 0 0  0  0  0  0  506 2217  346  0  5 94
 0 0 0 10809064 7664072 112 2676 0 0 0 0 0  2  0  0  0  510 1762  336  0  3 97
 0 0 0 10809052 7664028 56 1173 0 0 0 0  0  9  0  0  0  423 1144  236  0  2 98
 0 0 0 10808776 7663928 132 3227 0 0 0 0 0  0  0  0  0  515 1991  311  0  4 96
 0 0 0 10809008 7663972 17 152 0 0 0  0  0  0  0  0  0  415  739  179  0  1 99
 0 0 0 10808800 7663908 166 4246 0 0 0 0 0  0  0  0  0  532 2398  377  0  5 95
 0 0 0 10809008 7664012 22 153 0 0 0  0  0  0  0  0  0  407  692  191  0  0 99
 0 0 0 10808800 7663904 132 3217 0 0 0 0 0  3  0  0  0  591 2133  399  0  5 95
 0 0 0 10808656 7663760 127 3225 0 0 0 0 0  8  0  0  0  501 1963  323  0  4 96
 0 0 0 10808900 7663884 61 1170 0 0 0 0  0  0  0  0  0  466 1115  234  0  2 98
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10808660 7663760 127 3227 0 0 0 0 0  0  0  0  0  510 2019  311  0  4 95
 0 0 0 10808896 7663844 17 152 0 0 0  0  0  0  0  0  0  393  725  188  0  1 99
 0 0 0 10808688 7663844 146 3592 0 0 0 0 0  0  0  0  0  500 2156  329  0  5 94
 0 0 0 10808880 7663864 118 2852 0 0 0 0 0  3  0  0  0  506 1834  343  0  3 97
 0 0 0 10808836 7663796 56 1171 0 0 0 0  0  9  0  0  0  487 1149  253  0  2 98
 0 0 0 10808588 7663724 132 3222 0 0 0 0 0  0  0  0  0  537 1992  318  0  4 96
 0 0 0 10808828 7663776 17 152 0 0 0  0  0  0  0  0  0  408  739  186  0  1 99
 0 0 0 10808620 7663720 166 4242 0 0 0 0 0  0  0  0  0  521 2405  355  0  5 95
 0 0 0 10808828 7663844 22 153 0 0 0  0  0  0  0  0  0  404  689  178  0  0 100
 0 0 0 10808620 7663724 132 3212 0 0 0 0 0  2  0  0  0  514 2045  346  0  5 94
 1 0 0 10808552 7663652 127 3220 0 0 0 0 0 10  0  0  0  514 1965  328  0  4 96
 0 0 0 10808784 7663768 56 1151 0 0 0 0  0  0  0  0  0  417 1106  216  0  2 98
 0 0 0 10808544 7663644 132 3232 0 0 0 0 0  0  0  0  0  512 2027  316  0  5 95
 0 0 0 10808784 7663732 18 221 0 0 0  0  0  0  0  0  0  444  754  197  0  1 99
 0 0 0 10808576 7663748 137 3235 0 0 0 0 0  0  0  0  0  496 2046  310  0  5 95
 0 0 0 10808764 7663768 127 3199 0 0 0 0 0  2  0  0  0  534 1946  349  0  3 96
 0 0 0 10808760 7663704 56 1169 0 0 0 0  0  9  0  0  0  470 1137  257  0  2 98
 1 0 0 10808520 7663664 132 3216 0 0 0 0 0  0  0  0  0  537 1995  334  0  4 95
 0 0 0 10808760 7663704 17 152 0 0 0  0  0  0  0  0  0  428  738  176  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10808552 7663648 166 4236 0 0 0 0 0  0  0  0  0  557 2400  384  0  5 95
 0 0 0 10808760 7663776 22 153 0 0 0  0  0  0  0  0  0  398  687  178  0  0 100
 0 0 0 10808552 7663652 132 3216 0 0 0 0 0  2  0  0  0  607 2140  398  0  5 95
 0 0 0 10808516 7663616 127 3217 0 0 0 0 0  8  0  0  0  516 1975  332  0  4 96
 0 0 0 10808760 7663756 46 968 0 0 0  0  0  0  0  0  0  467 1028  235  0  1 98
 1 0 0 10808520 7663616 142 3421 0 0 0 0 0  0  0  0  0  513 2106  327  0  5 95
 0 0 0 10808760 7663704 17 152 0 0 0  0  0  0  0  0  0  418  719  195  0  1 99
 1 0 0 10808508 7663680 143 3409 0 0 0 0 0  0  0  0  0  502 2103  323  0  5 94
 0 0 0 10808660 7663660 121 3025 0 0 0 0 0  2  0  0  0  536 1886  349  0  3 96
 0 0 0 10808680 7663624 56 1166 0 0 0 0  0  5  0  0  0  469 1136  250  0  2 98
 0 0 0 10808416 7663568 132 3224 0 0 0 0 0  0  0  0  0  495 2000  313  0  4 96
 0 0 0 10808656 7663600 17 152 0 0 0  0  0  0  0  0  0  405  737  178  0  1 99
 0 0 0 10808448 7663544 166 4234 0 0 0 0 0  0  0  0  0  541 2396  360  0  5 95
 0 0 0 10808656 7663672 11 120 0 0 0  0  0  0  0  0  0  409  665  186  0  0 100
 0 0 0 10808448 7663548 143 3245 0 0 0 0 0  2  0  0  0  572 2058  366  0  5 95
 0 0 0 10808412 7663512 127 3220 0 0 0 0 0  5  0  0  0  532 1977  334  0  4 96
 0 0 0 10808656 7663652 31 524 0 0 0  0  0  0  0  0  0  417  870  192  0  1 99
 0 0 0 10808656 7663632 157 3859 0 0 0 0 0  0  0  0  0  522 2260  343  0  5 95
 0 0 0 10808656 7663600 17 152 0 0 0  0  0  0  0  0  0  434  710  190  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10808424 7663596 137 3220 0 0 0 0 0  0  0  0  0  502 2040  314  0  5 95
 0 0 0 10808552 7663512 127 3213 0 0 0 0 0  3  0  0  0  568 1959  393  0  3 96
 1 0 0 10808548 7663452 56 1170 0 0 0 0  0  7  0  0  0  461 1139  250  0  2 98
 0 0 0 10808308 7663420 132 3217 0 0 0 0 0  0  0  0  0  511 2001  313  0  4 95
 0 0 0 10808548 7663452 17 152 0 0 0  0  0  0  0  0  0  387  733  171  0  1 99
 0 0 0 10808340 7663396 166 4226 0 0 0 0 0  0  0  0  0  534 2387  359  0  5 95
 0 0 0 10808544 7663532 0 11 0  0  0  0  0  0  0  0  0  413  619  185  0  0 100
 0 0 0 10808544 7663472 98 2196 0 0 0 0  0  2  0  0  0  533 1654  369  0  3 97
 0 0 0 10808232 7663292 92 2195 0 0 0 0  0 12  0  0  0  493 1566  279  0  3 97
 0 0 0 10808476 7663432 92 2190 0 0 0 0  0  0  0  0  0  506 1567  321  0  3 97
 0 0 0 10808480 7663428 96 2196 0 0 0 0  0  0  0  0  0  479 1568  284  0  3 97
 0 0 0 10808476 7663380 92 2194 0 0 0 0  0  0  0  0  0  462 1571  270  0  3 97
 0 0 0 10808244 7663312 94 2195 0 0 0 0  0  0  0  0  0  462 1568  267  0  3 97
 0 0 0 10808208 7663264 92 2193 0 0 0 0  0  2  0  0  0  513 1106  309  0  3 97
 0 0 0 10808356 7663260 92 2197 0 0 0 0  0  7  0  0  0  464 1543  280  0  3 97
 0 0 0 10808116 7663172 95 2193 0 0 0 0  0  0  0  0  0  463 1566  260  0  3 97
 0 0 0 10808356 7663260 91 2192 0 0 0 0  0  0  0  0  0  474 1564  273  0  3 97
 0 0 0 10808148 7663204 92 2194 0 0 0 0  0  0  0  0  0  470 1569  299  0  3 97
 0 0 0 10808356 7663284 96 2196 0 0 0 0  0  0  0  0  0  485 1569  291  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10808116 7663172 94 2197 0 0 0 0  0  2  0  0  0  527 1568  316  0  3 97
 0 0 0 10808072 7663116 92 2197 0 0 0 0  0 16  0  0  0  485 1572  288  0  3 97
 0 0 0 10808316 7663256 92 2198 0 0 0 0  0  0  0  0  0  491 1566  271  0  3 97
 0 0 0 10808088 7663160 96 2197 0 0 0 0  0  0  0  0  0  439 1566  258  0  3 97
 0 0 0 10808296 7663192 92 2198 0 0 0 0  0  0  0  0  0  474 1570  278  0  3 97
 0 0 0 10808084 7663132 97 2203 0 0 0 0  0  0  0  0  0  445 1567  271  0  3 97
 0 0 0 10808260 7663192 92 2200 0 0 0 0  0  2  0  0  0  509 1571  307  0  3 97
 0 0 0 10808292 7663180 92 2201 0 0 0 0  0 11  0  0  0  493 1567  306  0  3 97
 0 0 0 10808052 7663092 96 2200 0 0 0 0  0  0  0  0  0  471 1569  269  0  3 97
 0 0 0 10808292 7663180 92 2201 0 0 0 0  0  0  0  0  0  480 1566  279  0  3 97
 0 0 0 10808084 7663124 92 2202 0 0 0 0  0  0  0  0  0  468 1572  271  0  3 97
 0 0 0 10808292 7663188 97 2205 0 0 0 0  0  0  0  0  0  479 1569  307  0  3 97
 0 0 0 10808084 7663128 93 2201 0 0 0 0  0  2  0  0  0  512 1656  363  0  3 97
 0 0 0 10808048 7663092 91 2201 0 0 0 0  0 10  0  0  0  498 1567  305  0  3 97
 0 0 0 10808292 7663184 96 2202 0 0 0 0  0  0  0  0  0  459 1567  269  0  3 97
 0 0 0 10808272 7663208 92 2203 0 0 0 0  0  0  0  0  0  456 1569  267  0  3 97
