 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10813364 7668172 92 2185 0 0 0 0  0  0  0  0  0  467 1570  274  0  3 97
 0 0 0 10813564 7668232 94 2181 0 0 0 0  0  2  0  0  0  490 1655  352  0  3 97
 0 0 0 10813356 7668212 95 2183 0 0 0 0  0  9  0  0  0  487 1568  281  0  3 97
 0 0 0 10813512 7668160 92 2185 0 0 0 0  0  0  0  0  0  492 1572  281  0  3 97
 0 0 0 10813512 7668176 92 2184 0 0 0 0  0  0  0  0  0  486 1569  277  0  3 97
 0 0 0 10813272 7668128 96 2189 0 0 0 0  0  0  0  0  0  480 1580  288  0  3 97
 0 0 0 10813512 7668160 92 2185 0 0 0 0  0  0  0  0  0  484 1572  279  0  3 97
 0 0 0 10813516 7668192 98 2185 0 0 0 0  0  3  0  0  0  502 1565  325  0  3 97
 0 0 0 10813496 7668148 92 2190 0 0 0 0  0 12  0  0  0  483 1573  292  0  3 97
 0 0 0 10813280 7668080 92 2185 0 0 0 0  0  0  0  0  0  488 1565  279  0  3 97
 0 0 0 10813244 7668040 95 2189 0 0 0 0  0  0  0  0  0  505 1566  287  0  3 97
 0 0 0 10813484 7668132 92 2186 0 0 0 0  0  0  0  0  0  498 1569  303  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10813232 7668032 92 2190 0 0 0 0  0  0  0  0  0  491 1571  277  0  3 97
 0 0 0 10813468 7668116 97 2189 0 0 0 0  0  2  0  0  0  491 1565  309  0  3 97
 0 0 0 10813228 7668040 93 2187 0 0 0 0  0 14  0  0  0  476 1563  297  0  3 97
 0 0 0 10813432 7668080 92 2188 0 0 0 0  0  0  0  0  0  455 1566  269  0  3 97
 0 0 0 10813228 7668028 96 2189 0 0 0 0  0  0  0  0  0  457 1567  265  0  3 97
 0 0 0 10813192 7667992 92 2185 0 0 0 0  0  0  0  0  0  477 1568  272  0  3 97
 0 0 0 10813432 7668080 92 2190 0 0 0 0  0  0  0  0  0  488 1569  269  0  3 97
 0 0 0 10813220 7668044 98 2190 0 0 0 0  0  2  0  0  0  511 1569  316  0  3 97
 0 0 0 10813416 7668072 92 2189 0 0 0 0  0 10  0  0  0  485 1567  298  0  3 97
 0 0 0 10813204 7668004 92 2188 0 0 0 0  0  0  0  0  0  502 1568  280  0  3 97
 0 0 0 10813412 7668104 96 2188 0 0 0 0  0  0  0  0  0  491 1565  269  0  3 97
 0 0 0 10813408 7668056 92 2189 0 0 0 0  0  0  0  0  0  486 1569  273  0  3 97
 0 0 0 10813168 7667968 92 2188 0 0 0 0  0  0  0  0  0  469 1565  273  0  3 97
 0 0 0 10813408 7668056 97 2191 0 0 0 0  0  2  0  0  0  513 1656  361  0  3 97
 0 0 0 10813200 7668000 91 2188 0 0 0 0  0  7  0  0  0  494 1566  280  0  3 97
 0 0 0 10813408 7668056 92 2187 0 0 0 0  0  0  0  0  0  484 1565  275  0  3 97
 0 0 0 10813156 7667964 96 2188 0 0 0 0  0  0  0  0  0  474 1565  278  0  3 97
 0 0 0 10813072 7667872 92 2188 0 0 0 0  0  0  0  0  0  477 1582  287  0  3 97
 0 0 0 10813296 7667944 91 2189 0 0 0 0  0  0  0  0  0  455 1573  275  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10813280 7667968 98 2189 0 0 0 0  0  2  0  0  0  508 1567  314  0  3 97
 0 0 0 10813268 7667920 92 2189 0 0 0 0  0 14  0  0  0  505 1565  292  0  3 97
 0 0 0 10813064 7667860 92 2187 0 0 0 0  0  0  0  0  0  467 1565  266  0  3 97
 0 0 0 10813028 7667824 96 2189 0 0 0 0  0  0  0  0  0  462 1566  266  0  3 97
 0 0 0 10813268 7667916 92 2186 0 0 0 0  0  0  0  0  0  480 1568  272  0  3 97
 0 0 0 10813028 7667828 92 2190 0 0 0 0  0  0  0  0  0  506 1567  297  0  3 97
 0 0 0 10813268 7667916 98 2189 0 0 0 0  0  3  0  0  0  525 1565  319  0  3 97
