Time,ambienttemp,cpu0dietemp,cpu0memtemp,cpu1dietemp,cpu1memtemp,gbethtemp,hddbptemp,sptemp,fan1,fan2,fan3,fan4,fan5,fan6.tach,cpu0ht1com,cpu0ht1data,cpu0ht1br,cpu0ht1nop,cpu0ht1lu,cpu0ht1nlu,cpu1ht1com,cpu1ht1data,cpu1ht1br,cpu1ht1nop,cpu1ht1lu,cpu1ht1nlu
0,18.6,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10380,9600,10920,10740,1679926,18810,18810,18810,0.989166968,0.010833032,6062682,11137272,11137288,11137288,0.717861416,0.282138584
5,18.6,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10380,9600,10920,10740,1605487,19123,19123,19123,0.988499906,0.011500094,6592173,11369460,11369445,11369460,0.720655781,0.279344219
10,18.6,39,27,37.2,30,37.8,19.8,37.2,9960,10260,10380,9600,10860,10740,1710664,21836,21836,21836,0.987706146,0.012293854,6947976,11757053,11757052,11757037,0.721523387,0.278476613
15,18.6,39,27,37.2,30,37.8,19.8,37.2,9960,10260,10380,9600,10860,10740,607316,13376,13376,13376,0.979340298,0.020659702,2369667,878548,878548,878548,0.824476841,0.175523159
20,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10260,10440,9600,10860,10740,2249347,10647,10647,10647,0.9953329,0.0046671,7735803,10721605,10721605,10721605,0.731292257,0.268707743
25,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10260,10440,9600,10860,10740,1680935,18351,18351,18351,0.989429074,0.010570926,7131967,11517757,11517757,11517757,0.723696984,0.276303016
30,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10200,10380,9660,10860,10740,1571280,18260,18260,18260,0.988770402,0.011229598,6362200,11325868,11325881,11325897,0.719237971,0.280762029
35,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10200,10380,9660,10860,10740,37105,737,737,737,0.981254451,0.018745549,1289488,577213,577215,577200,0.808944774,0.191055226
40,18,39,27,37.2,30,37.8,19.8,37.2,10020,10260,10380,9660,10860,10740,1647624,18300,18300,18300,0.989251253,0.010748747,7178662,11082903,11082888,11082887,0.725856636,0.274143364
45,18,39,27,37.2,30,37.8,19.8,37.2,10020,10260,10380,9660,10860,10740,2802837,21099,21099,21099,0.992638516,0.007361484,10446920,17423588,17423598,17423604,0.722190048,0.277809952
50,18,39,27,37.2,30,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,1217686,13455,13455,13455,0.989304885,0.010695115,4340328,6896265,6896255,6896249,0.724470723,0.275529277
55,18,39,27,37.2,30,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,461835,6042,6042,6042,0.987411477,0.012588523,3850665,4982465,4982465,4982465,0.734947915,0.265052085
60,18,39,27,37.2,30,37.2,19.8,37.2,10020,10200,10440,9660,10920,10680,1619789,18239,18239,18239,0.989107832,0.010892168,5709545,11114913,11114927,11114927,0.715398213,0.284601787
65,18,39,27,37.2,30,37.2,19.8,37.2,10020,10200,10440,9660,10920,10680,1660516,18297,18297,18297,0.989333727,0.010666273,7109721,11058678,11058672,11058684,0.725493937,0.274506063
70,18.6,39,27,36.6,30,37.2,19.8,37.2,10020,10260,10380,9660,10920,10740,1594957,18218,18218,18218,0.988956184,0.011043816,7108665,11083829,11083821,11083809,0.725377231,0.274622769
75,18,39,27,36.6,30,37.2,19.8,37.2,10020,10260,10380,9660,10920,10740,85859,4050,4050,4050,0.958677264,0.041322736,1716399,849435,849435,849435,0.80082205,0.19917795
80,18,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10440,9660,10860,10680,1595941,18250,18250,18250,0.988944024,0.011055976,6975934,10408873,10408877,10408889,0.727534347,0.272465653
85,18,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10440,9660,10860,10680,1572001,18853,18853,18853,0.988423515,0.011576485,7850364,10511312,10511308,10511296,0.733109352,0.266890648
90,18,39,27,36.6,30,37.2,19.8,37.2,10020,10200,10380,9660,10920,10740,1659165,18245,18245,18245,0.989354688,0.010645312,6733947,11146486,11146501,11146501,0.722540505,0.277459495
95,18,39,27,36.6,30,37.2,19.8,37.2,10020,10200,10380,9660,10920,10740,694762,8976,8976,8976,0.987562527,0.012437473,1236013,469997,469982,469982,0.822378451,0.177621549
100,18.6,39,27,37.2,30,37.8,19.8,37.2,9960,10200,10380,9600,10920,10740,922939,9821,9821,9821,0.989688178,0.010311822,6777173,11345346,11345362,11345377,0.722017365,0.277982635
105,18.6,39,27,37.2,30,37.8,19.8,37.2,9960,10200,10380,9600,10920,10740,1642762,21110,21110,21110,0.987626693,0.012373307,8142501,11571427,11571411,11571396,0.72999819,0.27000181
110,18.6,39,27,37.2,30,37.2,19.8,37.2,9960,10260,10380,9600,10860,10740,1600906,19657,19657,19657,0.988157556,0.011842444,7015078,11334338,11334338,11334338,0.723674665,0.276325335
115,18.6,39,27,37.2,30,37.2,19.8,37.2,9960,10260,10380,9600,10860,10740,1217505,13114,13114,13114,0.989565954,0.010434046,4586634,6457301,6457301,6457301,0.730480162,0.269519838
120,18.6,39,27,36.6,30,37.2,19.8,37.2,10020,10260,10440,9660,10860,10740,450987,5633,5633,5633,0.987960743,0.012039257,2660387,4461215,4461215,4461231,0.721938566,0.278061434
125,18,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,1601359,18251,18251,18251,0.98897961,0.01102039,6899562,11409087,11409087,11409071,0.72258797,0.27741203
