Time,ambienttemp,cpu0dietemp,cpu0memtemp,cpu1dietemp,cpu1memtemp,gbethtemp,hddbptemp,sptemp,fan1,fan2,fan3,fan4,fan5,fan6.tach,cpu0ht1com,cpu0ht1data,cpu0ht1br,cpu0ht1nop,cpu0ht1lu,cpu0ht1nlu,cpu1ht1com,cpu1ht1data,cpu1ht1br,cpu1ht1nop,cpu1ht1lu,cpu1ht1nlu
130,18,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,1698187,18319,18319,18319,0.989550773,0.010449227,6879372,11675933,11675933,11675933,0.721385798,0.278614202
135,18.6,39,27,36.6,30,37.2,19.8,37.2,10020,10260,10380,9660,10920,10740,1589665,20993,20993,20993,0.987297325,0.012702675,7747935,11285007,11285007,11285007,0.728745068,0.271254932
140,18.6,39,27,36.6,30,37.2,19.8,37.2,10020,10260,10380,9660,10920,10740,99669,2985,2985,2985,0.972519885,0.027480115,1300456,582237,582237,582237,0.808925143,0.191074857
145,18.6,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10380,9660,10920,10740,1554257,17333,17333,17333,0.989209068,0.010790932,7245634,10749352,10749368,10749383,0.727820566,0.272179434
150,18.6,39,27,37.2,30,37.8,19.8,37.2,10020,10200,10380,9660,10920,10740,2922805,18241,18241,18241,0.993873777,0.006126223,6542199,11160265,11160249,11160234,0.721154117,0.278845883
155,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10200,10380,9660,10920,10740,1238479,13156,13156,13156,0.989705363,0.010294637,4546701,6849975,6849975,6849975,0.72705594,0.27294406
160,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10200,10380,9660,10920,10740,3102093,5561,5561,5561,0.998216929,0.001783071,3356031,4473390,4473410,4473420,0.733348053,0.266651947
165,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10260,10380,9660,10920,10740,3404808,12013,12013,12013,0.996508708,0.003491292,1571820,693531,693511,693501,0.810122652,0.189877348
170,18.6,39,27,37.2,30,37.2,19.8,37.2,10020,10260,10380,9660,10920,10740,2154672,11561,11561,11561,0.994719449,0.005280551,8133779,10868193,10868193,10868193,0.73321966,0.26678034
175,18.6,39,27,37.2,30,37.8,19.8,37.2,9960,10200,10440,9600,10920,10740,1629842,18329,18329,18329,0.989121151,0.010878849,7496461,11102293,11102309,11102309,0.727907071,0.272092929
180,18.6,39,27,37.2,30,37.8,19.8,37.2,9960,10200,10440,9600,10920,10740,1652460,18180,18180,18180,0.989349736,0.010650264,5723249,11285666,11285650,11285650,0.71486638,0.28513362
185,18.6,39,27,37.2,30,37.2,21,37.2,10020,10200,10440,9600,10920,10740,92029,1251,1251,1251,0.986939091,0.013060909,1328781,559583,559583,559583,0.813939346,0.186060654
190,18.6,39,27,37.2,30,37.2,21,37.2,10020,10200,10440,9600,10920,10740,1555833,17477,17477,17477,0.989133003,0.010866997,7245125,10963155,10963161,10963178,0.726839864,0.273160136
195,18.6,39,27,37.2,30,37.2,21,37.2,9960,10260,10440,9660,10920,10740,1613050,18694,18694,18694,0.988800167,0.011199833,7638914,10844663,10844657,10844640,0.73005068,0.26994932
200,18.6,39,27,37.2,30,37.2,21,37.2,9960,10260,10440,9660,10920,10740,3020973,19032,19032,19032,0.993816903,0.006183097,4316800,6944588,6944588,6944588,0.723879433,0.276120567
205,18.6,39,27,37.2,30,37.2,21,37.2,10020,10260,10380,9600,10920,10740,61711,567,567,567,0.991058475,0.008941525,3317701,4259314,4259330,4259330,0.735374254,0.264625746
210,19.2,39,27,37.2,30,37.2,21,37.2,10020,10260,10380,9600,10920,10740,1603167,18157,18157,18157,0.989046462,0.010953538,6209690,11352382,11352366,11352366,0.718071342,0.281928658
215,19.2,39,27,37.2,30,37.2,21,37.2,9960,10200,10440,9660,10920,10740,1629848,18273,18273,18273,0.989153346,0.010846654,7540148,10956916,10956916,10956916,0.728862335,0.271137665
220,18.6,39,27,37.2,30,37.2,21,37.2,9960,10200,10440,9660,10920,10740,1789049,19643,19643,19643,0.989370544,0.010629456,6080902,6817103,6817103,6817103,0.743063139,0.256936861
225,18.6,40.2,27,38.4,30,37.8,21,37.2,10020,10200,10440,9600,10920,10740,1064407,3400,3400,3400,0.996836053,0.003163947,4386110,5131991,5132010,5132017,0.740573057,0.259426943
230,19.2,40.2,27,38.4,30,37.8,21,37.2,10020,10200,10440,9600,10920,10740,1679955,19053,19053,19053,0.989031808,0.010968192,6731442,11697043,11697024,11697017,0.720317778,0.279682222
235,18.6,40.8,27,37.8,30,37.2,21,37.2,10020,10200,10440,9660,10860,10740,6730909,1578,1578,1578,0.999765724,0.000234276,1354034,665869,665869,665869,0.801330453,0.198669547
240,18.6,40.8,27,37.8,30,37.2,21,37.2,10020,10200,10440,9660,10860,10740,2879668,16996,16996,16996,0.994200616,0.005799384,5487208,9813125,9813125,9813125,0.719035641,0.280964359
245,18.6,40.8,27,38.4,30,37.8,21,37.2,10020,10260,10440,9600,10860,10740,86018,1303,1303,1303,0.98551047,0.01448953,1377775,594182,594198,594198,0.811983661,0.188016339
250,18.6,40.8,27,38.4,30,37.8,21,37.2,10020,10260,10440,9600,10860,10740,1557943,18034,18034,18034,0.988812967,0.011187033,7353244,10948020,10948004,10948004,0.72764311,0.27235689
255,18.6,40.8,27,39,30,37.8,21,37.2,10020,10200,10440,9600,10860,10740,1611205,21076,21076,21076,0.987413053,0.012586947,7842573,11344553,11344569,11344569,0.729093097,0.270906903
260,19.2,40.8,27,39,30,37.8,21,37.2,10020,10200,10440,9600,10860,10740,1649436,21192,21192,21192,0.987628808,0.012371192,6976274,11363428,11363412,11363412,0.723292591,0.276707409
265,19.2,41.4,27,38.4,30.6,37.8,21,37.2,10020,10260,10380,9600,10920,10740,2056934,9355,9355,9355,0.995513187,0.004486813,1253622,514175,514190,514191,0.816109346,0.183890654
270,19.2,41.4,27,38.4,30.6,37.8,21,37.2,10020,10260,10380,9600,10920,10740,902223,9395,9395,9395,0.989902279,0.010097721,6045900,9978985,9978970,9978969,0.722674101,0.277325899
275,19.2,40.8,27,39,30.6,37.8,21,37.2,10020,10200,10440,9660,10920,10740,1632052,18333,18333,18333,0.989133109,0.010866891,7547672,11025426,11025426,11025426,0.728597884,0.271402116
280,18.6,40.8,27,39,30.6,37.8,21,37.2,10020,10200,10440,9660,10920,10740,1608729,18218,18218,18218,0.989047622,0.010952378,7533588,11040029,11040029,11040029,0.728437122,0.271562878
285,18.6,40.8,27,39,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10740,98218,1730,1730,1730,0.983270153,0.016729847,1564095,816292,816292,816292,0.796586619,0.203413381
290,18.6,40.8,27,39,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10740,1545564,18390,18390,18390,0.98851152,0.01148848,7291077,10648558,10648558,10648558,0.72860755,0.27139245
295,19.2,40.2,27,39.6,30.6,37.8,21,37.2,10020,10260,10380,9660,10920,10740,1676324,18303,18303,18303,0.989427766,0.010572234,7008137,10991147,10991148,10991163,0.725094434,0.274905566
300,18.6,40.2,27,39.6,30.6,37.8,21,37.2,10020,10260,10380,9660,10920,10740,1718905,1189923,1189923,1189923,0.775005417,0.224994583,25575238,32340124,32340123,32340108,0.736204971,0.263795029
305,18.6,40.8,27,38.4,30.6,37.8,21,37.2,10020,10260,10380,9600,10920,10740,673133,111222,111222,111222,0.889529092,0.110470908,33073632,28898054,28898054,28898054,0.758715987,0.241284013
310,18,40.8,27,38.4,30.6,37.8,21,37.2,10020,10260,10380,9600,10920,10740,942898,115505,115505,115505,0.910420478,0.089579522,48785359,78169460,78169470,78169470,0.724069213,0.275930787
315,18.6,41.4,27,38.4,30.6,37.8,21,37.2,10020,10260,10440,9660,10860,10740,2927498,63606,63606,63606,0.979602452,0.020397548,55878770,99043941,99043931,99043931,0.719430695,0.280569305
320,18.6,41.4,27,38.4,30.6,37.8,21,37.2,10020,10260,10440,9660,10860,10740,1601304,123134,123134,123134,0.937517824,0.062482176,43435561,54527861,54527861,54527861,0.736604741,0.263395259
325,18,42,27.6,38.4,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10740,17630,47175,47175,47175,0.703590839,0.296409161,45596666,46730000,46730000,46730000,0.748474952,0.251525048
330,18.6,42,27.6,38.4,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10740,1666468,65984,65984,65984,0.964608833,0.035391167,46321681,50572260,50572260,50572260,0.74463415,0.25536585
335,18.6,41.4,27.6,38.4,30.6,37.8,21,37.2,10020,10260,10440,9660,10920,10740,1632344,103831,103831,103831,0.946584513,0.053415487,50211215,66050691,66050691,66050691,0.734056142,0.265943858
340,18,41.4,27.6,38.4,30.6,37.8,21,37.2,10020,10260,10440,9660,10920,10740,1622525,68612,68612,68612,0.962473494,0.037526506,41102576,43076744,43076744,43076744,0.747102484,0.252897516
345,18.6,42,27.6,38.4,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10740,512925,55520,55520,55520,0.918291059,0.081708941,64814771,72313761,72313761,72313762,0.743346201,0.256653799
350,18,42,27.6,38.4,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10740,1102968,48610,48610,48610,0.961074569,0.038925431,56414376,60745431,60745431,60745430,0.745462979,0.254537021
355,18,42,27.6,39,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10680,2989061,20963,20963,20963,0.993131277,0.006868723,48386870,70528539,70528540,70528557,0.728707631,0.271292369
360,18.6,42,27.6,39,30.6,37.8,21,37.2,10020,10260,10380,9660,10860,10680,1524338,63434,63434,63434,0.963004479,0.036995521,47422249,45924835,45924834,45924817,0.752021454,0.247978546
365,18,42,27.6,39,31.2,37.8,21,37.2,10020,10260,10380,9660,10860,10740,100958,4117,4117,4117,0.963665728,0.036334272,49753514,27404746,27404762,27404770,0.792337436,0.207662564
370,18,42,27.6,39,31.2,37.8,21,37.2,10020,10260,10380,9660,10860,10740,1624834,64499,64499,64499,0.96452846,0.03547154,85181306,123995804,123995788,123995780,0.728774551,0.271225449
375,18,42,27.6,39,31.2,37.8,19.8,37.2,9960,10260,10440,9660,10920,10740,1614130,27342,27342,27342,0.98388002,0.01611998,126697647,226689600,226689600,226689600,0.719014591,0.280985409
380,18.6,42,27.6,39,31.2,37.8,19.8,37.2,9960,10260,10440,9660,10920,10740,1594987,121587,121587,121587,0.937957839,0.062042161,60091970,100088288,100088288,100088288,0.722252283,0.277747717
385,18.6,42.6,27.6,38.4,31.2,37.8,19.8,37.2,10020,10260,10380,9660,10860,10740,251835,54622,54622,54622,0.868602674,0.131397326,58100861,63885520,63885520,63885520,0.744209723,0.255790277
390,18,42.6,27.6,38.4,31.2,37.8,19.8,37.2,10020,10260,10380,9660,10860,10740,1398721,57421,57421,57421,0.963449023,0.036550977,37223715,35657424,35657424,35657424,0.752715559,0.247284441
395,18.6,43.2,27.6,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,1622612,551010,551010,551010,0.831785647,0.168214353,33681180,47301556,47301556,47301570,0.730607183,0.269392817
400,18.6,43.2,27.6,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,2759034,1898704,1898704,1898704,0.775438059,0.224561941,10674370,13571812,13571827,13571814,0.735904636,0.264095364
405,18,42.6,27.6,37.8,31.2,37.8,19.8,37.2,10020,10200,10380,9660,10860,10680,2478427,12590729,12590729,12590729,0.687191629,0.312808371,36824758,72191972,72191957,72191956,0.715107447,0.284892553
410,18,42.6,27.6,37.8,31.2,37.8,19.8,37.2,10020,10200,10380,9660,10860,10680,1595268,322501,322501,322501,0.87415926,0.12584074,34754477,54087925,54087925,54087925,0.72546744,0.27453256
415,18,42.6,27.6,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9600,10860,10680,1695625,25369,25369,25369,0.985681243,0.014318757,30610263,27663318,27663318,27663318,0.756485342,0.243514658
420,18,42.6,27.6,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9600,10860,10680,695893,10889,10889,10889,0.985054079,0.014945921,17672962,16349861,16349861,16349861,0.754957474,0.245042526
425,18,42,27.6,37.8,31.2,37.8,19.8,37.2,10020,10200,10380,9660,10860,10740,2227152,63433,63433,63433,0.973760378,0.026239622,29622384,26380762,26380762,26380762,0.757450999,0.242549001
430,18,42,27.6,37.8,31.2,37.8,19.8,37.2,10020,10200,10380,9660,10860,10740,1673883,83168,83168,83168,0.956759612,0.043240388,25349901,23669529,23669529,23669529,0.754359689,0.245640311
435,18,42.6,27.6,38.4,30.6,37.8,19.8,37.2,10020,10260,10440,9660,10860,10740,1594745,41955,41955,41955,0.975616206,0.024383794,28937988,26992239,26992239,26992239,0.754425588,0.245574412
440,18,42.6,27.6,38.4,30.6,37.8,19.8,37.2,10020,10260,10440,9660,10860,10740,14706,86922,86922,86922,0.684461579,0.315538421,19891452,17617540,17617540,17617540,0.757814767,0.242185233
445,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,2892248,21674,21674,21674,0.992670943,0.007329057,22256665,20767728,20767728,20767728,0.754402021,0.245597979
450,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,2902866,113897,113897,113897,0.964895978,0.035104022,31557410,28245496,28245496,28245496,0.757119707,0.242880293
455,18,42.6,27.6,38.4,30.6,37.8,19.8,37.2,10020,10260,10380,9600,10920,10680,28718,285470,285470,285470,0.677481675,0.322518325,19753817,17831314,17831314,17831314,0.756561644,0.243438356
460,18,42.6,27.6,38.4,30.6,37.8,19.8,37.2,10020,10260,10380,9600,10920,10680,2944734,138625,138625,138625,0.958750036,0.041249964,28098315,25654065,25654065,25654065,0.755816291,0.244183709
465,18,42.6,27.6,38.4,31.2,37.8,19.8,37.2,10020,10260,10440,9660,10860,10740,1572301,39715,39715,39715,0.97652009,0.02347991,28473857,25846864,25846864,25846864,0.756194894,0.243805106
470,18,42.6,27.6,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9660,10860,10740,1007100,13935,13935,13935,0.986714717,0.013285283,24095674,22158616,22158616,22158616,0.755346763,0.244653237
475,18,42,28.2,37.8,30.6,37.8,19.8,37.2,10020,10260,10440,9660,10860,10680,2006133,11950,11950,11950,0.994147846,0.005852154,25410088,22102372,22102372,22102372,0.759016073,0.240983927
480,18,42,28.2,37.8,30.6,37.8,19.8,37.2,10020,10260,10440,9660,10860,10680,1609613,18235,18235,18235,0.98904356,0.01095644,23963290,22002777,22002791,22002791,0.755447508,0.244552492
485,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,2228222,9918,9918,9918,0.995607571,0.004392429,29710355,25010891,25010877,25010877,0.761216721,0.238783279
490,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,737010,9788,9788,9788,0.987228168,0.012771832,21383122,17811392,17811392,17811392,0.76193484,0.23806516
495,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10200,10440,9660,10860,10740,1576695,41769,41769,41769,0.975458901,0.024541099,23624814,23274790,23274790,23274790,0.750936402,0.249063598
500,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10200,10440,9660,10860,10740,2921776,23477,23477,23477,0.992153952,0.007846048,27676185,25536767,25536767,25536767,0.755128704,0.244871296
505,18.6,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10920,10740,320329,5548,5548,5548,0.983535773,0.016464227,18257876,16137852,16137852,16137852,0.757949522,0.242050478
510,18.6,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10920,10740,1284216,15009,15009,15009,0.988708611,0.011291389,23396798,22240566,22240566,22240566,0.753207532,0.246792468
515,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9600,10860,10740,2942276,18273,18273,18273,0.993903096,0.006096904,29516385,26246397,26246398,26246413,0.757551437,0.242448563
520,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9600,10860,10740,2085901,10515,10515,10515,0.995034112,0.004965888,19980406,16966735,16966734,16966719,0.76062956,0.23937044
525,18,42,28.2,38.4,30.6,37.8,19.8,37.2,9960,10260,10380,9600,10920,10740,845081,35051,35051,35051,0.963113296,0.036886704,24796930,22853253,22853253,22853253,0.755204975,0.244795025
530,18.6,42,28.2,38.4,30.6,37.8,19.8,37.2,9960,10260,10380,9600,10920,10740,1610562,24471,24471,24471,0.985468312,0.014531688,28083553,25494589,25494589,25494589,0.756189706,0.243810294
535,18,42.6,28.2,37.8,30.6,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,1606449,21167,21167,21167,0.98732477,0.01267523,24953987,21978132,21978132,21978132,0.758185466,0.241814534
540,18,42.6,28.2,37.8,30.6,37.8,19.8,37.2,10020,10200,10440,9600,10860,10740,840791,9226,9226,9226,0.989376708,0.010623292,11405647,9879095,9879095,9879095,0.759298507,0.240701493
545,18,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,2087685,9419,9419,9419,0.995548555,0.004451445,21442705,20079803,20079803,20079803,0.75417136,0.24582864
550,18.6,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,1601358,30648,30648,30648,0.981900452,0.018099548,25070918,23189336,23189336,23189336,0.754970423,0.245029577
555,18.6,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,1978069,22425,22425,22425,0.989036074,0.010963926,20123492,16667134,16667134,16667134,0.762322151,0.237677849
560,18.6,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10380,9600,10860,10740,877176,19336,19336,19336,0.979323855,0.020676145,22888309,22916522,22916522,22916522,0.749923031,0.250076969
565,18.6,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9660,10860,10680,1627880,19126,19126,19126,0.988650996,0.011349004,26996308,24759639,24759639,24759639,0.755521264,0.244478736
570,18,42,28.2,37.8,31.2,37.8,19.8,37.2,10020,10260,10440,9660,10860,10680,1597623,18241,18241,18241,0.988960545,0.011039455,21877039,21657972,21657972,21657972,0.750630583,0.249369417
575,18,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10080,10260,10440,9600,10920,10740,1085168,11936,11936,11936,0.989352136,0.010647864,25022890,23560707,23560707,23560707,0.753819505,0.246180495
580,18.6,42.6,28.2,37.8,31.2,37.8,19.8,37.2,10080,10260,10440,9600,10920,10740,1811350,6709,6709,6709,0.996336836,0.003663164,21348982,18331789,18331789,18331789,0.759880211,0.240119789
585,18.6,42.6,28.2,37.8,31.2,37.8,21,37.2,10020,10260,10440,9660,10920,10740,1599990,43814,43814,43814,0.974694935,0.025305065,25913351,24260036,24260036,24260036,0.754188006,0.245811994
590,19.2,42.6,28.2,37.8,31.2,37.8,21,37.2,10020,10260,10440,9660,10920,10740,2329403,18780,18780,18780,0.992128238,0.007871762,24750277,21500510,21500510,21500510,0.759102804,0.240897196
595,18,43.2,28.2,37.8,31.2,37.8,21,37.2,9960,10320,10380,9600,10860,10740,1900095,7713,7713,7713,0.995989568,0.004010432,21500692,18516612,18516612,18516612,0.759682218,0.240317782
600,19.2,43.2,28.2,37.8,31.2,37.8,21,37.2,10020,10260,10440,9660,10920,10740,1588812,18213,18213,18213,0.988917832,0.011082168,23418397,23539875,23539875,23539875,0.749677051,0.250322949
605,18.6,43.2,28.2,37.8,31.2,37.8,21,37.2,10020,10260,10440,9660,10920,10740,1627324,18211,18211,18211,0.989172732,0.010827268,26635598,23026198,23026201,23026207,0.759427483,0.240572517
610,18.6,42.6,28.2,38.4,31.2,37.8,21,37.2,10020,10200,10380,9660,10860,10740,452300,7372,7372,7372,0.984460895,0.015539105,15953405,14277365,14277362,14277356,0.757127882,0.242872118
615,18.6,42.6,28.2,38.4,31.2,37.8,21,37.2,10020,10200,10380,9660,10860,10740,1138326,38739,38739,38739,0.969121027,0.030878973,21314203,20581901,20581901,20581901,0.752204138,0.247795862
620,18.6,43.2,28.2,39,31.2,37.8,21,37.2,9960,10200,10380,9660,10860,10740,1625994,24483,24483,24483,0.985593515,0.014406485,26889588,24804640,24804648,24804663,0.755145148,0.244854852
625,18.6,43.2,28.2,39,31.2,37.8,21,37.2,9960,10200,10380,9660,10860,10740,1630727,20380,20380,20380,0.987954136,0.012045864,25182932,22756863,22756855,22756840,0.756490207,0.243509793
630,18.6,43.2,28.2,38.4,31.2,37.8,21,37.2,10020,10260,10440,9660,10920,10740,836244,9348,9348,9348,0.989184161,0.010815839,21438691,20334865,20334865,20334865,0.753347228,0.246652772
635,18.6,43.2,28.2,38.4,31.2,37.8,21,37.2,10020,10260,10440,9660,10920,10740,804780,9449,9449,9449,0.988658392,0.011341608,21587003,19339059,19339059,19339059,0.757059755,0.242940245
640,18.6,42,28.2,38.4,31.2,37.8,21,37.2,10020,10260,10440,9660,10860,10740,2878830,18323,18323,18323,0.993754514,0.006245486,27166466,25036066,25036077,25036077,0.755207491,0.244792509
645,18.6,42,28.2,38.4,31.2,37.8,21,37.2,10020,10260,10440,9660,10860,10740,1615914,43802,43802,43802,0.974931896,0.025068104,23319215,21769381,21769370,21769370,0.754371834,0.245628166
650,18.6,42,28.2,40.2,31.2,37.8,21,37.2,10020,10260,10380,9600,10920,10740,264483,11408,11408,11408,0.961808729,0.038191271,19949126,18047677,18047677,18047677,0.756415824,0.243584176
655,19.2,42,28.2,40.2,31.2,37.8,21,37.2,10020,10260,10380,9600,10920,10740,1373317,16760,16760,16760,0.988227005,0.011772995,20372915,19424825,19424825,19424825,0.753013736,0.246986264
660,18.6,42,28.2,40.2,31.2,37.8,21,37.2,10020,10260,10440,9600,10920,10740,1620239,19290,19290,19290,0.988504918,0.011495082,24886863,24693946,24693962,24693962,0.750487237,0.249512763
665,18.6,42,28.2,40.2,31.2,37.8,21,37.2,10020,10260,10440,9600,10920,10740,1689189,18213,18213,18213,0.989555736,0.010444264,25136494,21421372,21421356,21421356,0.760389066,0.239610934
670,18.6,41.4,28.2,40.2,31.2,37.8,21,37.2,10020,10320,10380,9600,10860,10740,771235,23714,23714,23714,0.971848709,0.028151291,21924174,18188429,18188440,18188445,0.762209874,0.237790126
