 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6734276 7764876 136 1823 0 1 1 0  0  0  0  0  0  509 1499  284  0  3 97
 0 0 0 6734532 7764988 84 1007 0 0 0  0  0  1  0  0  0  481 1070  242  0  2 98
 0 0 0 6734532 7764988 81 1821 0 1 1  0  0  0  0  0  0  473 2754  249  3  2 95
 0 0 0 5669188 6957124 368 88786 0 18 18 0 0 4 0  0  0 1205 4551  303 18 10 72
 0 0 0 4975576 6007212 136 1823 0 0 0 0  0  0  0  0  0  499 1501  278 25  3 72
 0 0 0 4975860 6007344 136 1825 0 0 0 0  0  0  0  0  0  499 1487  267 25  3 72
 0 0 0 4975576 6007208 137 1825 0 1 1 0  0  0  0  0  0  519 1500  291 25  3 72
 0 0 0 4975860 6007320 138 1826 0 0 0 0  0  1  0  0  0  524 1488  290 25  3 72
 0 0 0 4975580 6007196 136 1824 0 0 0 0  0  0  0  0  0  507 1502  286 25  3 72
 0 0 0 4975820 6007304 136 1824 0 0 0 0  0  0  0  0  0  510 1488  292 25  3 72
 0 0 0 4975836 6007288 136 1825 0 0 0 0  0  0  0  0  0  506 1498  289 25  3 72
 0 0 0 4975836 6007284 16 93 0  0  0  0  0  0  0  0  0  436  704  239 25  1 74
 0 0 0 4975552 6007148 121 1729 0 1 1 0  0  1  0  0  0  519 1391  267 25  2 72
 0 0 0 4975832 6007284 136 1827 0 0 0 0  0  1  0  0  0  529 1496  292 25  3 72
 0 0 0 4975728 6007232 136 1825 0 0 0 0  0  0  0  0  0  503 1504  288 25  3 72
 0 0 0 4975816 6007268 136 1824 0 0 0 0  0  0  0  0  0  507 1487  287 25  3 72
 0 0 0 4975564 6007160 136 1825 0 0 0 0  0  0  0  0  0  509 1500  291 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975532 6007128 136 1824 0 0 0 0  0  0  0  0  0  507 1486  291 25  3 72
 0 0 0 4975816 6007264 137 1827 0 1 1 0  0  0  0  0  0  521 1500  289 25  3 72
 0 0 0 4975532 6007128 136 1825 0 0 0 0  0  1  0  0  0  533 1489  300 25  3 72
 0 0 0 4975792 6007256 136 1825 0 0 0 0  0  0  0  0  0  518 1503  288 25  3 72
 0 0 0 4975792 6007244 16 93 0  0  0  0  0  0  0  0  0  423  594  209 25  0 75
 0 0 0 4975536 6007136 121 1735 0 0 0 0  0  0  0  0  0  494 1434  271 25  3 72
 0 0 0 4975748 6007232 136 1824 0 0 0 0  0  0  0  0  0  509 1488  290 25  3 72
 0 0 0 4975792 6007240 136 1824 0 1 1 0  0  0  0  0  0  515 1498  289 25  3 72
 0 0 0 4975496 6007088 136 1826 0 0 0 0  0  1  0  0  0  529 1501  287 25  3 72
 0 0 0 4975772 6007220 138 1902 0 0 0 0  0  0  0  0  0  512 1535  290 25  3 72
 0 0 0 4975724 6007212 136 1825 0 0 0 0  0  0  0  0  0  512 1486  297 25  3 72
 0 0 0 4975772 6007220 136 1824 0 0 0 0  0  0  0  0  0  509 1501  285 25  3 72
 0 0 0 4975536 6007128 136 1824 0 0 0 0  0  0  0  0  0  518 1488  272 25  3 72
 0 0 0 4975852 6007296 84 1011 0 1 1  0  0  0  0  0  0  471 1136  233 25  3 72
 0 0 0 4975596 6007172 72 973 0 2  2  0  0  1  0  0  0  489 1355  236 25  1 74
 0 0 0 4975828 6007292 136 1825 0 0 0 0  0  0  0  0  0  505 1502  290 25  3 72
 0 0 0 4975544 6007144 136 1827 0 0 0 0  0  0  0  0  0  498 1488  291 25  3 72
 0 0 0 4975828 6007280 136 1823 0 0 0 0  0  0  0  0  0  502 1497  289 25  3 72
 0 0 0 4975572 6007168 136 1825 0 0 0 0  0  0  0  0  0  509 1555  323 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975828 6007268 136 1824 0 1 1 0  0  0  0  0  0  525 1499  291 25  3 72
 0 0 0 4975576 6007160 136 1826 0 0 0 0  0  1  0  0  0  529 1490  293 25  3 72
 0 0 0 4975544 6007132 136 1824 0 0 0 0  0  0  0  0  0  510 1506  290 25  3 72
 0 0 0 4975828 6007272 136 1824 0 0 0 0  0  0  0  0  0  515 1485  296 25  3 72
 0 0 0 4975644 6007244 84 1009 0 0 0  0  0  0  0  0  0  465 1104  241 25  2 73
 0 0 0 4975828 6007272 52 817 0 0  0  0  0  0  0  0  0  454  924  232 25  1 74
