pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
185.002   0  tick 4986682981         0 4986682987 
185.002   1  tick 4986684419         0 4986684424 
190.002   2  tick         0 4986681326         0 
190.002   3  tick         0 4986678629         0 
190.002   1  tick 4986678546         0 4986678546 
190.002   0  tick 4986672179         0 4986672179 
195.002   1  tick 4986649759         0 4986649754 
195.002   2  tick         0 4986656949         0 
195.002   0  tick 4986657454         0 4986657458 
195.002   3  tick         0 4986663653         0 
200.002   1  tick 4986670076         0 4986670076 
200.002   2  tick         0 4986670934         0 
200.002   3  tick         0 4986669108         0 
200.002   0  tick 4986684992         0 4986684985 
205.002   2  tick         0 4986671195         0 
205.002   1  tick 4986677635         0 4986677635 
205.002   0  tick 4986659345         0 4986659343 
205.002   3  tick         0 4986672997         0 
210.002   2  tick         0 4986670072         0 
210.002   1  tick 4986668449         0 4986668449 
210.002   0  tick 4986669100         0 4986669100 
210.002   3  tick         0 4986669898         0 
215.002   2  tick         0 4986670728         0 
215.002   0  tick 4986668649         0 4986668651 
215.002   3  tick         0 4986665782         0 
215.002   1  tick 4986681338         0 4986681344 
220.002   2  tick         0 4986668703         0 
220.002   1  tick 4986654430         0 4986654431 
220.002   0  tick 4986671292         0 4986671294 
220.002   3  tick         0 4986668434         0 
225.002   1  tick 4986670535         0 4986670536 
225.002   2  tick         0 4986671465         0 
225.002   0  tick 4986668006         0 4986668007 
225.002   3  tick         0 4986676128         0 
230.002   2  tick         0 4986671861         0 
230.002   1  tick 4986677483         0 4986677477 
230.002   3  tick         0 4986667965         0 
230.002   0  tick 4986689354         0 4986689355 
235.002   1  tick 4986665211         0 4986665219 
235.002   2  tick         0 4986669681         0 
235.002   0  tick 4986658025         0 4986658024 
235.002   3  tick         0 4986670971         0 
240.002   1  tick 4986670209         0 4986670199 
240.002   3  tick         0 4986666246         0 
240.002   0  tick 4986665781         0 4986665783 
240.002   2  tick         0 4987202705         0 
245.002   1  tick 4986675903         0 4986675903 
245.002   2  tick         0 4986139109         0 
245.002   3  tick         0 4986679898         0 
245.002   0  tick 4986690714         0 4986690712 
250.002   1  tick 4986663933         0 4986663936 
250.002   2  tick         0 4986668395         0 
250.002   0  tick 4986652934         0 4986652928 
250.002   3  tick         0 4986662310         0 
255.002   1  tick 4986670699         0 4986670699 
255.002   2  tick         0 4986670504         0 
255.002   0  tick 4986666450         0 4986666458 
255.002   3  tick         0 4986675578         0 
260.002   1  tick 4986671454         0 4986671453 
260.002   3  tick         0 4986664457         0 
260.002   2  tick         0 4986673257         0 
260.002   0  tick 4986686992         0 4986686985 
265.002   1  tick 4986668436         0 4986668439 
265.002   3  tick         0 4986669464         0 
265.002   0  tick 4986654731         0 4986654730 
265.002   2  tick         0 4986668502         0 
270.002   1  tick 4986677597         0 4986677594 
270.002   0  tick 4986674507         0 4986674515 
270.002   3  tick         0 4986674496         0 
270.002   2  tick         0 4986675203         0 
275.002   3  tick         0 4986667663         0 
275.002   0  tick 4986667067         0 4986667067 
275.002   2  tick         0 4986667580         0 
275.002   1  tick 4986679255         0 4986679259 
280.002   1  tick 4986656138         0 4986656132 
280.002   3  tick         0 4986670436         0 
280.002   0  tick 4986671295         0 4986671290 
280.002   2  tick         0 4986670228         0 
285.002   1  tick 4986670640         0 4986670646 
285.002   0  tick 4986669049         0 4986669052 
285.002   3  tick         0 4986670508         0 
285.002   2  tick         0 4986675530         0 
290.002   1  tick 4986688744         0 4986688749 
290.002   2  tick         0 4986684965         0 
290.002   0  tick 4986709129         0 4986709123 
290.002   3  tick         0 4986920314         0 
295.002   1  tick 4986652163         0 4986652152 
295.002   2  tick         0 4986648435         0 
