 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6740564 7779396 149 1826 0 1 1 0  0  1  0  0  0  503 1500  266  0  3 97
 0 0 0 6740820 7779500 58 665 0 0  0  0  0  0  0  0  0  463  894  260  0  1 98
 0 0 0 6740776 7779508 337 2207 0 1 1 0  0  0  0  0  0  486 2939  249  3  2 95
 0 0 0 6687224 7718128 421 7209 579 23 12 0 0 68 0 0 0 3126 5421  376 20  4 76
 0 0 0 6580760 7609868 148 4526 0 0 0 0  0  0  0  0  0  509 1611  293 25  3 72
 0 0 0 6567192 7596132 149 1827 0 0 0 0  0  1  0  0  0  574 1489  271 25  3 72
 0 0 0 6558096 7586900 148 3244 1 1 1 0  0  2  0  0  0  614 2213  266 25  4 72
 0 0 0 6528496 7557100 148 2508 0 0 0 0  0  1  0  0  0  551 1827  274 25  3 72
 0 0 0 6523724 7552408 148 1926 0 0 0 0  0  0  0  0  0  560 1555  271 25  3 72
 0 0 0 6521852 7550324 148 1926 0 0 0 0  0  0  0  0  0  525 1603  319 25  3 72
 0 0 0 6517284 7545628 148 2131 1 0 0 0  0  1  0  0  0  520 1640  264 25  3 72
 0 0 0 6514672 7543024 16 99 0  1  1  0  0  1  0  0  0  459  644  214 25  1 74
 0 0 0 6513984 7542496 132 1772 0 0 0 0  0  4  0  0  0  531 1409  284 25  2 73
 0 0 0 6513864 7542204 148 1842 0 0 0 0  0  0  0  0  0  505 1494  270 25  3 72
 0 0 0 6513272 7541736 148 1829 0 0 0 0  0  0  0  0  0  493 1503  269 25  3 72
 0 0 0 6513528 7541836 148 1824 0 0 0 0  0  0  0  0  0  491 1489  267 25  3 72
 0 0 0 6513276 7541728 148 1827 0 0 0 0  0  0  0  0  0  494 1501  269 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6513256 7541712 148 1823 0 1 1 0  0  0  0  0  0  510 1485  267 25  3 72
 0 0 0 6513488 7541828 148 1829 0 0 0 0  0  1  0  0  0  508 1501  269 25  3 72
 0 0 0 6512948 7541480 148 1860 0 0 0 0  0  0  0  0  0  503 1504  272 25  3 72
 0 0 0 6512668 7541060 148 1829 0 0 0 0  0  0  0  0  0  502 1505  269 25  3 72
 0 0 0 6512624 7540984 16 95 0  0  0  0  0  0  0  0  0  411  619  185 25  1 74
 0 0 0 6512368 7540860 132 1733 0 0 0 0  0  0  0  0  0  500 1407  269 25  2 72
 0 0 0 6512608 7540936 148 1827 0 0 0 0  0  1  0  0  0  522 1507  280 25  3 72
 0 0 0 6512352 7540812 148 1825 0 1 1 0  0  1  0  0  0  500 1497  268 25  3 72
 0 0 0 6512320 7540768 148 1827 0 0 0 0  0  0  0  0  0  495 1490  272 25  3 72
 0 0 0 6512604 7540900 148 1826 0 0 0 0  0  0  0  0  0  501 1502  269 25  3 72
 0 0 0 6512320 7540764 148 1825 0 0 0 0  0  0  0  0  0  497 1487  269 25  3 72
 0 0 0 6512600 7540896 148 1824 0 0 0 0  0  0  0  0  0  495 1499  271 25  3 72
 0 0 0 6512388 7540804 148 1825 0 1 1 0  0  0  0  0  0  501 1483  265 25  3 72
