 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6796084 7842616 148 1839 0 0 0 0  0  0  0  0  0  519 1484  307  0  3 97
 0 0 0 6796360 7842748 91 1016 0 0 0  0  0  0  0  0  0  496 1115  293  0  2 98
 0 0 0 6796348 7842744 304 1857 0 1 1 0  0  0  0  0  0  713 2654  282  3  1 96
 0 0 0 6415128 7470996 13926 46368 0 2 2 0 0 7 0  0  0 42946 10129 291 19 11 70
 0 0 0 5887776 6940748 150 1840 0 1 1 0  0  0  0  0  0  506 1492  275 25  3 72
 0 0 0 5887524 6940632 148 1839 0 0 0 0  0  0  0  0  0  501 1504  277 25  3 72
 0 0 0 5887464 6940560 148 1840 0 0 0 0  0  0  0  0  0  506 1486  272 25  3 72
 0 0 0 5887728 6940680 148 1839 0 0 0 0  0  0  0  0  0  525 1502  315 25  3 72
 0 0 0 5887420 6940532 148 1842 0 0 0 0  0  0  0  0  0  503 1489  297 25  3 72
 0 0 0 5887704 6940664 148 1841 0 2 2 0  0  1  0  0  0  527 1505  276 25  3 72
 0 0 0 5887688 6940656 148 1838 0 0 0 0  0  0  0  0  0  493 1485  268 25  3 72
 0 0 0 5887704 6940644 90 1016 0 0 0  0  0  0  0  0  0  453 1095  233 25  2 73
 0 0 0 5887704 6940248 58 849 0 0  0  0  0  0  0  0  0  467  937  257 25  1 74
 0 0 0 5887448 6940036 148 1838 0 0 0 0  0  0  0  0  0  519 1500  303 25  3 72
 0 0 0 5887656 6940148 148 1842 0 0 0 0  0  0  0  0  0  508 1490  301 25  3 72
 0 0 0 5886440 6939424 148 1917 0 1 1 0  0  1  0  0  0  531 1499  275 25  3 72
 0 0 0 5885844 6938432 148 1840 0 0 0 0  0  0  0  0  0  499 1491  272 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
