time	cpu	FSB	L2miss
494	0	461640686	
496	1		5446355
498	1	457317920	
500	0		13898687
500	1		94083
502	1	453384021	
502	0	453454087	
504	1		94409
504	0		13819045
506	1	457649014	
506	0	457565728	
508	0		1421305
508	1		13075580
510	0	463143407	
510	1	462523192	
512	0		6767684
514	1	461245308	
514	0	461275180	
516	0		12377259
518	1	459095204	
518	0	459053292	
520	1		327957
520	0		13614065
522	0	450108986	
524	1		3753529
524	0		10166187
526	1	455834546	
528	1		2241934
528	0		12123057
530	1	461883222	
532	1		10135266
534	0	462516472	
534	1	462197942	
536	0		4597216
538	0	458617428	
538	1	458620328	
540	0		415226
542	0	453123652	
542	1	453107296	
544	0		205597
544	1		13844156
546	1	455962075	
548	1		12702948
550	0	457574025	
552	0		8128957
554	0	460855842	
554	1	460770530	
556	1		12669150
556	0		2428019
558	1	459690740	
558	0	459712914	
560	0		1178622
562	0	449389230	
562	1	449191694	
564	0		100554
564	1		13690556
566	0	450987816	
566	1	449615438	
568	0		358916
568	1		13706991
570	1	462638562	
572	0		1966547
572	1		12887647
574	0	464961312	
574	1	464860368	
576	1		13209948
576	0		1286881
578	0	457990624	
578	1	458067790	
580	0		778102
582	1	449466028	
582	0	449499396	
584	1		226094
584	0		13735229
586	0	458197184	
586	1	456799014	
588	1		10747093
588	0		3831045
590	0	462517608	
590	1	462305414	
592	0		4023769
592	1		10658288
594	0	461467506	
594	1	461436634	
596	0		2064991
596	1		12279717
598	0	455440690	
598	1	455685370	
600	1		13819499
602	1	450266542	
602	0	450384756	
604	1		205436
604	0		13928404
606	0	453246714	
606	1	453368580	
608	0		1521917
610	0	460082985	
610	1	459548970	
612	0		1448940
612	1		13661381
614	0	462433468	
614	1	462252808	
616	0		4020584
616	1		10537459
618	0	455660162	
620	1		90989
620	0		13793335
622	1	454454080	
622	0	454420660	
624	1		108067
624	0		13712769
626	0	459812568	
626	1	459580369	
628	0		5531360
628	1		9013457
630	0	463434848	
630	1	464325063	
632	1		11449463
632	0		3386324
634	0	465405272	
634	1	464923278	
636	0		10322909
636	1		3835099
638	0	458873694	
638	1	459066388	
640	0		3913081
640	1		9954577
642	0	453342802	
644	0		120418
646	0	454149316	
648	1		13267715
648	0		957302
650	1	460138978	
650	0	460165995	
652	1		2975796
652	0		11885288
654	1	461004684	
654	0	461037704	
656	1		1411192
656	0		13545932
658	0	457018702	
658	1	456199267	
660	1		13895070
662	0	450381632	
664	1		3000087
666	1	455543244	
668	1		5525285
670	0	456884726	
672	0		9483184
672	1		5554735
674	0	462862638	
674	1	462860436	
676	0		2163294
678	0	461111296	
678	1	461131482	
680	0		230753
682	0	453854654	
684	1		13636918
686	1	450197110	
688	0		309161
688	1		13689617
690	0	461132596	
692	1		5856542
692	0		9034242
694	1	464852656	
694	0	464805100	
696	1		1671995
696	0		12834786
698	0	456703182	
698	1	456779424	
700	0		356616
700	1		13684531
702	0	446084562	
702	1	444515430	
704	1		219103
704	0		13779363
706	0	457416678	
706	1	456025496	
708	1		3741414
708	0		11046326
710	0	460477257	
710	1	460727924	
712	0		4999747
712	1		10125852
714	0	460476568	
714	1	460213940	
716	0		4064718
716	1		10495027
718	0	456883164	
718	1	455917188	
720	0		200060
720	1		13847498
722	1	450404004	
724	0		103388
724	1		13746591
726	0	456849595	
726	1	456453300	
728	1		2942840
728	0		11827548
730	0	462853588	
730	1	461583442	
732	1		10551621
732	0		4491682
734	1	464072259	
734	0	463970858	
736	0		13167882
736	1		1252893
738	1	460053612	
738	0	459568348	
740	0		13719033
740	1		92474
742	0	457703238	
742	1	457393138	
744	1		168745
744	0		13600702
746	1	461769346	
748	1		999253
750	1	463737642	
750	0	463801682	
752	0		6693802
752	1		8348199
754	0	463732222	
754	1	463606078	
756	1		13912047
758	0	457281399	
758	1	455939484	
760	0		262152
760	1		13690540
762	0	446246632	
764	1		224889
764	0		13843760
766	1	455347836	
766	0	455335452	
768	1		1697472
770	1	460193542	
770	0	460271328	
772	0		4252309
774	1	457504856	
776	1		13013306
778	0	458437658	
778	1	457269131	
780	1		13821289
782	0	454367816	
784	1		13754342
786	1	455743724	
788	1		638056
788	0		13934766
790	1	460688446	
792	0		3998239
792	1		11059993
794	0	461524596	
794	1	462826974	
796	1		1969122
798	1	459931160	
798	0	459947560	
800	1		1708683
800	0		12137847
802	1	453780362	
802	0	453786462	
804	1		4501977
804	0		9204999
806	0	453890926	
806	1	454010462	
808	0		2134613
808	1		11812552
810	0	457919090	
810	1	458892936	
812	0		7069202
814	1	463428782	
816	0		2221987
816	1		12853484
818	1	462136772	
820	1		13303718
822	0	459047120	
822	1	457555528	
824	0		224182
824	1		13668206
826	0	449756028	
828	1		13792204
828	0		245010
830	0	457420561	
830	1	457198699	
832	0		5148630
832	1		9533444
834	0	459902888	
836	0		3254152
836	1		11774087
838	0	459491914	
838	1	459333764	
840	0		8718936
842	0	456450148	
842	1	456488810	
844	0		8381260
844	1		5702204
846	1	458187266	
846	0	456876688	
848	1		1585021
848	0		13412998
850	1	460310832	
850	0	460226304	
852	0		12982461
854	0	455550720	
856	1		13731595
856	0		307612
858	0	451324568	
860	0		21748
860	1		13705422
862	0	456206358	
862	1	455940890	
864	1		7168968
864	0		7340283
866	0	463174508	
866	1	463386554	
868	0		8407402
870	0	464055970	
872	1		4113685
872	0		10041524
874	1	459738814	
876	0		197666
876	1		13421923
878	1	451392314	
880	1		3475202
880	0		10485809
882	0	458900410	
882	1	458592224	
884	0		3376927
884	1		11172971
886	0	464112846	
886	1	462473247	
888	1		10040471
890	0	462127489	
890	1	462053006	
892	0		4053947
892	1		10275571
894	0	456553922	
896	1		5493440
896	0		8556197
898	0	449689956	
898	1	448260503	
900	0		167636
900	1		13811418
902	0	453618196	
902	1	453003014	
904	0		2325485
904	1		12391141
906	1	460149672	
906	0	457704020	
908	1		2195721
908	0		12994394
910	0	462833068	
910	1	461671342	
912	0		5136589
912	1		9288438
914	1	456524696	
914	0	456194870	
916	1		285295
916	0		13833517
918	1	456178856	
918	0	456128306	
920	1		42134
920	0		13767027
922	1	461005792	
922	0	459070698	
924	0		9874435
924	1		4642457
926	0	464080734	
926	1	462680576	
928	1		10359159
928	0		4387008
930	1	464430966	
932	0		10074631
932	1		4478851
934	0	462594848	
934	1	461271200	
936	0		348308
936	1		13606435
938	0	451043094	
938	1	449845389	
940	1		3993269
940	0		9970069
942	1	456737062	
942	0	456679198	
944	1		982847
944	0		13644417
946	0	462335178	
948	1		6827354
948	0		8321791
950	0	462578398	
950	1	462494210	
952	1		5600550
954	0	454022108	
956	1		225175
956	0		13919529
958	1	451362559	
958	0	451285395	
960	1		163883
960	0		13946065
962	0	452754560	
962	1	450617434	
964	0		3090176
964	1		11634680
966	0	460058776	
966	1	460660797	
968	0		4567502
970	0	461553662	
972	0		396879
972	1		13967830
974	1	456120759	
974	0	454858842	
976	1		289037
976	0		13768811
978	0	456547882	
978	1	456253132	
980	1		10204104
982	1	461061454	
982	0	461083482	
984	0		2874507
984	1		11632658
986	0	463838950	
986	1	463777100	
988	0		8639970
988	1		6320386
990	0	465754632	
990	1	465006570	
992	0		13856877
992	1		388879
994	1	454493562	
994	0	454095862	
996	1		236457
996	0		13701084
998	1	449573322	
1000	1		13682774
1002	0	459556628	
1002	1	458889410	
1004	0		11538494
1006	1	458472908	
1006	0	458590166	
1008	0		8842112
1008	1		6460830
1010	1	460212044	
1010	0	460037378	
1012	0		11587936
