Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 24 28 23 16 18 3150 7500 5250 7500 5400 7575 5250 7950 5250 54h
8 25 28 23 16 18 3150 7575 5325 7425 5325 7575 5250 7950 5325 54h
16 25 28 23 16 19 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
24 25 28 23 16 19 3150 7575 5175 7425 5400 7575 5250 7875 5250 54h
32 25 28 23 16 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
40 25 28 23 16 19 3150 7500 5250 7425 5400 7575 5250 7950 5250 54h
48 25 28 23 17 19 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
56 25 28 23 17 19 3075 7575 5250 7500 5325 7500 5250 7950 5250 54h
64 25 28 23 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
72 25 28 23 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
80 25 31 23 17 19 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
88 28 30 23 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
96 26 32 23 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
104 27 32 23 17 19 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
112 27 30 23 17 19 3150 7575 5250 7500 5400 7575 5325 7950 5250 54h
120 26 29 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
128 26 29 23 17 19 3150 7500 5250 7500 5400 7575 5325 7950 5250 54h
136 25 29 23 17 19 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
144 26 29 23 17 19 3150 7575 5250 7425 5325 7575 5325 7950 5250 54h
152 25 29 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
160 25 29 23 17 19 3150 7575 5250 7425 5325 7500 5325 7950 5250 54h
168 26 29 23 17 19 3150 7575 5175 7425 5400 7500 5250 7950 5250 54h
176 26 28 23 17 19 3150 7575 5250 7500 5400 7500 5325 7950 5250 54h
184 26 29 23 17 19 3150 7575 5250 7425 5325 7575 5325 7950 5175 54h
192 25 29 23 17 19 3150 7575 5250 7500 5400 7500 5250 7950 5250 54h
200 26 29 23 17 19 3150 7575 5250 7500 5400 7575 5325 7950 5250 54h
208 28 29 23 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
216 28 30 23 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
224 29 29 23 17 19 3150 7575 5175 7425 5325 7500 5325 7950 5250 54h
232 29 30 23 17 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
240 27 31 23 17 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
248 27 29 23 17 19 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
256 30 30 23 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
264 33 31 23 17 19 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
272 33 35 23 18 20 3150 7500 5250 7425 5325 7575 5250 7875 5250 54h
280 34 32 24 18 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
288 37 32 24 18 20 3075 7500 5250 7425 5400 7575 5250 7875 5250 54h
296 35 33 24 18 20 3150 7500 5250 7425 5325 7575 5250 7875 5250 54h
304 37 33 24 18 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
312 33 38 24 19 20 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
320 37 34 25 19 21 3150 7575 5250 7425 5325 7500 5325 7875 5250 54h
328 34 37 25 19 21 3150 7575 5325 7500 5325 7575 5325 7875 5250 54h
336 36 35 25 19 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
344 35 38 25 19 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
352 37 35 25 19 21 3150 7500 5250 7425 5325 7575 5250 7950 5250 54h
360 34 39 25 19 21 3150 7500 5250 7500 5325 7575 5250 7950 5250 54h
368 38 35 26 19 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
376 38 34 26 19 21 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
384 39 34 26 19 21 3150 7575 5250 7425 5325 7575 5325 7875 5250 54h
392 38 34 26 19 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
400 40 36 26 19 21 3150 7575 5325 7425 5400 7575 5250 7950 5250 54h
408 36 39 26 19 21 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
416 38 38 27 19 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
424 38 37 27 20 21 3150 7575 5250 7500 5400 7575 5325 7950 5250 54h
432 38 37 27 20 21 3150 7500 5250 7425 5400 7575 5250 7950 5250 54h
440 38 38 27 19 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
448 37 38 27 19 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
456 37 39 27 19 22 3225 7575 5250 7425 5400 7575 5250 7875 5250 54h
