time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,45,51,36,46,3645.6,3724,9656,9656,1583091,60240804,84621329,8.20E+05,7768273,435477,1314168,1.583091,60.240804,84.621329,8.200195,77.68273,4.35477,13.14168,2023,1152,1618.4,1213.8,60.69,64.3314,75.4,0,9047.4,0,9047400,0
5,45,50,35,46,3645.6,3645.6,9656,9656,7.18E+05,1.07E+08,5.15E+07,8.20E+05,3.53E+06,1.37E+06,3988258,0.7178067,106.9174,51.51792,8.200195,35.33015,13.65036,39.88258,2023,1152,1618.4,1213.8,60.69,64.3314,0,0,0,0,0,0
10,46,50,36,46,3645.6,3645.6,9656,9656,7.88E+05,8.19E+07,7.45E+07,6393036,3.53E+06,1.32E+07,3988258,0.7884755,81.88094,74.49085,63.93036,35.33015,131.7268,39.88258,2056,1153,1644.8,1233.6,61.68,65.3808,1.6,19.2,153.6,365.3,153600,365300
15,46,50,36,46,3645.6,3645.6,9656,9656,5.19E+05,9.70E+07,5.14E+07,2.42E+06,3.53E+06,1.63E+06,2.91E+06,0.5185207,97.037,51.39148,24.21326,35.33015,16.30457,29.10428,2020,1152,1616,1212,60.6,64.236,0,0,0,0,0,0
20,46,50,36,46,3645.6,3645.6,9656,9656,460302,92526451,78093317,2.42E+06,2.12E+06,1.63E+06,1.53E+06,0.460302,92.526451,78.093317,24.21326,21.16682,16.30457,15.27892,2027,1152,1621.6,1216.2,60.81,64.4586,0,0,0,0,0,0
25,46,50,36,46,3645.6,3645.6,9656,9656,4.72E+05,71844397,84911090,2.42E+06,15838959,1.63E+06,2.77E+06,0.4718125,71.844397,84.91109,24.21326,158.38959,16.30457,27.69378,2084,1150,1667.2,1250.4,62.52,66.2712,0.4,0,51.2,0,51200,0
30,46,49,36,46,3645.6,3645.6,9656,9656,1567744,71844397,1.82E+08,1.60E+06,1.72E+07,1.63E+06,2.77E+06,1.567744,71.844397,182.4758,16.0324,172.324,16.30457,27.69378,2052,1152,1641.6,1231.2,61.56,65.2536,0,0,0,0,0,0
35,46,50,36,46,3645.6,3645.6,9656,9656,2655764,71844397,105939935,1.60E+06,7189137,1.63E+06,2.77E+06,2.655764,71.844397,105.939935,16.0324,71.89137,16.30457,27.69378,2041,1153,1632.8,1224.6,61.23,64.9038,0,0,0,0,0,0
40,47,50,36,46,3724,3645.6,9656,9656,8.18E+05,7.96E+07,1.07E+08,1.60E+06,24991737,1.63E+06,688118,0.8180695,79.62707,106.938,16.0324,249.91737,16.30457,6.88118,1875,1152,1500,1125,56.25,59.625,28.8,18,2501.3,424.4,2501300,424400
45,47,49,36,46,3645.6,3645.6,9656,9656,1588705,7.96E+07,280725636,17386647,5.24E+07,1.63E+06,688118,1.588705,79.62707,280.725636,173.86647,524.3486,16.30457,6.88118,2066,1152,1652.8,1239.6,61.98,65.6988,3.6,0,386,0,386000,0
