time,cpu,HT0,HT1,HT2,L2miss
630,1,609385,0,242349425,139716744
635,3,0,189656929,0,495183
635,2,0,189664296,0,429955
635,1,1577428,0,269500295,98431985
640,2,0,179460280,0,504255
640,1,1564315,0,257704858,99812429
645,3,0,179254086,0,495711
645,1,1583058,0,256051340,121102331
650,2,0,198352550,0,489392
650,1,1685950,0,285362387,134811234
655,2,0,189328808,0,514212
655,1,1591721,0,274116645,95398805
660,2,0,183561798,0,504761
660,1,1565464,0,259270041,112954855
665,0,1570992,0,255349103,8867384
665,1,1570992,0,255349618,129932262
670,3,0,182795496,0,2107694
670,1,1591343,0,265624492,114907067
675,2,0,165677405,0,160327
675,0,895660,0,241003313,42033445
680,3,0,173517598,0,400148
680,1,1079687,0,247484706,127543243
685,2,0,175127620,0,497800
685,1,1591638,0,252986036,114276933
690,2,0,177628140,0,508772
690,1,1567442,0,251675533,119398946
695,3,0,191680332,0,504071
695,1,1610440,0,281043009,104711237
700,0,1570235,0,248496327,19992941
700,1,1570235,0,248496926,118340871
705,2,0,185547446,0,531601
705,1,1585033,0,264850952,121060952
710,3,0,185821465,0,456272
710,1,1729867,0,264352088,82220109
715,2,0,173802574,0,530739
715,1,1575433,0,252155783,131889334
720,0,1567998,0,254111930,26980530
720,1,1568016,0,254114285,107342366
725,3,0,181908297,0,67901
725,1,412310,0,273803557,113687437
725,0,412814,0,273853951,23000556
725,2,0,182146126,0,2126489
730,3,0,183586166,0,497984
730,1,1442548,0,266486959,134025187
735,3,0,179566324,0,537980
735,1,1602287,0,255521815,124653225
740,2,0,174508266,0,524988
740,1,1714902,0,250186823,106112440
745,3,0,174541993,0,496234
745,1,1582641,0,252365849,135176113
750,2,0,182656699,0,494763
750,1,1594459,0,258588593,119284496
755,3,0,173779718,0,550550
755,1,1575370,0,249034527,95905232
760,0,1573795,0,245667191,13286146
760,1,1573795,0,245667744,124467756
765,3,0,177903283,0,495419
765,1,1564433,0,251132293,106944220
770,2,0,169839551,0,396420
770,1,1590842,0,245250530,99214409
770,0,1592129,0,245362056,38776610
770,3,0,170064730,0,289512
775,2,0,163158664,0,163343
775,1,407669,0,238859650,134903618
780,2,0,178272714,0,461388
780,1,1570198,0,249902446,125724012
785,2,0,173637038,0,440493
785,1,1582436,0,248899129,93439526
790,2,0,171068155,0,419170
790,1,1573108,0,245758200,130142095
795,0,1571110,0,247516287,53962913
795,1,1571110,0,247523665,81264648
800,2,0,187356842,0,600745
800,3,0,187363776,0,547548
800,0,1719394,0,267798088,83322078
805,2,0,176404349,0,1098023
805,0,1558014,0,256393622,134015608
810,2,0,194956482,0,3510892
810,3,0,194957774,0,456533
810,0,1595247,0,285268532,118432008
815,1,1547168,0,255220233,3533031
815,2,0,176185483,0,536508
815,3,0,176188251,0,1515793
815,0,1547182,0,255231369,119856197
820,3,0,168557358,0,292528
820,0,1021086,0,245184548,131395378
820,2,0,168811753,0,282442
825,3,0,172258961,0,209780
825,0,839271,0,245118952,133745196
830,2,0,173563041,0,495362
830,0,1712148,0,248602261,137095645
835,3,0,173188181,0,511970
835,0,1570197,0,248552386,119528875
840,3,0,177535333,0,667803
840,0,1581689,0,251542360,113589569
845,1,1596056,0,254820214,36263795
845,2,0,176840360,0,524007
845,0,1595874,0,253762829,99856587
850,2,0,189298618,0,5340399
850,3,0,189305629,0,486973
850,0,1578593,0,278364662,129243870
855,3,0,180906586,0,452123
855,0,1568319,0,254193142,116493406
860,1,1714778,0,267538375,38324743
865,3,0,171271461,0,480562
865,2,0,171266171,0,451313
865,0,1547908,0,245285551,109147488
870,0,700980,0,264523602,116181623
870,1,701228,0,264568668,8654857
870,2,0,180841141,0,6403445
875,2,0,167591804,0,576631
875,0,1165648,0,242019280,113946752
880,1,1586533,0,247764412,3093326
880,0,1586535,0,247762728,130047530
885,2,0,174637917,0,507975
885,0,1595051,0,246409899,131448109
890,3,0,173217231,0,611815
890,2,0,173219232,0,633178
890,0,1726502,0,247881458,108601040
895,2,0,180052043,0,2469383
895,0,1554580,0,263010993,128314921
900,1,1602674,0,245453303,1005088
905,1,1563858,0,243238262,13484302
905,3,0,168933683,0,554923
905,0,1563862,0,243234898,119466550
910,2,0,168703372,0,522207
910,3,0,168706444,0,497067
910,0,1588033,0,242939327,119775324
915,2,0,178318265,0,1758864
920,2,0,179581569,0,406137
920,0,424117,0,264269577,111067453
