 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9694324 6554540 134 2166 0 0 0 0  0  2  0  0  0  616 1677  306  0  4 96
 0 0 0 9694200 6554416 129 2167 0 0 0 0  0  0  0  0  0  617 1693  288  0  4 96
 0 0 0 9694148 6554424 132 2109 0 0 0 0  0  0  0  0  0  584 1651  254  0  4 96
 0 0 0 9694304 6554688 10 159 0 0  0  0  0  0  0  0  0  475  739  191  0  0 100
 0 0 0 9533996 6402672 402 14659 0 0 0 0 0  0  0  0  0 1072 10888 288 46  8 46
 0 0 0 9449032 6323420 129 2417 0 0 0 0  0  0  0  0  0  791 1733  245 50  4 46
 0 0 0 9445424 6320148 134 2284 0 0 0 0  0  3  0  0  0 1197 1700  320 50  4 46
 0 0 0 9444628 6319200 129 2224 0 0 0 0  0  0  0  0  0  804 1701  250 50  4 46
 0 0 0 9443912 6318652 129 2176 0 0 0 0  0  0  0  0  0  800 1685  238 50  4 46
 0 0 0 9443868 6318868 147 2177 0 0 0 0  0  0  0  0  0  802 1697  253 50  4 46
 0 0 0 9444168 6318780 129 2173 0 0 0 0  0  0  0  0  0  790 1691  245 50  4 46
 0 0 0 9443908 6318684 12 98 0  0  0  0  0  0  0  0  0  478  778  175 50  1 49
 0 0 0 9444160 6318800 117 2073 0 0 0 0  0  3  0  0  0  952 1589  305 50  3 47
 0 0 0 9443744 6318524 131 2172 0 0 0 0  0  0  0  0  0  848 1710  261 50  4 46
 0 0 0 9444164 6318776 129 2171 0 0 0 0  0  0  0  0  0  818 1685  241 50  4 46
 0 0 0 9443908 6318808 147 2178 0 0 0 0  0  0  0  0  0  783 1702  243 50  4 46
 0 0 0 9443972 6318728 129 2172 0 0 0 0  0  0  0  0  0  809 1693  243 50  4 46
 0 0 0 9443980 6318752 129 2174 0 0 0 0  0  0  0  0  0  793 1702  246 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9444012 6318720 134 2170 0 0 0 0  0  2  0  0  0  915 1694  291 50  4 46
 0 0 0 9443920 6318576 50 773 0 0  0  0  0  0  0  0  0  567 1062  195 50  2 48
 0 0 0 9444000 6318612 80 1401 0 0 0  0  0  0  0  0  0  670 1302  212 50  2 48
 0 0 0 9443672 6318440 147 2181 0 0 0 0  0  0  0  0  0  816 1793  293 50  4 46
 0 0 0 9443972 6318576 129 2169 0 0 0 0  0  0  0  0  0  807 1689  238 50  4 46
 0 0 0 9443716 6318484 129 2173 0 0 0 0  0  0  0  0  0 1132 1697  249 50  4 46
 0 0 0 9443680 6318492 134 2171 0 0 0 0  0  2  0  0  0  919 1687  290 50  4 46
 0 0 0 9443908 6318508 129 2172 0 0 0 0  0  0  0  0  0  854 1708  271 50  4 46
 0 0 0 9443728 6318488 129 2173 0 0 0 0  0  0  0  0  0  803 1690  239 50  4 46
 0 0 0 9443656 6318716 95 1194 0 0 0  0  0  0  0  0  0  649 1280  216 50  3 47
 0 0 0 9443948 6318548 53 986 0 0  0  0  0  0  0  0  0  611 1088  198 50  1 49
 0 0 0 9443920 6318532 129 2173 0 0 0 0  0  0  0  0  0  827 1702  242 50  4 46
 0 0 0 9443540 6318304 134 2172 0 0 0 0  0  2  0  0  0  918 1687  292 50  4 46
 0 0 0 9443488 6318256 129 2172 0 0 0 0  0  0  0  0  0  797 1706  244 50  4 46
 0 0 0 9443696 6318348 129 2172 0 0 0 0  0  0  0  0  0  813 1684  239 50  4 46
 0 0 0 9443780 6318600 147 2178 0 0 0 0  0  0  0  0  0  778 1700  242 50  4 46
 0 0 0 9443700 6318348 129 2172 0 0 0 0  0  0  0  0  0  798 1707  248 50  4 46
 0 0 0 9443656 6318352 96 1588 0 0 0  0  0  0  0  0  0  722 1466  228 50  4 46
 0 0 0 9443772 6318472 33 586 0 0  0  0  0  2  0  0  0  647  910  246 50  1 49
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9447432 6322008 143 2636 0 0 0 0  0  0  0  0  0  828 1914  268 50  4 46
 0 0 0 9458556 6333232 129 2463 0 0 0 0  0  0  0  0  0  835 1722  253 50  4 46
 0 0 0 9454916 6329600 147 2305 0 0 0 0  0  0  0  0  0  845 1719  258 50  4 46
 0 0 0 9453732 6328172 129 2235 0 0 0 0  0  0  0  0  0  844 1685  254 50  4 46
 0 0 0 9453040 6327652 129 2178 0 0 0 0  0  0  0  0  0  846 1702  243 50  4 46
 0 0 0 9453044 6327736 134 2174 0 0 0 0  0  2  0  0  0  998 1688  304 50  4 46
 0 0 0 9453232 6327712 129 2171 0 0 0 0  0  0  0  0  0  858 1688  256 50  4 46
 0 0 0 9453272 6327772 17 99 0  0  0  0  0  0  0  0  0  513  715  177 50  0 50
 0 0 0 9453272 6327712 131 2079 0 0 0 0  0  0  0  0  0  838 1738  294 50  4 46
 0 0 0 9453192 6327684 129 2172 0 0 0 0  0  0  0  0  0  839 1686  243 50  4 46
 0 0 0 9452980 6327584 129 2173 0 0 0 0  0  0  0  0  0 1325 1697  262 50  4 46
 0 0 0 9453272 6327756 134 2172 0 0 0 0  0  3  0  0  0 1039 1680  317 50  4 46
 0 0 0 9452940 6327544 129 2172 0 0 0 0  0  0  0  0  0  906 1705  275 50  4 46
 0 0 0 9452980 6327588 136 2177 0 0 0 0  0  0  0  0  0  856 1684  252 50  4 46
 0 0 0 9453276 6327768 132 2170 0 0 0 0  0  0  0  0  0  851 1690  255 50  4 46
 0 0 0 9452996 6327604 12 100 0 0  0  0  0  0  0  0  0  522  791  180 50  1 49
 0 0 0 9453248 6327684 117 2073 0 0 0 0  0  0  0  0  0  863 1588  259 50  3 47
 0 0 0 9452900 6327500 134 2172 0 0 0 0  0  2  0  0  0 1002 1687  293 50  4 46
 0 0 0 9453196 6327628 129 2173 0 0 0 0  0  0  0  0  0  860 1698  264 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9452940 6327592 129 2171 0 0 0 0  0  0  0  0  0  851 1686  244 50  4 46
 0 0 0 9453228 6327824 147 2180 0 0 0 0  0  0  0  0  0  856 1706  261 50  4 46
 0 0 0 9453108 6327588 129 2173 0 0 0 0  0  0  0  0  0  871 1684  258 50  4 46
 0 0 0 9453196 6327628 129 2170 0 0 0 0  0  0  0  0  0  870 1689  265 50  4 46
 0 0 0 9452932 6327608 39 504 0 0  0  0  0  2  0  0  0  706  947  249 50  2 48
 0 0 0 9453072 6327504 96 1668 0 0 0  0  0  0  0  0  0  814 1426  262 50  3 47
 0 0 0 9453572 6328248 138 2950 0 0 0 0  0  0  0  0  0  856 1911  250 50  4 46
