Sum of bus_tran_any,cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,0,1,2,3,4,5,6,7,Grand Total,,Temp,Temp,Ambient_Temp,CPU_Temp_Interf,VCORE,VCORE,CPU_VTT,1.5V_PG,1.8V_PG,3.3V_PG,5V_PG,1.5V_PXH_PG,5V_Riser_PG,Backplane_PG,Linear_PG,0.9V_PG,0.9V_Over_Volt,CPU_Power_Fault,PFault_Fail_Safe,FAN_MOD_1A_RPM,FAN_MOD_1B_RPM,FAN_MOD_1C_RPM,FAN_MOD_1D_RPM,FAN_MOD_2A_RPM,FAN_MOD_2B_RPM,FAN_MOD_2C_RPM,FAN_MOD_2D_RPM,FAN_MOD_3A_RPM,FAN_MOD_3B_RPM,FAN_MOD_3C_RPM,FAN_MOD_3D_RPM,FAN_MOD_4A_RPM,FAN_MOD_4B_RPM,FAN_MOD_4C_RPM,FAN_MOD_4D_RPM,Fan_Redundancy
5,256587,181873,159990,144119,137112,308090,202397,124682,1514850,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5775,3675,3675,5850,5850,3675,3675,5925,5775,3675,3675,5775,5700,3600,3600,75h
10,108513,12426,24095,28062,20570,28163,95484,73050,390363,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5925,3750,3675,5925,5925,3750,3600,5925,5775,3675,3600,5925,5700,3600,3600,75h
15,89828,258133,294086,325572,216557,347066,56037,669,1587948,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3675,5925,5775,3675,3675,5775,5625,3600,3600,75h
20,212864,352187,194765,65376,140044,330243,227075,61210,1583764,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,6075,5850,3750,3675,5925,5925,3675,3600,5925,5850,3750,3675,5850,5700,3600,3600,75h
25,10797,45335,28416,4353,2779,14363,1815,1331,109189,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3675,3675,5775,5925,3600,3600,5925,5775,3750,3675,5925,5700,3600,3600,75h
30,159859,413290,167980,38844,115539,395415,181341,30870,1503138,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5925,5925,3675,3600,5925,5775,3750,3675,5775,5700,3600,3600,75h
35,119267,214184,207049,81464,127972,151869,70343,19705,991853,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5850,5850,3675,3600,5925,5925,3750,3600,5775,5700,3600,3600,75h
40,54217,197379,153810,40837,71254,150615,2060,1917,672089,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5775,5850,3675,3675,5925,5775,3750,3600,5850,5700,3600,3600,75h
45,132802,441744,404218,92878,245050,359098,79873,1488,1757151,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5925,3750,3675,5850,5925,3675,3600,5925,5775,3750,3675,5850,5700,3600,3600,75h
50,3639,14168,22889,30066,16516,5061,2980,1897,97216,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3600,6000,5775,3750,3675,5775,5625,3600,3675,75h
55,126594,444016,409538,93404,209252,304724,5863,405,1593796,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5775,5850,3600,3675,5925,5850,3750,3675,5850,5700,3600,3600,75h
60,125219,206475,201378,60948,96172,175170,102443,33466,1001271,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5775,5925,3675,3600,6000,5775,3750,3675,5850,5700,3600,3675,75h
65,39304,148014,214634,57951,120062,95800,5475,1209,682449,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5850,5850,3675,3750,6000,5850,3750,3675,5850,5625,3600,3600,75h
70,180788,311033,381126,154174,222096,243564,90978,62631,1646390,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5850,3600,3600,5925,5850,3750,3600,5850,5700,3600,3600,75h
75,42091,18332,61556,28902,15944,18273,28594,13405,227097,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5925,3750,3675,5850,5925,3675,3600,6000,5850,3750,3750,5850,5700,3600,3600,75h
80,65866,404177,317494,109421,230594,352989,72320,1330,1554191,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3675,3675,5925,5925,3675,3600,5925,5775,3675,3675,5775,5700,3600,3600,75h
85,60695,179526,210490,168414,177739,213297,1797,2052,1014010,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3675,3675,5850,5850,3675,3600,5925,5775,3750,3675,5850,5700,3600,3675,75h
90,47371,191379,180878,50056,104852,119904,1847,1682,697969,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3675,3675,5850,6000,3600,3600,6000,5850,3750,3600,5775,5700,3600,3600,75h
95,97446,419505,420179,152840,252602,351690,46385,5335,1745982,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5775,5850,3600,3675,5925,5850,3675,3675,5850,5700,3675,3675,75h
100,77503,49671,59075,29991,18537,56897,67050,30324,389048,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5850,3675,3675,6000,5850,3750,3675,5850,5700,3600,3600,75h
105,107426,282818,265679,109817,204866,285826,130852,22891,1410175,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5775,5850,3750,3675,5850,5850,3675,3600,5925,5850,3750,3675,5850,5700,3675,3600,75h
110,192322,176052,156704,55902,78402,163405,148510,77520,1048817,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5925,5850,3600,3600,5925,5775,3750,3675,5775,5700,3675,3675,75h
115,90810,209808,87355,21143,45840,90743,38680,154798,739177,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3600,5925,5925,3675,3675,5925,5775,3750,3675,5850,5700,3600,3600,75h
120,219425,556734,301682,83484,113137,339148,32948,118750,1765308,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3675,6000,5850,3750,3600,5850,5700,3600,3600,75h
125,16151,87090,136453,52417,72923,26945,5991,1566,399536,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5925,5925,3675,3675,5925,5775,3750,3675,5775,5700,3600,3600,75h
