Sum of bus_tran_any,cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,0,1,2,3,4,5,6,7,Grand Total,,Temp,Temp,Ambient_Temp,CPU_Temp_Interf,VCORE,VCORE,CPU_VTT,1.5V_PG,1.8V_PG,3.3V_PG,5V_PG,1.5V_PXH_PG,5V_Riser_PG,Backplane_PG,Linear_PG,0.9V_PG,0.9V_Over_Volt,CPU_Power_Fault,PFault_Fail_Safe,FAN_MOD_1A_RPM,FAN_MOD_1B_RPM,FAN_MOD_1C_RPM,FAN_MOD_1D_RPM,FAN_MOD_2A_RPM,FAN_MOD_2B_RPM,FAN_MOD_2C_RPM,FAN_MOD_2D_RPM,FAN_MOD_3A_RPM,FAN_MOD_3B_RPM,FAN_MOD_3C_RPM,FAN_MOD_3D_RPM,FAN_MOD_4A_RPM,FAN_MOD_4B_RPM,FAN_MOD_4C_RPM,FAN_MOD_4D_RPM,Fan_Redundancy
130,124701,373091,290105,67705,164149,287664,82327,16352,1406094,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3675,5925,5850,3750,3675,5925,5700,3600,3600,75h
135,154074,350743,286074,119330,153329,268150,98236,34234,1464170,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5925,3750,3675,5925,5850,3600,3600,5925,5775,3675,3675,5850,5700,3675,3675,75h
140,30174,126321,75731,11671,20411,84646,908,1994,351856,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5925,3675,3675,5775,5925,3675,3600,6000,5850,3750,3675,5850,5700,3600,3600,75h
145,167381,313354,288426,250285,269209,350143,125783,62504,1827085,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3675,3675,5925,5850,3675,3600,5925,5850,3750,3675,5775,5700,3600,3600,75h
150,4939,5284,30341,138114,84480,92246,1899,1624,358927,,40,40,16,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5775,3750,3675,5850,5850,3675,3600,5925,5850,3675,3675,5775,5700,3600,3600,75h
155,111514,359535,394928,159544,198009,242981,3943,1363,1471817,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5850,3675,3675,5925,5850,3675,3600,5775,5700,3675,3675,75h
160,202513,452281,455098,159704,221456,272929,73717,26724,1864422,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5925,3750,3675,5850,5925,3675,3675,5925,5850,3750,3675,5850,5700,3600,3600,75h
165,25782,29408,4821,1723,5984,5677,1690,1737,76822,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3675,3675,5925,5850,3675,3675,5925,5850,3750,3675,5775,5700,3600,3600,75h
170,109291,494956,470087,99362,266860,372725,72029,986,1886296,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,6000,5850,3750,3675,5850,5850,3675,3675,5925,5850,3750,3675,5775,5700,3600,3675,75h
175,113716,19529,30146,29760,12404,31520,116097,61064,414236,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5775,3750,3675,5925,5850,3675,3600,5925,5775,3750,3675,5850,5700,3600,3600,75h
180,135300,477268,343576,105094,181123,278798,2838,1253,1525250,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5775,3750,3675,5775,5925,3675,3600,6000,5775,3750,3675,5850,5700,3600,3600,75h
185,237471,489243,387155,123583,155219,318383,121022,63126,1895202,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3600,5925,5850,3750,3675,5850,5700,3600,3600,75h
190,5152,9551,31818,29642,13761,3329,2253,1462,96968,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5850,3675,3600,5925,5775,3750,3675,5850,5700,3600,3600,75h
195,315939,314970,362232,120568,203124,244190,288804,134129,1983956,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3675,3675,5850,5925,3675,3600,6000,5850,3750,3675,5850,5775,3675,3675,75h
200,45380,124651,118018,23257,46695,63116,29350,27879,478346,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3675,3675,5925,5850,3675,3600,6000,5850,3750,3600,5850,5625,3600,3600,75h
205,150570,381881,450201,115531,243671,181666,5243,1805,1530568,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3675,3675,5850,5850,3675,3600,5925,5850,3750,3675,5850,5700,3600,3600,75h
210,152320,293508,557866,199633,318161,153967,124483,62826,1862764,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3675,3750,5850,5850,3675,3675,5925,5850,3750,3675,5850,5700,3600,3675,75h
215,23079,8939,28158,29763,10226,1618,3974,1333,107090,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5925,5925,3675,3600,5925,5775,3750,3675,5850,5700,3675,3600,75h
220,188403,373321,474097,112398,257507,244680,122699,60831,1833936,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5925,3750,3750,5850,5925,3675,3675,6075,5775,3750,3675,5775,5700,3600,3600,75h
225,145379,95597,107872,48926,56491,74525,117497,63160,709447,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5925,3750,3675,5850,5925,3675,3675,5925,5850,3675,3675,5775,5625,3600,3600,75h
230,48969,228696,462353,135430,281449,72608,21316,37718,1288539,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3675,3675,5850,5925,3675,3675,5925,5850,3750,3675,5925,5700,3600,3675,75h
235,136806,338464,221083,441081,225967,497972,5533,4004,1870910,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5850,5925,3675,3600,5925,5850,3750,3600,5850,5700,3600,3600,75h
240,3068,11305,23631,29423,10685,9763,1433,1719,91027,,40,40,17,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5850,5925,3675,3600,6075,5775,3750,3600,5850,5700,3675,3675,75h
245,236081,474322,224428,193411,93979,434735,126247,62959,1846162,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3600,5925,5775,3750,3675,5850,5700,3600,3675,75h
250,145449,196284,83697,40760,39063,133800,123032,63015,825100,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,6000,5850,3750,3675,5850,6000,3675,3600,6000,5850,3750,3675,5775,5700,3600,3675,75h
255,120560,318614,204748,163689,68234,468407,1941,1828,1348021,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,6000,5850,3675,3675,5850,5850,3675,3600,6000,5850,3750,3675,5850,5700,3600,3600,75h
260,164104,548312,373810,227175,194005,404460,1959,1605,1915430,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5925,3750,3675,5850,5850,3600,3675,5925,5850,3750,3675,5775,5775,3675,3600,75h
265,23825,31487,29980,2309,6237,16106,4587,1670,116201,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3750,3675,5850,5850,3675,3600,5925,5775,3750,3675,5850,5700,3600,3600,75h
270,172137,680641,323250,40621,125288,457928,61480,842,1862187,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5925,3675,3675,5925,5775,3675,3675,5775,5700,3600,3600,75h
275,47746,274467,140104,67475,100685,254512,44101,1653,930743,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3750,5775,5850,3675,3675,5925,5850,3750,3675,5775,5700,3600,3600,75h
280,111236,297788,295979,116954,185195,159527,14279,1786,1182744,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5925,3750,3750,5850,6000,3750,3600,6000,5850,3750,3675,5775,5700,3600,3600,75h
285,235798,870715,381865,36222,134416,530697,14452,4967,2209132,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,6000,5925,3750,3675,5850,5925,3675,3600,6000,5775,3750,3675,5850,5700,3600,3675,75h
290,2956,9529,13283,29133,23881,10857,2060,2209,93908,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5850,5850,3675,3675,5925,5850,3750,3600,5850,5700,3600,3600,75h
295,159026,572229,326787,276184,180009,426250,7560,615,1948660,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5925,5850,3675,3675,5850,5850,3675,3675,5925,5775,3750,3600,5850,5700,3600,3675,75h
300,85690,234225,250007,94199,129157,160961,60928,17102,1032269,,40,40,18,76h,3.1,3.2,7.1,7.1,7.1,7.1,7.1,16.1,16.1,7.1,7.1,7.1,7.1,7.1,7.1,5850,5850,3750,3675,5925,5850,3600,3600,5925,5850,3750,3600,5850,5700,3600,3600,75h
Grand Total,6773913,15995858,13603274,5920094,7736930,12539894,3584838,1674261,67829062
