pic0: pic0=bus_tran_any,umask=0x20
pic1: pic1=l2_rqsts,umask=0x4f
   time cpu event      pic0      pic1 
120.011   1  tick 101708874         0 
120.011   3  tick  68229507         0 
120.011   7  tick 105702795         0 
120.011   6  tick  77577278         0 
120.011   5  tick 100749510         0 
120.011   4  tick  87400848         0 
125.002   1  tick 135061136         0 
125.011   3  tick 150154978         0 
125.011   5  tick 149092062         0 
125.011   7  tick 136099008         0 
125.011   4  tick 143170961         0 
125.011   6  tick 142875354         0 
125.011   2  tick 145032094         0 
125.011   0  tick 121827163         0 
130.011   1  tick 172143503         0 
130.011   3  tick 189667876         0 
130.011   4  tick 195518452         0 
130.011   6  tick 188597113         0 
130.011   0  tick 167598723         0 
130.011   5  tick 167905459         0 
130.011   2  tick 182415541         0 
130.011   7  tick 178964175         0 
135.011   1  tick 224466383         0 
135.011   6  tick 198844067         0 
135.011   4  tick 223237744         0 
135.011   0  tick 213661925         0 
135.011   2  tick 193853838         0 
135.011   7  tick 218999654         0 
135.011   5  tick 247088774         0 
135.013   3  tick 184841878         0 
140.011   3  tick 216969602         0 
140.011   2  tick 199993281         0 
140.011   1  tick 219819413         0 
140.011   0  tick 217057522         0 
140.011   4  tick 208614899         0 
140.011   6  tick 228285675         0 
140.011   5  tick 226002417         0 
140.012   7  tick 179257211         0 
145.001   1  tick 177788978         0 
145.011   2  tick 231162035         0 
145.011   0  tick 212080949         0 
145.011   3  tick 204064854         0 
145.011   7  tick 221155754         0 
145.011   6  tick 244155338         0 
146.200   5  tick 173672667         0 
147.206   4  tick 216743225         0 
150.011   2  tick 169964890         0 
150.011   5  tick 101545039         0 
150.011   6  tick  77840556         0 
150.222   3  tick  79137469         0 
151.052   1  tick  80564800         0 
151.575   4  tick  39287775         0 
151.850   7  tick  41212800         0 
151.874   0  tick  26578181         0 
155.002   0  tick  18762252         0 
155.011   6  tick 122987435         0 
155.011   3  tick  59260598         0 
155.011   1  tick 115607476         0 
155.011   7  tick  83381333         0 
155.011   5  tick 117055236         0 
155.282   4  tick  45957546         0 
155.374   2  tick  64288658         0 
160.011   2  tick 139703114         0 
160.011   3  tick 130634993         0 
160.011   6  tick 157344074         0 
160.011   5  tick 161038099         0 
160.011   1  tick 149814444         0 
160.012   4  tick 160647280         0 
160.012   0  tick 141550190         0 
160.012   7  tick 157275221         0 
165.011   4  tick 205267914         0 
165.011   6  tick 144728801         0 
165.011   1  tick 208749360         0 
165.011   7  tick 245435359         0 
165.011   5  tick 214181068         0 
165.011   0  tick 205218157         0 
165.011   2  tick 151767009         0 
165.012   3  tick 252659882         0 
170.011   1  tick 240387756         0 
170.011   3  tick 299192881         0 
170.011   0  tick 209933389         0 
170.011   2  tick 272578165         0 
170.011   7  tick 268455417         0 
170.011   4  tick 243542641         0 
170.012   6  tick 247343546         0 
170.012   5  tick 257085644         0 
175.001   0  tick 323874676         0 
175.011   2  tick 215818116         0 
175.011   4  tick 308681426         0 
175.011   3  tick 269364535         0 
175.011   1  tick 288524582         0 
175.011   5  tick 267026972         0 
175.011   7  tick 304853825         0 
177.471   6  tick 226751476         0 
180.011   4  tick  75878946         0 
180.011   2  tick 101394753         0 
180.011   1  tick  74479846         0 
180.576   5  tick  77839300         0 
180.909   6  tick   9765055         0 
181.064   7  tick 100494117         0 
182.977   3  tick 199776299         0 
183.137   0  tick  87580487         0 
185.002   1  tick  38176672         0 
185.002   2  tick  11241127         0 
185.002   0  tick  20434728         0 
185.012   3  tick  30037062         0 
185.012   6  tick  47129765         0 
185.012   4  tick  94669932         0 
185.012   7  tick  30540382         0 
185.012   5  tick  80474301         0 
190.011   1  tick 205275167         0 
190.011   3  tick 182792490         0 
190.011   7  tick 190346626         0 
190.011   4  tick 201789468         0 
190.011   6  tick 176601992         0 
190.011   2  tick 186479810         0 
190.011   0  tick 195255635         0 
190.011   5  tick 167169775         0 
195.011   1  tick  92723157         0 
195.011   0  tick 150551027         0 
195.225   5  tick  93835786         0 
195.415   2  tick 101057200         0 
195.482   3  tick 100517541         0 
195.634   7  tick 100645874         0 
195.655   4  tick 114345261         0 
195.662   6  tick 108743924         0 
200.011   1  tick 202673526         0 
200.011   3  tick 104799995         0 
200.011   2  tick 150758657         0 
200.011   6  tick 180116581         0 
200.011   0  tick 119024250         0 
200.011   5  tick 190658733         0 
200.011   4  tick 171737816         0 
200.012   7  tick 166558938         0 
205.011   1  tick 105690332         0 
205.011   4  tick 160009067         0 
205.011   2  tick 151021453         0 
205.011   6  tick 153275469         0 
205.011   5  tick 130513426         0 
205.011   7  tick 131405092         0 
205.011   0  tick 113021121         0 
205.011   3  tick 147486196         0 
210.011   1  tick 114209565         0 
210.011   3  tick 132183331         0 
210.011   4  tick 138933992         0 
210.011   6  tick 119484210         0 
210.011   5  tick 132967306         0 
210.012   7  tick 130433645         0 
210.012   2  tick 112243138         0 
210.920   0  tick 138586873         0 
215.002   1  tick 115478258         0 
215.011   6  tick  88540011         0 
215.011   4  tick  87461954         0 
215.011   3  tick 108922926         0 
215.011   7  tick 108859375         0 
215.011   5  tick 106665425         0 
215.011   2  tick  81287483         0 
215.011   0  tick  79625541         0 
220.011   2  tick 157701506         0 
220.011   3  tick 151779248         0 
220.011   6  tick 139592270         0 
220.011   0  tick 157525041         0 
220.011   7  tick 151192470         0 
220.011   5  tick 159147697         0 
220.011   4  tick 150108083         0 
220.012   1  tick 172379257         0 
225.011   0  tick 168498032         0 
225.011   2  tick 167600134         0 
225.011   6  tick 184646350         0 
225.011   4  tick 165168649         0 
225.011   3  tick 201037711         0 
225.011   7  tick 221848628         0 
225.011   5  tick 161307696         0 
225.011   1  tick 190804789         0 
230.011   2  tick 182393947         0 
230.011   0  tick 209784885         0 
230.011   3  tick 221920782         0 
230.011   7  tick 196922602         0 
230.011   6  tick 204876132         0 
230.011   5  tick 224513957         0 
230.012   1  tick 199090276         0 
230.013   4  tick 189008227         0 
235.002   0  tick 204944594         0 
235.011   2  tick 243665565         0 
235.011   3  tick 220516620         0 
235.011   1  tick 198673862         0 
235.011   6  tick 205341302         0 
235.011   5  tick 191793822         0 
235.011   4  tick 223986594         0 
235.011   7  tick 214422813         0 
240.002   1  tick 172710433         0 
240.011   2  tick 221162528         0 
240.011   3  tick 197514609         0 
240.011   7  tick 217592681         0 
240.011   5  tick 218940721         0 
240.011   4  tick 224748768         0 
240.011   6  tick 240404318         0 
241.254   0  tick 194527680         0 
245.011   6  tick 157045617         0 
245.011   7  tick  79846433         0 
245.011   5  tick  50254075         0 
245.011   3  tick  89691262         0 
246.057   2  tick 104820904         0 
246.624   1  tick 109617098         0 
246.944   0  tick  91088776         0 
247.352   4  tick  31671985         0 
250.002   3  tick  27972928         0 
250.011   5  tick 112044071         0 
250.011   2  tick  29942904         0 
250.011   0  tick  61572684         0 
250.011   4  tick  55199264         0 
250.073   1  tick  17732106         0 
250.805   6  tick  86836978         0 
251.006   7  tick  21813554         0 
255.011   2  tick 159204153         0 
255.011   1  tick 141331653         0 
255.011   3  tick 151812025         0 
255.011   5  tick 142705927         0 
255.011   7  tick 122847087         0 
255.011   4  tick 135176629         0 
255.011   6  tick 141073964         0 
255.012   0  tick 147037201         0 
260.001   0  tick 172705132         0 
260.011   1  tick 161930846         0 
260.011   3  tick 179273069         0 
260.011   6  tick 156013133         0 
260.011   4  tick 166704002         0 
260.011   5  tick 174394021         0 
260.011   2  tick 163999259         0 
260.011   7  tick 165321368         0 
265.011   1  tick 207500925         0 
265.011   3  tick 226335035         0 
265.011   0  tick 206412734         0 
265.011   6  tick 220376250         0 
265.011   7  tick 197866158         0 
265.011   5  tick 209010916         0 
265.011   4  tick 208050226         0 
265.011   2  tick 214888334         0 
270.003   2  tick 270557378         0 
270.011   4  tick 294630082         0 
270.011   7  tick  97414083         0 
270.011   5  tick 248485432         0 
270.011   1  tick 257333872         0 
270.011   3  tick 268460401         0 
270.011   0  tick 237256696         0 
270.011   6  tick 258650986         0 
275.001   0  tick 199632214         0 
275.011   1  tick 199485806         0 
275.011   3  tick 197831473         0 
275.011   4  tick 208501941         0 
275.011   7  tick 216522627         0 
275.011   5  tick 209104284         0 
275.011   6  tick 237475464         0 
275.309   2  tick 166704924         0 
280.011   2  tick 141001881         0 
280.011   4  tick  83517341         0 
280.011   7  tick  94929442         0 
280.011   5  tick  61089830         0 
280.011   6  tick 112275065         0 
280.011   1  tick 171467929         0 
280.011   3  tick  89021198         0 
280.048   0  tick 121525097         0 
285.011   3  tick  74543157         0 
285.012   2  tick 126165522         0 
285.012   0  tick  99522528         0 
285.012   6  tick  77229703         0 
285.033   5  tick 130617852         0 
285.152   7  tick  92917774         0 
285.284   1  tick 139643837         0 
285.619   4  tick 115934633         0 
290.003   5  tick 146242276         0 
290.011   2  tick 192391006         0 
290.011   3  tick 166407546         0 
290.011   1  tick 171571932         0 
290.011   6  tick 193283200         0 
290.011   7  tick 100262790         0 
