time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,InputDCPwr2,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
95,44,49,35,45,3645.6,3645.6,9656,9656,2.30E+05,5386507,1716578,39576,179178,11094,2.32E+04,0.2302943,5.386507,1.716578,0.39576,1.79178,0.11094,0.2319033,1873,1151,149.84,1498.4,1123.8,56.19,63.809,0,0,0,0,0,0
100,44,49,35,45,3645.6,3645.6,9656,9656,2.30E+05,17353917,1716578,39576,179178,11094,267690,0.2302943,17.353917,1.716578,0.39576,1.79178,0.11094,2.6769,1907,1150,152.56,1525.6,1144.2,57.21,64.931,0,0,0,0,0,0
105,44,49,35,45,3645.6,3724,9656,9656,1628389,17353917,16774433,525371,179178,11094,267690,1.628389,17.353917,16.774433,5.25371,1.79178,0.11094,2.6769,1871,1151,149.68,1496.8,1122.6,56.13,63.743,0,0,0,0,0,0
110,44,49,35,46,3645.6,3645.6,9656,9656,1672987,17353917,20790953,525371,648816,11094,267690,1.672987,17.353917,20.790953,5.25371,6.48816,0.11094,2.6769,1879,1152,150.32,1503.2,1127.4,56.37,64.007,0,0,0,0,0,0
115,44,49,35,46,3645.6,3645.6,9656,9656,1672987,18038904,20790953,525371,648816,448518,267690,1.672987,18.038904,20.790953,5.25371,6.48816,4.48518,2.6769,1871,1152,149.68,1496.8,1122.6,56.13,63.743,0,10.4,0,42.7,0,42700
120,44,49,35,45,3645.6,3645.6,9656,9656,1602367,18038904,17847536,525371,289617,448518,267690,1.602367,18.038904,17.847536,5.25371,2.89617,4.48518,2.6769,1871,1151,149.68,1496.8,1122.6,56.13,63.743,0,0,0,0,0,0
125,44,49,35,45,3645.6,3645.6,9656,9656,1602367,22563200,17847536,525371,289617,435633,267690,1.602367,22.5632,17.847536,5.25371,2.89617,4.35633,2.6769,1872,1151,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
130,44,49,35,46,3645.6,3645.6,9656,9656,1617248,22563200,19088916,525371,211644,435633,267690,1.617248,22.5632,19.088916,5.25371,2.11644,4.35633,2.6769,1876,1152,150.08,1500.8,1125.6,56.28,63.908,0,0,0,0,0,0
135,44,49,35,45,3645.6,3724,9656,9656,1617248,18717657,19088916,525371,211644,435633,351528,1.617248,18.717657,19.088916,5.25371,2.11644,4.35633,3.51528,1878,1152,150.24,1502.4,1126.8,56.34,63.974,0,0,0,0,0,0
140,44,49,35,45,3645.6,3645.6,9656,9656,5.47E+05,1.25E+07,4.51E+06,1.07E+05,211644,74469,58334,0.5472537,12.46175,4.509247,1.073553,2.11644,0.74469,0.58334,1882,1152,150.56,1505.6,1129.2,56.46,64.106,0,0,0,0,0,0
145,44,49,35,45,3645.6,3645.6,9372,9656,5.47E+05,9728363,4.51E+06,1.07E+05,211644,156829,58334,0.5472537,9.728363,4.509247,1.073553,2.11644,1.56829,0.58334,1914,1151,153.12,1531.2,1148.4,57.42,65.162,0,11,0,45.7,0,45700
150,44,49,35,45,3645.6,3645.6,9656,9656,5.47E+05,19015037,4.51E+06,1.07E+05,211644,156829,453385,0.5472537,19.015037,4.509247,1.073553,2.11644,1.56829,4.53385,1870,1150,149.6,1496,1122,56.1,63.71,0,0,0,0,0,0
155,44,49,35,45,3645.6,3645.6,9656,9656,1614486,19015037,19238470,502474,211644,156829,453385,1.614486,19.015037,19.23847,5.02474,2.11644,1.56829,4.53385,1879,1150,150.32,1503.2,1127.4,56.37,64.007,0,0,0,0,0,0
160,44,49,35,45,3645.6,3645.6,9656,9656,1614486,18106652,19238470,502474,211644,156829,465245,1.614486,18.106652,19.23847,5.02474,2.11644,1.56829,4.65245,1887,1150,150.96,1509.6,1132.2,56.61,64.271,0,0,0,0,0,0
165,44,49,35,45,3645.6,3645.6,9656,9656,1614486,19033417,19238470,502474,211644,156829,243775,1.614486,19.033417,19.23847,5.02474,2.11644,1.56829,2.43775,1873,1151,149.84,1498.4,1123.8,56.19,63.809,0,0,0,0,0,0
170,44,49,35,45,3645.6,3645.6,9372,9656,1719968,19033417,19228999,516724,211644,156829,243775,1.719968,19.033417,19.228999,5.16724,2.11644,1.56829,2.43775,1870,1152,149.6,1496,1122,56.1,63.71,0,0,0,0,0,0
175,44,49,35,45,3645.6,3645.6,9656,9372,1625872,19033417,18658454,516724,386294,156829,243775,1.625872,19.033417,18.658454,5.16724,3.86294,1.56829,2.43775,1870,1150,149.6,1496,1122,56.1,63.71,0,11,0,49,0,49000
180,44,50,35,45,3645.6,3645.6,9656,9656,1609222,19033417,17767405,516724,402147,156829,243775,1.609222,19.033417,17.767405,5.16724,4.02147,1.56829,2.43775,1872,1151,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
185,44,49,35,46,3645.6,3645.6,9656,9372,545047,1.49E+07,5964108,1.77E+05,402147,1.26E+05,79038,0.545047,14.87219,5.964108,1.765683,4.02147,1.260973,0.79038,1872,1151,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
190,44,49,35,45,3645.6,3645.6,9656,9656,545047,11266837,5964108,1.77E+05,402147,210233,79038,0.545047,11.266837,5.964108,1.765683,4.02147,2.10233,0.79038,1874,1150,149.92,1499.2,1124.4,56.22,63.842,0,0,0,0,0,0
195,44,49,35,45,3645.6,3645.6,9656,9372,545047,11598789,5964108,1.77E+05,402147,210233,134473,0.545047,11.598789,5.964108,1.765683,4.02147,2.10233,1.34473,2078,1152,166.24,1662.4,1246.8,56.18,63.798,0,0,0,0,0,0
200,44,50,35,45,3724,3645.6,9656,9656,545047,26441052,5964108,1.77E+05,402147,210233,263386,0.545047,26.441052,5.964108,1.765683,4.02147,2.10233,2.63386,1869,1151,149.52,1495.2,1121.4,56.07,63.677,0,0,0,0,0,0
205,44,49,35,45,3645.6,3645.6,9372,9656,545047,18524543,5964108,1.77E+05,402147,350488,263386,0.545047,18.524543,5.964108,1.765683,4.02147,3.50488,2.63386,1876,1152,150.08,1500.8,1125.6,56.28,63.908,0,10,0,52,0,52000
210,44,49,35,45,3645.6,3645.6,9656,9656,1619101,18524543,17539366,526258,402147,350488,263386,1.619101,18.524543,17.539366,5.26258,4.02147,3.50488,2.63386,1872,1151,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
215,44,49,35,45,3645.6,3645.6,9656,9656,1651165,18524543,18928610,488918,402147,350488,263386,1.651165,18.524543,18.92861,4.88918,4.02147,3.50488,2.63386,1869,1151,149.52,1495.2,1121.4,56.07,63.677,0,0,0,0,0,0
220,44,49,35,45,3645.6,3724,9372,9656,1651165,17768850,18928610,488918,402147,451009,263386,1.651165,17.76885,18.92861,4.88918,4.02147,4.51009,2.63386,1870,1151,149.6,1496,1122,56.1,63.71,0,0,0,0,0,0
225,44,49,35,45,3645.6,3645.6,9656,9656,1651165,19022845,18928610,488918,402147,338246,263386,1.651165,19.022845,18.92861,4.88918,4.02147,3.38246,2.63386,1880,1152,150.4,1504,1128,56.4,64.04,0,0,0,0,0,0
230,44,49,35,45,3645.6,3645.6,9656,9656,1728569,19022845,19122023,573693,402147,338246,263386,1.728569,19.022845,19.122023,5.73693,4.02147,3.38246,2.63386,1879,1152,150.32,1503.2,1127.4,56.37,64.007,0,0,0,0,0,0
235,44,49,35,46,3645.6,3645.6,9656,9372,816704,8.94E+06,8.31E+06,573693,191968,338246,168523,0.816704,8.93749,8.314278,5.73693,1.91968,3.38246,1.68523,1874,1151,149.92,1499.2,1124.4,56.22,63.842,0,10.8,0,54.5,0,54500
240,44,49,35,45,3645.6,3645.6,9656,9656,2.78E+05,1.26E+06,2.34E+06,3.87E+04,47848,338246,2.14E+04,0.2781717,1.261897,2.337536,0.3869233,0.47848,3.38246,0.2140333,1926,1150,154.08,1540.8,1155.6,57.78,65.558,0,0,0,0,0,0
245,44,49,35,46,3645.6,3645.6,9656,9372,7.40E+05,1.12E+07,9017753,243714,47848,185048,2.14E+04,0.7397175,11.15768,9.017753,2.43714,0.47848,1.85048,0.2140333,1921,1152,153.68,1536.8,1152.6,57.63,65.393,0,0,0,0,0,0
250,44,49,35,45,3645.6,3645.6,9656,9656,7.40E+05,19846814,9017753,243714,47848,209775,128707,0.7397175,19.846814,9.017753,2.43714,0.47848,2.09775,1.28707,1871,1151,149.68,1496.8,1122.6,56.13,63.743,0,0,0,0,0,0
255,44,49,35,45,3645.6,3645.6,9656,9656,7.40E+05,19138201,9017753,243714,47848,209775,239522,0.7397175,19.138201,9.017753,2.43714,0.47848,2.09775,2.39522,1877,1152,150.16,1501.6,1126.2,56.31,63.941,0,0,0,0,0,0
260,44,49,35,45,3645.6,3645.6,9656,9656,7.40E+05,25617696,9017753,243714,47848,209775,274232,0.7397175,25.617696,9.017753,2.43714,0.47848,2.09775,2.74232,1873,1152,149.84,1498.4,1123.8,56.19,63.809,0,0,0,0,0,0
265,44,50,35,45,3645.6,3645.6,9656,9656,7.40E+05,1.90E+07,9017753,243714,47848,2.08E+05,106314,0.7397175,18.99589,9.017753,2.43714,0.47848,2.080785,1.06314,1879,1152,150.32,1503.2,1127.4,56.37,64.007,0,14.6,0,68.6,0,68600
270,44,49,35,45,3645.6,3645.6,9656,9656,1627846,1.90E+07,19493128,501877,47848,2.08E+05,106314,1.627846,18.99589,19.493128,5.01877,0.47848,2.080785,1.06314,1877,1152,150.16,1501.6,1126.2,56.31,63.941,0,0,0,0,0,0
275,44,50,35,45,3645.6,3645.6,9656,9656,1632397,1.90E+07,18626095,553277,47848,2.08E+05,106314,1.632397,18.99589,18.626095,5.53277,0.47848,2.080785,1.06314,1872,1151,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
280,44,49,35,45,3645.6,3645.6,9656,9656,1632397,1.95E+07,18626095,553277,47848,210577,112592,1.632397,19.48997,18.626095,5.53277,0.47848,2.10577,1.12592,1872,1152,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
285,45,50,35,45,3645.6,3645.6,9372,9656,6.39E+05,6.58E+06,5759367,1.37E+05,47848,1.20E+05,112592,0.6394005,6.581794,5.759367,1.367075,0.47848,1.201265,1.12592,1875,1151,150,1500,1125,56.25,63.875,0,0,0,0,0,0
290,45,50,35,46,3645.6,3645.6,9656,9656,720748,6.58E+06,11779974,276286,47848,1.20E+05,112592,0.720748,6.581794,11.779974,2.76286,0.47848,1.201265,1.12592,1920,1151,153.6,1536,1152,57.6,65.36,0,0,0,0,0,0
295,44,51,35,46,3645.6,3645.6,9372,9656,1611657,6.58E+06,19435243,432873,47848,1.20E+05,112592,1.611657,6.581794,19.435243,4.32873,0.47848,1.201265,1.12592,1872,1152,149.76,1497.6,1123.2,56.16,63.776,0,11,0,61,0,61000
300,45,51,35,46,3645.6,3645.6,9656,9656,1611657,20879745,19435243,432873,47848,435477,112592,1.611657,20.879745,19.435243,4.32873,0.47848,4.35477,1.12592,1875,1152,150,1500,1125,56.25,63.875,0,0,0,0,0,0
305,44,51,35,46,3645.6,3645.6,9656,9656,1.14E+06,3.38E+07,3.50E+07,5.57E+05,47848,435477,820546,1.137218,33.8019,35.03547,5.573315,0.47848,4.35477,8.20546,1927,1152,154.16,1541.6,1156.2,57.81,65.591,0,0,0,0,0,0
310,46,50,35,46,3645.6,3645.6,9656,9656,1.56E+06,60240804,60617943,8.20E+05,47848,435477,1314168,1.557128,60.240804,60.617943,8.200195,0.47848,4.35477,13.14168,1873,1152,149.84,1498.4,1123.8,56.19,63.809,95.8,0,0,0,0,0
315,45,51,36,46,3645.6,3724,9656,9656,1583091,60240804,84621329,8.20E+05,7768273,435477,1314168,1.583091,60.240804,84.621329,8.200195,77.68273,4.35477,13.14168,2023,1152,161.84,1618.4,1213.8,60.69,68.759,75.4,0,0,0,0,0
320,45,50,35,46,3645.6,3645.6,9656,9656,7.18E+05,1.07E+08,5.15E+07,8.20E+05,3.53E+06,1.37E+06,3988258,0.7178067,106.9174,51.51792,8.200195,35.33015,13.65036,39.88258,2023,1152,161.84,1618.4,1213.8,60.69,68.759,0,0,0,0,0,0
325,46,50,36,46,3645.6,3645.6,9656,9656,7.88E+05,8.19E+07,7.45E+07,6393036,3.53E+06,1.32E+07,3988258,0.7884755,81.88094,74.49085,63.93036,35.33015,131.7268,39.88258,2056,1153,164.48,1644.8,1233.6,61.68,69.848,1.6,19.2,153.6,365.3,153600,365300
330,46,50,36,46,3645.6,3645.6,9656,9656,5.19E+05,9.70E+07,5.14E+07,2.42E+06,3.53E+06,1.63E+06,2.91E+06,0.5185207,97.037,51.39148,24.21326,35.33015,16.30457,29.10428,2020,1152,161.6,1616,1212,60.6,68.66,0,0,0,0,0,0
335,46,50,36,46,3645.6,3645.6,9656,9656,460302,92526451,78093317,2.42E+06,2.12E+06,1.63E+06,1.53E+06,0.460302,92.526451,78.093317,24.21326,21.16682,16.30457,15.27892,2027,1152,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
340,46,50,36,46,3645.6,3645.6,9656,9656,4.72E+05,71844397,84911090,2.42E+06,15838959,1.63E+06,2.77E+06,0.4718125,71.844397,84.91109,24.21326,158.38959,16.30457,27.69378,2084,1150,166.72,1667.2,1250.4,62.52,70.772,0.4,0,51.2,0,51200,0
345,46,49,36,46,3645.6,3645.6,9656,9656,1567744,71844397,1.82E+08,1.60E+06,1.72E+07,1.63E+06,2.77E+06,1.567744,71.844397,182.4758,16.0324,172.324,16.30457,27.69378,2052,1152,164.16,1641.6,1231.2,61.56,69.716,0,0,0,0,0,0
350,46,50,36,46,3645.6,3645.6,9656,9656,2655764,71844397,105939935,1.60E+06,7189137,1.63E+06,2.77E+06,2.655764,71.844397,105.939935,16.0324,71.89137,16.30457,27.69378,2041,1153,163.28,1632.8,1224.6,61.23,69.353,0,0,0,0,0,0
355,47,50,36,46,3724,3645.6,9656,9656,8.18E+05,7.96E+07,1.07E+08,1.60E+06,24991737,1.63E+06,688118,0.8180695,79.62707,106.938,16.0324,249.91737,16.30457,6.88118,1875,1152,150,1500,1125,56.25,69.5,28.8,18,0,0,0,424400
360,47,49,36,46,3645.6,3645.6,9656,9656,1588705,7.96E+07,280725636,17386647,5.24E+07,1.63E+06,688118,1.588705,79.62707,280.725636,173.86647,524.3486,16.30457,6.88118,2066,1152,165.28,1652.8,1239.6,61.98,70.178,3.6,0,386,0,386000,0
365,47,50,36,46,3645.6,3645.6,9372,9656,1.59E+06,7.96E+07,2.69E+08,5.54E+06,6.79E+07,1.63E+06,688118,1.586388,79.62707,268.6883,55.4118,679.2346,16.30457,6.88118,2035,1153,162.8,1628,1221,61.05,69.155,0,0,0,0,0,0
370,47,49,36,46,3645.6,3645.6,9656,9656,781108,87190135,126401608,5.54E+06,64885529,247947,688118,0.781108,87.190135,126.401608,55.4118,648.85529,2.47947,6.88118,2054,1152,164.32,1643.2,1232.4,61.62,69.782,0,0,0,0,0,0
375,47,50,36,46,3645.6,3645.6,9372,9656,1.05E+06,6.22E+07,1.78E+08,7300704,41085124,247947,534088,1.049591,62.23138,177.7214,73.00704,410.85124,2.47947,5.34088,2020,1151,161.6,1616,1212,60.6,68.66,0,0,0,0,0,0
380,47,50,36,46,3645.6,3645.6,9372,9656,1.19E+06,9.36E+07,1.31E+08,7300704,68654037,247947,268219,1.19129,93.58829,130.7636,73.00704,686.54037,2.47947,2.68219,2036,1152,162.88,1628.8,1221.6,61.08,69.188,0,0,0,0,0,0
385,47,49,36,46,3645.6,3645.6,9656,9656,1.86E+05,1.19E+08,8.83E+07,7300704,4.88E+07,1.90E+04,31757,0.1859233,118.8561,88.27787,73.00704,487.8835,0.1898467,0.31757,2107,1151,168.56,1685.6,1264.2,63.21,71.531,0,17.4,0,552.5,0,552500
390,47,50,36,46,3645.6,3645.6,9372,9372,653567,92024360,131224706,7300704,65268182,208149,31757,0.653567,92.02436,131.224706,73.00704,652.68182,2.08149,0.31757,2114,1151,169.12,1691.2,1268.4,63.42,71.762,0,0,0,0,0,0
395,47,49,36,46,3645.6,3645.6,9656,9656,1590451,92024360,278125363,7300704,94827449,208149,31757,1.590451,92.02436,278.125363,73.00704,948.27449,2.08149,0.31757,2043,1151,163.44,1634.4,1225.8,61.29,69.419,0,0,0,0,0,0
400,47,49,36,46,3645.6,3645.6,9656,9656,7.95E+05,96358276,1.40E+08,7300704,66100808,208149,260673,0.7953555,96.358276,139.8043,73.00704,661.00808,2.08149,2.60673,2127,1150,170.16,1701.6,1276.2,63.81,72.191,0,0,0,0,0,0
405,47,50,36,46,3724,3645.6,9656,9656,1564879,96358276,2.64E+08,3.13E+07,40131434,208149,260673,1.564879,96.358276,263.5429,312.6068,401.31434,2.08149,2.60673,2039,1152,163.12,1631.2,1223.4,61.17,69.287,0,0,0,0,0,0
410,47,49,36,46,3645.6,3645.6,9656,9656,8.59E+05,94484477,133715115,3.13E+07,70113898,208149,2.70E+05,0.8586735,94.484477,133.715115,312.6068,701.13898,2.08149,2.699585,2041,1152,163.28,1632.8,1224.6,61.23,69.353,0,0,0,0,0,0
415,47,50,36,46,3645.6,3645.6,9372,9656,788342,9.02E+07,1.31E+08,3.13E+07,6.64E+07,208149,895246,0.788342,90.16633,131.3011,312.6068,664.2107,2.08149,8.95246,2024,1151,161.92,1619.2,1214.4,60.72,68.792,0,11.6,0,98.9,0,98900
420,47,49,36,46,3567.2,3645.6,9656,9656,1566677,9.02E+07,260559249,8054823,6.64E+07,208149,895246,1.566677,90.16633,260.559249,80.54823,664.2107,2.08149,8.95246,2047,1152,163.76,1637.6,1228.2,61.41,69.551,0,0,0,0,0,0
425,48,49,36,46,3645.6,3645.6,9656,9656,7.84E+05,91531494,1.29E+08,8054823,6.21E+07,2.22E+05,895246,0.7843345,91.531494,129.0819,80.54823,621.3182,2.217325,8.95246,2030,1152,162.4,1624,1218,60.9,68.99,0,0,0,0,0,0
430,48,49,36,46,3645.6,3645.6,9656,9656,7.84E+05,181015182,1.29E+08,8054823,6.21E+07,297569,895246,0.7843345,181.015182,129.0819,80.54823,621.3182,2.97569,8.95246,2044,1151,163.52,1635.2,1226.4,61.32,69.452,0,0,0,0,0,0
435,48,49,36,46,3645.6,3645.6,9656,9656,1.43E+05,8.91E+07,1.30E+08,8054823,6.63E+07,297569,1.34E+05,0.1432685,89.14487,129.9393,80.54823,662.6661,2.97569,1.338195,2086,1152,166.88,1668.8,1251.6,62.58,70.838,0,0,0,0,0,0
440,48,49,36,46,3645.6,3645.6,9656,9656,1929860,8.91E+07,280516715,3.45E+07,4.14E+07,297569,1.34E+05,1.92986,89.14487,280.516715,345.2452,414.0735,2.97569,1.338195,2047,1151,163.76,1637.6,1228.2,61.41,69.551,0,0,0,0,0,0
445,48,50,36,46,3645.6,3645.6,9656,9656,794743,9.52E+07,138615231,3.45E+07,5.22E+07,279263,1.34E+05,0.794743,95.18107,138.615231,345.2452,521.6191,2.79263,1.338195,2102,1152,168.16,1681.6,1261.2,63.06,71.366,0,23.2,0,234.1,0,234100
450,48,49,36,46,3645.6,3645.6,9656,9656,7.76E+05,9.20E+07,1.31E+08,3.45E+07,6.08E+07,279263,246398,0.7764935,91.98251,131.2288,345.2452,608.2353,2.79263,2.46398,2033,1150,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
455,48,49,36,46,3645.6,3645.6,9656,9656,5.34E+05,123965688,8.84E+07,3.45E+07,48298125,1.63E+05,1.79E+05,0.5338263,123.965688,88.36095,345.2452,482.98125,1.632273,1.785213,2031,1152,162.48,1624.8,1218.6,60.93,69.023,0,0,0,0,0,0
460,48,49,36,46,3567.2,3645.6,9656,9656,779855,96570921,1.42E+08,3.45E+07,6.61E+07,1.63E+05,2.46E+05,0.779855,96.570921,141.7897,345.2452,660.8362,1.632273,2.456515,2027,1153,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
465,48,50,36,46,3645.6,3645.6,9656,9656,1580216,96570921,260020879,24352054,6.61E+07,1.63E+05,2.46E+05,1.580216,96.570921,260.020879,243.52054,660.8362,1.632273,2.456515,2046,1152,163.68,1636.8,1227.6,61.38,69.518,0,0,0,0,0,0
470,48,49,36,46,3645.6,3645.6,9372,9656,858480,1.10E+08,1.58E+08,24352054,66230708,1.63E+05,2.78E+05,0.85848,110.0536,157.5473,243.52054,662.30708,1.632273,2.778795,2030,1152,162.4,1624,1218,60.9,68.99,0,0,0,0,0,0
475,48,49,37,46,3724,3645.6,9656,9372,7.91E+05,100003311,148420637,24352054,6.15E+07,1.63E+05,2.72E+05,0.7914455,100.003311,148.420637,243.52054,615.0125,1.632273,2.720345,2042,1152,163.36,1633.6,1225.2,61.26,69.386,0,10.8,0,73.4,0,73400
480,48,49,36,46,3645.6,3724,9656,9372,1092842,100003311,253324727,2.62E+07,4.20E+07,1.63E+05,2.72E+05,1.092842,100.003311,253.324727,262.2392,419.9047,1.632273,2.720345,2073,1152,165.84,1658.4,1243.8,62.19,70.409,0,0,0,0,0,0
485,48,49,37,46,3724,3645.6,9656,9372,261960,1.20E+08,8.67E+07,2.62E+07,4.67E+07,7.98E+04,93768,0.26196,120.3019,86.73833,262.2392,467.3539,0.7980133,0.93768,2232,1151,178.56,1785.6,1339.2,66.96,73.656,0,0,0,0,0,0
490,48,50,37,46,3645.6,3645.6,9656,9656,7.94E+05,9.95E+07,1.45E+08,2.62E+07,5.26E+07,2.46E+05,93768,0.7944595,99.45147,145.0191,262.2392,526.2532,2.462845,0.93768,2053,1152,164.24,1642.4,1231.8,61.59,69.749,0,0,0,0,0,0
495,48,49,37,46,3645.6,3645.6,9656,9372,1573705,9.95E+07,2.60E+08,1.54E+07,5.59E+07,2.46E+05,93768,1.573705,99.45147,260.255,154.4414,558.8733,2.462845,0.93768,2135,1153,170.8,1708,1281,64.05,72.455,0,0,0,0,0,0
500,48,49,37,46,3724,3645.6,9656,9656,846602,94375273,1.33E+08,1.54E+07,55714350,2.46E+05,282597,0.846602,94.375273,133.043,154.4414,557.1435,2.462845,2.82597,2034,1153,162.72,1627.2,1220.4,61.02,69.122,0,0,0,0,0,0
505,48,49,37,46,3724,3645.6,9656,9656,7.85E+05,96640615,1.41E+08,1.54E+07,6.29E+07,2.46E+05,2.31E+06,0.7847095,96.640615,141.2592,154.4414,629.3229,2.462845,23.13258,2034,1153,162.72,1627.2,1220.4,61.02,69.122,0,10.6,0,74.7,0,74700
