time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,InputDCPwr2,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
5,44,49,35,45,3645.6,3645.6,9656,9656,1639683,0,19659753,518285,0,0,0,1.639683,0,19.659753,5.18285,0,0,0,2042,1150,163.36,1633.6,1225.2,61.26,63.26,11,4,0,71.8,0,71800
10,44,49,35,45,3645.6,3645.6,9656,9372,1639683,19361977,19659753,518285,0,446522,0,1.639683,19.361977,19.659753,5.18285,0,4.46522,0,1874,1151,149.92,1499.2,1124.4,56.22,63.842,2,0,0,0,0,0
15,44,49,35,45,3645.6,3645.6,9656,9656,1639683,17975653,19659753,518285,0,503718,0,1.639683,17.975653,19.659753,5.18285,0,5.03718,0,1873,1151,149.84,1498.4,1123.8,56.19,63.809,0,0,0,0,0,0
20,44,49,35,45,3645.6,3645.6,9372,9656,1691044,17975653,20842259,532996,0,503718,0,1.691044,17.975653,20.842259,5.32996,0,5.03718,0,1881,1151,150.48,1504.8,1128.6,56.43,64.073,0,0,0,0,0,0
25,44,49,35,45,3645.6,3645.6,9656,9656,1627830,17975653,18028983,518411,0,503718,0,1.62783,17.975653,18.028983,5.18411,0,5.03718,0,1871,1151,149.68,1496.8,1122.6,56.13,63.743,0,14.8,0,38.8,0,38800
30,44,49,35,45,3645.6,3645.6,9656,9656,1627830,22947746,18028983,518411,0,398442,0,1.62783,22.947746,18.028983,5.18411,0,3.98442,0,1874,1150,149.92,1499.2,1124.4,56.22,63.842,0,0,0,0,0,0
35,44,49,35,46,3645.6,3645.6,9656,9656,8.06E+05,1.19E+07,9.82E+06,2.63E+05,0,195794,0,0.8058995,11.90976,9.817514,2.631515,0,1.95794,0,1875,1150,150,1500,1125,56.25,63.875,0,0,0,0,0,0
40,44,49,35,45,3724,3645.6,9656,9372,8.06E+05,18500409,9.82E+06,2.63E+05,0,334909,0,0.8058995,18.500409,9.817514,2.631515,0,3.34909,0,1873,1151,149.84,1498.4,1123.8,56.19,63.809,0,0,0,0,0,0
45,44,49,35,46,3645.6,3645.6,9656,9656,5.81E+05,5793854,5470293,2.63E+05,126410,111038,0,0.5806045,5.793854,5.470293,2.631515,1.2641,1.11038,0,1872,1150,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
50,44,49,35,45,3645.6,3645.6,9656,9656,5.48E+05,5.75E+06,8169307,1.02E+05,179178,5.65E+04,0,0.5476663,5.745188,8.169307,1.019103,1.79178,0.5653467,0,1916,1150,153.28,1532.8,1149.6,57.48,65.228,0,0,0,0,0,0
55,44,49,35,45,3724,3645.6,9656,9372,5.48E+05,19550692,8169307,1.02E+05,179178,353185,0,0.5476663,19.550692,8.169307,1.019103,1.79178,3.53185,0,1876,1152,150.08,1500.8,1125.6,56.28,63.908,0,13.2,0,46.4,0,46400
60,44,49,35,46,3645.6,3645.6,9656,9656,5.48E+05,19696089,8169307,1.02E+05,179178,353185,273663,0.5476663,19.696089,8.169307,1.019103,1.79178,3.53185,2.73663,1872,1151,149.76,1497.6,1123.2,56.16,63.776,0,0,0,0,0,0
65,44,49,35,45,3645.6,3724,9656,9656,5.48E+05,23853579,8169307,1.02E+05,179178,353185,288054,0.5476663,23.853579,8.169307,1.019103,1.79178,3.53185,2.88054,1873,1151,149.84,1498.4,1123.8,56.19,63.809,0,0,0,0,0,0
70,44,49,35,45,3645.6,3645.6,9656,9656,5.48E+05,18508884,8169307,1.02E+05,179178,443857,288054,0.5476663,18.508884,8.169307,1.019103,1.79178,4.43857,2.88054,1871,1151,149.68,1496.8,1122.6,56.13,63.743,0,0,0,0,0,0
75,44,49,35,45,3645.6,3645.6,9656,9656,5.48E+05,19507256,8169307,1.02E+05,179178,443857,303696,0.5476663,19.507256,8.169307,1.019103,1.79178,4.43857,3.03696,1875,1152,150,1500,1125,56.25,63.875,0,0,0,0,0,0
80,44,49,35,45,3724,3645.6,9372,9656,1695661,19507256,19395910,546843,179178,443857,303696,1.695661,19.507256,19.39591,5.46843,1.79178,4.43857,3.03696,1877,1152,150.16,1501.6,1126.2,56.31,63.941,0,0,0,0,0,0
85,44,49,35,45,3645.6,3645.6,9656,9656,1695661,19530744,19395910,546843,179178,443857,252525,1.695661,19.530744,19.39591,5.46843,1.79178,4.43857,2.52525,1870,1151,149.6,1496,1122,56.1,63.71,0,11,0,39.9,0,39900
90,44,49,35,45,3645.6,3645.6,9656,9656,1695661,18373357,19395910,546843,179178,162789,1.41E+05,1.695661,18.373357,19.39591,5.46843,1.79178,1.62789,1.408545,1869,1151,149.52,1495.2,1121.4,56.07,63.677,0,0,0,0,0,0
