time,cpu,FSB,L2miss
612,0,,80218
612,1,,19909268
614,0,250135339,
614,1,249957057,
616,1,,1999257
616,0,,18204405
618,1,245083029,
618,0,245113970,
620,0,,11302265
622,0,251046202,
622,1,251049228,
624,1,,19690928
626,1,251897048,
626,0,251924176,
628,0,,19771519
628,1,,60779
630,0,251571515,
632,0,,46112
632,1,,19546985
634,1,250460354,
634,0,250564188,
636,0,,8421824
638,1,248721518,
638,0,248737230,
640,0,,6350128
640,1,,14270741
642,1,246546832,
642,0,246583636,
644,1,,6050498
646,1,252483412,
648,1,,15090260
648,0,,4938393
650,1,251563630,
652,0,,37960
652,1,,19752799
654,0,252941674,
654,1,252724764,
656,0,,218298
656,1,,19689986
658,0,251175948,
658,1,251186162,
660,0,,8436506
660,1,,11680423
662,0,243418012,
662,1,243420896,
664,1,,19623573
664,0,,337080
666,1,249940065,
668,0,,14863833
670,1,250742424,
670,0,250610844,
672,0,,19926198
674,0,252452048,
676,1,,13110802
678,0,242308880,
678,1,242309506,
680,0,,8426620
680,1,,12141013
682,1,245221908,
684,0,,260718
684,1,,19823178
686,0,252942886,
686,1,252919454,
688,0,,73272
688,1,,19593133
690,0,249774206,
692,1,,41733
692,0,,19708267
694,0,251218990,
694,1,251577226,
696,0,,2166770
696,1,,17986464
698,0,244373044,
700,1,,2916859
700,0,,17569207
702,1,246023132,
702,0,246056077,
704,0,,18354386
704,1,,1490599
706,1,248804696,
708,0,,151595
708,1,,19875284
710,0,252475922,
710,1,252292858,
712,0,,1983834
712,1,,17913199
714,1,246308552,
714,0,246337964,
716,0,,7008139
718,0,252772156,
718,1,252731032,
720,1,,18699238
722,1,246327510,
722,0,246568732,
724,1,,20326
724,0,,19815759
726,0,252667666,
728,1,,73743
728,0,,19809886
730,1,249342559,
732,1,,6971660
732,0,,13133802
734,0,248134490,
734,1,248497993,
736,1,,9897763
736,0,,10234083
738,1,243617648,
740,0,,4510293
740,1,,15611951
742,1,250185984,
742,0,250408872,
744,0,,9992914
744,1,,10043830
746,0,253281540,
746,1,253126072,
748,1,,18272956
750,0,30644870,
752,1,,564504
754,0,2260838,
756,1,,666268
758,0,1802630,
760,0,,258348
760,1,,245239
762,1,18867858,
764,1,,6284
764,0,,65722
766,1,26087902,
768,1,,16238
770,0,11687772,
772,0,,554072
774,1,2275112,
774,0,2326752,
776,1,,550597
778,1,844421,
780,0,,179293
782,1,17347578,
784,0,,51633
786,1,24147086,
788,0,,95153
790,0,11919015,
792,1,,392437
794,0,2928980,
796,1,,833275
798,0,1910522,
800,0,,204291
800,1,,205841
802,1,18393572,
804,1,,5486
806,1,23907424,
808,1,,7519
810,1,10883446,
810,0,10939358,
812,1,,330411
814,0,2534068,
814,1,2573550,
816,0,,1001428
818,0,1823748,
820,1,,249306
820,0,,231405
822,1,19031866,
824,0,,78548
826,1,25735138,
828,0,,122434
830,1,11271257,
830,0,11326278,
832,1,,327464
834,0,2504336,
836,1,,632563
838,0,755478,
840,1,,311599
840,0,,254456
842,0,16789962,
844,1,,68144
844,0,,42587
846,1,23318606,
846,0,23294028,
848,1,,75347
850,1,11688958,
852,1,,566224
852,0,,535406
854,1,3094952,
856,0,,737283
858,0,2054058,
860,0,,282370
860,1,,243939
862,1,17658418,
862,0,17692644,
864,1,,47827
866,1,22885108,
868,0,,45901
870,0,11062630,
870,1,11125054,
872,0,,596108
874,0,2289104,
874,1,2337415,
876,0,,960031
878,1,2121431,
880,1,,216157
880,0,,200560
882,1,20412972,
884,0,,83765
886,1,25632836,
888,0,,123942
890,1,11077088,
892,1,,614707
894,1,2100128,
894,0,2145840,
896,1,,617262
898,1,867608,
900,1,,150310
902,1,19225468,
904,1,,5644
906,0,53137914,
906,1,53140260,
908,1,,4136939
910,1,45658406,
912,0,,2818622
914,0,46437156,
916,0,,5201250
918,1,64110722,
920,1,,4265693
922,0,84877610,
924,1,,27049
926,1,57040450,
928,1,,3180026
930,1,43851274,
932,0,,2914562
932,1,,3702220
934,0,43775600,
936,0,,1932151
938,1,65712238,
940,1,,1442728
942,1,39418108,
942,0,39432554,
944,1,,298919
946,1,34081270,
946,0,34100166,
948,0,,480006
950,0,9392802,
952,1,,1498061
952,0,,960133
