 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 10572576 7412552 82 2041 0 0 0 0  0  0  0  0  0  478 1537  259  0  3 97
 0 0 0 10572576 7412536 0 0  0  0  0  0  0  0  0  0  0  406  732  217  0  0 100
 0 0 0 10572128 7412240 91 2182 0 0 0 0  0  2  0  0  0  580 1606  316  0  3 97
 0 0 0 10527708 7367020 315 4734 0 0 0 0 0 24  0  0  0 1194 6619  491 11  5 84
 0 0 0 10498780 7330280 1232 10336 0 0 0 0 0 6 0  0  0  636 10070 355 23  5 72
 0 0 0 10498644 7329840 874 8332 0 0 0 0 0 15  0  0  0  690 7948  261 23  2 75
 0 0 0 10495176 7326264 752 9010 0 0 0 0 0  2  0  0  0  582 8211  305 23  5 72
 0 0 0 10488552 7319688 320 6925 0 0 0 0 0  1  0  0  0  566 6502  276 24  4 72
 0 0 0 10490492 7321952 558 7665 0 0 0 0 0 19  0  0  0  957 6144  365 24  5 72
 0 0 0 10491384 7323472 913 8045 0 0 0 0 0 14  0  0  0  810 6871  250 23  2 75
 0 0 0 10490616 7322144 580 7951 0 0 0 0 0  1  0  0  0  551 7453  283 24  4 72
 0 0 0 10492200 7323504 1080 11709 0 0 0 0 0 0 0  0  0  578 10663 314 23  6 72
 1 0 0 10479424 7312064 1064 12713 0 0 0 0 0 0 0  0  0  570 13337 307 22  6 72
 0 0 0 10480988 7312872 298 8468 0 0 0 0 0  0  0  0  0  533 15749 234 23  4 73
 0 0 0 10483636 7315120 1094 10551 0 0 0 0 0 5 0  0  0  735 12329 350 22  4 73
 0 0 0 10466872 7301604 248 8576 0 0 0 0 0  0  0  0  0  523 10859 269 23  5 72
 0 0 0 10482704 7315780 562 13386 0 0 0 0 0 0  0  0  0  587 13026 299 22  6 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 10481904 7308488 1256 11294 0 0 0 0 0 10 0 0  0  616 9621  361 11  6 84
 0 0 0 10469092 7295048 18 1548 0 0 0 0  0 227 0  0  0 1266 12960 1286 9  5 86
