 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 7421792 4282200 140 2176 0 0 0 0  0  0  0  0  0  552 1673  254  0  4 96
 0 0 0 7422092 4282440 144 2179 0 0 0 0  0  0  0  0  0  559 1676  251  0  4 96
 0 0 0 7421836 4282172 79 1190 0 0 0  0  0  0  0  0  0  474 1267  214  0  3 97
 0 0 0 7422092 4282256 68 1135 0 0 0  0  0  2  0  0  0  538 1137  259  0  1 99
 0 0 0 7123364 4244688 337 4859 0 0 0 0  0  0  0  0  0  730 6390  265 23  6 71
 0 0 0 6716872 4231008 129 2177 0 0 0 0  0  0  0  0  0  683 1688  255 25  4 71
 0 0 0 6716604 4230992 139 2181 0 0 0 0  0  0  0  0  0  670 1681  251 25  4 71
 0 0 0 6716484 4231248 141 2183 0 0 0 0  0  0  0  0  0  705 1678  273 25  4 71
 0 0 0 6716852 4231392 130 2178 0 0 0 0  0  0  0  0  0  688 1675  256 25  4 71
 0 0 0 6716568 4231240 129 2181 0 0 0 0  0 10  0  0  0 3169 1734  454 25  4 70
 0 0 0 6716436 4231104 129 2178 0 0 0 0  0  0  0  0  0  686 1675  252 25  4 71
 0 0 0 6716736 4231264 14 99 0  0  0  0  0  0  0  0  0  440  742  169 25  1 74
 0 0 0 6716736 4231296 121 2088 0 0 0 0  0  0  0  0  0  669 1578  250 25  3 72
 0 0 0 6716476 4231176 144 2180 0 0 0 0  0  0  0  0  0  672 1674  250 25  4 71
 0 0 0 6716432 4231104 130 2180 0 0 0 0  0  0  0  0  0  708 1709  259 25  4 71
 0 0 0 6716724 4231224 129 2181 0 0 0 0  0  2  0  0  0  748 1678  304 25  4 71
 0 0 0 6716472 4231136 129 2180 0 0 0 0  0  0  0  0  0  679 1675  248 25  4 71
 0 0 0 6716432 4231100 133 2182 0 0 0 0  0  0  0  0  0  826 1682  255 25  4 71
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 6716732 4231296 135 2183 0 0 0 0  0  0  0  0  0  676 1678  252 25  4 71
 0 0 0 6716172 4231020 89 1201 0 0 0  0  0  0  0  0  0  569 1297  226 25  3 72
 0 0 0 6716604 4231084 53 989 0 0  0  0  0  0  0  0  0  544 1059  210 25  1 74
 1 0 0 6716260 4230904 130 2181 0 0 0 0  0  2  0  0  0  736 1677  302 25  4 71
 0 0 0 6716568 4231044 129 2179 0 0 0 0  0  0  0  0  0  669 1767  291 25  4 71
 0 0 0 6716256 4230940 130 2185 0 0 0 0  0  0  0  0  0  674 1722  252 25  4 71
 0 0 0 6716136 4230884 140 2187 0 0 0 0  0  0  0  0  0  703 1677  255 25  4 71
 0 0 0 6716436 4231084 141 2181 0 0 0 0  0  0  0  0  0  671 1674  246 25  4 71
 0 0 0 6716176 4230864 130 2181 0 0 0 0  0  0  0  0  0  686 1679  257 25  4 71
 0 0 0 6716132 4230812 129 2179 0 0 0 0  0  2  0  0  0  732 1670  301 25  4 71
 0 0 0 6716436 4230928 12 100 0 0  0  0  0  0  0  0  0  431  772  167 25  1 74
 0 0 0 6716436 4230952 117 2081 0 0 0 0  0  0  0  0  0  678 1594  255 25  3 72
 0 0 0 6716176 4230856 137 2184 0 0 0 0  0  0  0  0  0  684 1683  250 25  4 71
 0 0 0 6716036 4230740 142 2184 0 0 0 0  0  0  0  0  0  723 1674  271 25  4 71
 0 0 0 6716396 4230888 130 2182 0 0 0 0  0  0  0  0  0  691 1713  257 25  4 71
 0 0 0 6716112 4230760 129 2178 0 0 0 0  0  4  0  0  0  853 1678  331 25  4 71
 0 0 0 6716104 4230760 129 2182 0 0 0 0  0  0  0  0  0  689 1675  251 25  4 71
 0 0 0 6716416 4230912 134 2185 0 0 0 0  0  0  0  0  0  679 1673  252 25  4 71
 0 0 0 6716156 4230888 87 1195 0 0 0  0  0  0  0  0  0  562 1285  211 25  2 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 6716416 4230920 53 989 0 0  0  0  0  0  0  0  0  551 1075  206 25  1 73
 0 0 0 6716116 4230776 131 2180 0 0 0 0  0  0  0  0  0  694 1676  256 25  4 71
 0 0 0 6716408 4230900 129 2182 0 0 0 0  0  2  0  0  0  776 1679  300 25  4 71
 0 0 0 6716116 4230764 129 2182 0 0 0 0  0  0  0  0  0  650 1718  246 25  4 71
 0 0 0 6716068 4230732 131 2180 0 0 0 0  0  0  0  0  0  824 1688  260 25  4 71
 0 0 0 6716368 4230928 137 2186 0 0 0 0  0  0  0  0  0  663 1682  248 25  4 71
 0 0 0 6715996 4230812 141 2183 0 0 0 0  0  0  0  0  0  709 1674  272 25  4 71
 0 0 0 6716068 4230740 130 2180 0 0 0 0  0  0  0  0  0  679 1711  253 25  4 71
 0 0 0 6716364 4230852 12 99 0  0  0  0  0  2  0  0  0  593  722  221 25  1 74
 0 0 0 6716368 4230856 117 2082 0 0 0 0  0  0  0  0  0  699 1694  293 25  3 72
 0 0 0 6716112 4230792 129 2183 0 0 0 0  0  0  0  0  0  674 1677  259 25  4 71
 0 0 0 6716068 4230752 140 2184 0 0 0 0  0  0  0  0  0  690 1711  250 25  4 71
 0 0 0 6716368 4230948 141 2183 0 0 0 0  0  0  0  0  0  687 1676  247 25  4 71
 0 0 0 6716112 4230768 130 2182 0 0 0 0  0  0  0  0  0  679 1677  255 25  4 71
