pic0: pic0=NB_ht_bus0_bandwidth,umask0=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
  5.010   3  tick         0 4993152546         0 4993152213 
 10.010   3  tick         0 4986674115         0 4986674117 
 15.010   3  tick         0 4986619986         0 4986619984 
 20.010   3  tick         0 4986702344         0 4986702344 
 25.010   2  tick         0 4986654171         0 4986654171 
 30.010   3  tick         0 4986636382         0 4986636380 
 35.010   2  tick         0 4986696387         0 4986696387 
 40.010   0  tick 4986658410         0 4986658408         0 
 40.011   2  tick         0 4987885016         0 4987885014 
 45.010   2  tick         0 4985421310         0 4985421310 
 50.010   3  tick         0 4986698520         0 4986698520 
 55.010   3  tick         0 4986638972         0 4986638972 
 60.010   3  tick         0 4986677614         0 4986677614 
 65.010   2  tick         0 4986643256         0 4986643256 
 70.010   3  tick         0 4986705863         0 4986705865 
 75.010   3  tick         0 4986657981         0 4986657981 
 80.010   0  tick 4986677335         0 4986677333         0 
 85.010   3  tick         0 4986663151         0 4986663150 
 85.010   2  tick         0 4987472134         0 4987472132 
 90.010   3  tick         0 4986712521         0 4986712522 
 95.010   3  tick         0 4986635969         0 4986635967 
100.010   0  tick 4986665216         0 4986665222         0 
105.010   2  tick         0 4986674712         0 4986674712 
110.010   3  tick         0 4986632539         0 4986632540 
115.010   3  tick         0 4986653304         0 4986653305 
120.010   3  tick         0 4986649505         0 4986649505 
125.010   3  tick         0 4986715695         0 4986715694 
125.010   2  tick         0 4987415806         0 4987415806 
130.010   3  tick         0 4986620782         0 4986620783 
135.010   3  tick         0 4986662083         0 4986662082 
140.010   3  tick         0 4986685818         0 4986685819 
145.010   3  tick         0 4986635750         0 4986635750 
150.010   3  tick         0 4986660304         0 4986660302 
155.010   1  tick 4986728277         0 4986728275         0 
160.010   0  tick 4986655373         0 4986655372         0 
165.010   2  tick         0 4986670433         0 4986670431 
170.010   2  tick         0 4986698674         0 4986698676 
170.010   0  tick 4987231940         0 4987231939         0 
175.010   3  tick         0 4986649881         0 4986649881 
180.010   3  tick         0 4986672493         0 4986672493 
185.010   3  tick         0 4986665745         0 4986665743 
190.010   3  tick         0 4986664931         0 4986664933 
195.010   3  tick         0 4986634369         0 4986634369 
200.010   2  tick         0 4986693077         0 4986693076 
205.010   3  tick         0 4986673537         0 4986673535 
210.010   3  tick         0 4986619176         0 4986619178 
210.010   0  tick 4986880231         0 4986880231         0 
215.010   3  tick         0 4986684427         0 4986684427 
220.010   3  tick         0 4986680481         0 4986680479 
225.010   3  tick         0 4986654914         0 4986654916 
230.010   3  tick         0 4986633345         0 4986633345 
235.010   3  tick         0 4986651378         0 4986651378 
240.010   3  tick         0 4986705250         0 4986705250 
245.010   2  tick         0 4986676352         0 4986676351 
250.010   3  tick         0 4986674948         0 4986674948 
255.010   3  tick         0 4986645672         0 4986645672 
255.011   2  tick         0 4987832246         0 4987832245 
260.010   0  tick 4986719040         0 4986719041         0 
265.010   3  tick         0 4986679676         0 4986679676 
270.010   3  tick         0 4986674641         0 4986674640 
275.010   0  tick 4986684797         0 4986684793         0 
280.010   3  tick         0 4986670390         0 4986670390 
285.010   3  tick         0 4986647873         0 4986647873 
290.010   3  tick         0 4986693908         0 4986693907 
295.010   3  tick         0 4986615726         0 4986615726 
295.010   0  tick 4986970374         0 4986970373         0 
300.010   0  tick 4986354857         0 4986354858         0 
300.010   3  tick         0 4987479207         0 4987479208 
305.010   2  tick         0 4986721337         0 4986721337 
310.010   2  tick         0 4986673447         0 4986673445 
310.010   0  tick 4986912594         0 4986912598         0 
315.010   2  tick         0 4986636651         0 4986636653 
320.010   2  tick         0 4986669719         0 4986669717 
325.010   2  tick         0 4986656079         0 4986656081 
330.010   3  tick         0 4986654863         0 4986654861 
335.010   3  tick         0 4986677548         0 4986677549 
340.010   0  tick 4986646329         0 4986646328         0 
340.010   2  tick         0 4987224709         0 4987224709 
345.010   3  tick         0 4986654006         0 4986654006 
350.010   2  tick         0 4986650457         0 4986650455 
355.010   2  tick         0 4986658854         0 4986658855 
360.010   3  tick         0 4986632502         0 4986632502 
365.010   2  tick         0 4986679094         0 4986679093 
370.010   3  tick         0 4986668898         0 4986668899 
375.010   3  tick         0 4986639293         0 4986639293 
380.010   2  tick         0 4986592857         0 4986592860 
380.010   3  tick         0 4987236612         0 4987236610 
385.010   2  tick         0 4986714215         0 4986714215 
390.010   3  tick         0 4986649979         0 4986649979 
395.010   2  tick         0 4986683026         0 4986683024 
400.010   2  tick         0 4986632988         0 4986632989 
405.010   3  tick         0 4986662391         0 4986662391 
410.010   2  tick         0 4986668064         0 4986668067 
415.010   2  tick         0 4986658732         0 4986658732 
420.010   3  tick         0 4986686272         0 4986686274 
425.010   2  tick         0 4986713919         0 4986713921 
425.011   0  tick 4987741945         0 4987741945         0 
430.010   2  tick         0 4986654570         0 4986654570 
435.010   0  tick 4986658327         0 4986658323         0 
435.010   3  tick         0 4986652341         0 4986652341 
440.010   3  tick         0 4986662069         0 4986662067 
445.010   3  tick         0 4986655664         0 4986655666 
450.010   2  tick         0 4986649603         0 4986649603 
455.010   2  tick         0 4986664186         0 4986664186 
460.010   2  tick         0 4986649368         0 4986649368 
465.010   2  tick         0 4986672496         0 4986672496 
465.010   1  tick 4986935696         0 4986935698         0 
470.010   3  tick         0 4986713094         0 4986713094 
475.010   3  tick         0 4986668375         0 4986668377 
480.010   3  tick         0 4986668986         0 4986668984 
485.010   3  tick         0 4986661744         0 4986661746 
490.010   2  tick         0 4986660367         0 4986660367 
495.010   3  tick         0 4986672621         0 4986672619 
500.010   2  tick         0 4986686147         0 4986686147 
505.010   2  tick         0 4986611683         0 4986611682 
510.010   3  tick         0 4986727724         0 4986727722 
510.010   0  tick 4986951488         0 4986951489         0 
515.010   2  tick         0 4986654241         0 4986654241 
520.010   2  tick         0 4986655782         0 4986655784 
525.010   3  tick         0 4986660815         0 4986660815 
530.010   2  tick         0 4986647495         0 4986647497 
535.010   2  tick         0 4986647021         0 4986647021 
540.010   2  tick         0 4986672014         0 4986672014 
545.010   2  tick         0 4986651978         0 4986651978 
550.010   0  tick 4986685630         0 4986685630         0 
550.010   3  tick         0 4987361900         0 4987361900 
555.010   0  tick 4986628304         0 4986628296         0 
555.010   2  tick         0 4986654247         0 4986654245 
560.010   2  tick         0 4986651328         0 4986651330 
565.010   2  tick         0 4986655479         0 4986655479 
570.010   2  tick         0 4986622980         0 4986622979 
575.010   3  tick         0 4986650037         0 4986650037 
580.010   2  tick         0 4986666750         0 4986666749 
585.010   3  tick         0 4986618558         0 4986618560 
590.010   1  tick 4986709948         0 4986709951         0 
595.010   0  tick 4986619507         0 4986619498         0 
595.010   2  tick         0 4986643144         0 4986643144 
595.010   3  tick         0 4987485592         0 4987485590 
600.010   2  tick         0 4986648310         0 4986648309 
605.010   2  tick         0 4986653398         0 4986653399 
610.010   2  tick         0 4986616613         0 4986616613 
615.010   2  tick         0 4986704006         0 4986704004 
620.010   3  tick         0 4986619490         0 4986619490 
625.010   2  tick         0 4986641124         0 4986641124 
630.010   2  tick         0 4986630488         0 4986630488 
635.010   2  tick         0 4986737914         0 4986737913 
635.010   1  tick 4986929058         0 4986929056         0 
640.010   3  tick         0 4986670089         0 4986670089 
645.010   2  tick         0 4986652363         0 4986652363 
650.010   3  tick         0 4986672440         0 4986672440 
655.010   2  tick         0 4986708084         0 4986708084 
660.010   2  tick         0 4986654732         0 4986654731 
665.010   2  tick         0 4986650328         0 4986650327 
670.010   2  tick         0 4986673749         0 4986673750 
675.010   3  tick         0 4986714659         0 4986714657 
675.010   0  tick 4987555353         0 4987555354         0 
680.010   3  tick         0 4986663760         0 4986663762 
685.010   2  tick         0 4986673494         0 4986673494 
690.010   3  tick         0 4986671985         0 4986671985 
695.010   3  tick         0 4986646868         0 4986646866 
700.010   2  tick         0 4986694046         0 4986694045 
705.010   2  tick         0 4986645730         0 4986645730 
710.010   3  tick         0 4986654868         0 4986654869 
715.010   2  tick         0 4986695549         0 4986695549 
720.010   3  tick         0 4986690102         0 4986690102 
725.010   2  tick         0 4986647340         0 4986647340 
730.010   3  tick         0 4986629899         0 4986629899 
735.010   2  tick         0 4986654418         0 4986654421 
740.010   2  tick         0 4986647319         0 4986647317 
745.010   2  tick         0 4986656925         0 4986656926 
750.010   2  tick         0 4986638477         0 4986638476 
755.010   2  tick         0 4986679984         0 4986679986 
760.010   0  tick 4986682498         0 4986682496         0 
765.010   2  tick         0 4986653993         0 4986653993 
770.010   3  tick         0 4986670550         0 4986670548 
775.010   3  tick         0 4986660327         0 4986660327 
780.010   2  tick         0 4986642959         0 4986642959 
785.010   2  tick         0 4986644462         0 4986644462 
790.010   2  tick         0 4986663635         0 4986663637 
795.010   3  tick         0 4986680937         0 4986680937 
795.010   2  tick         0 4986690708         0 4986690708 
800.010   2  tick         0 4986592390         0 4986592390 
800.010   3  tick         0 4986708565         0 4986708565 
805.010   0  tick 4986654250         0 4986654247         0 
805.010   3  tick         0 4986704418         0 4986704418 
810.010   1  tick 4986709797         0 4986709798         0 
815.010   3  tick         0 4986659394         0 4986659394 
820.010   0  tick 4986689193         0 4986689201         0 
825.010   1  tick 4986716271         0 4986716269         0 
830.010   3  tick         0 4986685913         0 4986685913 
830.012   1  tick 4989134036         0 4989134037         0 
835.010   1  tick 4984197748         0 4984197750         0 
840.010   2  tick         0 4986674308         0 4986674308 
845.010   0  tick 4986713878         0 4986713877         0 
850.010   1  tick 4986695462         0 4986695462         0 
855.010   1  tick 4986680216         0 4986680219         0 
860.010   1  tick 4986655562         0 4986655562         0 
865.010   1  tick 4986658115         0 4986658115         0 
870.010   1  tick 4986654971         0 4986654970         0 
875.010   1  tick 4986614928         0 4986614927         0 
880.010   2  tick         0 4986648032         0 4986648030 
885.010   1  tick 4986681433         0 4986681426         0 
890.010   1  tick 4986711295         0 4986711312         0 
895.010   2  tick         0 4986626782         0 4986626782 
900.010   1  tick 4986713556         0 4986713561         0 
905.010   2  tick         0 4986677984         0 4986677984 
910.010   0  tick 4986694213         0 4986694217         0 
915.010   0  tick 4986646946         0 4986646943         0 
920.010   3  tick         0 4986677092         0 4986677092 
925.010   1  tick 4986684086         0 4986684090         0 
930.010   1  tick 4986789780         0 4986789779         0 
935.010   0  tick 4986687827         0 4986687829         0 
940.010   0  tick 4986620710         0 4986620711         0 
945.010   3  tick         0 4986661892         0 4986661892 
945.010   1  tick 4986709688         0 4986709689         0 
950.010   1  tick 4986667049         0 4986667050         0 
955.010   1  tick 4986640893         0 4986640886         0 
960.010   2  tick         0 4986666918         0 4986666918 
965.010   0  tick 4986676854         0 4986676856         0 
970.010   0  tick 4986631539         0 4986631538         0 
975.010   0  tick 4986690551         0 4986690551         0 
980.010   1  tick 4986634303         0 4986634304         0 
985.010   0  tick 4986692303         0 4986692305         0 
990.010   3  tick         0 4986659115         0 4986659115 
995.010   3  tick         0 4986669709         0 4986669708 
1000.010   2  tick         0 4986667584         0 4986667586 
1005.010   0  tick 4986674282         0 4986674279         0 
1010.010   0  tick 4986676436         0 4986676436         0 
1015.010   3  tick         0 4986646826         0 4986646826 
1020.010   0  tick 4986641239         0 4986641235         0 
1025.010   0  tick 4986673356         0 4986673356         0 
1030.010   0  tick 4986627642         0 4986627643         0 
1035.010   2  tick         0 4986677522         0 4986677522 
1040.010   0  tick 4986674107         0 4986674111         0 
1045.010   2  tick         0 4986657578         0 4986657580 
1050.010   1  tick 4986561615         0 4986561618         0 
1055.010   1  tick 4986642830         0 4986642830         0 
1060.010   2  tick         0 4986694975         0 4986694975 
1060.010   0  tick 4986961101         0 4986961102         0 
1065.010   2  tick         0 4986626492         0 4986626492 
1070.010   1  tick 4986668411         0 4986668409         0 
1075.010   1  tick 4986646833         0 4986646826         0 
1080.010   1  tick 4986644188         0 4986644195         0 
1085.010   0  tick 4986698983         0 4986698983         0 
1090.010   0  tick 4986666087         0 4986666090         0 
1095.010   0  tick 4986638292         0 4986638289         0 
1100.010   3  tick         0 4986670982         0 4986670982 
1105.010   0  tick 4986638151         0 4986638148         0 
1110.010   1  tick 4986699634         0 4986699639         0 
1115.010   1  tick 4986686175         0 4986686175         0 
1120.010   1  tick 4986658207         0 4986658199         0 
1125.010   1  tick 4986656615         0 4986656623         0 
1130.010   0  tick 4986708958         0 4986708964         0 
1135.010   0  tick 4986658028         0 4986658030         0 
1140.010   1  tick 4986711132         0 4986711131         0 
1145.010   3  tick         0 4986691284         0 4986691283 
1150.010   0  tick 4986613345         0 4986613347         0 
1155.010   2  tick         0 4986654008         0 4986654010 
1160.010   2  tick         0 4986687340         0 4986687340 
1165.010   0  tick 4986704667         0 4986704668         0 
1170.010   1  tick 4986736003         0 4986736008         0 
1175.010   1  tick 4986665773         0 4986665774         0 
1180.010   1  tick 4986641478         0 4986641481         0 
1185.010   3  tick         0 4986680881         0 4986680880 
1185.010   0  tick 4987404434         0 4987404433         0 
1190.010   1  tick 4986684375         0 4986684370         0 
1195.010   3  tick         0 4986652201         0 4986652203 
1200.010   1  tick 4986667589         0 4986667588         0 
1205.010   3  tick         0 4986643264         0 4986643263 
1210.010   1  tick 4986619926         0 4986619926         0 
1215.010   1  tick 4986679760         0 4986679759         0 
1220.010   1  tick 4986638812         0 4986638810         0 
1225.010   1  tick 4986631018         0 4986631020         0 
1230.010   2  tick         0 4986718035         0 4986718035 
1235.010   0  tick 4986665649         0 4986665648         0 
1240.010   0  tick 4986652301         0 4986652300         0 
1245.010   0  tick 4986669595         0 4986669594         0 
1250.010   1  tick 4986716485         0 4986716492         0 
1255.010   2  tick         0 4986670123         0 4986670124 
1260.010   2  tick         0 4986655237         0 4986655237 
1265.010   1  tick 4986726922         0 4986726923         0 
1270.010   1  tick 4986642570         0 4986642573         0 
1270.010   3  tick         0 4987084596         0 4987084596 
1275.010   1  tick 4986693446         0 4986693442         0 
1280.010   1  tick 4986581218         0 4986581217         0 
1285.010   0  tick 4986665441         0 4986665441         0 
1290.010   1  tick 4986711185         0 4986711194         0 
1295.010   2  tick         0 4986673955         0 4986673955 
1300.010   1  tick 4986682877         0 4986682884         0 
1305.010   2  tick         0 4986656993         0 4986656993 
1310.010   1  tick 4986716590         0 4986716586         0 
1315.010   1  tick 4986668914         0 4986668915         0 
1315.010   3  tick         0 4986979087         0 4986979087 
1320.010   0  tick 4986678732         0 4986678732         0 
1325.010   1  tick 4986761090         0 4986761087         0 
1330.010   0  tick 4986703267         0 4986703274         0 
1335.010   1  tick 4986714828         0 4986714826         0 
1340.010   0  tick 4986698504         0 4986698511         0 
1345.010   0  tick 4986654846         0 4986654848         0 
1350.010   3  tick         0 4986655432         0 4986655430 
1350.010   1  tick 4987055710         0 4987055710         0 
1355.010   0  tick 4986683295         0 4986683293         0 
1355.010   2  tick         0 4987263116         0 4987263118 
1360.010   1  tick 4986676377         0 4986676376         0 
1365.010   2  tick         0 4986668047         0 4986668047 
1365.010   1  tick 4986657907         0 4986657909         0 
1370.010   1  tick 4986652059         0 4986652057         0 
1375.010   1  tick 4986649176         0 4986649172         0 
1380.010   2  tick         0 4986659109         0 4986659107 
1385.010   1  tick 4986677424         0 4986677426         0 
1390.010   1  tick 4986663241         0 4986663240         0 
1395.010   0  tick 4986678686         0 4986678687         0 
1400.010   2  tick         0 4986714638         0 4986714638 
1405.010   1  tick 4986701077         0 4986701078         0 
1410.010   1  tick 4986641377         0 4986641375         0 
1415.010   1  tick 4986644873         0 4986644860         0 
1420.010   0  tick 4986690911         0 4986690914         0 
1425.010   2  tick         0 4986657426         0 4986657428 
1430.010   0  tick 4986700608         0 4986700614         0 
1435.010   0  tick 4986622648         0 4986622649         0 
1440.010   3  tick         0 4986696759         0 4986696757 
1445.010   0  tick 4986650291         0 4986650291         0 
1450.010   3  tick         0 4986669514         0 4986669514 
1455.010   0  tick 4986663751         0 4986663747         0 
1460.010   0  tick 4986674636         0 4986674640         0 
1465.010   0  tick 4986660098         0 4986660098         0 
1470.010   0  tick 4986627913         0 4986627915         0 
1475.010   3  tick         0 4986679064         0 4986679064 
1480.010   1  tick 4986689976         0 4986689978         0 
1485.010   0  tick 4986688872         0 4986688874         0 
1485.010   2  tick         0 4987202683         0 4987202683 
1490.010   3  tick         0 4986658107         0 4986658106 
1495.010   0  tick 4986676859         0 4986676852         0 
1500.010   3  tick         0 4986670068         0 4986670068 
1505.010   1  tick 4986736310         0 4986736312         0 
1510.010   0  tick 4986704931         0 4986704937         0 
1515.010   0  tick 4986647684         0 4986647682         0 
1520.010   1  tick 4986748892         0 4986748894         0 
1520.010   2  tick         0 4986662543         0 4986662543 
1525.010   3  tick         0 4986688674         0 4986688674 
1530.010   3  tick         0 4986614251         0 4986614251 
1535.010   0  tick 4986702066         0 4986702080         0 
1540.010   2  tick         0 4986660501         0 4986660502 
1545.010   0  tick 4986666868         0 4986666867         0 
1550.010   0  tick 4986656667         0 4986656669         0 
1555.010   2  tick         0 4986657004         0 4986657004 
1560.010   2  tick         0 4986661135         0 4986661135 
1565.010   1  tick 4986670068         0 4986670068         0 
1570.010   2  tick         0 4986695740         0 4986695740 
1575.010   2  tick         0 4986623483         0 4986623483 
1580.010   0  tick 4986660837         0 4986660842         0 
1580.010   1  tick 4986653188         0 4986653189         0 
1585.010   1  tick 4986670997         0 4986670996         0 
1590.010   1  tick 4986647175         0 4986647176         0 
1595.010   0  tick 4986685609         0 4986685608         0 
1600.010   3  tick         0 4986662111         0 4986662109 
1605.010   1  tick 4986696493         0 4986696494         0 
1610.010   2  tick         0 4986691311         0 4986691312 
1615.010   0  tick 4986506657         0 4986506657         0 
1620.010   0  tick 4986660831         0 4986660833         0 
1625.010   0  tick 4986673219         0 4986673217         0 
1630.010   3  tick         0 4986649131         0 4986649131 
1635.010   1  tick 4986717239         0 4986717240         0 
1640.010   2  tick         0 4986681757         0 4986681757 
1645.010   1  tick 4986717634         0 4986717636         0 
1650.010   1  tick 4986679239         0 4986679239         0 
1655.010   2  tick         0 4986730198         0 4986730198 
1660.010   0  tick 4986627035         0 4986627035         0 
1665.010   0  tick 4986657981         0 4986657981         0 
1670.010   0  tick 4986662078         0 4986662076         0 
1675.010   0  tick 4986650562         0 4986650561         0 
1680.010   2  tick         0 4986668957         0 4986668956 
1685.010   0  tick 4986665822         0 4986665830         0 
1690.010   0  tick 4986672420         0 4986672421         0 
1690.010   1  tick 4986669952         0 4986669954         0 
1695.010   3  tick         0 4986692484         0 4986692484 
1695.010   1  tick 4987374343         0 4987374343         0 
1700.010   3  tick         0 4986632556         0 4986632556 
1705.010   0  tick 4986714387         0 4986714392         0 
1710.010   2  tick         0 4986648412         0 4986648412 
1715.010   1  tick 4986730258         0 4986730260         0 
1720.010   3  tick         0 4986663337         0 4986663335 
1725.010   3  tick         0 4986660237         0 4986660238 
1730.010   3  tick         0 4986709385         0 4986709386 
1735.010   3  tick         0 4986616916         0 4986616916 
1740.010   3  tick         0 4986726741         0 4986726741 
1740.010   0  tick 4987313671         0 4987313671         0 
1745.010   1  tick 4986653927         0 4986653921         0 
1750.010   3  tick         0 4986613697         0 4986613696 
1755.010   2  tick         0 4986667285         0 4986667285 
1760.010   2  tick         0 4986674842         0 4986674842 
1765.010   3  tick         0 4986684893         0 4986684891 
1770.010   3  tick         0 4986615154         0 4986615156 
1775.010   3  tick         0 4986696890         0 4986696889 
1780.010   3  tick         0 4986604372         0 4986604373 
1780.012   2  tick         0 4989085545         0 4989085547 
1785.010   3  tick         0 4986659943         0 4986659942 
1790.010   3  tick         0 4986707366         0 4986707367 
1795.010   0  tick 4986664154         0 4986664149         0 
1800.010   3  tick         0 4986630358         0 4986630358 
1805.010   3  tick         0 4986649376         0 4986649376 
1810.010   3  tick         0 4986671702         0 4986671704 
1815.010   2  tick         0 4986685322         0 4986685322 
1820.010   3  tick         0 4986678925         0 4986678925 
1825.010   3  tick         0 4986630284         0 4986630284 
1825.010   2  tick         0 4987266908         0 4987266908 
1830.010   2  tick         0 4986063400         0 4986063400 
1835.010   2  tick         0 4986665001         0 4986665001 
1840.010   2  tick         0 4986674964         0 4986674964 
1845.010   2  tick         0 4986633550         0 4986633550 
1850.010   0  tick 4986684677         0 4986684684         0 
1855.010   3  tick         0 4986671427         0 4986671425 
1860.010   3  tick         0 4986659822         0 4986659822 
1865.010   3  tick         0 4986689060         0 4986689062 
1865.023   0  tick 4999540943         0 4999540944         0 
1870.010   2  tick         0 4986698707         0 4986698707 
1875.010   3  tick         0 4986685701         0 4986685701 
1880.010   2  tick         0 4986711696         0 4986711696 
1885.010   2  tick         0 4986610686         0 4986610686 
1890.010   2  tick         0 4986684592         0 4986684590 
1895.010   2  tick         0 4986660189         0 4986660191 
1900.010   2  tick         0 4986631154         0 4986631154 
1905.010   2  tick         0 4986673186         0 4986673186 
1910.010   3  tick         0 4986702315         0 4986702313 
1910.022   2  tick         0 4999069878         0 4999069878 
1915.010   0  tick 4986671137         0 4986671133         0 
1920.010   2  tick         0 4986672862         0 4986672862 
1925.010   2  tick         0 4986642768         0 4986642768 
1930.010   2  tick         0 4986673764         0 4986673764 
