tiime	cpu	FSB	L2miss
636	0		18256
638	0	2079244	
640	0		321892
642	0	14791224	
644	1		2736
646	1	2333452	
646	0	2359566	
648	0		790644
650	0	564614	
652	1		14211
654	0	14032930	
656	0		335909
658	1	1900380	
660	0		201089
660	1		218028
662	1	16805848	
664	0		59508
666	1	1559764	
666	0	1653952	
668	1		731080
670	0	1569458	
672	1		11567
674	0	10265784	
676	0		673812
678	0	929984	
680	0		30609
680	1		62104
682	0	20897080	
684	0		25346
686	0	1488266	
688	0		468189
690	0	1563688	
692	1		94514
694	0	9739138	
696	1		452871
698	1	1957154	
700	1		120870
700	0		27716
702	0	21970430	
704	0		15476
706	1	1066310	
708	0		372077
710	0	11284744	
712	1		33184
714	0	6031665	
716	0		600857
718	0	1914566	
720	0		63129
722	0	23013808	
724	0		69209
726	0	1467192	
728	0		362483
730	1	12944532	
732	0		134084
734	0	2652014	
736	1		806619
738	1	963806	
740	0		39397
742	0	16587466	
742	1	16604090	
744	0		365852
746	1	1453980	
748	0		369050
750	0	14144110	
752	0		93425
754	1	2098378	
754	0	2125032	
756	1		686486
758	0	1956802	
760	0		82536
762	0	11210672	
764	0		463147
766	0	1493704	
768	0		44505
770	1	19292454	
772	1		12096
774	0	1467878	
776	1		503401
776	0		870116
778	1	3246642	
780	0		27935
782	0	10331780	
782	1	10371556	
784	1		587546
786	1	1546436	
788	0		32553
788	1		138008
790	1	21427032	
792	0		138364
794	1	1272792	
796	0		330701
796	1		361664
798	0	12771956	
800	1		35677
802	0	3510608	
804	1		777317
806	1	1886842	
808	1		7359
810	0	22856598	
812	1		84914
814	0	1659460	
816	1		359825
816	0		304078
818	0	13970546	
820	1		14514
822	0	3681958	
824	0		703040
826	1	2259066	
828	1		25510
830	0	15638562	
830	1	15681980	
832	0		339276
834	0	1782468	
836	0		316243
838	1	15964443	
840	1		10649
842	1	3217004	
842	0	3246570	
844	1		744999
846	0	2020002	
848	0		104826
850	1	10842378	
850	0	10875182	
852	1		324394
854	1	1892170	
856	0		116787
858	0	20642625	
860	1		36533
862	1	2568766	
864	0		946695
866	0	2224888	
868	0		30669
870	0	10841508	
870	1	10881315	
872	1		602286
872	0		506400
874	0	2081792	
876	0		298240
878	0	21759358	
880	1		19872
882	1	2103227	
884	0		277061
886	1	13941640	
888	0		56024
890	1	3771362	
892	0		754270
894	0	1557432	
896	0		66677
898	1	22703706	
900	0		60699
902	0	1992632	
904	0		341427
906	0	14174698	
908	0		23801
910	0	2859922	
912	0		744668
914	0	1409422	
916	0		96755
918	0	15515168	
920	1		253205
922	1	1592246	
924	0		343208
926	1	13173604	
928	1		15112
930	1	2318482	
932	0		722247
934	0	1557440	
936	1		8349
938	1	11242286	
938	0	11273517	
940	1		447293
942	1	2094822	
944	1		42511
944	0		94532
946	0	19924794	
948	0		19755
950	0	556910	
952	0		609663
954	0	1925104	
956	0		72728
958	1	10891486	
958	0	10905556	
960	0		449878
960	1		496692
962	0	2074196	
964	0		32995
966	0	21198668	
968	0		76628
970	0	1618166	
972	0		366717
974	0	12114094	
976	0		96537
978	0	5422752	
980	0		420757
982	0	1702170	
984	0		30680
986	1	22118688	
988	0		54249
990	0	1438188	
992	1		173167
992	0		397714
994	0	13591382	
996	0		88494
998	1	3624027	
1000	0		740079
1002	0	1672886	
1004	0		20203
1006	1	21840972	
1006	0	21844576	
1008	0		18519
1010	1	619784	
1012	0		341905
1014	0	14835458	
1016	0		18786
1018	0	2852120	
1018	1	2880766	
1020	0		830379
1022	0	1548626	
1024	0		82983
1026	1	11645174	
1026	0	11650738	
1028	1		443291
1030	0	1619636	
1032	1		204082
1032	0		133914
1034	0	18294806	
1036	0		81674
1038	0	960720	
1040	0		605147
1042	0	1214022	
1044	0		39418
1046	0	10458950	
1046	1	10495743	
1048	0		393685
1050	0	1435272	
1052	0		31616
1052	1		94482
1054	0	21769312	
1056	0		8657
1058	0	2319516	
1060	1		625780
1060	0		539247
1062	0	5857928	
1064	0		14993
1066	0	9557728	
1068	0		649314
1070	0	575738	
1072	1		29945
1074	0	22292444	
1076	0		78807
1078	1	1945879	
1080	0		271078
1080	1		304042
1082	0	13282256	
1084	0		84821
1086	0	3163436	
1088	0		452158
1090	0	1538440	
1092	0		114146
1094	1	22913886	
1096	0		78017
1098	0	939222	
1100	0		329377
1102	0	14355992	
1104	0		9925
1106	0	2716148	
1106	1	2746606	
1108	0		765631
1110	0	1445516	
1112	0		68989
1114	0	13913978	
1116	0		471429
1118	1	2002228	
1120	1		213058
1120	0		277487
1122	0	15651568	
1124	0		7184
1126	0	1956650	
1128	0		743096
1130	0	950230	
1132	0		5700
1134	0	11171912	
1134	1	11199242	
1136	0		193253
1138	1	2021780	
1140	0		35427
1140	1		88147
1142	0	20441050	
1144	0		26225
1146	0	1531780	
1148	0		569066
1150	0	1562132	
1152	0		107577
1154	1	10521196	
1156	1		663193
1158	0	848770	
1160	0		67228
1162	0	20531446	
1164	1		7029
1164	0		84168
1166	0	1416112	
1168	1		547363
1170	0	8395264	
1172	0		19197
1174	0	10291612	
1174	1	10321406	
1176	0		614158
1178	1	2151226	
1180	0		123689
1182	1	22278548	
1184	0		113300
1186	1	1178628	
1188	0		332242
1190	0	12064650	
1192	0		55165
1194	0	3602294	
1196	0		616279
1198	0	1837040	
1200	0		56671
1202	0	22063996	
1204	0		75986
1206	0	1560062	
1208	0		248944
1210	0	13743254	
1212	0		104181
1214	0	2925220	
1216	0		801529
1218	0	990586	
1220	0		25408
1222	1	15079906	
1224	1		581253
1226	0	1752652	
1228	0		263155
1228	1		238861
1230	1	22361079	
1232	1		53407
1234	1	2539802	
1236	0		816426
1238	1	2472991	
1240	1		33299
1242	0	12042003	
1244	0		684101
1246	1	2998390	
1248	0		124907
1250	1	24774768	
1252	1		174332
1254	0	2179076	
1256	0		816628
1258	0	2801830	
1260	0		22636
1262	0	11405136	
1264	1		597897
1266	1	2343424	
1268	1		78123
1268	0		131007
1270	0	23772012	
1272	1		128321
1272	0		54909
1274	0	2529270	
1276	0		438707
1278	1	12553436	
1280	0		33554
1282	1	8384822	
1284	0		466101
1286	1	3061526	
1288	0		118849
1290	1	25301044	
1292	0		30820
1294	1	5241940	
1296	0		315773
1298	1	14079476	
1300	0		81092
1302	1	2968354	
1302	0	3000370	
1304	0		710535
1306	0	2391464	
1308	0		66378
1310	1	17675134	
1310	0	17692014	
1312	0		207438
1314	0	2026830	
1316	0		451462
1318	1	14545204	
1320	0		57140
1322	0	2902584	
1324	0		718523
1326	0	1921014	
1328	0		47430
1330	0	12362502	
1332	0		558566
1334	1	2556756	
1336	0		209158
1338	1	21989892	
1340	1		38390
1342	1	2566612	
1344	0		680800
1346	0	2668882	
1348	1		76775
1348	0		81501
1350	1	13327900	
1352	0		643811
1354	1	3658618	
1356	0		88447
1358	0	27563412	
1360	0		11056
1362	0	1731052	
1364	0		380290
1364	1		465216
1366	1	10986572	
1368	1		13380
1370	0	6010860	
1372	0		538044
1374	0	2184280	
1376	0		10011
1378	0	21640900	
1380	0		33975
1382	0	1609898	
1384	1		270802
1384	0		391824
1386	0	14626844	
1388	0		31068
1390	0	3567616	
1392	0		973611
1394	0	2724652	
1396	0		123694
1398	1	23929066	
1400	1		51498
1402	1	2280492	
1404	0		383736
1406	0	15225762	
1408	0		56026
1410	0	3532612	
1410	1	3584900	
1412	1		1001622
1414	0	3971770	
1416	0		69820
1418	0	19670880	
1420	1		366190
1422	1	5406214	
1424	0		395649
1426	1	14604946	
1428	0		35341
1430	1	1350638	
1430	0	1377994	
1432	0		555923
1434	0	2014488	
1436	0		73654
1438	1	10968918	
1440	0		512597
1442	1	1699776	
1444	1		186244
1444	0		62163
1446	0	22387994	
1448	1		17338
1450	0	1703230	
1452	0		583232
1454	0	2333198	
1456	1		77400
1458	1	11469384	
1460	1		419549
1462	0	2403303	
1464	1		69760
1466	0	23964570	
1468	1		82048
1470	0	2969336	
1472	0		374344
1474	0	14915762	
1476	0		106940
1478	1	7518994	
1478	0	7916584	
1480	0		496723
1482	0	2771717	
1484	0		32391
1486	1	27831276	
1486	0	27837452	
1488	0		94002
1490	0	1151852	
1492	0		269492
1494	0	13684646	
1496	0		66066
1498	0	2817684	
1498	1	2844946	
1500	0		804403
1502	1	1522584	
1504	0		79155
1506	1	18405948	
1506	0	18412108	
1508	1		188507
1510	0	2926686	
1512	0		420738
1514	1	15529488	
1516	0		223565
1518	1	1809662	
1518	0	1858386	
1520	1		846868
1522	1	2043532	
1524	1		41098
1526	0	12425220	
1528	0		503706
1530	0	3349842	
1532	0		63846
1534	0	24480350	
1536	0		31423
1538	0	1956194	
1540	0		762453
1542	0	3536166	
1544	0		73730
1546	0	11842897	
1548	0		679483
1550	0	3112914	
1552	0		149235
1554	0	21780258	
1556	0		9841
1558	1	1343944	
1560	1		600919
1562	0	7642792	
1564	0		78063
1566	1	9473126	
1566	0	9500326	
1568	0		324175
1570	0	1992078	
1572	1		52121
1572	0		135897
1574	0	24509643	
1576	0		211385
1578	0	910212	
1580	1		339318
1582	0	14544216	
1584	0		42580
1586	0	3967554	
1588	0		638786
1590	0	3204902	
1592	0		37390
1594	0	24831268	
1596	1		41717
1598	0	2733224	
1600	1		335913
1600	0		408485
1602	0	15311814	
1604	0		70291
1606	0	4013892	
1608	0		619453
1610	1	2168972	
1612	0		41805
1614	0	20554701	
1616	0		252344
1618	1	1318542	
1618	0	1325620	
1620	0		274683
1622	0	13825698	
1624	0		80545
1626	0	2356996	
1628	0		693249
1630	0	2159664	
1632	1		123524
1634	1	11253990	
1636	0		667467
1638	0	2125804	
1640	0		76878
1640	1		63421
1642	1	21654656	
1644	0		81219
1646	0	1676108	
1648	1		823664
1648	0		829013
1650	0	2744280	
1652	0		35306
1654	0	12614402	
1656	1		286238
1658	1	2607934	
1660	1		85021
1662	0	25680382	
1664	0		57693
1666	1	2943320	
1668	0		404596
1670	0	12633590	
1672	1		63520
1674	0	11070343	
1676	1		362727
1678	1	2922786	
1680	0		111192
1682	0	20445649	
1684	0		6887
1686	1	1544552	
1688	0		188766
1690	0	13657656	
1692	1		104465
1694	1	3647600	
1694	0	3696984	
1696	0		580112
1698	0	401604	
1700	1		61471
1702	0	24749938	
1704	0		16150
1706	0	1771886	
1708	1		338967
1708	0		343783
1710	1	15087020	
1712	0		59110
1714	0	4069688	
1716	1		674153
1718	1	2283504	
1720	1		28751
1722	0	17809856	
1724	1		450055
1726	0	3006583	
1728	0		237483
1730	1	18879568	
1732	1		67444
1734	1	4189220	
1736	1		843905
1738	1	2757203	
1740	1		68510
1742	1	12622946	
1742	0	12706772	
1744	0		586300
1746	1	1654774	
1748	0		25849
1750	0	20915830	
1752	0		5776
1754	0	1786925	
1756	0		730564
1758	0	5293989	
1760	0		39207
1762	0	9254920	
1764	0		254076
1766	0	3390102	
1768	0		53126
1768	1		73049
1770	0	23440424	
1772	0		36090
1774	1	2498988	
1776	0		361098
1778	1	15325414	
1780	1		41397
1782	1	4287704	
1782	0	4340224	
1784	1		538091
1786	0	2507316	
1788	1		24553
1790	1	26199846	
1792	1		31035
1794	0	2782962	
1796	0		335408
1798	0	16322046	
1800	1		59392
1802	0	4338568	
1804	1		960485
1806	1	2790096	
1808	0		82702
1810	0	12986276	
1812	0		604862
1814	0	1883932	
1816	0		409571
1818	0	14270592	
1820	1		47348
1822	0	2485920	
1824	0		546024
1826	1	1592894	
1826	0	1596900	
1828	0		23598
1830	0	13409811	
1832	0		634765
1834	1	2424666	
1836	0		102809
1838	0	23433111	
1840	1		21626
1840	0		92249
1842	0	2588848	
1844	1		814721
1846	0	2606002	
1848	0		28541
1850	0	11685576	
1852	1		361049
1854	1	3197978	
1856	0		118083
1856	1		70760
1858	1	22314838	
1860	1		46332
1862	1	3093730	
1864	1		550455
1866	0	9844376	
1868	1		89250
1870	0	12562786	
1872	0		567573
1874	1	1810124	
1876	0		170747
1876	1		126381
1878	0	20669596	
1880	1		65831
1882	0	1188064	
1884	0		182908
1886	0	13337780	
1888	0		25699
1890	0	3567382	
1892	0		896541
1894	1	3994028	
1896	1		9033
1896	0		84998
1898	1	24671396	
1900	0		40684
1902	0	1958748	
1904	1		383787
1904	0		352819
1906	1	15007478	
1908	1		30594
1910	0	3065570	
1912	1		517569
1914	1	2950212	
1916	1		37207
1918	1	14749952	
1920	0		455422
1922	0	2554622	
1924	0		200795
1926	0	21769255	
1926	1	21774936	
1928	1		67293
1930	1	3747410	
1932	1		688784
1934	0	3265164	
1936	0		181058
1938	0	9076680	
1940	0		483726
1942	1	1636034	
1944	1		65640
1944	0		81307
1946	0	20218651	
1948	1		60716
1950	1	2060998	
1952	0		530401
1952	1		786630
1954	0	4194500	
1956	1		92773
1958	1	11822588	
1958	0	11826090	
1960	0		305942
1962	0	2016790	
1964	0		129415
1966	0	25300424	
1968	1		38476
1970	0	1830758	
1972	0		233172
1974	1	15319848	
1976	0		38910
1978	1	6318857	
1980	0		732251
1982	1	2482366	
1984	1		51517
1986	1	25619268	
1988	0		40918
1990	0	4025450	
1992	1		523466
1994	1	16979998	
1996	0		96340
1998	0	3326308	
2000	0		674646
2002	1	1218676	
2002	0	1240396	
2004	0		21319
2006	0	20630484	
2008	0		99683
2010	0	1974056	
2012	0		355164
2014	1	14024916	
2016	0		101906
2018	0	2316143	
2020	0		362642
2022	1	3383966	
2024	1		19190
2026	1	14337434	
2026	0	14377140	
2028	1		543023
2030	1	1541058	
2032	0		119681
2034	1	23035183	
2036	1		41315
2038	1	2345622	
2040	1		887426
2042	1	2943272	
2044	1		51800
2046	1	12736436	
2048	0		591663
2050	0	3446614	
2052	0		72625
2054	1	25292258	
2056	0		99995
2058	0	2290835	
2060	1		360325
2060	0		387185
2062	0	15495628	
2064	0		202422
2066	1	5449942	
2068	0		877707
2070	0	2024038	
2072	0		79443
2074	1	22020604	
2076	1		17003
2078	0	1389862	
2080	0		288276
2082	0	13770540	
2084	1		22855
2086	0	6644134	
2088	0		704079
2090	0	1391444	
2092	0		26331
2094	0	19506196	
2096	0		235421
2098	0	2023500	
2100	0		364366
2100	1		350995
2102	1	16933342	
2104	1		34325
2106	0	4018564	
2108	0		760254
2110	1	3121090	
2112	1		47403
2114	0	12240548	
2116	1		679078
2118	1	2115398	
2120	1		131153
2122	0	23198330	
2124	1		54256
2126	1	3627506	
2128	1		946709
2130	1	2036197	
2130	0	2076980	
2132	0		69373
2134	0	10145756	
2136	1		675445
2138	0	1363670	
2140	0		140944
2142	0	20823910	
2144	1		97989
2146	0	3011828	
2148	0		347766
2150	1	10684131	
2152	1		8154
2154	0	9535014	
2156	1		379298
2158	1	1556368	
2160	0		111656
2162	1	25019584	
2164	0		57099
2166	1	2979782	
2168	0		353824
2170	1	16334710	
2172	1		51555
2174	0	4157658	
2174	1	4196440	
2176	0		738468
2178	0	1624828	
2180	0		54307
2182	1	22964110	
2184	1		189347
2186	1	4027230	
2188	0		379752
2190	0	15928874	
2192	1		185248
2194	1	2386357	
2194	0	2422922	
2196	1		702339
2198	0	1456368	
2200	1		8333
2202	0	10757920	
2204	0		517110
2206	0	3052844	
2208	0		120427
2210	0	18162466	
2212	0		38462
2214	1	3270832	
2216	0		587282
2218	0	1507320	
2220	1		23282
2222	0	11877848	
2224	0		422085
2226	0	2699136	
2228	1		103734
2228	0		43695
2230	1	25818959	
2232	1		24136
2234	1	2199080	
2236	0		778213
2238	0	6652378	
2240	0		51016
2242	0	11418642	
2242	1	11456059	
2244	1		286399
2246	1	3768560	
2248	0		108155
2250	1	25667232	
2252	1		52543
2254	1	3020360	
2256	0		320250
2258	0	13203496	
2260	0		102945
2262	1	3226008	
2262	0	3251430	
2264	0		905359
2266	0	2786688	
2268	0		15392
2270	0	22233632	
2272	0		60751
2274	0	1428162	
2276	0		448582
2278	1	15648756	
2280	0		74775
2282	1	3229672	
2282	0	3268188	
2284	0		429754
2286	1	2607390	
2288	1		15771
2290	0	20827707	
2292	0		232139
2294	0	2031604	
2296	1		363349
2296	0		416569
2298	0	14882730	
2300	1		59793
2302	1	3570188	
2304	1		813696
2304	0		798676
2306	0	3377084	
2308	1		15021
2308	0		66629
2310	0	13667692	
2312	0		557592
2314	0	3411016	
2316	1		111439
2318	0	25182054	
2320	1		106745
2322	0	1703992	
2324	0		434891
2326	0	3266412	
2328	1		38948
2330	0	9690020	
2332	0		443135
2334	0	1485380	
2336	0		115477
2338	0	20635700	
2340	0		31058
2342	0	3411500	
2344	0		368203
2346	1	13644096	
2348	0		12248
2350	1	7010148	
2352	1		433575
2354	1	1993634	
2356	0		150560
2358	1	24387092	
2358	0	24394849	
2360	1		53968
2362	0	1901606	
2364	0		392701
2366	1	16253008	
2368	1		66266
2370	1	4855862	
2370	0	4884984	
2372	0		794421
2374	1	3581382	
2376	1		82454
2378	0	23540458	
2380	0		111986
2380	1		238005
2382	1	3289958	
2384	1		487334
2384	0		197353
2386	0	17644030	
2388	0		14980
2390	0	1975066	
2390	1	2000072	
2392	0		873255
2394	1	1464065	
2396	1		101536
2398	1	10327638	
2398	0	10357454	
2400	0		615138
2402	1	1720486	
2404	0		27226
2406	0	22801349	
2408	0		75724
2410	0	2097732	
2412	0		850069
2414	0	1939614	
2416	0		120120
2418	0	10452758	
2420	0		499682
2422	0	2479674	
2424	0		89742
2426	1	24295912	
2428	1		58344
2430	1	3024982	
2432	0		489596
2432	1		549305
2434	0	10546768	
2436	0		57712
2438	0	11355020	
2440	1		432859
2442	1	3667932	
2444	0		123672
2446	0	25677367	
2448	1		19516
2448	0		88682
2450	0	3625906	
2452	1		347742
2454	0	12716798	
2456	0		19891
2458	0	2995934	
2458	1	3015672	
2460	0		599562
2462	1	1616059	
2464	1		68801
2466	1	22765838	
2468	0		84050
2470	0	2511976	
2472	1		360064
2472	0		380906
2474	0	13569496	
2476	0		260361
2478	0	2042114	
2480	0		534232
2482	1	2444516	
2484	0		60221
2486	0	21223173	
2488	1		247963
2490	1	2169100	
2492	0		348779
2494	1	15763588	
2496	1		67847
2498	0	3612186	
2500	0		824153
2502	1	4136998	
2504	1		70618
2506	0	13758858	
2506	1	13801106	
2508	1		356362
2510	1	2363430	
2512	1		109822
2514	0	23912452	
2516	0		73645
2518	0	1285358	
2520	0		805722
2522	0	2155764	
2524	1		69451
2526	0	10583194	
2528	0		508286
2530	0	1493944	
2532	1		31570
2532	0		162652
2534	0	20679569	
2536	1		133105
2538	1	457924	
2540	0		353480
2540	1		350568
2542	0	14954994	
2544	0		69528
2546	0	6731612	
2548	0		665674
2550	1	2365510	
2552	1		42680
2554	1	24011750	
2556	0		63066
2558	0	2291828	
2560	0		367068
2560	1		361511
2562	1	16158592	
2564	1		29259
2566	1	4792912	
2568	1		961355
2570	1	1982687	
2572	1		75957
2574	0	17562660	
2576	0		383226
2578	0	4163688	
2580	1		296936
2582	0	15843786	
2584	0		60371
2586	1	2723068	
2586	0	2747647	
2588	0		551257
2590	0	1552600	
2592	0		137917
2594	0	10284877	
2596	0		476344
2598	0	334852	
2600	0		62480
2602	0	23122342	
2604	0		19578
2606	0	2540306	
2608	1		587656
2610	1	1907234	
2612	1		56065
2614	0	12349180	
2616	0		521904
2618	1	1962704	
2620	1		81777
2622	0	24068964	
2624	0		48785
2626	0	2892061	
2628	1		435531
2630	0	11801699	
2632	0		91505
2634	1	7609092	
2636	1		854761
2638	1	3250112	
2640	1		49763
2642	0	25247224	
2644	0		67555
2646	0	2030412	
2648	0		360627
2648	1		280547
2650	1	12651874	
2652	0		123663
2654	0	2920344	
2656	0		709544
2658	0	373394	
2660	0		20292
2662	1	23022530	
2664	0		60797
2666	0	2146268	
2668	0		340967
2670	0	15229526	
2672	0		23899
2674	0	3134036	
2674	1	3161214	
2676	1		657629
2678	0	2350654	
2680	0		85257
2682	0	14392015	
2684	0		471953
2686	1	3204016	
2688	0		147322
2690	0	20839407	
2692	1		33348
2692	0		83347
2694	0	3223518	
2696	1		629439
2698	1	2947726	
2700	1		63631
2702	1	13969963	
2704	0		323339
2706	0	5199306	
2708	0		16100
2708	1		110352
2710	0	20956758	
2712	1		27130
2714	0	1263432	
2716	0		738493
2718	0	6175560	
2720	0		23518
2722	1	10126828	
2722	0	10152360	
2724	0		523923
2726	0	1983060	
2728	0		148393
2730	0	21380796	
2732	0		17681
2734	0	1458030	
2736	1		298357
2736	0		346755
2738	0	13305600	
2740	0		83402
2742	0	3746792	
2744	0		718027
2746	0	2684570	
2748	0		6628
2750	0	22727136	
2752	0		200947
2754	0	3104222	
2756	0		396354
2758	1	15386259	
2760	1		46024
2762	0	4729323	
2764	1		1017847
2766	1	2634373	
2768	1		78577
2770	0	16057526	
2772	1		478399
2774	0	2037958	
2776	1		241141
2778	0	18570784	
2780	0		118624
2782	0	3417076	
2782	1	3522324	
2784	1		658046
2786	1	2726968	
2788	0		67136
2790	0	13224036	
2792	1		524522
2794	0	2302050	
2796	1		121837
2796	0		99516
2798	0	24386962	
2800	1		80312
2802	1	3016286	
2804	0		855920
2806	0	1764671	
2808	0		29769
2810	1	8506806	
2812	0		617544
2814	1	8042148	
2816	1		107251
2816	0		594763
2818	0	20796736	
2820	0		65628
2822	0	2064732	
2824	0		419141
2826	0	8037212	
2828	1		1343
2828	0		87763
2830	0	9812812	
2832	1		386766
2834	0	1207538	
2836	0		889757
2838	0	19793836	
2840	0		20522
2842	1	1646994	
2844	0		306361
2846	0	13738420	
2848	1		11033
2850	0	3240143	
2852	1		724436
2854	0	1520670	
2856	0		93657
2858	0	22080546	
2860	1		88878
2862	0	2148024	
2864	0		264626
2866	0	14384022	
2868	0		10410
2870	0	1786486	
2872	1		502674
2874	1	1521900	
2876	0		23525
2878	0	15308634	
2880	0		374647
2882	1	2069326	
2884	1		260096
2886	0	15110642	
2888	0		5929
2890	0	2357132	
2890	1	2383046	
2892	1		944621
2894	0	1406422	
2896	1		46113
2898	1	9324998	
2898	0	9360825	
2900	0		219889
2902	0	2237514	
2904	0		32718
2906	0	20474810	
2908	1		3957
2908	0		62276
2910	0	1482792	
2912	1		841883
2914	0	1557736	
2916	0		23772
2918	1	9929258	
