tiime	cpu	FSB	L2miss
2	0	24560652	
4	0		34146
6	1	2046862	
8	1		319062
10	0	11802336	
12	0		95909
14	0	4113758	
16	0		626682
18	1	297404	
18	0	299360	
20	1		4669
20	0		45318
22	1	20656212	
24	1		51857
26	1	1990328	
26	0	1996224	
28	0		312256
30	0	11795086	
32	1		18082
34	1	3897904	
36	0		715923
38	1	1369598	
40	0		80232
42	0	20880358	
44	0		5599
44	1		96899
46	0	1195958	
48	0		242138
50	0	10880036	
52	1		7865
52	0		69861
54	1	3453622	
56	1		706394
58	1	1294903	
58	0	1300338	
60	1		4108
60	0		59128
62	1	20449302	
64	1		63663
66	1	1998136	
68	0		283506
70	0	11958166	
72	0		114591
74	1	2882925	
76	0		805194
78	0	375000	
80	1		5964
80	0		24977
82	0	20284346	
84	1		5841
86	0	1980590	
88	0		297478
90	1	11731864	
92	1		73101
94	0	3102638	
96	1		846633
98	0	1296565	
98	1	1297268	
100	1		80733
102	0	20761718	
104	1		8753
104	0		90682
106	0	1257354	
108	1		273812
108	0		299067
110	1	11100422	
112	1		74205
114	0	2873198	
116	0		745007
118	1	1327902	
120	0		4165
120	1		54822
122	0	20753998	
124	0		61512
126	0	2027156	
128	0		330162
130	0	12056114	
132	0		113438
134	0	2717632	
134	1	2746324	
136	0		736637
138	0	301982	
140	1		3888
140	0		26291
142	0	20762870	
144	1		58005
146	1	2100496	
148	0		365898
150	1	12156823	
152	1		66490
154	0	2759628	
156	0		706686
158	1	1370534	
160	1		72642
162	1	20968932	
164	1		93036
166	1	1433608	
168	1		322854
168	0		263741
170	0	11316066	
172	0		17091
174	0	2808624	
176	0		694337
178	1	1267434	
178	0	1270314	
180	1		3675
180	0		57776
182	0	20595918	
184	0		56580
186	0	2011536	
188	0		257473
188	1		377679
190	0	12445730	
192	0		118644
194	1	2473426	
196	0		801858
198	0	327548	
200	1		4165
200	0		23484
202	0	20402084	
204	0		54987
206	0	1922912	
208	0		316923
210	0	12391471	
212	0		12422
214	0	2706542	
216	1		734492
218	1	1339066	
218	0	1344186	
220	1		4064
222	0	20117820	
224	1		108774
226	0	1398518	
228	1		297747
230	0	11644273	
232	0		54323
234	1	2478592	
236	0		783730
238	1	1269522	
240	1		4244
240	0		52235
242	0	18014955	
244	1		163705
246	0	1957860	
248	1		231216
248	0		415582
250	0	12550780	
252	0		111298
254	0	2274805	
256	1		692599
258	0	283916	
260	1		6642
262	1	15845688	
262	0	15878714	
264	0		204385
266	0	1949682	
266	1	1967544	
268	1		389424
270	0	12536862	
272	1		12015
274	1	2340266	
276	0		921967
278	1	1335364	
280	1		74151
282	0	14316992	
284	0		293107
286	0	1510203	
288	1		259210
290	0	11755282	
292	0		56958
294	0	2331680	
296	0		673165
298	1	1272568	
300	0		2643
302	1	35560042	
304	1		1431610
306	0	34541932	
308	0		230124
310	0	17441815	
312	0		124340
314	0	1219764	
316	1		1211102
316	0		1994123
318	1	10086785	
320	0		27854
322	0	10208892	
324	0		531977
326	0	2082768	
328	0		69674
330	0	20701276	
332	0		30382
334	0	1455410	
336	0		459544
338	0	8662620	
340	0		85225
342	0	9800664	
344	0		450259
346	0	1709012	
348	1		65645
350	1	21474888	
352	0		77406
354	0	1377698	
356	0		332137
358	0	12901204	
360	0		34099
362	0	3558214	
364	0		687774
366	0	1997927	
368	0		8370
370	0	19985450	
370	1	20017490	
372	0		227778
374	0	1279158	
376	1		302817
376	0		460958
378	0	12087398	
380	0		41161
382	0	3136008	
384	0		596199
386	0	2027094	
388	0		12155
390	0	10751112	
392	1		315298
394	0	1422701	
396	1		40335
396	0		121953
398	0	19429291	
400	0		91330
402	0	2124570	
404	0		952375
406	1	1670012	
408	0		61452
410	0	9225175	
412	0		317676
414	1	1581466	
416	0		109980
418	0	20693222	
420	0		9110
422	0	2056482	
424	0		552657
426	1	7213222	
428	1		3154
430	0	9901560	
432	1		354875
434	0	1272356	
436	0		71869
436	1		101625
438	0	21040813	
440	1		36934
442	1	1708688	
444	0		355955
446	0	13652982	
448	0		36631
450	1	2996600	
450	0	3025820	
452	0		761205
454	0	1456150	
456	0		100246
458	0	20857794	
460	0		127711
462	0	2213348	
464	1		318047
466	0	13923050	
468	1		23698
468	0		13672
470	0	1483980	
472	0		862326
474	0	1521252	
476	0		26389
478	0	11125264	
478	1	11145671	
480	0		444221
482	0	2503770	
484	0		48702
486	0	20415570	
488	0		105215
490	0	1446998	
492	0		571938
494	0	1426364	
496	0		91683
498	0	9563308	
498	1	9594544	
500	1		307533
502	0	2289824	
504	1		54657
504	0		52457
506	0	20138138	
508	0		86177
510	0	1393622	
512	0		649546
514	0	6326940	
516	0		77319
518	0	10355018	
520	0		265265
522	1	2091940	
524	1		46473
524	0		123946
526	0	20686834	
528	1		41530
528	0		23002
530	0	487618	
532	1		314057
532	0		302631
534	0	12245534	
536	0		8814
538	1	5469526	
540	0		475411
542	0	2155398	
544	0		9531
546	1	22264576	
548	0		102837
550	0	1499400	
552	0		414515
