pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
  5.003   3  tick         0 4794525893         0 
  5.003   0  tick 4982796287         0 4982796077 
  5.003   1  tick 4988161139         0 4988160912 
  5.003   2  tick         0 4987199486         0 
 10.003   1  tick 4986643538         0 4986643535 
 10.003   3  tick         0 4986655224         0 
 10.003   2  tick         0 4986643694         0 
 10.003   0  tick 4986666147         0 4986666153 
 15.003   1  tick 4986648379         0 4986648377 
 15.003   0  tick 4986631006         0 4986631000 
 15.003   3  tick         0 4986640711         0 
 15.003   2  tick         0 4986649079         0 
 20.003   1  tick 4986647559         0 4986647566 
 20.003   2  tick         0 4986641445         0 
 20.003   0  tick 4986652107         0 4986652107 
 20.003   3  tick         0 4986667324         0 
 25.003   2  tick         0 4986649329         0 
 25.003   0  tick 4986649496         0 4986649498 
 25.003   1  tick 4986662135         0 4986662128 
 25.003   3  tick         0 4986659650         0 
 30.003   1  tick 4986641223         0 4986641225 
 30.003   2  tick         0 4986647747         0 
 30.003   0  tick 4986644900         0 4986644904 
 30.003   3  tick         0 4986622764         0 
 35.003   1  tick 4986640337         0 4986640337 
 35.003   0  tick 4986644609         0 4986644603 
 35.003   2  tick         0 4986646182         0 
 35.003   3  tick         0 4986644940         0 
 40.003   1  tick 4986649683         0 4986649681 
 40.003   2  tick         0 4986649140         0 
 40.003   0  tick 4986665464         0 4986665464 
 40.003   3  tick         0 4986668441         0 
 45.003   1  tick 4986648096         0 4986648097 
 45.003   0  tick 4986633655         0 4986633662 
 45.003   3  tick         0 4986645187         0 
 45.014   2  tick         0 4998102346         0 
 50.003   1  tick 4986647865         0 4986647874 
 50.003   0  tick 4986645547         0 4986645547 
 50.003   2  tick         0 4975192147         0 
 50.003   3  tick         0 4986638482         0 
 55.003   0  tick 4986648224         0 4986648217 
 55.003   2  tick         0 4986649963         0 
 55.003   1  tick 4986661786         0 4986661777 
 55.003   3  tick         0 4986648111         0 
 60.003   1  tick 4986635372         0 4986635371 
 60.003   2  tick         0 4986647174         0 
 60.003   0  tick 4986650285         0 4986650287 
 60.003   3  tick         0 4986644654         0 
 65.003   1  tick 4986645973         0 4986645973 
 65.003   2  tick         0 4986647177         0 
 65.003   0  tick 4986646013         0 4986646011 
 65.003   3  tick         0 4986642999         0 
 70.003   0  tick 4986651707         0 4986651714 
 70.003   2  tick         0 4986651487         0 
 70.003   1  tick 4986664905         0 4986664908 
 70.003   3  tick         0 4986669333         0 
 75.003   1  tick 4986631894         0 4986631895 
 75.003   0  tick 4986646657         0 4986646652 
 75.003   2  tick         0 4986650009         0 
 75.003   3  tick         0 4986637077         0 
 80.003   1  tick 4986649006         0 4986649002 
 80.003   2  tick         0 4986644813         0 
 80.003   0  tick 4986648658         0 4986648662 
 80.003   3  tick         0 4986659304         0 
 85.003   1  tick 4986647799         0 4986647799 
 85.003   2  tick         0 4986647511         0 
 85.003   0  tick 4986663328         0 4986663324 
 85.003   3  tick         0 4986646857         0 
 90.003   1  tick 4986646935         0 4986646941 
 90.003   0  tick 4986630133         0 4986630134 
 90.003   2  tick         0 4986648815         0 
 90.003   3  tick         0 4986628587         0 
 95.003   1  tick 4986654301         0 4986654295 
 95.003   3  tick         0 4986657755         0 
 95.003   2  tick         0 4986669861         0 
 95.003   0  tick 4987451552         0 4987451549 
100.003   0  tick 4985844820         0 4985844828 
100.003   3  tick         0 4986637545         0 
100.003   1  tick 4986657742         0 4986657743 
100.003   2  tick         0 4986630316         0 
105.003   1  tick 4986633144         0 4986633146 
105.003   0  tick 4986649589         0 4986649583 
105.003   3  tick         0 4986650897         0 
105.003   2  tick         0 4986654242         0 
110.003   1  tick 4986648990         0 4986648989 
110.003   0  tick 4986649906         0 4986649911 
110.003   3  tick         0 4986648797         0 
110.003   2  tick         0 4986660085         0 
115.003   1  tick 4986647209         0 4986647208 
115.003   2  tick         0 4986625039         0 
115.003   0  tick 4986659849         0 4986659845 
115.003   3  tick         0 4986653887         0 
120.003   1  tick 4986647861         0 4986647866 
120.003   2  tick         0 4986651158         0 
120.003   0  tick 4986637342         0 4986637345 
120.003   3  tick         0 4986643360         0 
125.003   1  tick 4986648512         0 4986648508 
125.003   0  tick 4986647013         0 4986647011 
125.003   2  tick         0 4986652450         0 
125.003   3  tick         0 4986648468         0 
130.003   1  tick 4986648129         0 4986648127 
130.003   2  tick         0 4986641093         0 
130.003   0  tick 4986659841         0 4986659837 
130.003   3  tick         0 4986653274         0 
135.003   1  tick 4986648537         0 4986648537 
135.003   0  tick 4986632630         0 4986632632 
135.003   2  tick         0 4986648407         0 
135.003   3  tick         0 4986645689         0 
140.003   1  tick 4986648008         0 4986648011 
140.003   0  tick 4986652268         0 4986652266 
140.003   2  tick         0 4986652445         0 
140.003   3  tick         0 4986654952         0 
145.003   1  tick 4986646506         0 4986646506 
145.003   3  tick         0 4986636064         0 
145.003   0  tick 4986687062         0 4986687064 
145.009   2  tick         0 4993415301         0 
150.003   1  tick 4986648965         0 4986648962 
150.003   0  tick 4986607321         0 4986607325 
150.003   2  tick         0 4979879047         0 
150.003   3  tick         0 4986649530         0 
155.003   1  tick 4986649223         0 4986649224 
155.003   0  tick 4986649027         0 4986649021 
